代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14431933.189999999478459
真實報酬,4431933.189999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16972.583184099159553
風險,117011.577201358129969
起點值,0.145050460732548
找到最佳解世代,3212
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,8
AAPL[0](6),BA[2](5),HD[9](11),KO[14](18),MCD[15](1),MMM[16](4),UNH[23](3),V[25](10),
Stock#,AAPL[0](6),BA[2](5),HD[9](11),KO[14](18),MCD[15](1),MMM[16](4),UNH[23](3),V[25](10),
張數,11211,8777,10426,29677,11135,7610,8965,15314,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,85.610000000102445,67.429999999934807,26.860000000102445,4.760000000009313,96.250000000000000,57.500000000000000,10.050000000046566,71.319999999832362,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1251121.100000000093132,1235430.179999999934807,1254170.400000000139698,1247922.609999999869615,1251558.899999999906868,1261262.799999999813735,1245965.750000000000000,1234073.439999999711290,9981505.180000001564622
FS( 3 ),1231389.739999999990687,1229022.969999999972060,1253023.540000000270084,1247329.070000000065193,1244098.449999999953434,1269633.800000000046566,1235656.000000000232831,1235145.419999999925494,9945298.990000000223517
FS( 4 ),1220290.850000000093132,1224810.009999999776483,1260634.520000000018626,1237238.889999999897555,1236526.650000000139698,1266970.299999999813735,1234580.200000000186265,1230704.359999999869615,9911755.779999999329448
FS( 5 ),1237892.120000000111759,1255441.739999999990687,1290244.360000000102445,1260090.179999999934807,1256346.949999999953434,1291778.900000000139698,1272412.500000000000000,1263629.459999999962747,10127836.210000000894070
FS( 6 ),1245179.270000000018626,1248156.829999999841675,1295457.360000000102445,1272554.520000000018626,1270711.100000000093132,1301595.800000000046566,1281108.550000000046566,1269295.639999999664724,10184059.070000000298023
FS( 7 ),1243161.290000000037253,1273522.359999999869615,1313911.380000000121072,1254451.550000000046566,1280398.550000000046566,1296725.399999999906868,1272143.550000000046566,1274808.679999999701977,10209122.759999999776483
FS( 8 ),1208519.300000000279397,1296342.559999999823049,1345293.640000000130385,1214981.139999999897555,1275165.100000000093132,1326328.300000000046566,1310065.500000000000000,1253828.500000000000000,10230524.039999999105930
FS( 9 ),1215694.340000000083819,1303627.469999999972060,1353842.959999999962747,1217652.070000000065193,1271935.949999999953434,1332416.300000000046566,1312665.349999999860302,1253981.639999999664724,10261816.079999998211861
FS( 10 ),1185200.419999999925494,1316529.659999999916181,1331114.280000000027940,1221806.850000000093132,1312467.350000000093132,1315902.599999999860302,1365200.250000000000000,1200382.639999999664724,10248604.050000000745058
FS( 11 ),1200895.820000000065193,1300028.900000000139698,1297021.260000000242144,1229819.639999999897555,1317589.449999999953434,1326023.900000000139698,1364752.000000000000000,1203292.299999999813735,10239423.269999999552965
FS( 12 ),1233183.500000000000000,1285371.309999999823049,1306717.440000000176951,1224477.780000000027940,1327499.599999999860302,1309053.599999999860302,1358207.550000000046566,1226416.439999999711290,10270927.219999998807907
FS( 13 ),1232735.060000000055879,1275628.840000000083819,1344251.040000000270084,1220323.000000000000000,1330172.000000000000000,1314837.200000000186265,1351663.100000000093132,1241577.299999999813735,10311187.539999999105930
FS( 14 ),1233968.270000000018626,1284581.379999999888241,1337995.440000000176951,1214090.829999999841675,1336296.250000000000000,1316283.100000000093132,1339829.300000000046566,1237748.799999999813735,10300793.370000001043081
FS( 15 ),1252690.640000000130385,1290461.969999999972060,1336848.580000000074506,1227445.479999999981374,1330728.750000000000000,1305324.700000000186265,1348435.699999999953434,1251071.979999999748543,10343007.800000000745058
FS( 16 ),1253475.410000000149012,1312404.469999999972060,1365624.340000000083819,1227742.250000000000000,1332844.399999999906868,1308292.599999999860302,1365020.949999999953434,1224119.339999999850988,10389523.759999997913837
FS( 17 ),1247085.140000000130385,1314335.409999999916181,1368022.320000000298023,1220323.000000000000000,1337855.149999999906868,1310880.000000000000000,1376496.149999999906868,1218606.299999999813735,10393603.469999998807907
FS( 18 ),1253363.300000000279397,1316968.509999999776483,1371775.679999999934807,1232490.570000000065193,1343645.349999999860302,1320316.400000000139698,1369951.699999999953434,1227182.139999999664724,10435693.649999998509884
FS( 19 ),1250896.880000000121072,1314598.719999999972060,1362079.500000000000000,1239019.510000000009313,1356561.949999999953434,1312782.500000000000000,1363676.200000000186265,1211102.439999999711290,10410717.700000001117587
FS( 20 ),1249663.669999999925494,1331011.709999999729916,1351444.980000000214204,1221213.310000000055879,1343868.050000000046566,1314837.200000000186265,1412804.400000000139698,1212174.419999999925494,10437017.740000000223517
FS( 21 ),1239125.330000000074506,1321532.550000000046566,1349151.260000000242144,1197471.709999999962747,1328167.699999999953434,1306998.900000000139698,1419348.850000000093132,1184149.799999999813735,10345946.100000001490116
FS( 22 ),1227578.000000000000000,1337594.459999999729916,1349881.080000000074506,1192129.850000000093132,1319259.699999999953434,1313771.800000000046566,1442837.150000000139698,1155206.339999999850988,10338258.380000000819564
FS( 23 ),1232174.510000000242144,1336365.679999999934807,1354051.480000000214204,1197768.479999999981374,1316698.649999999906868,1312249.800000000046566,1440954.500000000000000,1159647.399999999906868,10349910.500000001862645
FS( 24 ),1223317.820000000065193,1335575.750000000000000,1352070.540000000270084,1205484.500000000000000,1328390.400000000139698,1306085.699999999953434,1413163.000000000000000,1183996.659999999916181,10348084.370000001043081
FS( 25 ),1232735.060000000055879,1336277.909999999916181,1342270.100000000093132,1204000.649999999906868,1327945.000000000000000,1307455.500000000000000,1410383.850000000093132,1180933.859999999869615,10342001.929999999701977
FS( 26 ),1244842.940000000176951,1352954.209999999729916,1381054.820000000298023,1225368.090000000083819,1335405.449999999953434,1339798.000000000000000,1429031.050000000046566,1214624.659999999916181,10523079.220000000670552
FS( 27 ),1257062.930000000167638,1363925.459999999729916,1381784.640000000130385,1216168.219999999972060,1341307.000000000000000,1338504.300000000046566,1428313.850000000093132,1214165.239999999757856,10541231.640000000596046
FS( 28 ),1277579.060000000055879,1373580.159999999916181,1390751.000000000000000,1246438.760000000009313,1350326.350000000093132,1358366.400000000139698,1435485.850000000093132,1212021.279999999795109,10644548.859999999403954
FS( 29 ),1270291.910000000149012,1379460.750000000000000,1403157.940000000176951,1243471.060000000055879,1355671.149999999906868,1367117.899999999906868,1429837.900000000139698,1202220.319999999832362,10651228.930000001564622
FS( 30 ),1291480.700000000186265,1375072.250000000000000,1423592.899999999906868,1239316.280000000027940,1366138.050000000046566,1360953.800000000046566,1439251.149999999906868,1212940.119999999878928,10708745.249999998137355
FS( 31 ),1291480.700000000186265,1355850.619999999878928,1417754.340000000083819,1222993.929999999934807,1367919.650000000139698,1343983.500000000000000,1433154.950000000186265,1211868.139999999664724,10645005.830000001937151
FS( 32 ),1298543.630000000121072,1349706.719999999972060,1416294.700000000186265,1233084.109999999869615,1362574.850000000093132,1339569.700000000186265,1439968.350000000093132,1217534.319999999832362,10657276.380000000819564
FS( 33 ),1300225.280000000027940,1356113.929999999934807,1408683.720000000204891,1238722.739999999990687,1372373.649999999906868,1350452.000000000000000,1469732.150000000139698,1199923.219999999739230,10696226.690000001341105
FS( 34 ),1307736.650000000139698,1370859.290000000037253,1412124.300000000046566,1236645.350000000093132,1369589.899999999906868,1355855.099999999860302,1448216.149999999906868,1196094.719999999739230,10697121.460000000894070
FS( 35 ),1311212.060000000055879,1372702.459999999729916,1429535.720000000204891,1236348.579999999841675,1373375.800000000046566,1359584.000000000000000,1448664.400000000139698,1200076.359999999869615,10731499.379999998956919
FS( 36 ),1312445.270000000018626,1382269.389999999897555,1426616.440000000176951,1233677.649999999906868,1371705.550000000046566,1357909.800000000046566,1446333.500000000232831,1196707.279999999795109,10727664.879999998956919
FS( 37 ),1303812.800000000279397,1382093.850000000093132,1412020.040000000270084,1233084.109999999869615,1377718.449999999953434,1363769.500000000000000,1448574.750000000232831,1193031.919999999925494,10714105.420000001788139
FS( 38 ),1306391.330000000074506,1385165.800000000046566,1408058.160000000149012,1234567.959999999962747,1371260.149999999906868,1360345.000000000000000,1461574.000000000000000,1196860.419999999925494,10724222.820000000298023
