代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12257705.719999998807907
真實報酬,2257705.719999998807907

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11451.351742248216397
風險,268292.619449642952532
起點值,0.042682321137789
找到最佳解世代,1846
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](11),MCD[15](4),V[25](1),
Stock#,KO[14](11),MCD[15](4),V[25](1),
張數,99860,41162,168350,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,6.199999999720603,34.239999999757856,3.000000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3297383.399999999906868,3323865.739999999757856,3397306.000000000000000,10018556.140000000596046
FS( 3 ),3272418.399999999906868,3315221.720000000204891,3329966.000000000000000,9917607.120000001043081
FS( 4 ),3266426.799999999813735,3321807.639999999664724,3291245.500000000000000,9879480.939999999478459
FS( 5 ),3255442.199999999720603,3339918.919999999925494,3358585.500000000000000,9953947.619999999180436
FS( 6 ),3265428.200000000186265,3340330.540000000037253,3228956.000000000000000,9834715.740000000223517
FS( 7 ),3290393.200000000186265,3344858.359999999869615,3217171.500000000000000,9852424.060000000521541
FS( 8 ),3265428.200000000186265,3307812.559999999590218,3143097.500000000465661,9716339.259999999776483
FS( 9 ),3251447.799999999813735,3323042.500000000000000,3151515.000000000000000,9726006.300000000745058
FS( 10 ),3276412.799999999813735,3353502.379999999888241,3195286.000000000000000,9825202.179999999701977
FS( 11 ),3244457.600000000093132,3344035.119999999646097,3149831.500000000000000,9738325.219999998807907
FS( 12 ),3269422.600000000093132,3367497.459999999962747,3151515.000000000000000,9788436.060000000521541
FS( 13 ),3276412.799999999813735,3396722.479999999515712,3132996.500000000000000,9806132.779999999329448
FS( 14 ),3287397.399999999906868,3403720.019999999552965,3116161.500000000465661,9807279.919999999925494
FS( 15 ),3308368.000000000000000,3408247.839999999850988,3156565.500000000000000,9873182.339999999850988
FS( 16 ),3315358.200000000186265,3402073.540000000037253,3143097.500000000465661,9860530.240000000223517
FS( 17 ),3244457.600000000093132,3387255.220000000204891,3170033.499999999534339,9801747.320000000298023
FS( 18 ),3242460.399999999441206,3368732.319999999832362,3087542.000000000000000,9698735.719999998807907
FS( 19 ),3255442.199999999720603,3388490.079999999608845,3109427.500000000000000,9753360.779999999329448
FS( 20 ),3297383.399999999906868,3472048.939999999478459,3168350.000000000000000,9937783.339999999850988
FS( 21 ),3330337.199999999720603,3481104.579999999608845,3643097.000000000000000,10454539.779999999329448
FS( 22 ),3360295.199999999720603,3470814.079999999608845,3547137.500000000000000,10378247.779999999329448
FS( 23 ),3400239.199999999254942,3525559.540000000037253,3702019.499999999534339,10627819.239999998360872
FS( 24 ),3410225.199999999720603,3525147.919999999925494,3717170.999999999534339,10652545.119999999180436
FS( 25 ),3422208.399999999906868,3534203.559999999590218,3712120.500000000000000,10668533.459999999031425
FS( 26 ),3433193.000000000000000,3542435.959999999962747,3794612.000000000000000,10770241.960000000894070
FS( 27 ),3429198.600000000093132,3523501.439999999478459,3776093.500000000000000,10728794.539999999105930
FS( 28 ),3400239.199999999254942,3513210.939999999478459,3700336.000000000000000,10613787.139999998733401
FS( 29 ),3387257.399999999906868,3498392.619999999646097,3691918.500000000000000,10577569.519999999552965
FS( 30 ),3398242.000000000000000,3497157.759999999310821,3735689.500000000000000,10631090.259999999776483
FS( 31 ),3379268.600000000093132,3532145.459999999962747,3702019.499999999534339,10613434.560000000521541
FS( 32 ),3372278.399999999906868,3518562.000000000000000,3735689.500000000000000,10626530.900000000372529
FS( 33 ),3351307.799999999813735,3515269.040000000037253,3707070.000000000000000,10573647.839999999850988
FS( 34 ),3461153.799999999348074,3548610.259999999310821,3754208.000000000000000,10763973.059999998658895
FS( 35 ),3439184.599999999627471,3551079.979999999515712,3730639.000000000000000,10720904.579999998211861
FS( 36 ),3462152.399999999906868,3562193.720000000204891,3705386.500000000465661,10729733.620000001043081
FS( 37 ),3482124.399999999441206,3645340.959999999962747,3767676.000000000000000,10895142.359999999403954
FS( 38 ),3458158.000000000000000,3627229.680000000167638,3749157.500000000000000,10834546.179999999701977
FS( 39 ),3455162.199999999720603,3623113.479999999515712,3754208.000000000000000,10832484.679999999701977
FS( 40 ),3430197.199999999720603,3584832.819999999832362,3693602.000000000000000,10708633.019999999552965
FS( 41 ),3436188.799999999348074,3572072.599999999627471,3658248.500000000000000,10666510.899999998509884
FS( 42 ),3396244.799999999348074,3559724.000000000000000,3601009.500000000000000,10556979.299999998882413
FS( 43 ),3382264.399999999441206,3556019.419999999925494,3606060.000000000465661,10544344.820000000298023
FS( 44 ),3348312.000000000000000,3501273.959999999962747,3516834.500000000000000,10366421.460000000894070
FS( 45 ),3415218.200000000186265,3521031.720000000204891,3681817.500000000000000,10618068.419999999925494
FS( 46 ),3286398.799999999348074,3469167.599999999627471,3577440.500000000000000,10333007.899999998509884
FS( 47 ),3334331.599999999627471,3502097.199999999720603,3510100.500000000465661,10346530.299999998882413
FS( 48 ),3251447.799999999813735,3379846.059999999590218,3335016.500000000000000,9966311.359999999403954
FS( 49 ),3329338.600000000093132,3538319.759999999310821,3483164.500000000000000,10350823.859999999403954
FS( 50 ),3193528.999999999534339,3460935.199999999720603,3336700.000000000000000,9991165.199999999254942
FS( 51 ),3319352.600000000093132,3551491.599999999627471,3557238.500000000000000,10428083.699999999254942
FS( 52 ),3352306.399999999906868,3560547.239999999757856,3528619.000000000000000,10441473.640000000596046
FS( 53 ),3405232.199999999720603,3573719.079999999608845,3614477.500000000000000,10593429.779999999329448
FS( 54 ),3404233.600000000093132,3567544.779999999795109,3612794.000000000000000,10584573.379999998956919
