代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13552508.039999999105930
真實報酬,3552508.039999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12502.028224211175257
風險,179870.903819120227126
起點值,0.069505561815508
找到最佳解世代,3555
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
TRV[22](1),V[25](3),WMT[28](7),
Stock#,TRV[22](1),V[25](3),WMT[28](7),
張數,56182,112044,54324,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,54.939999999944121,24.000000000000000,12.359999999869615,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3330523.899999999906868,3371427.959999999962747,3294762.959999999962747,9996715.820000000298023
FS( 3 ),3327152.979999999981374,3333333.000000000000000,3273576.599999999627471,9934063.580000000074506
FS( 4 ),3308051.100000000093132,3389355.000000000000000,3295849.439999999944121,9993256.539999999105930
FS( 5 ),3261420.039999999571592,3347898.719999999739230,3266514.479999999981374,9875834.240000000223517
FS( 6 ),3244565.439999999944121,3270588.360000000335276,3255649.679999999701977,9770804.480000000447035
FS( 7 ),3268161.879999999888241,3288515.400000000372529,3248587.559999999590218,9805265.839999999850988
FS( 8 ),3320411.140000000130385,3390475.439999999944121,3267057.719999999739230,9977945.300000000745058
FS( 9 ),3265352.779999999795109,3449858.759999999776483,3246957.839999999850988,9962170.379999998956919
FS( 10 ),3323782.059999999590218,3384873.240000000223517,3290960.279999999795109,9999616.580000000074506
FS( 11 ),3370413.120000000111759,3419606.879999999888241,3361038.239999999757856,10151059.240000000223517
FS( 12 ),3341198.479999999981374,3411763.799999999813735,3371359.799999999813735,10124323.079999998211861
FS( 13 ),3466484.340000000316650,3394957.200000000186265,3354519.359999999869615,10215961.900000000372529
FS( 14 ),3525475.439999999944121,3389355.000000000000000,3392546.160000000149012,10307377.599999999627471
FS( 15 ),3534464.559999999590218,3308683.320000000298023,3234463.319999999832362,10077612.199999999254942
FS( 16 ),3560308.279999999795109,3331092.120000000111759,3138309.839999999850988,10029711.240000000223517
FS( 17 ),3583342.899999999906868,3411763.799999999813735,3116037.000000000000000,10111144.699999999254942
FS( 18 ),3638963.079999999608845,3450979.200000000186265,3202412.160000000149012,10292355.439999999478459
FS( 19 ),3596264.760000000242144,3459942.719999999739230,3206758.080000000074506,10262966.560000000521541
FS( 20 ),3613681.179999999701977,3445377.000000000000000,3200239.199999999720603,10259298.379999998956919
FS( 21 ),3629412.139999999664724,3447617.879999999888241,3208931.040000000037253,10285962.059999998658895
FS( 22 ),3637277.619999999646097,3422968.200000000186265,3205671.599999999627471,10265918.419999999925494
FS( 23 ),3637839.439999999944121,3260504.400000000372529,3204585.120000000111759,10102929.960000000894070
FS( 24 ),3623793.939999999944121,3299719.799999999813735,3188831.160000000149012,10112345.900000000372529
FS( 25 ),3628850.320000000298023,3319887.719999999739230,3215449.919999999925494,10164188.960000000894070
FS( 26 ),3617613.919999999925494,3309803.759999999776483,3207844.559999999590218,10135263.239999998360872
FS( 27 ),3591208.379999999888241,3289635.839999999850988,3206758.080000000074506,10087603.300000000745058
FS( 28 ),3631659.419999999925494,3309803.759999999776483,3215449.919999999925494,10156914.099999999627471
FS( 29 ),3630535.780000000260770,3303081.120000000111759,3227944.439999999944121,10161562.339999999850988
FS( 30 ),3622670.300000000279397,3269467.919999999925494,3208931.040000000037253,10101070.260000001639128
FS( 31 ),3604130.240000000223517,3266106.599999999627471,3224141.759999999776483,10094379.599999999627471
FS( 32 ),3573791.959999999962747,3291876.719999999739230,3215449.919999999925494,10081119.599999999627471
FS( 33 ),3522666.340000000316650,3221289.000000000000000,3350716.679999999701977,10094673.019999999552965
FS( 34 ),3493451.699999999720603,3155183.040000000037253,3391459.679999999701977,10040095.419999999925494
