代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12201967.779999999329448
真實報酬,2201967.779999999329448

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,8493.615979274194615
風險,243926.541971877770266
起點值,0.034820384492039
找到最佳解世代,2087
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,4
AAPL[0](2),IBM[10](1),MCD[15](10),VZ[26](4),
Stock#,AAPL[0](2),IBM[10](1),MCD[15](10),VZ[26](4),
張數,55309,17311,31529,77279,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,33.199999999720603,118.490000000223517,65.589999999850988,24.350000000093132,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2513827.250000000000000,2513329.470000000204891,2502837.609999999869615,2530138.810000000055879,10060133.140000000596046
FS( 3 ),2508296.349999999627471,2516791.669999999925494,2514818.629999999888241,2542503.450000000186265,10082410.099999999627471
FS( 4 ),2529866.859999999869615,2510040.380000000353903,2509143.409999999683350,2541730.660000000149012,10090781.310000000521541
FS( 5 ),2514380.339999999850988,2493248.710000000428408,2533105.450000000186265,2546367.400000000372529,10087101.900000002235174
FS( 6 ),2536503.939999999478459,2509867.270000000018626,2482659.049999999813735,2548685.770000000018626,10077716.029999999329448
FS( 7 ),2526548.319999999832362,2498095.790000000502914,2447031.279999999795109,2593507.590000000316650,10065182.980000000447035
FS( 8 ),2532632.309999999590218,2507097.510000000242144,2445454.830000000074506,2630601.510000000242144,10115786.160000000149012
FS( 9 ),2541481.750000000000000,2497749.570000000298023,2431266.779999999795109,2636011.040000000037253,10106509.140000000596046
FS( 10 ),2530973.039999999571592,2524408.510000000242144,2431266.779999999795109,2679287.280000000260770,10165935.609999999403954
FS( 11 ),2531526.129999999888241,2505366.410000000149012,2427168.009999999776483,2676196.120000000111759,10140256.669999999925494
FS( 12 ),2538163.209999999962747,2502423.540000000502914,2418655.179999999701977,2686242.390000000130385,10145484.320000000298023
FS( 13 ),2533185.399999999441206,2510213.490000000223517,2421808.080000000074506,2676968.910000000149012,10142175.879999998956919
FS( 14 ),2545906.469999999739230,2501731.100000000093132,2425276.270000000018626,2684696.810000000055879,10157610.650000000372529
FS( 15 ),2561392.989999999757856,2523023.630000000353903,2423384.529999999795109,2700152.609999999869615,10207953.759999999776483
FS( 16 ),2569136.250000000000000,2526658.939999999944121,2428113.879999999888241,2718699.570000000298023,10242608.640000000596046
FS( 17 ),2556968.269999999552965,2525620.279999999795109,2426537.429999999701977,2738792.109999999869615,10247918.089999997988343
FS( 18 ),2565264.619999999646097,2516099.230000000447035,2409827.060000000055879,2743428.850000000093132,10234619.759999999776483
FS( 19 ),2571901.699999999720603,2522504.300000000279397,2409827.060000000055879,2752702.330000000074506,10256935.390000000596046
FS( 20 ),2570242.429999999701977,2536526.210000000428408,2427483.299999999813735,2749611.169999999925494,10283863.109999999403954
