代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14484009.839999997988343
真實報酬,4484009.839999997988343

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21343.987478455030214
風險,299742.049805893679149
起點值,0.071207851858880
找到最佳解世代,2229
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](3),MCD[15](11),MSFT[18](4),V[25](1),
Stock#,BA[2](3),MCD[15](11),MSFT[18](4),V[25](1),
張數,14152,19288,38138,27976,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,49.199999999720603,82.319999999832362,54.100000000093132,64.640000000130385,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2529011.599999999627471,2493827.839999999850988,2506864.840000000316650,2483773.920000000391155,10013478.199999999254942
FS( 3 ),2506085.359999999869615,2515430.399999999906868,2500381.380000000353903,2490767.920000000391155,10012665.060000000521541
FS( 4 ),2510189.439999999944121,2510415.520000000018626,2506864.840000000316650,2492446.480000000447035,10019916.280000001192093
FS( 5 ),2531134.399999999441206,2506750.799999999813735,2504957.940000000409782,2482654.879999999888241,10025498.019999999552965
FS( 6 ),2512878.319999999832362,2507136.559999999590218,2499237.240000000223517,2486012.000000000000000,10005264.119999999180436
FS( 7 ),2527171.839999999850988,2530667.919999999459833,2497330.340000000316650,2485732.239999999757856,10040902.339999999850988
FS( 8 ),2491508.799999999813735,2531825.199999999720603,2487795.840000000316650,2480976.320000000298023,9992106.160000000149012
FS( 9 ),2485423.439999999944121,2522181.199999999720603,2477117.200000000186265,2486291.760000000242144,9971013.599999999627471
FS( 10 ),2533540.239999999757856,2533561.119999999646097,2497330.340000000316650,2512589.200000000186265,10077020.899999998509884
FS( 11 ),2516982.399999999441206,2551884.720000000204891,2493897.919999999925494,2510351.120000000111759,10073116.160000000149012
FS( 12 ),2524766.000000000000000,2558442.639999999664724,2480549.620000000111759,2510910.640000000130385,10074668.900000000372529
FS( 13 ),2537502.799999999813735,2570594.080000000074506,2498093.100000000093132,2550077.040000000502914,10156267.020000001415610
FS( 14 ),2552786.959999999497086,2573294.399999999906868,2532417.300000000279397,2550077.040000000502914,10208575.700000001117587
FS( 15 ),2576562.319999999832362,2589110.559999999590218,2575513.240000000223517,2569660.239999999757856,10310846.359999999403954
FS( 16 ),2597082.719999999739230,2733191.919999999459833,2590387.060000000055879,2576934.000000000000000,10497595.699999999254942
FS( 17 ),2571609.119999999646097,2716604.239999999757856,2586954.640000000130385,2568820.959999999962747,10443988.960000000894070
FS( 18 ),2592978.639999999664724,2717182.879999999888241,2603735.359999999869615,2562666.239999999757856,10476563.119999999180436
FS( 19 ),2615763.359999999869615,2699052.160000000149012,2610981.580000000074506,2552035.359999999869615,10477832.459999999031425
FS( 20 ),2581232.479999999515712,2722583.520000000018626,2647212.680000000167638,2553154.400000000372529,10504183.080000000074506
FS( 21 ),2596092.079999999608845,2724126.559999999590218,2643017.500000000000000,2588963.680000000167638,10552199.819999998435378
FS( 22 ),2595384.479999999515712,2750936.879999999888241,2634627.140000000130385,2586166.080000000074506,10567114.580000000074506
FS( 23 ),2590855.839999999850988,2766945.919999999459833,2624329.880000000353903,2591201.760000000242144,10573333.400000000372529
FS( 24 ),2618310.719999999739230,2776782.799999999813735,2631576.100000000093132,2576374.480000000447035,10603044.099999999627471
FS( 25 ),2632604.239999999757856,2782183.439999999944121,2629287.819999999832362,2571618.560000000055879,10615694.060000000521541
FS( 26 ),2645199.519999999552965,2784498.000000000000000,2633101.620000000111759,2573856.640000000130385,10636655.779999999329448
