代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12230399.289999999105930
真實報酬,2230399.289999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10191.444955440363628
風險,163868.700846439198358
起點值,0.062192748845862
找到最佳解世代,2123
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
JNJ[12](1),MCD[15](9),MRK[17](19),PG[21](2),WMT[28](18),
Stock#,JNJ[12](1),MCD[15](9),MRK[17](19),PG[21](2),WMT[28](18),
張數,21717,21397,38073,29027,31338,
FS( 181 ),2450844.919999999925494,2680852.540000000037253,2078049.649999999906868,2327714.829999999608845,2168598.440000000409782,11706060.379999998956919
FS( 182 ),2446284.349999999627471,2622438.729999999515712,2098228.339999999850988,2322780.239999999757856,2189281.520000000484288,11679013.179999999701977
FS( 183 ),2435860.189999999478459,2627787.979999999515712,2090994.470000000204891,2328005.099999999627471,2177999.839999999850988,11660647.579999998211861
FS( 184 ),2447370.200000000186265,2652180.559999999590218,2116884.110000000335276,2350355.889999999664724,2201189.959999999962747,11767980.719999998807907
FS( 185 ),2461703.419999999925494,2637416.629999999888241,2153814.919999999925494,2365159.659999999683350,2208711.080000000074506,11826805.709999999031425
FS( 186 ),2451930.770000000484288,2648757.040000000037253,2146961.780000000260770,2357612.639999999664724,2220306.139999999664724,11825568.370000001043081
FS( 187 ),2455405.490000000223517,2637202.660000000149012,2150388.350000000093132,2363708.310000000055879,2217172.339999999850988,11823877.150000000372529
FS( 188 ),2447370.200000000186265,2611740.229999999515712,2142012.290000000037253,2352387.779999999795109,2218112.480000000447035,11771622.980000000447035
FS( 189 ),2449324.730000000447035,2609814.500000000000000,2144677.399999999906868,2374158.029999999795109,2209337.839999999850988,11787312.500000000000000
FS( 190 ),2486460.799999999813735,2592696.900000000372529,2163333.169999999925494,2378802.349999999627471,2223439.940000000409782,11844733.160000000149012
FS( 191 ),2492324.389999999664724,2596548.359999999403954,2156480.030000000260770,2393896.389999999664724,2220932.900000000372529,11860182.069999998435378
FS( 192 ),2514258.559999999590218,2610456.410000000149012,2176658.720000000204891,2402604.489999999757856,2226573.740000000223517,11930551.919999999925494
FS( 193 ),2513389.879999999888241,2608316.709999999962747,2170186.310000000055879,2389542.339999999385327,2225946.980000000447035,11907382.220000000670552
FS( 194 ),2514910.070000000298023,2612810.080000000074506,2193791.569999999832362,2399121.250000000000000,2233781.480000000447035,11954414.450000001117587
FS( 195 ),2540970.469999999739230,2627360.040000000037253,2177039.450000000186265,2414215.289999999571592,2227827.259999999776483,11987412.509999999776483
FS( 196 ),2541187.639999999664724,2618159.330000000074506,2162952.439999999944121,2415086.099999999627471,2229394.160000000149012,11966779.669999999925494
FS( 197 ),2536409.900000000372529,2631639.439999999478459,2136301.339999999850988,2396799.089999999385327,2210277.980000000447035,11911427.750000000000000
FS( 198 ),2543576.509999999776483,2621368.879999999888241,2141631.560000000055879,2419440.149999999441206,2223439.940000000409782,11949457.039999999105930
FS( 199 ),2528157.439999999478459,2615805.660000000149012,2135539.880000000353903,2407829.349999999627471,2228767.400000000372529,11916099.730000000447035
FS( 200 ),2533152.349999999627471,2620513.000000000000000,2189222.810000000055879,2421181.769999999552965,2234408.240000000223517,11998478.169999999925494
FS( 201 ),2507960.629999999888241,2616233.599999999627471,2127925.280000000260770,2413054.209999999497086,2223439.940000000409782,11888613.660000000149012
FS( 202 ),2530980.650000000372529,2640840.150000000372529,2137443.530000000260770,2410441.779999999795109,2228140.639999999664724,11947846.750000000000000
FS( 203 ),2523162.530000000260770,2623936.519999999552965,2141631.560000000055879,2421181.769999999552965,2239422.320000000298023,11949334.699999999254942
FS( 204 ),2529243.290000000037253,2580928.549999999813735,2171709.229999999981374,2425826.089999999385327,2248510.339999999850988,11956217.500000000000000
FS( 205 ),2549222.929999999701977,2593552.779999999329448,2196075.950000000186265,2444403.369999999646097,2259478.639999999664724,12042733.669999998062849
FS( 206 ),2511218.179999999701977,2555680.089999999850988,2127544.550000000279397,2387800.719999999739230,2255091.320000000298023,11837334.859999999403954
FS( 207 ),2531197.820000000298023,2488493.509999999776483,2105842.939999999944121,2357902.909999999683350,2240675.839999999850988,11724113.019999999552965
FS( 208 ),2567682.379999999888241,2535566.910000000149012,2116122.649999999906868,2393606.119999999646097,2240989.220000000670552,11853967.279999999329448
FS( 209 ),2591571.080000000074506,2556749.939999999478459,2172089.959999999962747,2435695.269999999552965,2270760.320000000298023,12026866.570000000298023
FS( 210 ),2634353.570000000298023,2574937.389999999664724,2193410.839999999850988,2457755.789999999571592,2288309.599999999627471,12148767.189999999478459
FS( 211 ),2634136.400000000372529,2576221.209999999962747,2205974.930000000167638,2460948.759999999776483,2281728.620000000111759,12159009.920000001788139
FS( 212 ),2655419.059999999590218,2583924.129999999888241,2208259.310000000055879,2480106.579999999608845,2292070.160000000149012,12219779.240000000223517
FS( 213 ),2663454.349999999627471,2581142.519999999552965,2252423.989999999757856,2468205.509999999776483,2313380.000000000000000,12278606.369999999180436
FS( 214 ),2660631.139999999664724,2587347.650000000372529,2237956.250000000000000,2462400.109999999869615,2304291.980000000447035,12252627.130000000819564
FS( 215 ),2668014.919999999925494,2595692.479999999515712,2259657.860000000335276,2489685.489999999757856,2314006.759999999776483,12327057.509999999776483
FS( 216 ),2669752.280000000260770,2610456.410000000149012,2259277.130000000353903,2489104.949999999720603,2320901.120000000111759,12349491.890000000596046
FS( 217 ),2669535.110000000335276,2615805.660000000149012,2269176.110000000335276,2489104.949999999720603,2296144.099999999627471,12339765.929999999701977
FS( 218 ),2671272.469999999739230,2628001.950000000186265,2267272.459999999962747,2493168.729999999515712,2307112.400000000372529,12366828.009999999776483
FS( 219 ),2675181.530000000260770,2651752.620000000111759,2271079.759999999776483,2492588.189999999944121,2309619.440000000409782,12400221.539999999105930
FS( 220 ),2671272.469999999739230,2644905.580000000074506,2270318.300000000279397,2496651.969999999739230,2308679.299999999813735,12391827.620000001043081
FS( 221 ),2674312.849999999627471,2648971.009999999776483,2247093.770000000018626,2494329.810000000055879,2314006.759999999776483,12378714.199999999254942
FS( 222 ),2720135.719999999739230,2706742.910000000149012,2233387.489999999757856,2501296.289999999571592,2308365.919999999925494,12469928.329999998211861
FS( 223 ),2717746.849999999627471,2697328.229999999515712,2238336.979999999981374,2476623.339999999385327,2312439.860000000335276,12442475.259999997913837
FS( 224 ),2717964.020000000484288,2721292.870000000111759,2238336.979999999981374,2474881.719999999739230,2303978.599999999627471,12456454.189999999478459
FS( 225 ),2715357.980000000447035,2744401.629999999888241,2239479.169999999925494,2488234.139999999664724,2304918.740000000223517,12492391.660000000149012
FS( 226 ),2712317.599999999627471,2726000.209999999962747,2229580.189999999944121,2490556.299999999813735,2311186.339999999850988,12469640.640000000596046
FS( 227 ),2717964.020000000484288,2604251.279999999329448,2221965.589999999850988,2475171.989999999757856,2310559.580000000074506,12329912.459999999031425
FS( 228 ),2709711.559999999590218,2556535.969999999739230,2231103.110000000335276,2451660.119999999646097,2297711.000000000000000,12246721.759999999776483
FS( 229 ),2702979.290000000037253,2555252.150000000372529,2224630.700000000186265,2461819.569999999832362,2295203.959999999962747,12239885.670000001788139
FS( 230 ),2719701.379999999888241,2517379.459999999962747,2233387.489999999757856,2484460.629999999888241,2286742.700000000186265,12241671.660000000149012
FS( 231 ),2723393.270000000484288,2525082.379999999888241,2233387.489999999757856,2508262.769999999552965,2312126.480000000447035,12302252.390000000596046
FS( 232 ),2711448.919999999925494,2518449.309999999590218,2220823.399999999906868,2518422.219999999739230,2291756.780000000260770,12260900.629999998956919
FS( 233 ),2690817.770000000484288,2514597.849999999627471,2194933.759999999776483,2495490.889999999664724,2285802.559999999590218,12181642.829999998211861
FS( 234 ),2689949.089999999850988,2531287.509999999776483,2202167.630000000353903,2497813.049999999813735,2297084.240000000223517,12218301.520000001415610
FS( 235 ),2698201.549999999813735,2550758.779999999329448,2431367.089999999850988,2489975.759999999776483,2311499.720000000670552,12481802.900000000372529
FS( 236 ),2685388.520000000484288,2531073.540000000037253,2393294.089999999850988,2489395.219999999739230,2298337.759999999776483,12397489.130000000819564
FS( 237 ),2680610.780000000260770,2531501.479999999515712,2379207.080000000074506,2496071.429999999701977,2304605.360000000335276,12391996.129999998956919
FS( 238 ),2679090.589999999850988,2541986.009999999776483,2384918.030000000260770,2505360.069999999832362,2317453.940000000409782,12428808.640000000596046
FS( 239 ),2687994.559999999590218,2554396.269999999552965,2422610.300000000279397,2517551.409999999683350,2312753.240000000223517,12495305.779999999329448
FS( 240 ),2676050.209999999962747,2557391.849999999627471,2411949.860000000335276,2526549.779999999795109,2315573.660000000149012,12487515.359999999403954
FS( 241 ),2656287.740000000223517,2535994.849999999627471,2410807.669999999925494,2525969.239999999757856,2297711.000000000000000,12426770.500000000000000
FS( 242 ),2613288.080000000074506,2523584.589999999850988,2400147.229999999981374,2513197.359999999869615,2284235.660000000149012,12334452.919999999925494
FS( 243 ),2634570.740000000223517,2505611.109999999403954,2409665.479999999981374,2524227.619999999646097,2285489.180000000633299,12359564.129999998956919
FS( 244 ),2621757.709999999962747,2506253.019999999552965,2422610.300000000279397,2538160.579999999608845,2328422.240000000223517,12417203.849999999627471
FS( 245 ),2604384.110000000335276,2460891.379999999888241,2412330.589999999850988,2534387.069999999832362,2281728.620000000111759,12293721.769999999552965
FS( 246 ),2587227.679999999701977,2469664.150000000372529,2419564.459999999962747,2521034.649999999441206,2278281.440000000409782,12275772.379999998956919
FS( 247 ),2593959.950000000186265,2464742.839999999850988,2420706.649999999906868,2536999.500000000000000,2255404.700000000186265,12271813.640000000596046
FS( 248 ),2578106.540000000037253,2457895.799999999813735,2388344.600000000093132,2534387.069999999832362,2263552.580000000074506,12222286.589999999850988
FS( 249 ),2575066.160000000149012,2469878.120000000111759,2372734.669999999925494,2551513.000000000000000,2231901.200000000186265,12201093.149999998509884
FS( 250 ),2585273.150000000372529,2448695.089999999850988,2392913.360000000335276,2542224.359999999869615,2229394.160000000149012,12198500.120000001043081
FS( 251 ),2604384.110000000335276,2469450.179999999701977,2399005.040000000037253,2563123.799999999813735,2237542.040000000037253,12273505.169999998062849
FS( 252 ),2594611.459999999962747,2468380.330000000074506,2387583.140000000130385,2541063.279999999795109,2234721.620000000111759,12226359.829999998211861
FS( 253 ),2591788.250000000000000,2474799.429999999701977,2390628.979999999981374,2534387.069999999832362,2238795.559999999590218,12230399.289999999105930
