訓練日期,20171005 - 20180108
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11417389.359999999403954
真實報酬,1417389.359999999403954

夏普值報酬,0.133038936000000
夏普值風險,0.036707454679918
夏普值,3.624302942278966

預期報酬,20962.010223455930827
風險,36972.415912050499173
趨勢值,0.566963497146632
找到最佳解世代,2427
找到最佳解實驗#,3
找到最佳解次數,15

stock[index](rank)
投資組合檔數,11
AAPL[0](13),CAT[3](3),CVX[5](23),HD[9](14),KO[14](25),MCD[15](6),MSFT[18](8),NKE[19](1),TRV[22](15),WBA[27](29),WMT[28](2),
Stock#,AAPL[0](13),CAT[3](3),CVX[5](23),HD[9](14),KO[14](25),MCD[15](6),MSFT[18](8),NKE[19](1),TRV[22](15),WBA[27](29),WMT[28](2),
張數,5923,7172,7731,5499,19980,5782,12171,17455,7337,11988,11494,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,27.960000000079162,110.720000000088476,79.020000000018626,160.290000000037253,0.000000000000000,101.779999999911524,38.010000000009313,33.599999999976717,35.699999999953434,39.959999999962747,29.539999999920838,
20171005,920402.930000000051223,906651.520000000135042,916821.000000000000000,913654.170000000041910,909489.600000000093132,918283.380000000004657,924668.880000000004657,910835.500000000000000,913051.979999999981374,922516.559999999939464,912768.079999999841675,10069153.600000001490116
20171006,919869.860000000102445,910452.680000000167638,904837.950000000069849,912169.440000000060536,908890.200000000069849,922908.979999999864958,925034.010000000009313,915024.699999999953434,917674.289999999920838,877561.559999999939464,908055.539999999920838,10022489.209999999031425
20171009,923068.280000000144355,910094.080000000074506,910095.030000000027940,911399.580000000074506,907291.799999999930151,925915.619999999995343,928563.600000000093132,899315.200000000069849,916793.849999999976717,849629.520000000018626,925641.359999999986030,10007817.919999999925494
20171010,923423.660000000149012,919489.400000000023283,918521.819999999948777,908375.130000000004657,916482.599999999976717,928575.339999999967404,928563.600000000093132,899489.750000000000000,924057.479999999981374,837401.759999999892898,967019.759999999892898,10071410.299999998882413
20171011,927273.610000000102445,922429.920000000041910,922619.250000000000000,908870.040000000037253,921078.000000000000000,943435.079999999958090,930145.830000000074506,890762.250000000000000,921636.269999999902211,826252.919999999925494,985410.159999999916181,10099923.330000000074506
20171012,924015.960000000079162,932399.000000000116415,921150.359999999986030,905240.700000000069849,921277.800000000046566,947829.399999999906868,938665.530000000027940,887271.250000000000000,924130.849999999976717,827211.959999999962747,989662.939999999827705,10118865.750000000000000
20171013,929879.730000000097789,937562.840000000200234,921304.979999999981374,904580.820000000065193,922676.400000000023283,956271.119999999995343,943168.799999999930151,889889.499999999883585,929413.489999999990687,809949.239999999990687,995639.819999999948777,10140346.740000000223517
20171016,946997.200000000069849,943013.560000000055879,928804.049999999930151,903206.070000000065193,931467.599999999976717,954189.599999999860302,945116.160000000032596,896696.949999999953434,945188.039999999920838,806952.239999999990687,985525.099999999860302,10187166.569999998435378
20171017,950491.770000000018626,936343.599999999976717,929499.839999999967404,898421.940000000060536,929469.600000000093132,956444.579999999958090,944385.900000000023283,907693.599999999976717,943940.750000000000000,808031.160000000032596,988283.659999999916181,10193016.400000000372529
20171018,946286.440000000060536,941722.599999999976717,913496.670000000041910,898971.839999999967404,927072.000000000000000,958583.919999999925494,944629.319999999948777,912930.099999999976717,953992.440000000060536,812107.079999999958090,991042.219999999855645,10200844.630000000819564
20171019,923897.500000000000000,943587.320000000181608,913883.220000000088476,897817.050000000046566,930868.200000000069849,962804.779999999911524,948280.619999999995343,919737.549999999930151,977103.989999999874271,805633.559999999939464,993111.140000000013970,10216734.930000001564622
20171020,925496.710000000079162,942224.640000000130385,917284.859999999986030,898861.860000000102445,926672.400000000023283,961648.380000000004657,959234.520000000018626,926195.900000000023283,978204.539999999920838,815943.239999999990687,1005064.899999999906868,10256841.950000001117587
20171023,925022.869999999995343,944519.680000000167638,919526.850000000093132,906065.550000000046566,925473.599999999976717,944533.659999999916181,959477.939999999944121,936668.899999999906868,986495.349999999860302,809349.839999999967404,1018972.640000000013970,10276116.880000000819564
20171024,930531.260000000009313,991568.000000000116415,921846.150000000023283,913159.260000000009313,922676.400000000023283,947655.939999999827705,959843.069999999948777,932479.699999999953434,977250.729999999981374,806712.479999999981374,1011271.659999999916181,10315004.650000000372529
