訓練日期,20101117 - 20110218
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11795956.970000000670552
真實報酬,1795956.970000000670552

夏普值報酬,0.170895697000000
夏普值風險,0.047352809441933
夏普值,3.608987492274604

預期報酬,27704.769812309845292
風險,60790.201434939459432
趨勢值,0.455744004105017
找到最佳解世代,2717
找到最佳解實驗#,3
找到最佳解次數,34

stock[index](rank)
投資組合檔數,10
AAPL[0](3),CAT[3](8),CVX[5](1),IBM[10](15),MMM[16](12),PG[21](25),UNH[23](14),VZ[26](11),WBA[27](2),XOM[29](4),
20101223,1073117.800000000046566,1175183.360000000102445,1099416.800000000046566,1025659.499999999883585,1026470.100000000093132,1028210.399999999906868,1021707.880000000237487,1100961.250000000000000,1152307.540000000037253,1061791.300000000046566,10764825.929999999701977
20101227,1076599.600000000093132,1170455.399999999906868,1092627.360000000102445,1021793.000000000000000,1032879.900000000139698,1019227.200000000069849,1015138.390000000130385,1102825.149999999906868,1145544.850000000093132,1059035.350000000093132,10736126.200000001117587
20101228,1079385.040000000037253,1165727.439999999944121,1105600.040000000037253,1024394.099999999976717,1029675.000000000000000,1020645.600000000093132,1020279.730000000097789,1106552.949999999720603,1160540.379999999888241,1064982.400000000139698,10777782.680000001564622
20101229,1078688.679999999934807,1166847.219999999972060,1107782.360000000102445,1030088.400000000023283,1029912.400000000139698,1014972.000000000116415,1025706.700000000069849,1105310.350000000093132,1160834.410000000149012,1064257.150000000139698,10784399.670000001788139
20101230,1073349.920000000158325,1167967.000000000000000,1110570.879999999888241,1031142.899999999790452,1027301.000000000116415,1013080.800000000046566,1026563.590000000083819,1104689.050000000279397,1153777.689999999944121,1064112.100000000093132,10772554.929999997839332
20101231,1069636.000000000000000,1165354.179999999934807,1106327.479999999981374,1031775.599999999860302,1024452.200000000069849,1013868.799999999930151,1031419.300000000046566,1111523.350000000093132,1145544.850000000093132,1060630.900000000139698,10760532.660000000149012
20110103,1092848.000000000000000,1171450.760000000009313,1114693.040000000037253,1036837.199999999837019,1030268.500000000116415,1020803.199999999953434,1060553.560000000288710,1131715.600000000093132,1156129.930000000167638,1081373.050000000046566,10896672.840000001713634
20110104,1098651.000000000000000,1165976.279999999795109,1110570.879999999888241,1037961.999999999883585,1028844.100000000093132,1023640.000000000000000,1070264.979999999981374,1154393.049999999813735,1165832.919999999925494,1086449.800000000046566,10942585.009999999776483
20110105,1107471.560000000055879,1176054.299999999813735,1108631.040000000037253,1033814.300000000046566,1028844.100000000093132,1021276.000000000000000,1073692.540000000270084,1170236.200000000186265,1182004.570000000298023,1083548.800000000046566,10985573.410000002011657
20110106,1106775.199999999953434,1163861.140000000130385,1099538.040000000037253,1045132.599999999860302,1022553.000000000116415,1019542.399999999906868,1095971.679999999934807,1125502.600000000093132,1185532.930000000167638,1090511.200000000186265,10954920.789999999105930
20110107,1114667.280000000027940,1166225.120000000111759,1105600.040000000037253,1040000.699999999953434,1023621.300000000162981,1016548.000000000000000,1098256.720000000204891,1116183.100000000093132,1178476.209999999962747,1096458.250000000000000,10956036.719999998807907
20110110,1135558.080000000074506,1161994.840000000083819,1096143.319999999832362,1037961.999999999883585,1034541.700000000186265,1014341.599999999976717,1098256.720000000204891,1115872.450000000186265,1204056.820000000298023,1089785.949999999953434,10988513.480000000447035
20110111,1133004.760000000009313,1168962.360000000102445,1113359.399999999906868,1035431.199999999953434,1041545.000000000000000,1009298.400000000139698,1116251.410000000149012,1098476.049999999813735,1200528.459999999962747,1097908.750000000000000,11014765.789999999105930
20110112,1142057.440000000176951,1163239.039999999804422,1120876.280000000027940,1048225.799999999930151,1052465.399999999906868,1023955.199999999953434,1109967.550000000046566,1101893.200000000186265,1211407.570000000298023,1110818.199999999953434,11084905.679999999701977
20110113,1146235.600000000093132,1171326.340000000083819,1117602.800000000046566,1046257.399999999906868,1045106.000000000116415,1031992.800000000046566,1131104.170000000158325,1112144.649999999906868,1224344.890000000130385,1112703.849999999860302,11138818.500000000000000
20110114,1155520.400000000139698,1169708.880000000121072,1125483.399999999906868,1054552.799999999813735,1045818.199999999953434,1032780.800000000046566,1164522.880000000121072,1101582.550000000279397,1218464.290000000037253,1129094.500000000000000,11197528.699999999254942
20110118,1129522.959999999962747,1197330.120000000111759,1131787.879999999888241,1059122.299999999813735,1046293.000000000116415,1032308.000000000000000,1167664.810000000288710,1067411.049999999813735,1234047.879999999888241,1141713.849999999860302,11207201.849999999627471
20110119,1123719.959999999962747,1188745.140000000130385,1127180.760000000009313,1094553.500000000000000,1044156.400000000023283,1029943.999999999883585,1158524.650000000139698,1074866.649999999906868,1213759.810000000055879,1134896.500000000000000,11190347.370000001043081
20110120,1103293.400000000139698,1164732.079999999841675,1124028.520000000018626,1095326.799999999813735,1045106.000000000116415,1037036.000000000000000,1151383.900000000139698,1075177.299999999813735,1223462.800000000279397,1127789.050000000046566,11147335.850000001490116
20110121,1083331.080000000074506,1154031.959999999962747,1137001.199999999953434,1093217.799999999813735,1059943.500000000000000,1038769.599999999976717,1154240.199999999953434,1085739.399999999906868,1225815.040000000037253,1145630.200000000186265,11177719.980000000447035
20110124,1119077.560000000055879,1176676.399999999906868,1140880.879999999888241,1122251.699999999720603,1072169.600000000093132,1049328.800000000046566,1137102.400000000139698,1094748.250000000000000,1219934.439999999944121,1139973.250000000000000,11272143.279999999329448
20110125,1132076.280000000027940,1174436.840000000083819,1140638.399999999906868,1134976.000000000000000,1050566.200000000186265,1051220.000000000000000,1160238.429999999934807,1111834.000000000000000,1212583.689999999944121,1141278.700000000186265,11309848.539999999105930
20110126,1140200.479999999981374,1191357.959999999962747,1147427.840000000083819,1132164.000000000000000,1063267.100000000093132,1041921.599999999976717,1149670.120000000111759,1130783.649999999906868,1214053.839999999850988,1155493.600000000093132,11366340.189999999478459
20110127,1138111.400000000139698,1202306.919999999925494,1148761.479999999981374,1132374.899999999906868,1058756.500000000000000,1011504.800000000162981,1207938.640000000130385,1133579.500000000000000,1207585.180000000167638,1158684.699999999953434,11399604.019999999552965
20110128,1114435.159999999916181,1190487.020000000018626,1132030.360000000102445,1119299.100000000093132,1037984.000000000000000,1011820.000000000000000,1169092.960000000195578,1106863.600000000093132,1186709.050000000279397,1145775.250000000000000,11214496.500000001862645
20110131,1125112.679999999934807,1207034.880000000121072,1150943.800000000046566,1138912.799999999813735,1043681.600000000093132,994956.800000000046566,1172520.520000000018626,1106552.949999999720603,1189061.290000000037253,1170288.700000000186265,11299066.019999999552965
20110201,1144146.520000000018626,1219476.880000000121072,1166583.760000000009313,1149879.600000000093132,1042138.500000000116415,991647.200000000069849,1201654.780000000027940,1126745.200000000186265,1241692.660000000149012,1217139.850000000093132,11501104.950000001117587
20110202,1141825.320000000065193,1232914.239999999990687,1169736.000000000000000,1148051.799999999813735,1041663.700000000069849,989598.400000000023283,1198227.220000000204891,1123328.049999999813735,1234047.879999999888241,1209887.350000000093132,11489279.959999999031425
20110203,1138807.760000000009313,1230923.520000000018626,1179798.919999999925494,1149668.699999999720603,1044037.700000000069849,991332.000000000000000,1229360.890000000130385,1130162.350000000093132,1244044.900000000372529,1210322.500000000000000,11548459.240000000223517
20110204,1149021.040000000037253,1239135.239999999990687,1177374.119999999878928,1152972.799999999813735,1048073.500000000116415,1002521.599999999976717,1213651.240000000223517,1127987.800000000279397,1245809.080000000074506,1208001.699999999953434,11564548.119999999180436
20110207,1166894.280000000027940,1250084.199999999953434,1184042.319999999832362,1158737.399999999906868,1054008.500000000000000,1017336.000000000000000,1194228.400000000139698,1118978.950000000186265,1244044.900000000372529,1217429.950000000186265,11605784.900000002235174
20110208,1177803.920000000158325,1251826.079999999841675,1185012.239999999990687,1167384.299999999813735,1062080.100000000093132,1018754.400000000023283,1198798.479999999981374,1128919.750000000000000,1257864.310000000055879,1203650.200000000186265,11652093.780000001192093
20110209,1187785.080000000074506,1241623.640000000130385,1166826.239999999990687,1157542.299999999813735,1077629.800000000279397,1014814.400000000023283,1201654.780000000027940,1139481.850000000093132,1254335.950000000186265,1197413.050000000046566,11639107.090000003576279
20110210,1175714.840000000083819,1251701.659999999916181,1172403.280000000027940,1153605.500000000000000,1073831.399999999906868,1017808.799999999930151,1211937.460000000195578,1131404.950000000186265,1251983.709999999962747,1206841.300000000046566,11647232.900000002235174
20110211,1183374.800000000046566,1288281.140000000130385,1169372.280000000027940,1151918.299999999813735,1089737.200000000186265,1020172.800000000046566,1210509.310000000288710,1130473.000000000000000,1251983.709999999962747,1201329.399999999906868,11697151.940000003203750
20110214,1191034.760000000009313,1284797.380000000121072,1175434.280000000027940,1147489.399999999906868,1090924.200000000186265,1017178.400000000139698,1212794.350000000093132,1115251.149999999906868,1239928.479999999981374,1231644.850000000093132,11706477.250000001862645
20110215,1193355.959999999962747,1281562.459999999962747,1168038.640000000130385,1144818.000000000000000,1092111.200000000186265,1007407.200000000069849,1200512.260000000242144,1132647.550000000279397,1244926.990000000223517,1203505.150000000139698,11668885.410000002011657
20110216,1204265.600000000093132,1288405.559999999823049,1171918.319999999832362,1148754.799999999813735,1096028.300000000279397,1004885.599999999976717,1213936.870000000111759,1123638.700000000186265,1240516.540000000037253,1213948.750000000000000,11706299.039999999105930
20110217,1188249.320000000065193,1286041.579999999841675,1178101.560000000055879,1154660.000000000000000,1100776.300000000279397,1008668.000000000000000,1216507.540000000270084,1129851.699999999720603,1252865.800000000279397,1216704.699999999953434,11732426.500000000000000
20110218,1162484.000000000000000,1317146.579999999841675,1196893.760000000009313,1158878.000000000000000,1103506.399999999906868,1013396.000000000000000,1223648.290000000270084,1137617.949999999720603,1256688.189999999944121,1225697.800000000046566,11795956.970000000670552
