訓練日期,20160114 - 20160418
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11372650.810000000521541
真實報酬,1372650.810000000521541

夏普值報酬,0.128565081000000
夏普值風險,0.037727462420045
夏普值,3.407732000859168

預期報酬,21165.305586505099200
風險,64377.862643712302088
趨勢值,0.328766826317933
找到最佳解世代,1956
找到最佳解實驗#,1
找到最佳解次數,42

stock[index](rank)
投資組合檔數,9
DD[7](7),KO[14](2),MCD[15](13),MMM[16](1),MRK[17](18),PFE[20](25),PG[21](11),UNH[23](3),XOM[29](8),
Stock#,DD[7](7),KO[14](2),MCD[15](13),MMM[16](1),MRK[17](18),PFE[20](25),PG[21](11),UNH[23](3),XOM[29](8),
張數,17883,26549,9651,8009,21932,36585,14648,10172,14687,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,40.209999999962747,35.349999999860302,87.879999999888241,102.520000000018626,35.880000000121072,24.550000000046566,60.200000000186265,23.439999999944121,39.449999999953434,
20160114,1126669.209999999962747,1111907.469999999972060,1125587.500000000000000,1130813.140000000130385,1136113.479999999981374,1138183.900000000139698,1115505.400000000372529,1126674.159999999916181,1162074.890000000130385,10173530.150000002235174
20160115,1094122.149999999906868,1101818.849999999860302,1111690.060000000055879,1110870.729999999981374,1121638.360000000102445,1127208.399999999906868,1098367.240000000223517,1111517.879999999888241,1139456.909999999916181,10016691.580000001937151
20160119,1071410.739999999990687,1112969.429999999934807,1134080.379999999888241,1108468.029999999795109,1126024.760000000242144,1122818.200000000186265,1124001.240000000223517,1145187.199999999953434,1122126.250000000000000,10067087.230000000447035
20160120,1052275.929999999934807,1098632.969999999972060,1117480.659999999916181,1097015.160000000149012,1108698.479999999981374,1121720.650000000139698,1110818.040000000270084,1167667.320000000065193,1074834.110000000102445,9949144.319999998435378
20160121,1069622.439999999944121,1098898.459999999962747,1137361.719999999972060,1103422.359999999869615,1116813.320000000065193,1118793.850000000093132,1123854.760000000242144,1154545.439999999944121,1088346.149999999906868,10011659.500000000000000
20160122,1100738.859999999869615,1116686.289999999804422,1142766.280000000027940,1117518.200000000186265,1126244.080000000074506,1123549.900000000139698,1133229.480000000214204,1162988.199999999953434,1124623.039999999804422,10148345.330000000074506
20160125,1074272.020000000018626,1119341.189999999711290,1150487.079999999841675,1101900.649999999906868,1116813.320000000065193,1115867.050000000046566,1125759.000000000000000,1153324.799999999813735,1086583.709999999962747,10044349.820000000298023
20160126,1081425.219999999972060,1117217.269999999785796,1162357.810000000055879,1159645.540000000037253,1128437.280000000260770,1122086.500000000000000,1154469.080000000307336,1159224.559999999823049,1126532.350000000093132,10211396.609999999403954
20160127,1054600.719999999972060,1117482.760000000009313,1166604.250000000000000,1165812.470000000204891,1104750.719999999972060,1116598.750000000000000,1154322.600000000093132,1142644.199999999953434,1105823.679999999934807,10128641.149999998509884
20160128,1058177.320000000065193,1130226.279999999795109,1181177.259999999776483,1179988.399999999906868,1079090.280000000260770,1104891.550000000046566,1169263.560000000055879,1132980.799999999813735,1130791.579999999841675,10166588.029999999329448
20160129,1069622.439999999944121,1139518.429999999934807,1194688.659999999916181,1209461.520000000018626,1111330.320000000065193,1115501.199999999953434,1196655.320000000065193,1171430.959999999962747,1143422.399999999906868,10351632.250000001862645
20160201,1084465.330000000074506,1141642.349999999860302,1202698.989999999990687,1191281.089999999850988,1113084.880000000121072,1103794.000000000000000,1188305.960000000195578,1178856.520000000018626,1120510.679999999934807,10324640.799999998882413
20160202,1146876.999999999767169,1126774.909999999916181,1196329.329999999841675,1184393.350000000093132,1105628.000000000000000,1102696.449999999953434,1175122.760000000242144,1158410.799999999813735,1095542.780000000027940,10291776.380000000819564
20160203,1190332.689999999944121,1134208.629999999888241,1172394.849999999860302,1221635.200000000186265,1097732.479999999981374,1085501.500000000000000,1188013.000000000000000,1146916.439999999944121,1152675.209999999962747,10389411.000000000000000
20160204,1206963.879999999888241,1129164.319999999832362,1164577.539999999804422,1229003.479999999981374,1065711.760000000242144,1060989.550000000046566,1182153.800000000279397,1161665.840000000083819,1172502.659999999916181,10372733.829999998211861
20160205,1189080.879999999888241,1126774.909999999916181,1113813.280000000027940,1229243.750000000000000,1083038.040000000270084,1062087.100000000093132,1189477.800000000279397,1136439.280000000027940,1176174.409999999916181,10306130.450000001117587
20160208,1177456.929999999934807,1132350.199999999720603,1120086.429999999934807,1232687.620000000111759,1070975.440000000176951,1044892.150000000023283,1210277.960000000195578,1119146.879999999888241,1192036.369999999878928,10299910.979999998584390
20160209,1186756.089999999850988,1149607.049999999813735,1129351.389999999897555,1239415.180000000167638,1078213.000000000000000,1064648.050000000046566,1210570.920000000158325,1130742.959999999962747,1176174.409999999916181,10365480.049999998882413
20160210,1175668.629999999888241,1129695.299999999813735,1134466.419999999925494,1221074.569999999832362,1086327.840000000083819,1078916.199999999953434,1195629.960000000195578,1146814.719999999972060,1165452.899999999906868,10334047.540000000968575
20160211,1140975.609999999869615,1125978.439999999711290,1126649.109999999869615,1206818.549999999813735,1071414.080000000074506,1065745.600000000093132,1170435.400000000372529,1125250.080000000074506,1169124.649999999906868,10202392.519999999552965
20160212,1171734.369999999878928,1144562.739999999757856,1138230.310000000055879,1233168.160000000149012,1075361.840000000083819,1074160.150000000139698,1186401.720000000204891,1137456.479999999981374,1190127.060000000055879,10351203.830000001937151
20160216,1192657.479999999981374,1151199.989999999757856,1150294.060000000055879,1245742.290000000037253,1091810.840000000083819,1090623.399999999906868,1193432.760000000242144,1171329.239999999990687,1192917.589999999850988,10480008.650000000372529
20160217,1222164.429999999934807,1154651.359999999869615,1145082.519999999785796,1254472.100000000093132,1109795.080000000074506,1084038.100000000093132,1207787.800000000279397,1203371.039999999804422,1204373.449999999953434,10585736.879999998956919
20160218,1211434.629999999888241,1157837.239999999757856,1130895.549999999813735,1255753.540000000037253,1103654.120000000111759,1081111.300000000046566,1200903.240000000223517,1194724.840000000083819,1210982.600000000093132,10547298.059999998658895
20160219,1199095.359999999869615,1162085.079999999841675,1124718.909999999916181,1253110.569999999832362,1099267.719999999972060,1078916.199999999953434,1198120.120000000344589,1197064.399999999906868,1211716.949999999953434,10524096.309999998658895
20160222,1219660.810000000055879,1166598.409999999916181,1135721.049999999813735,1263121.819999999832362,1113523.520000000251457,1099403.800000000046566,1203100.440000000176951,1233581.879999999888241,1210101.379999999888241,10644814.109999999403954
20160223,1196412.910000000149012,1159961.159999999916181,1128289.780000000027940,1250868.049999999813735,1108479.160000000149012,1096111.150000000139698,1198413.080000000307336,1232361.239999999990687,1193064.459999999962747,10563961.990000002086163
20160224,1201777.810000000055879,1165801.939999999711290,1129833.939999999944121,1259277.500000000000000,1108917.800000000279397,1098306.250000000000000,1194751.080000000307336,1222697.840000000083819,1197323.689999999944121,10578688.849999999627471
20160225,1225025.709999999962747,1172439.189999999711290,1142476.750000000000000,1273453.430000000167638,1118567.880000000121072,1119159.699999999953434,1206176.520000000251457,1232869.840000000083819,1204520.320000000065193,10694690.340000001713634
20160226,1241299.239999999990687,1145359.209999999962747,1129833.939999999944121,1267686.950000000186265,1110672.360000000102445,1105989.100000000093132,1188013.000000000000000,1234192.199999999953434,1200701.699999999953434,10623748.699999999254942
20160229,1238080.300000000046566,1145093.719999999972060,1131088.569999999832362,1256474.350000000093132,1101241.600000000093132,1085501.500000000000000,1176148.120000000344589,1211508.639999999897555,1177202.500000000000000,10522340.299999998882413
20160301,1275098.109999999869615,1159961.159999999916181,1147109.229999999748543,1278258.830000000074506,1135016.880000000121072,1099037.949999999953434,1189917.240000000223517,1237650.679999999934807,1193798.810000000055879,10715849.890000000596046
20160302,1263652.989999999990687,1162085.079999999841675,1143538.359999999869615,1276817.209999999962747,1146421.520000000251457,1096842.850000000093132,1209252.600000000093132,1233581.879999999888241,1214654.350000000093132,10746847.839999997988343
20160303,1263116.499999999767169,1167129.389999999897555,1126263.069999999832362,1276576.939999999944121,1142693.080000000074506,1093550.199999999953434,1213500.520000000251457,1239176.479999999981374,1210248.250000000000000,10732255.429999999701977
20160304,1280820.670000000158325,1171111.739999999757856,1130992.060000000055879,1282103.149999999906868,1142254.440000000176951,1086964.900000000139698,1223021.720000000204891,1238973.039999999804422,1208632.679999999934807,10764875.400000000372529
20160307,1267229.589999999850988,1168456.839999999850988,1130702.530000000027940,1286107.649999999906868,1154536.360000000102445,1089891.699999999953434,1217309.000000000000000,1238566.159999999916181,1240503.469999999972060,10793304.300000000745058
20160308,1243624.030000000027940,1176687.029999999795109,1142959.299999999813735,1283144.319999999832362,1150369.280000000260770,1074160.150000000139698,1216723.080000000307336,1237548.959999999962747,1213626.259999999776483,10738843.410000000149012
20160309,1249525.420000000158325,1189696.039999999804422,1154733.519999999785796,1282263.330000000074506,1148395.400000000139698,1088062.449999999953434,1215258.280000000027940,1231852.639999999897555,1210248.250000000000000,10770036.330000000074506
20160310,1251313.719999999972060,1200846.619999999878928,1158014.859999999869615,1280661.529999999795109,1163309.160000000149012,1082574.699999999953434,1205297.640000000130385,1241922.919999999925494,1207017.110000000102445,10790959.259999999776483
20160311,1289225.679999999934807,1200050.149999999906868,1173166.929999999934807,1296599.439999999944121,1166818.280000000260770,1115867.050000000046566,1197534.200000000186265,1272540.639999999897555,1207163.979999999981374,10918967.350000001490116
20160314,1280463.009999999776483,1202439.559999999823049,1186195.780000000027940,1296038.810000000055879,1164186.440000000176951,1101233.050000000046566,1189038.360000000102445,1273761.280000000027940,1210395.119999999878928,10903752.409999998286366
20160315,1278317.050000000046566,1201112.109999999869615,1191310.810000000055879,1300844.209999999962747,1149711.320000000065193,1080745.449999999953434,1191089.080000000307336,1269997.639999999897555,1216416.789999999804422,10879545.460000000894070
20160316,1290119.830000000074506,1196067.799999999813735,1192179.399999999906868,1304688.529999999795109,1139183.959999999962747,1062452.949999999953434,1191528.520000000251457,1270506.239999999990687,1217151.140000000130385,10863879.370000001043081
20160317,1309075.810000000055879,1215183.079999999841675,1188705.039999999804422,1311576.270000000018626,1130191.840000000083819,1073428.449999999953434,1212182.200000000186265,1266742.599999999860302,1235216.149999999906868,10942302.439999999478459
20160318,1315692.519999999785796,1210669.750000000000000,1197583.959999999962747,1324230.490000000223517,1145982.880000000121072,1077452.800000000046566,1218041.400000000372529,1289019.280000000027940,1236684.850000000093132,11015358.929999999701977
20160321,1312652.410000000149012,1212528.179999999934807,1194978.189999999944121,1320306.080000000074506,1158045.479999999981374,1100135.500000000000000,1220531.560000000055879,1289222.719999999972060,1228166.390000000130385,11036567.510000001639128
20160322,1305141.550000000046566,1208014.849999999860302,1195074.699999999720603,1320866.709999999962747,1163089.840000000083819,1111476.850000000093132,1212035.720000000204891,1302242.880000000121072,1235509.890000000130385,11053453.990000002086163
20160323,1303532.080000000074506,1206952.889999999897555,1198645.569999999832362,1315740.950000000186265,1164186.440000000176951,1104525.700000000186265,1213207.560000000055879,1320247.319999999832362,1230075.699999999953434,11057115.210000000894070
20160324,1306929.849999999860302,1210138.769999999785796,1189959.669999999925494,1317262.660000000149012,1163967.120000000111759,1100501.350000000093132,1214232.920000000158325,1308040.919999999925494,1233453.709999999962747,11044487.969999998807907
20160328,1313188.900000000139698,1215979.549999999813735,1188801.549999999813735,1331839.040000000037253,1158703.440000000176951,1089525.850000000093132,1210277.960000000195578,1311397.679999999701977,1236978.589999999850988,11056693.560000000521541
20160329,1301922.609999999869615,1234032.869999999878928,1196522.349999999860302,1316702.029999999795109,1169450.120000000111759,1099403.800000000046566,1212914.600000000093132,1320654.200000000186265,1241531.560000000055879,11093135.139999998733401
