訓練日期,20140127 - 20140429
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11070233.419999999925494
真實報酬,1070233.419999999925494

夏普值報酬,0.098323342000000
夏普值風險,0.029092381819651
夏普值,3.379693784081529

預期報酬,16338.779842203590306
風險,67950.866396196710411
趨勢值,0.240449911954590
找到最佳解世代,3884
找到最佳解實驗#,2
找到最佳解次數,23

stock[index](rank)
投資組合檔數,6
CAT[3](1),DD[7](8),INTC[11](15),JNJ[12](3),MCD[15](5),PG[21](23),
Stock#,CAT[3](1),DD[7](8),INTC[11](15),JNJ[12](3),MCD[15](5),PG[21](23),
張數,19341,26959,67177,18393,17649,21049,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,52.030000000027940,60.619999999878928,4.630000000121072,76.270000000018626,70.929999999934807,6.179999999934807,
20140127,1765691.920000000158325,1654804.040000000037253,1660620.070000000065193,1654342.689999999944121,1660312.359999999869615,1651721.209999999962747,10047496.289999999105930
20140128,1788514.300000000046566,1653186.500000000000000,1672711.929999999934807,1657285.569999999832362,1662253.750000000000000,1665192.569999999832362,10099148.619999999180436
20140129,1752733.450000000186265,1717348.919999999925494,1657932.989999999990687,1635213.970000000204891,1644075.280000000027940,1634250.540000000037253,10041559.149999998509884
20140130,1802633.229999999981374,1739724.889999999897555,1661963.610000000102445,1646249.770000000018626,1655547.129999999888241,1618042.810000000055879,10124165.439999999478459
20140131,1816365.339999999850988,1747273.409999999916181,1648528.209999999962747,1627304.979999999981374,1662077.260000000009313,1612780.560000000055879,10114333.759999999776483
20140203,1787547.250000000000000,1715731.379999999888241,1608893.780000000027940,1596220.810000000055879,1641780.909999999916181,1593415.479999999981374,9943593.610000001266599
20140204,1789094.530000000027940,1726245.389999999897555,1600160.770000000251457,1593277.930000000167638,1643016.340000000083819,1601624.590000000083819,9953423.550000000745058
20140205,1778650.389999999897555,1721931.949999999720603,1580007.670000000158325,1605417.310000000055879,1651664.349999999860302,1609202.229999999981374,9946877.900000000372529
20140206,1814818.060000000055879,1750238.899999999906868,1611580.860000000102445,1632455.020000000018626,1675666.989999999990687,1618674.280000000027940,10103438.109999999403954
20140207,1834932.700000000186265,1750778.079999999841675,1626359.800000000279397,1656181.990000000223517,1692963.010000000009313,1627304.369999999878928,10188523.949999999254942
20140210,1827776.530000000027940,1759944.139999999897555,1631733.959999999962747,1675126.779999999795109,1674255.069999999832362,1642459.649999999906868,10211300.130000000819564
20140211,1836673.389999999897555,1798225.919999999925494,1643825.820000000065193,1710073.479999999981374,1682726.590000000083819,1659509.340000000083819,10331038.539999999105930
20140212,1860076.000000000000000,1780432.979999999981374,1649199.980000000214204,1699957.330000000074506,1674784.540000000037253,1631093.189999999711290,10295548.019999999552965
20140213,1858915.540000000037253,1777737.079999999841675,1659276.530000000027940,1702532.350000000093132,1684844.469999999739230,1637618.379999999888241,10320928.349999997764826
20140214,1867425.580000000074506,1793373.299999999813735,1663307.150000000139698,1706210.950000000186265,1690492.149999999906868,1671296.780000000027940,10392109.910000000149012
20140218,1867618.989999999990687,1796069.199999999953434,1663307.150000000139698,1695359.080000000074506,1694727.909999999916181,1641196.709999999962747,10358283.039999999105930
20140219,1860849.639999999897555,1782859.289999999804422,1645841.130000000121072,1685610.790000000037253,1686432.879999999888241,1644775.040000000037253,10306372.769999999552965
20140220,1874581.750000000000000,1809818.289999999804422,1661963.610000000102445,1699221.609999999869615,1689962.679999999934807,1640144.260000000009313,10375696.199999999254942
20140221,1885799.530000000027940,1803078.539999999804422,1640466.970000000204891,1683403.629999999888241,1702316.979999999981374,1641196.709999999962747,10356266.359999999403954
20140224,1882318.149999999906868,1802539.359999999869615,1654574.140000000130385,1675862.500000000000000,1703199.429999999934807,1638881.319999999832362,10357378.900000000372529
20140225,1864717.839999999850988,1813053.369999999878928,1653902.370000000111759,1675862.500000000000000,1705317.310000000055879,1644354.060000000055879,10357211.450000001117587
20140226,1879997.229999999981374,1836238.109999999869615,1665994.230000000214204,1675862.500000000000000,1692433.540000000037253,1638881.319999999832362,10389410.929999999701977
20140227,1870326.729999999981374,1862388.339999999850988,1663307.150000000139698,1680460.750000000000000,1678137.849999999860302,1645827.489999999990687,10400452.310000000521541
20140228,1875548.800000000046566,1870206.449999999953434,1663307.150000000139698,1694439.430000000167638,1679373.280000000027940,1655720.519999999785796,10438599.629999998956919
