訓練日期,20171016 - 20180118
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11689479.000000000000000
真實報酬,1689479.000000000000000

夏普值報酬,0.160247900000000
夏普值風險,0.043687639067012
夏普值,3.668037536983789

預期報酬,25268.019355468961294
風險,48134.144571771772462
趨勢值,0.524950003376343
找到最佳解世代,2737
找到最佳解實驗#,2
找到最佳解次數,22

stock[index](rank)
投資組合檔數,9
CAT[3](10),DIS[6](3),HD[9](6),MCD[15](8),MSFT[18](7),NKE[19](2),TRV[22](18),WBA[27](13),WMT[28](4),
Stock#,CAT[3](10),DIS[6](3),HD[9](6),MCD[15](8),MSFT[18](7),NKE[19](2),TRV[22](18),WBA[27](13),WMT[28](4),
張數,8500,11410,6755,6718,14338,21795,8771,16446,12827,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,76.000000000000000,5.199999999953434,116.149999999906868,155.340000000083819,59.380000000121072,1.900000000139698,88.429999999934807,19.239999999990687,36.260000000009313,
20171016,1117571.000000000000000,1119668.500000000000000,1109422.250000000000000,1108692.520000000018626,1113405.080000000307336,1119611.050000000046566,1129968.649999999906868,1106999.500000000000000,1099823.239999999990687,10025162.789999999105930
20171017,1109666.000000000000000,1122292.800000000046566,1103545.399999999906868,1111312.540000000037253,1112544.800000000279397,1133341.900000000139698,1128477.580000000074506,1108479.640000000130385,1102901.719999999972060,10032563.380000002682209
20171018,1116041.000000000000000,1121037.699999999953434,1104220.899999999906868,1113798.200000000186265,1112831.560000000055879,1139880.400000000139698,1140493.850000000093132,1114071.279999999795109,1105980.199999999953434,10068356.089999999850988
20171019,1118251.000000000000000,1129709.300000000046566,1102802.349999999860302,1118702.340000000083819,1117132.959999999962747,1148380.450000000186265,1168122.499999999767169,1105190.439999999944121,1108289.060000000055879,10116581.400000000372529
20171020,1116636.000000000000000,1134159.199999999953434,1104085.800000000046566,1117358.740000000223517,1130037.160000000149012,1156444.600000000093132,1169438.149999999906868,1119334.000000000000000,1121629.139999999897555,10169123.790000000968575
20171023,1119356.000000000000000,1126172.199999999953434,1112934.849999999860302,1097473.460000000195578,1130323.920000000158325,1169521.600000000093132,1179349.379999999888241,1110288.700000000186265,1137149.810000000055879,10182570.919999999925494
20171024,1175116.000000000000000,1121494.100000000093132,1121648.799999999813735,1101101.180000000167638,1130754.060000000055879,1164290.800000000279397,1168297.919999999925494,1106670.580000000074506,1128555.719999999972060,10217930.160000002011657
20171025,1163216.000000000000000,1115903.199999999953434,1121918.999999999767169,1099085.780000000260770,1127456.320000000065193,1197419.200000000186265,1155930.810000000055879,1140713.800000000046566,1134969.219999999972060,10256614.330000001937151
20171026,1164066.000000000000000,1124574.800000000046566,1132591.899999999906868,1101974.520000000018626,1129320.260000000242144,1238175.850000000093132,1157334.169999999925494,1103710.300000000046566,1136765.000000000000000,10288513.800000000745058
20171027,1171461.000000000000000,1121722.300000000046566,1130497.849999999860302,1111245.360000000102445,1201727.160000000149012,1219650.100000000093132,1149615.689999999944121,1060457.320000000065193,1130992.850000000093132,10297370.629999998956919
20171030,1160241.000000000000000,1118641.600000000093132,1116785.199999999953434,1116888.479999999981374,1202874.200000000186265,1204611.550000000279397,1163298.449999999953434,1089731.200000000186265,1115343.910000000149012,10288416.589999999850988
20171031,1154376.000000000000000,1116017.300000000046566,1119960.049999999813735,1121456.719999999972060,1192694.220000000204891,1198508.950000000186265,1161807.379999999888241,1089895.659999999916181,1119961.630000000121072,10274678.910000000149012
20171101,1158541.000000000000000,1129937.500000000000000,1117258.049999999813735,1117829.000000000000000,1192694.220000000204891,1200252.550000000046566,1170753.799999999813735,1102065.700000000186265,1128042.639999999897555,10317375.460000000894070
20171102,1160071.000000000000000,1122178.699999999953434,1099222.199999999953434,1129451.140000000130385,1205168.280000000027940,1201342.300000000046566,1181454.419999999925494,1098283.120000000111759,1139073.859999999869615,10336246.019999999552965
20171103,1161431.000000000000000,1125487.599999999860302,1110570.599999999860302,1133146.040000000037253,1206458.700000000186265,1214201.350000000093132,1169438.149999999906868,1099763.260000000009313,1150361.620000000111759,10370859.320000000298023
20171106,1170611.000000000000000,1148307.599999999860302,1109422.250000000000000,1142685.600000000093132,1211190.239999999990687,1221393.700000000186265,1170490.669999999925494,1084468.479999999981374,1137791.160000000149012,10396361.699999999254942
20171107,1179961.000000000000000,1159375.300000000046566,1105639.449999999953434,1147388.200000000186265,1208322.640000000130385,1201996.150000000139698,1172946.549999999813735,1117031.560000000055879,1140997.910000000149012,10433659.759999999776483
