訓練日期,20140310 - 20140610
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10764974.109999999403954
真實報酬,764974.109999999403954

夏普值報酬,0.067797411000000
夏普值風險,0.022535600910061
夏普值,3.008458095729471

預期報酬,12253.840536166115271
風險,41843.525468387022556
趨勢值,0.292849142107396
找到最佳解世代,2207
找到最佳解實驗#,4
找到最佳解次數,12

stock[index](rank)
投資組合檔數,6
CSCO[4](2),KO[14](9),MCD[15](4),PG[21](13),TRV[22](3),UNH[23](19),
Stock#,CSCO[4](2),KO[14](9),MCD[15](4),PG[21](13),TRV[22](3),UNH[23](19),
張數,76698,43233,17452,21263,19857,21533,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,18.459999999962747,33.850000000093132,0.000000000000000,72.060000000055879,67.989999999757856,11.799999999813735,
20140310,1663598.080000000074506,1670989.300000000046566,1661430.400000000139698,1669855.450000000186265,1663687.449999999720603,1677001.839999999618158,10006566.519999999552965
20140311,1657462.239999999990687,1677474.250000000000000,1723908.560000000055879,1678785.910000000149012,1659716.049999999813735,1674848.539999999804422,10072199.550000000745058
20140312,1673568.820000000065193,1663207.360000000102445,1722686.919999999925494,1684952.179999999934807,1656737.500000000000000,1670972.599999999627471,10072129.379999998956919
20140313,1650559.419999999925494,1641590.860000000102445,1699301.239999999990687,1683889.030000000027940,1640057.619999999878928,1658268.129999999888241,9973670.300000000745058
20140314,1637520.760000000009313,1650237.460000000195578,1702966.159999999916181,1679423.800000000046566,1641447.609999999636784,1630059.899999999906868,9941659.689999999478459
20140317,1649792.440000000176951,1654560.760000000242144,1703315.199999999953434,1697709.980000000214204,1658921.769999999785796,1652884.879999999888241,10017189.030000001192093
20140318,1658996.199999999953434,1660181.050000000046566,1698254.120000000111759,1696221.570000000065193,1667063.139999999897555,1679585.799999999813735,10060305.879999998956919
20140319,1658996.199999999953434,1648940.470000000204891,1677137.199999999953434,1675171.200000000186265,1652170.389999999897555,1721790.479999999748543,10034209.939999999478459
20140320,1674335.799999999813735,1662342.700000000186265,1685863.199999999953434,1665390.219999999972060,1652766.099999999860302,1755597.289999999804422,10096299.309999998658895
20140321,1659763.179999999934807,1661910.369999999878928,1666142.439999999944121,1656034.500000000000000,1663687.449999999720603,1751506.019999999785796,10059047.959999999031425
20140324,1654394.320000000065193,1660181.050000000046566,1678533.360000000102445,1686227.959999999962747,1665276.009999999776483,1750214.039999999804422,10094830.740000000223517
20140325,1713451.780000000027940,1669692.310000000055879,1673821.319999999832362,1697072.090000000083819,1668651.699999999720603,1746338.099999999627471,10169031.299999998882413
20140326,1711917.820000000065193,1669259.979999999981374,1672599.680000000167638,1690480.560000000055879,1656737.500000000000000,1755812.619999999878928,10156812.160000000149012
20140327,1688908.419999999925494,1678338.910000000149012,1678184.319999999832362,1693670.010000000242144,1657928.919999999692664,1744615.459999999729916,10141650.039999999105930
20140328,1712684.799999999813735,1683959.200000000186265,1697032.479999999981374,1696008.940000000176951,1667857.419999999692664,1757535.260000000009313,10215082.099999999627471
20140331,1719587.620000000111759,1671421.629999999888241,1710819.560000000055879,1713869.859999999869615,1689898.689999999711290,1765502.469999999739230,10271103.829999998211861
20140401,1771742.260000000009313,1660613.379999999888241,1708550.800000000046566,1708341.480000000214204,1675800.219999999739230,1762272.519999999785796,10287324.660000000149012
20140402,1763305.479999999748543,1657154.739999999990687,1703140.680000000167638,1703876.250000000000000,1680963.039999999804422,1757319.929999999701977,10265764.119999999180436
20140403,1770975.280000000027940,1645914.160000000149012,1704362.319999999832362,1703238.359999999869615,1687515.849999999860302,1771101.049999999813735,10283111.019999999552965
20140404,1741830.040000000037253,1652399.110000000102445,1708027.239999999990687,1696221.570000000065193,1691884.389999999897555,1755597.289999999804422,10245963.640000000596046
20140407,1752567.760000000009313,1669692.310000000055879,1693018.520000000018626,1711530.929999999934807,1687912.989999999757856,1745907.439999999711290,10260633.949999999254942
20140408,1759470.580000000074506,1681797.550000000046566,1711692.159999999916181,1729817.109999999869615,1682551.599999999860302,1736863.579999999841675,10302196.580000000074506
20140409,1773276.219999999972060,1685688.520000000251457,1716404.199999999953434,1732793.929999999934807,1704195.729999999515712,1752582.669999999925494,10364945.269999999552965
20140410,1737228.159999999916181,1681365.220000000204891,1735252.360000000102445,1724288.730000000214204,1687714.419999999692664,1722436.469999999739230,10288289.359999999403954
20140411,1722655.540000000037253,1670124.640000000130385,1732809.080000000074506,1717271.940000000176951,1693870.089999999618158,1700042.149999999906868,10236777.439999999478459
20140414,1752567.760000000009313,1674447.939999999944121,1747119.719999999972060,1718335.090000000083819,1697841.489999999757856,1704994.739999999990687,10295310.740000000223517
20140415,1755635.679999999934807,1737135.790000000037253,1759685.159999999916181,1718972.980000000214204,1705585.719999999739230,1712100.629999999888241,10389119.960000000894070
20140416,1766373.400000000139698,1754861.320000000298023,1759685.159999999916181,1736196.010000000242144,1723258.449999999720603,1683677.069999999832362,10424055.410000000149012
20140417,1780179.040000000037253,1760481.610000000102445,1749563.000000000000000,1738534.940000000176951,1721272.750000000000000,1631782.539999999804422,10381817.879999998956919
20140421,1794751.659999999916181,1761778.600000000093132,1739440.840000000083819,1734282.340000000083819,1715712.789999999804422,1613910.149999999906868,10359880.379999998956919
20140422,1803955.419999999925494,1760049.280000000027940,1733332.639999999897555,1727690.810000000055879,1725442.719999999739230,1631351.879999999888241,10381826.750000000000000
20140423,1802421.459999999962747,1760913.939999999944121,1730016.760000000009313,1708766.739999999990687,1750065.399999999674037,1622092.689999999711290,10374280.990000000223517
20140424,1789382.799999999813735,1759616.950000000186265,1742407.680000000167638,1725564.510000000242144,1759199.619999999878928,1649224.269999999785796,10425399.829999998211861
20140425,1764072.459999999962747,1773019.179999999934807,1757939.959999999962747,1731092.889999999897555,1753639.659999999916181,1629198.579999999841675,10408966.729999998584390
20140428,1765606.419999999925494,1773883.840000000083819,1750610.120000000111759,1763625.280000000027940,1780049.469999999739230,1630921.219999999739230,10464700.349999997764826
20140429,1776344.139999999897555,1753996.660000000149012,1771378.000000000000000,1752993.780000000027940,1805069.289999999804422,1619293.399999999906868,10479079.269999999552965
20140430,1772509.239999999990687,1763507.920000000158325,1769283.760000000009313,1755332.709999999962747,1798715.049999999813735,1615848.119999999878928,10475200.799999998882413
20140501,1764839.440000000176951,1763075.590000000083819,1761953.919999999925494,1750867.480000000214204,1803679.299999999813735,1613910.149999999906868,10458329.880000000819564
20140502,1759470.580000000074506,1770425.200000000186265,1770156.360000000102445,1741937.020000000018626,1807054.989999999757856,1615632.789999999804422,10464680.939999999478459
20140505,1761004.540000000037253,1762210.929999999934807,1765095.280000000027940,1737259.160000000149012,1800105.039999999804422,1619939.389999999897555,10445618.339999999850988
20140506,1742597.019999999785796,1750538.020000000251457,1761779.400000000139698,1725139.250000000000000,1784815.149999999674037,1620585.379999999888241,10385458.219999998807907
20140507,1754101.719999999972060,1768695.879999999888241,1779405.919999999925494,1745551.730000000214204,1808444.979999999515712,1677647.829999999841675,10533852.060000000521541
20140508,1765606.419999999925494,1760913.939999999944121,1779231.400000000139698,1747040.139999999897555,1811820.669999999692664,1655684.169999999925494,10520300.739999998360872
20140509,1765606.419999999925494,1766966.560000000055879,1796334.360000000102445,1751930.630000000121072,1813012.089999999618158,1656976.149999999906868,10550830.209999999031425
20140512,1778645.080000000074506,1764804.910000000149012,1795112.719999999972060,1737897.050000000046566,1827706.269999999785796,1673987.219999999739230,10578157.250000000000000
20140513,1753334.739999999990687,1777342.479999999981374,1806805.560000000055879,1735345.489999999990687,1844981.859999999636784,1680447.119999999878928,10598261.249999998137355
20140514,1749499.839999999850988,1767831.220000000204891,1798079.560000000055879,1725989.770000000018626,1839819.039999999804422,1661713.409999999916181,10542936.839999999850988
20140515,1854576.099999999860302,1751835.010000000242144,1788830.000000000000000,1712381.450000000186265,1834259.079999999841675,1646855.639999999897555,10588741.280000001192093
20140516,1869148.719999999972060,1767831.220000000204891,1799999.280000000027940,1708128.850000000093132,1838429.049999999813735,1650516.250000000000000,10634057.370000001043081
20140519,1867614.760000000009313,1760049.280000000027940,1781674.680000000167638,1699623.650000000139698,1842201.879999999655411,1662359.399999999906868,10613527.650000000372529
20140520,1849974.219999999972060,1754428.989999999990687,1771901.560000000055879,1706002.550000000046566,1840216.179999999701977,1650731.579999999841675,10573259.080000000074506
20140521,1877585.500000000000000,1766966.560000000055879,1789877.120000000111759,1711530.929999999934807,1843989.009999999776483,1673556.559999999823049,10663509.679999999701977
20140522,1869915.699999999953434,1754428.989999999990687,1787957.400000000139698,1714933.010000000242144,1846967.559999999823049,1686907.019999999785796,10661113.679999999701977
