訓練日期,20171017 - 20180119
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11784145.360000001266599
真實報酬,1784145.360000001266599

夏普值報酬,0.169714536000000
夏普值風險,0.045997297152078
夏普值,3.689663230404270

預期報酬,26052.257169807300670
風險,50405.713666097799432
趨勢值,0.516851270917124
找到最佳解世代,2175
找到最佳解實驗#,1
找到最佳解次數,31

stock[index](rank)
投資組合檔數,9
AXP[1](7),CAT[3](11),DIS[6](4),HD[9](5),MCD[15](6),MSFT[18](8),NKE[19](2),WBA[27](10),WMT[28](3),
Stock#,AXP[1](7),CAT[3](11),DIS[6](4),HD[9](5),MCD[15](6),MSFT[18](8),NKE[19](2),WBA[27](10),WMT[28](3),
張數,12082,8451,11322,6765,6733,14309,21629,16507,12959,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,50.280000000027940,58.030000000027940,83.140000000130385,162.699999999953434,98.670000000158325,17.149999999906868,29.270000000018626,24.830000000074506,6.340000000083819,
20171017,1107848.860000000102445,1103251.570000000065193,1113715.060000000055879,1105225.449999999953434,1113736.870000000111759,1110252.459999999962747,1124737.270000000018626,1112596.630000000121072,1114221.160000000149012,10005586.330000001937151
20171018,1112560.840000000083819,1109589.820000000065193,1112469.640000000130385,1105901.949999999953434,1116228.080000000307336,1110538.639999999897555,1131225.969999999972060,1118209.010000000009313,1117331.320000000065193,10034056.269999999552965
20171019,1110386.080000000074506,1111787.080000000074506,1121074.360000000102445,1104481.300000000046566,1121143.170000000158325,1114831.339999999850988,1139661.280000000027940,1109295.230000000214204,1119663.940000000176951,10052324.779999999329448
20171020,1112681.660000000149012,1110181.390000000130385,1125489.940000000176951,1105766.649999999906868,1119796.570000000298023,1127709.439999999944121,1147664.010000000009313,1123491.250000000000000,1133141.300000000046566,10105923.210000000894070
20171023,1116185.439999999944121,1112885.710000000195578,1117564.540000000270084,1114628.800000000046566,1099866.890000000130385,1127995.619999999878928,1160641.409999999916181,1114412.400000000139698,1148821.690000000176951,10113003.500000000000000
20171024,1134066.800000000046566,1168324.270000000018626,1112922.520000000251457,1123355.649999999906868,1103502.710000000195578,1128424.889999999897555,1155450.449999999953434,1110780.860000000102445,1140139.160000000149012,10176968.310000000521541
20171025,1130079.739999999990687,1156492.870000000111759,1107374.739999999990687,1123626.250000000000000,1101482.810000000288710,1125133.819999999832362,1188326.530000000027940,1144950.350000000093132,1146618.660000000149012,10224086.770000001415610
20171026,1156176.860000000102445,1157337.969999999972060,1115979.460000000195578,1134314.949999999953434,1104378.000000000000000,1126993.989999999990687,1228772.760000000009313,1107809.600000000093132,1148432.920000000158325,10280197.509999999776483
20171027,1157385.060000000055879,1164690.340000000083819,1113148.960000000195578,1132217.800000000046566,1113669.540000000037253,1199254.439999999944121,1210388.110000000102445,1064396.190000000176951,1142601.370000000111759,10297752.810000002384186
20171030,1148686.020000000018626,1153535.020000000018626,1110092.020000000251457,1118484.849999999860302,1119325.260000000009313,1200399.159999999916181,1195464.100000000093132,1093778.650000000139698,1126791.390000000130385,10266557.470000000670552
20171031,1154122.919999999925494,1147703.830000000074506,1107487.960000000195578,1121664.399999999906868,1123903.700000000186265,1190239.770000000018626,1189407.979999999981374,1093943.719999999972060,1131456.630000000121072,10259931.910000002011657
20171101,1157385.060000000055879,1151844.820000000065193,1121300.800000000046566,1118958.399999999906868,1120267.880000000121072,1190239.770000000018626,1191138.300000000046566,1106158.900000000139698,1139620.800000000046566,10296915.730000000447035
20171102,1159680.640000000130385,1153366.000000000000000,1113601.840000000083819,1100895.850000000093132,1131915.970000000204891,1202688.599999999860302,1192219.750000000000000,1102362.290000000037253,1150765.540000000037253,10307497.480000000447035
20171103,1165117.540000000037253,1154718.159999999916181,1116885.220000000204891,1112261.049999999813735,1135619.120000000111759,1203976.409999999916181,1204980.860000000102445,1103847.920000000158325,1162169.460000000195578,10359576.740000002086163
20171106,1163426.060000000055879,1163845.239999999990687,1139529.220000000204891,1111111.000000000000000,1145179.980000000214204,1208698.379999999888241,1212118.429999999934807,1088496.410000000149012,1149469.640000000130385,10381875.359999999403954
20171107,1152310.620000000111759,1173141.340000000083819,1150511.560000000055879,1107322.599999999860302,1149893.080000000307336,1205836.579999999841675,1192868.619999999878928,1121180.270000000018626,1152709.390000000130385,10405775.060000000521541
20171108,1149410.939999999944121,1160295.820000000065193,1145643.100000000093132,1109960.949999999953434,1145381.970000000204891,1209986.189999999944121,1206062.310000000055879,1137357.130000000121072,1169685.680000000167638,10433785.089999999850988
20171109,1132737.780000000027940,1143816.370000000111759,1162626.100000000093132,1104684.250000000000000,1124509.670000000158325,1203260.959999999962747,1214065.040000000037253,1147921.610000000102445,1170204.040000000037253,10403826.820000000298023
20171110,1129958.919999999925494,1153450.510000000009313,1186402.300000000046566,1110366.850000000093132,1115016.140000000130385,1200112.979999999981374,1213199.880000000121072,1171856.760000000009313,1178238.620000000111759,10458603.960000000894070
20171113,1134550.080000000074506,1153873.060000000055879,1185949.420000000158325,1118755.449999999953434,1127000.880000000121072,1200971.520000000018626,1209306.659999999916181,1161622.420000000158325,1179145.750000000000000,10471176.240000000223517
20171114,1132858.600000000093132,1162408.570000000065193,1168173.880000000121072,1137088.599999999860302,1131983.300000000279397,1202688.599999999860302,1210820.689999999944121,1165253.960000000195578,1180441.650000000139698,10491718.849999999627471
20171115,1126817.600000000093132,1133337.129999999888241,1174061.320000000065193,1119567.250000000000000,1126664.230000000214204,1187377.969999999972060,1224879.540000000037253,1158816.230000000214204,1164113.310000000055879,10415635.580000000074506
20171116,1130442.199999999953434,1152436.390000000130385,1173042.340000000083819,1133300.199999999953434,1131848.640000000130385,1190525.949999999953434,1237856.939999999944121,1176973.929999999934807,1290981.920000000158325,10617409.509999999776483
20171117,1132012.860000000102445,1150492.659999999916181,1171230.820000000065193,1134923.800000000046566,1122624.430000000167638,1179078.750000000000000,1280249.780000000027940,1176148.580000000074506,1263120.070000000065193,10609882.750000000000000
20171120,1135154.180000000167638,1157084.439999999944121,1163418.640000000130385,1153256.949999999953434,1124038.360000000102445,1180938.919999999925494,1281547.520000000018626,1168390.290000000037253,1263249.660000000149012,10627079.960000000894070
20171121,1140711.899999999906868,1162915.629999999888241,1166249.140000000130385,1169560.600000000093132,1133262.570000000298023,1197966.629999999888241,1284575.580000000074506,1174662.949999999953434,1250809.020000000018626,10680715.019999999552965
20171122,1133583.520000000018626,1166380.540000000037253,1163305.420000000158325,1164148.599999999860302,1138312.320000000298023,1189238.139999999897555,1277654.300000000046566,1177469.140000000130385,1249383.530000000027940,10659476.509999999776483
20171124,1129475.640000000130385,1161140.919999999925494,1162173.220000000204891,1165975.150000000139698,1138716.300000000279397,1191384.489999999990687,1283061.550000000046566,1160136.790000000037253,1252104.920000000158325,10644169.980000000447035
20171127,1129354.820000000065193,1159450.719999999972060,1163871.520000000251457,1178355.099999999860302,1137706.350000000325963,1200112.979999999981374,1289766.540000000037253,1145445.560000000055879,1252104.920000000158325,10656169.509999999776483
20171128,1151223.239999999990687,1174662.520000000018626,1170891.160000000149012,1194658.750000000000000,1153730.890000000130385,1214565.069999999832362,1288685.090000000083819,1192490.510000000009313,1254048.770000000018626,10794957.000000000000000
20171129,1167171.479999999981374,1166803.090000000083819,1191610.420000000158325,1199258.949999999953434,1147603.860000000102445,1192529.209999999962747,1305555.709999999962747,1187208.270000000018626,1264286.380000000121072,10822028.370000001043081
20171130,1180582.500000000000000,1192916.680000000167638,1186855.180000000167638,1216645.000000000000000,1157972.680000000167638,1204405.679999999934807,1306853.449999999953434,1201074.150000000139698,1260009.910000000149012,10907316.230000000447035
20171201,1182394.800000000046566,1196043.550000000046566,1191723.640000000130385,1220703.999999999767169,1164032.380000000121072,1205693.489999999990687,1295173.790000000037253,1179449.980000000214204,1261564.989999999990687,10896781.620000001043081
20171204,1191214.660000000149012,1195874.530000000027940,1247993.980000000214204,1251011.199999999953434,1149085.120000000111759,1160190.869999999878928,1299932.170000000158325,1181430.820000000065193,1257158.930000000167638,10933893.280000001192093
20171205,1192664.500000000000000,1184381.169999999925494,1214027.980000000214204,1237142.949999999953434,1164840.340000000316650,1167488.459999999962747,1306853.449999999953434,1158486.090000000083819,1267785.310000000055879,10893671.250000001862645
20171206,1186623.500000000000000,1186071.370000000111759,1194101.260000000009313,1223274.699999999953434,1168139.510000000009313,1184516.169999999925494,1291713.149999999906868,1172847.179999999934807,1260657.860000000102445,10867945.699999999254942
20171207,1191093.840000000083819,1207621.419999999925494,1191836.860000000102445,1231392.699999999953434,1164301.700000000186265,1180366.559999999823049,1310746.670000000158325,1149077.100000000093132,1254178.360000000102445,10880616.209999999031425
20171208,1190731.379999999888241,1215818.890000000130385,1180175.200000000186265,1240931.349999999860302,1165917.620000000111759,1204262.589999999850988,1325886.969999999972060,1181100.679999999934807,1251197.790000000037253,10956023.469999998807907
20171211,1196168.280000000027940,1215058.300000000046566,1209612.400000000139698,1233083.949999999953434,1166590.920000000158325,1219573.219999999972060,1339080.659999999916181,1186547.989999999990687,1256122.210000000195578,11021838.930000001564622
20171212,1200638.620000000111759,1212100.449999999953434,1216405.600000000093132,1230039.699999999953434,1159723.260000000009313,1224581.369999999878928,1344704.199999999953434,1188693.900000000139698,1253141.640000000130385,11030029.740000000223517
20171213,1181428.239999999990687,1255623.099999999860302,1218443.560000000055879,1238360.649999999906868,1168610.820000000298023,1221290.299999999813735,1390773.969999999972060,1183906.870000000111759,1266878.180000000167638,11125316.690000001341105
20171214,1173816.580000000074506,1236270.310000000055879,1251956.680000000167638,1232272.149999999906868,1165850.290000000037253,1211846.359999999869615,1395748.640000000130385,1161457.350000000093132,1258714.010000000009313,11087933.370000001043081
20171215,1190368.919999999925494,1239735.219999999972060,1259882.080000000074506,1235316.400000000139698,1172044.650000000139698,1242753.799999999813735,1401372.180000000167638,1187538.410000000149012,1258454.830000000074506,11187467.490000000223517
20171218,1204384.040000000037253,1265764.300000000046566,1257164.800000000046566,1249861.149999999906868,1172987.270000000018626,1236028.569999999832362,1401804.760000000009313,1197607.679999999934807,1268692.440000000176951,11254296.009999997913837
20171219,1197980.580000000074506,1275398.439999999944121,1265995.960000000195578,1258317.399999999906868,1167533.540000000037253,1228158.619999999878928,1389476.229999999981374,1191665.160000000149012,1280355.540000000037253,11254882.470000002533197
20171220,1190248.100000000093132,1289004.550000000046566,1241993.320000000065193,1267314.849999999860302,1159319.280000000027940,1223722.829999999841675,1375417.380000000121072,1200413.870000000111759,1279707.590000000083819,11227142.769999999552965
20171221,1190127.280000000027940,1306920.669999999925494,1240634.680000000167638,1272523.900000000139698,1157164.720000000204891,1223436.649999999906868,1400939.599999999860302,1209162.580000000074506,1270765.880000000121072,11271676.960000000894070
20171222,1193026.959999999962747,1316301.280000000027940,1230444.880000000121072,1272862.149999999906868,1154269.530000000027940,1223579.739999999990687,1368928.679999999934807,1200248.800000000046566,1272709.729999999981374,11232372.750000001862645
20171226,1190973.020000000018626,1322132.469999999972060,1224217.780000000260770,1287948.100000000093132,1153394.239999999990687,1222005.750000000000000,1376715.119999999878928,1209987.929999999934807,1285020.780000000027940,11272396.189999999478459
20171227,1197738.939999999944121,1331259.550000000046566,1218783.220000000204891,1286798.050000000046566,1162685.780000000027940,1226441.539999999804422,1361574.820000000065193,1202724.850000000093132,1286316.680000000167638,11274324.429999999701977
20171228,1204625.680000000167638,1338865.449999999953434,1220255.080000000074506,1284024.399999999906868,1165580.970000000204891,1226584.629999999888241,1361574.820000000065193,1204045.410000000149012,1288130.940000000176951,11293688.379999998956919
20171229,1199913.699999999953434,1331766.610000000102445,1217311.360000000102445,1282333.149999999906868,1158982.630000000121072,1224009.010000000009313,1352923.219999999972060,1198763.170000000158325,1279707.590000000083819,11245711.439999999478459
20180102,1195443.360000000102445,1327203.070000000065193,1265882.739999999990687,1272185.649999999906868,1166388.930000000167638,1229875.699999999953434,1373254.479999999981374,1237224.480000000214204,1277634.150000000139698,11345093.560000000521541
20180103,1202813.379999999888241,1329231.310000000055879,1271317.300000000046566,1278815.349999999860302,1161473.840000000316650,1235599.299999999813735,1373038.189999999944121,1246468.400000000139698,1288778.890000000130385,11387536.960000000894070
20180104,1218519.979999999981374,1347485.469999999972060,1270751.200000000186265,1288962.849999999860302,1169620.770000000018626,1246474.139999999897555,1372173.030000000027940,1181926.030000000027940,1289945.200000000186265,11385859.669999998062849
20180105,1221298.840000000083819,1368781.989999999990687,1263844.780000000260770,1302425.199999999953434,1171977.320000000298023,1261927.859999999869615,1383852.689999999944121,1203715.270000000018626,1297591.010000000009313,11475415.959999999031425
20180108,1210062.580000000074506,1403177.560000000055879,1245729.580000000074506,1299313.299999999813735,1171169.360000000102445,1263215.669999999925494,1396181.219999999972060,1219066.780000000027940,1316770.330000000074506,11524687.379999998956919
20180109,1214532.919999999925494,1406557.960000000195578,1244823.820000000065193,1306484.199999999953434,1168543.489999999990687,1262357.129999999888241,1386231.880000000121072,1211968.770000000018626,1300960.350000000093132,11502461.519999999552965
20180110,1222990.320000000065193,1401825.400000000139698,1239502.480000000214204,1297689.699999999953434,1168341.500000000000000,1256633.529999999795109,1389043.649999999906868,1222863.390000000130385,1291629.870000000111759,11490520.839999999850988
20180111,1217070.140000000130385,1429967.229999999981374,1256711.920000000158325,1317172.899999999906868,1167533.540000000037253,1260353.869999999878928,1390557.680000000167638,1244322.489999999990687,1296165.520000000018626,11579856.289999999105930
20180112,1219969.820000000065193,1439263.330000000074506,1273468.480000000214204,1328943.999999999767169,1168745.480000000214204,1282103.549999999813735,1398776.699999999953434,1255712.320000000065193,1307180.670000000158325,11674165.350000001490116
20180116,1212358.160000000149012,1430896.840000000083819,1253315.320000000065193,1328199.849999999860302,1169486.110000000102445,1264217.299999999813735,1371740.449999999953434,1255052.040000000037253,1304848.050000000046566,11590115.120000001043081
20180117,1217432.600000000093132,1424051.530000000027940,1267807.480000000214204,1351945.000000000000000,1178239.010000000009313,1289830.409999999916181,1380175.760000000009313,1250925.290000000037253,1330895.640000000130385,11691303.720000002533197
20180118,1206558.800000000046566,1426840.360000000102445,1250258.380000000121072,1341865.150000000139698,1175478.480000000214204,1289258.049999999813735,1386664.459999999962747,1254556.830000000074506,1351630.040000000037253,11683111.550000000745058
20180119,1184448.739999999990687,1440192.939999999944121,1252183.120000000111759,1362160.150000000139698,1185914.630000000121072,1287827.149999999906868,1453714.359999999869615,1262315.120000000111759,1355388.150000000139698,11784145.360000001266599
