訓練日期,20120703 - 20121003
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11070430.179999999701977
真實報酬,1070430.179999999701977

夏普值報酬,0.098343018000000
夏普值風險,0.030495443103489
夏普值,3.224843058232127

預期報酬,17448.888709870279854
風險,57990.192661990018678
趨勢值,0.300893787533616
找到最佳解世代,2536
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,9
AAPL[0](3),HD[9](13),NKE[19](8),PFE[20](5),PG[21](1),TRV[22](20),UNH[23](28),WBA[27](7),WMT[28](12),
Stock#,AAPL[0](3),HD[9](13),NKE[19](8),PFE[20](5),PG[21](1),TRV[22](20),UNH[23](28),WBA[27](7),WMT[28](12),
張數,13125,20960,50027,48309,18158,17382,19749,37210,16021,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,79.750000000000000,21.400000000139698,11.329999999841675,4.000000000000000,22.979999999981374,53.560000000055879,32.260000000009313,20.399999999906868,54.650000000139698,
20120703,1123973.500000000000000,1082605.400000000139698,1131622.069999999832362,1104830.830000000074506,1114197.859999999869615,1114761.219999999972060,1083857.380000000121072,1101808.500000000000000,1133540.400000000139698,9991198.160000000149012
20120705,1143661.000000000000000,1092247.000000000232831,1153133.679999999934807,1095169.030000000027940,1114016.280000000027940,1111806.280000000027940,1102223.949999999953434,1111483.099999999860302,1138827.330000000074506,10062568.650000000372529
20120706,1136048.500000000000000,1093085.400000000139698,1143128.280000000027940,1088888.859999999869615,1112745.219999999972060,1099638.880000000121072,1102421.439999999944121,1102180.599999999860302,1143313.210000000195578,10021451.390000000596046
20120709,1151142.250000000000000,1092456.600000000093132,1129120.719999999972060,1094202.849999999860302,1117647.879999999888241,1096336.300000000046566,1107753.670000000158325,1105157.399999999906868,1149721.610000000335276,10043540.280000001192093
20120710,1140511.000000000000000,1094552.600000000093132,1141627.469999999972060,1084057.959999999962747,1120916.319999999832362,1098769.780000000027940,1100051.560000000055879,1113343.599999999860302,1155328.960000000195578,10049160.250000000000000
20120711,1133423.500000000000000,1083024.600000000093132,1154134.219999999972060,1079227.060000000055879,1114924.179999999934807,1086950.020000000018626,1106766.219999999972060,1114087.800000000046566,1157732.110000000335276,10030270.710000000894070
20120712,1123054.750000000000000,1080509.400000000139698,1148631.250000000000000,1095169.030000000027940,1156687.580000000074506,1081909.239999999990687,1077735.189999999944121,1120041.399999999906868,1158533.160000000149012,10042272.000000001862645
20120713,1134342.250000000000000,1091827.800000000279397,1175145.559999999823049,1101932.290000000037253,1181927.199999999953434,1097379.220000000204891,1090177.060000000055879,1137902.199999999953434,1172471.430000000167638,10183106.009999999776483
20120716,1138017.250000000000000,1078413.400000000139698,1163639.349999999860302,1117391.169999999925494,1176842.959999999962747,1087297.659999999916181,1089387.099999999860302,1134925.399999999906868,1169267.230000000214204,10155182.519999999552965
20120717,1138148.500000000000000,1063112.600000000093132,1160137.459999999962747,1141062.580000000074506,1186648.279999999795109,1100507.979999999981374,1104001.359999999869615,1142367.399999999906868,1171189.750000000000000,10207176.910000000149012
20120718,1136836.000000000000000,1067095.000000000000000,1183650.149999999906868,1143478.030000000027940,1177024.539999999804422,1112501.560000000055879,1112888.410000000149012,1152414.099999999860302,1167184.500000000000000,10253073.289999999105930
20120719,1151929.750000000000000,1068143.000000000232831,1191654.469999999972060,1149758.199999999953434,1178840.340000000083819,1107113.140000000130385,1086029.770000000018626,1288230.599999999860302,1146036.780000000260770,10367737.050000000745058
20120720,1133161.000000000000000,1062693.400000000139698,1164139.619999999878928,1144927.300000000046566,1175390.320000000065193,1090078.780000000027940,1094324.349999999860302,1287486.399999999906868,1157571.900000000139698,10309774.070000000298023
20120723,1132242.250000000000000,1068143.000000000232831,1161138.000000000000000,1140096.400000000139698,1169216.600000000093132,1073218.239999999990687,1076550.250000000000000,1262183.599999999860302,1151163.500000000000000,10233952.839999999850988
20120724,1126861.000000000000000,1072544.600000000093132,1162638.809999999823049,1129468.419999999925494,1162498.139999999897555,1058443.540000000037253,1084252.359999999869615,1269253.500000000000000,1155809.590000000083819,10221770.959999999031425
20120725,1078167.250000000000000,1070448.600000000093132,1169642.589999999850988,1127052.969999999972060,1162498.139999999897555,1060007.919999999925494,1036459.779999999911524,1289346.899999999906868,1154848.330000000074506,10148473.480000000447035
20120726,1078036.000000000000000,1109015.000000000000000,1208163.379999999655411,1134782.409999999916181,1172303.459999999962747,1070958.580000000074506,1027177.750000000000000,1301254.099999999860302,1180321.720000000204891,10282013.400000000372529
20120727,1097198.500000000000000,1125783.000000000232831,1213666.349999999860302,1151207.469999999972060,1181927.199999999953434,1090252.600000000093132,1053443.920000000158325,1329161.599999999860302,1193939.570000000065193,10436581.209999999031425
