訓練日期,20140425 - 20140728
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11052515.599999999627471
真實報酬,1052515.599999999627471

夏普值報酬,0.096551560000000
夏普值風險,0.029039949438177
夏普值,3.324784025728039

預期報酬,16076.145637004203309
風險,35478.027506718943187
趨勢值,0.453129634502923
找到最佳解世代,2305
找到最佳解實驗#,1
找到最佳解次數,47

stock[index](rank)
投資組合檔數,10
AAPL[0](1),CSCO[4](3),CVX[5](16),DIS[6](2),INTC[11](11),MCD[15](24),TRV[22](9),UNH[23](4),VZ[26](5),XOM[29](14),
Stock#,AAPL[0](1),CSCO[4](3),CVX[5](16),DIS[6](2),INTC[11](11),MCD[15](24),TRV[22](9),UNH[23](4),VZ[26](5),XOM[29](14),
張數,12328,42863,8045,12564,37383,10016,11287,13056,21607,9999,
分配資金,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,1000000.000000000000000,
剩餘資金,75.920000000041910,6.210000000079162,6.500000000000000,31.239999999990687,4.750000000000000,2.559999999939464,84.669999999925494,40.959999999962747,28.039999999920838,0.009999999892898,
20140425,1007396.799999999930151,985855.210000000079162,997506.049999999930151,982912.960000000079162,981682.330000000074506,1008914.239999999990687,996839.639999999897555,987857.919999999925494,992653.619999999878928,1003999.599999999860302,9945618.369999999180436
20140428,1046353.280000000144355,986712.470000000088476,1011504.349999999976717,977259.160000000032596,984299.139999999897555,1004707.520000000018626,1011851.349999999976717,988902.399999999906868,1006914.239999999990687,1011598.839999999967404,10030102.750000000000000
20140429,1043271.280000000144355,992713.290000000037253,1013435.150000000023283,988064.199999999953434,989906.589999999967404,1016626.559999999939464,1026072.969999999972060,981852.160000000032596,1010587.429999999934807,1014398.559999999939464,10076928.189999999478459
20140430,1039326.319999999948777,990570.140000000013970,1009814.900000000023283,996859.000000000000000,997757.020000000018626,1015424.639999999897555,1022461.129999999888241,979763.200000000069849,1009723.149999999906868,1023997.599999999860302,10085697.099999999627471
20140501,1041791.920000000041910,986283.840000000200234,1005148.799999999930151,999623.080000000074506,988785.099999999976717,1011217.919999999925494,1025282.879999999888241,978588.160000000032596,1020310.579999999841675,1013998.599999999860302,10071030.879999998956919
20140502,1043641.120000000111759,983283.430000000167638,1003378.900000000023283,1009046.080000000074506,987289.780000000027940,1015925.440000000060536,1027201.669999999925494,979632.640000000013970,1018149.879999999888241,1019998.000000000000000,10087546.940000001341105
20140505,1058434.719999999739230,984140.690000000060536,1008527.699999999953434,1020479.319999999948777,978317.860000000102445,1013020.799999999930151,1023251.219999999972060,982243.839999999967404,1023983.769999999902211,1028997.099999999860302,10121397.019999997690320
20140506,1046969.680000000051223,973853.570000000065193,1005390.150000000023283,1018092.160000000032596,979439.349999999976717,1011117.760000000009313,1014560.229999999864958,982635.520000000018626,1025712.329999999841675,1026597.339999999967404,10084368.089999999850988
20140507,1043271.280000000144355,980283.020000000135042,1015526.849999999976717,1008794.800000000046566,985794.460000000079162,1021233.919999999925494,1027991.759999999892898,1017233.919999999925494,1039324.739999999990687,1030996.899999999906868,10170451.650000000372529
20140508,1035627.920000000041910,986712.470000000088476,1006355.550000000046566,1025253.639999999897555,984672.969999999972060,1021133.760000000009313,1029910.549999999813735,1003916.799999999930151,1047751.469999999972060,1023097.689999999827705,10164432.819999998435378
20140509,1031313.120000000111759,986712.470000000088476,1005872.849999999976717,1029651.040000000037253,983177.650000000023283,1030949.440000000060536,1030587.769999999902211,1004700.160000000032596,1047535.399999999906868,1019398.059999999939464,10169897.960000000894070
20140512,1044134.239999999990687,993999.180000000167638,1007562.299999999930151,1035556.119999999995343,985794.460000000079162,1030248.319999999948777,1038940.150000000023283,1015014.399999999906868,1040621.159999999799766,1022197.779999999911524,10214068.110000001266599
20140513,1045736.880000000004657,979854.390000000013970,1012469.750000000000000,1031284.359999999986030,988785.099999999976717,1036959.039999999920838,1048759.839999999850988,1018931.200000000069849,1033922.989999999990687,1023497.649999999906868,10220201.199999999254942
20140514,1045983.440000000060536,977711.239999999990687,1017055.400000000023283,1016710.119999999995343,984299.139999999897555,1031951.039999999920838,1045825.219999999972060,1007572.479999999981374,1037380.109999999869615,1022797.719999999972060,10187285.910000000149012
20140515,1037107.280000000144355,1036433.550000000046566,996057.950000000069849,1007035.840000000083819,972336.580000000074506,1026642.559999999939464,1042664.859999999986030,998563.839999999967404,1036299.759999999892898,1007699.229999999864958,10160841.450000001117587
20140516,1052394.000000000000000,1044577.520000000135042,990989.600000000093132,1010051.199999999953434,965233.810000000055879,1033052.799999999930151,1045035.129999999888241,1000783.359999999986030,1060283.529999999795109,1007299.269999999785796,10209700.220000000670552
20140519,1064845.280000000260770,1043720.260000000125729,989139.250000000000000,1018343.439999999944121,973458.069999999948777,1022536.000000000000000,1047179.659999999916181,1007964.160000000032596,1062012.089999999850988,1008599.139999999897555,10237797.350000001490116
20140520,1065091.839999999850988,1033861.770000000135042,985519.000000000000000,1018846.000000000000000,973458.069999999948777,1016927.039999999920838,1046050.959999999962747,1000913.919999999925494,1051208.589999999850988,1006599.339999999967404,10198476.529999999329448
20140521,1067927.280000000260770,1049292.450000000186265,998873.699999999953434,1032666.399999999906868,979439.349999999976717,1027243.520000000018626,1048195.489999999874271,1014753.279999999911524,1062444.229999999981374,1020197.979999999864958,10301033.680000001564622
20140522,1069529.919999999925494,1045006.150000000023283,994609.849999999976717,1034676.639999999897555,977570.199999999953434,1026141.760000000009313,1049888.540000000037253,1022848.000000000000000,1068494.189999999944121,1014898.509999999892898,10303663.759999999776483
20140523,1081611.359999999869615,1051006.970000000204891,992518.150000000023283,1046863.719999999855645,982803.819999999948777,1021634.559999999939464,1048195.489999999874271,1028462.079999999958090,1074760.219999999739230,1013098.689999999827705,10340955.059999998658895
20140527,1101952.560000000055879,1059150.939999999944121,988254.300000000046566,1052140.599999999860302,998504.680000000051223,1025240.319999999948777,1055306.299999999813735,1032901.119999999995343,1072167.379999999888241,1013498.649999999906868,10399116.849999999627471
20140528,1098993.839999999850988,1063865.870000000111759,985679.900000000023283,1050381.639999999897555,1004859.789999999920838,1014623.359999999869615,1054967.689999999944121,1025981.439999999944121,1074760.219999999739230,1010498.949999999953434,10384612.699999999254942
20140529,1119088.479999999981374,1057865.050000000279397,984070.899999999906868,1055784.159999999916181,1007850.430000000051223,1015024.000000000000000,1062191.369999999878928,1036295.680000000051223,1074328.080000000074506,1012598.739999999874271,10425096.889999998733401
20140530,1114896.959999999962747,1055293.270000000018626,987852.050000000046566,1055532.880000000121072,1021308.310000000055879,1015925.440000000060536,1054854.820000000065193,1039690.239999999874271,1079513.759999999776483,1005199.479999999864958,10430067.210000000894070
