訓練日期,20120215 - 20120517
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10543984.849999999627471
真實報酬,543984.849999999627471

夏普值報酬,0.045698485000000
夏普值風險,0.023697543761491
夏普值,1.928405975739191

預期報酬,13135.495974697048950
風險,99695.387981699954253
趨勢值,0.131756305287745
找到最佳解世代,2951
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,5
DIS[6](6),HD[9](4),KO[14](1),UNH[23](12),VZ[26](10),
Stock#,DIS[6](6),HD[9](4),KO[14](1),UNH[23](12),VZ[26](10),
張數,48076,43421,58055,36724,52576,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,38.399999999906868,28.739999999990687,5.249999999767169,10.959999999962747,8.959999999962747,
20120215,1983173.399999999906868,1984802.650000000139698,1985486.250000000000000,2005875.839999999850988,1988959.039999999804422,9948297.179999999701977
20120216,1997115.439999999944121,1994355.270000000018626,1998838.899999999674037,2012118.919999999925494,2000525.759999999776483,10002954.289999999105930
20120217,2007211.399999999906868,2028223.650000000139698,2004644.399999999906868,2008079.280000000027940,2022081.919999999925494,10070240.649999998509884
20120221,1998557.719999999972060,2037342.060000000055879,1997677.799999999580905,2031582.639999999897555,2023659.199999999953434,10088819.419999999925494
20120222,1984134.920000000158325,2022144.709999999962747,2010449.899999999906868,2026441.280000000027940,2008937.919999999925494,10052108.730000000447035
20120223,1994230.879999999655411,2038644.690000000176951,2008127.699999999953434,2017627.519999999785796,2004731.840000000083819,10063362.629999998956919
20120224,1986057.959999999962747,2039947.319999999832362,2002902.749999999767169,2043701.559999999823049,2005257.600000000093132,10077867.189999999478459
20120227,2001923.040000000037253,2037776.270000000018626,1998258.349999999860302,2046639.479999999748543,2004731.840000000083819,10089328.980000000447035
20120228,2015865.079999999841675,2050802.569999999832362,1998258.349999999860302,2050679.120000000111759,2005783.359999999869615,10121388.479999998584390
20120229,2018749.639999999897555,2065565.709999999962747,2027866.399999999674037,2047373.959999999962747,2003680.319999999832362,10163236.029999999329448
20120301,2037980.040000000037253,2060789.400000000139698,2020319.249999999534339,2056187.719999999972060,2020504.639999999897555,10195781.049999998882413
20120302,2036537.759999999776483,2058618.349999999860302,2008127.699999999953434,2050679.120000000111759,2033122.880000000121072,10187085.810000000521541
20120305,2052883.600000000093132,2057749.929999999934807,2009869.349999999627471,2021299.919999999925494,2050472.959999999962747,10192275.759999999776483
20120306,2019230.399999999906868,2014328.929999999934807,1995936.149999999906868,2000000.000000000000000,2034174.399999999906868,10063669.880000000819564
20120307,2007211.399999999906868,2057749.929999999934807,1997097.249999999767169,1997429.320000000065193,2043638.079999999841675,10103125.980000000447035
20120308,2020191.920000000158325,2076420.959999999962747,2011030.449999999720603,2042232.599999999860302,2062039.679999999934807,10211915.609999999403954
20120309,2030768.639999999897555,2088578.840000000083819,2017997.049999999580905,2048475.679999999934807,2055730.560000000055879,10241550.769999999552965
20120312,2035576.239999999990687,2109855.129999999888241,2036574.649999999674037,2020565.440000000176951,2067297.280000000027940,10269868.740000000223517
20120313,2115863.159999999683350,2133736.679999999701977,2039477.399999999906868,2031949.879999999888241,2075709.439999999711290,10396736.560000000521541
20120314,2090382.879999999655411,2148065.610000000335276,2038316.299999999813735,2048475.679999999934807,2075183.679999999934807,10400424.150000000372529
20120315,2089902.119999999878928,2136341.940000000409782,2041799.599999999860302,2045905.000000000000000,2078864.000000000000000,10392812.660000000149012
20120316,2076440.839999999850988,2129828.790000000037253,2036574.649999999674037,2041498.120000000111759,2080441.280000000027940,10364783.679999999701977
20120319,2088459.839999999850988,2120276.169999999925494,2043541.250000000000000,2061329.080000000074506,2084647.359999999869615,10398253.699999999254942
20120320,2078844.639999999897555,2144157.719999999739230,2049346.749999999534339,2011751.679999999934807,2083595.840000000083819,10367696.629999998956919
20120321,2080286.920000000158325,2161960.330000000074506,2064441.049999999813735,1982005.239999999990687,2091482.239999999990687,10380175.779999999329448
20120322,2081248.439999999944121,2157184.019999999552965,2073149.299999999813735,1978700.080000000074506,2085173.119999999878928,10375454.959999999031425
20120323,2098555.799999999813735,2151105.080000000074506,2074890.949999999953434,1970620.799999999813735,2072554.880000000121072,10367727.509999999776483
20120326,2133651.280000000260770,2176723.469999999739230,2087082.500000000000000,2023503.360000000102445,2067823.039999999804422,10488783.649999998509884
20120327,2122593.799999999813735,2172815.580000000074506,2086501.949999999720603,2035622.280000000027940,2032597.119999999878928,10450130.729999998584390
20120328,2091825.159999999916181,2167170.849999999627471,2109143.399999999441206,2035989.519999999785796,2011566.719999999972060,10415695.650000000372529
20120329,2067787.159999999916181,2167170.849999999627471,2142815.299999999813735,2134042.600000000093132,2001577.280000000027940,10513393.189999999478459
20120330,2104805.680000000167638,2184539.250000000000000,2148620.799999999813735,2164523.520000000018626,2009989.439999999711290,10612478.689999999478459
20120402,2107690.240000000223517,2170644.530000000260770,2152104.099999999627471,2171133.839999999850988,2025236.480000000214204,10626809.190000001341105
20120403,2081248.439999999944121,2171078.740000000223517,2141073.650000000372529,2181416.560000000055879,2022081.919999999925494,10596899.310000000521541
20120404,2063941.079999999841675,2164565.589999999850988,2132365.399999999441206,2168930.399999999906868,2018401.600000000093132,10548204.069999998435378
20120405,2071152.479999999748543,2197999.759999999776483,2132945.950000000186265,2167094.199999999720603,1980021.119999999878928,10549213.509999997913837
20120409,2024518.759999999776483,2196262.919999999925494,2115529.449999999254942,2135144.319999999832362,1969505.919999999925494,10440961.369999999180436
20120410,1970673.639999999897555,2143289.299999999813735,2090565.799999999580905,2113844.399999999906868,1934805.759999999776483,10253178.899999998509884
20120411,1988942.519999999785796,2160223.490000000223517,2093468.549999999813735,2130737.439999999944121,1965299.840000000083819,10338671.839999999850988
20120412,2026441.799999999813735,2198433.969999999739230,2096371.299999999813735,2146896.000000000000000,1974237.759999999776483,10442380.830000000074506
20120413,2012019.000000000000000,2212762.900000000372529,2088243.599999999627471,2131839.159999999683350,1958990.719999999972060,10403855.380000000819564
20120416,2002884.559999999823049,2244460.229999999515712,2102757.349999999627471,2106499.600000000093132,1967928.639999999897555,10424530.379999998956919
20120417,2051922.079999999841675,2259223.370000000111759,2146879.149999999441206,2133675.359999999869615,1984227.199999999953434,10575927.159999998286366
20120418,2042787.639999999897555,2249670.750000000000000,2153265.200000000186265,2105030.640000000130385,1980021.119999999878928,10530775.349999999627471
20120419,2023076.479999999748543,2238815.500000000000000,2142815.299999999813735,2156077.000000000000000,2005783.359999999869615,10566567.639999998733401
20120420,2036057.000000000000000,2234473.400000000372529,2152104.099999999627471,2185456.199999999720603,2036277.439999999711290,10644368.139999998733401
20120423,2019711.159999999916181,2218841.839999999850988,2139332.000000000000000,2173704.520000000018626,2027865.280000000027940,10579454.799999998882413
20120424,2027884.079999999841675,2224486.570000000298023,2151523.549999999813735,2156444.239999999757856,2076760.959999999962747,10637099.399999998509884
20120425,2052883.600000000093132,2254012.849999999627471,2175326.099999999627471,2161952.839999999850988,2075709.439999999711290,10719884.829999998211861
20120426,2084613.759999999776483,2252276.009999999776483,2197387.000000000000000,2143590.839999999850988,2110409.600000000093132,10788277.209999999031425
20120427,2084133.000000000000000,2255749.690000000409782,2224672.849999999627471,2126697.799999999813735,2115141.439999999944121,10806394.779999999329448
20120430,2072594.759999999776483,2248802.330000000074506,2215384.049999999813735,2062063.559999999823049,2123027.840000000316650,10721872.539999999105930
20120501,2105286.439999999944121,2271815.459999999962747,2233381.099999999627471,2098053.080000000074506,2132491.520000000018626,10841027.599999999627471
20120502,2093267.439999999944121,2288749.650000000372529,2239767.149999999441206,2080792.799999999813735,2134594.560000000055879,10837171.599999999627471
20120503,2106247.959999999962747,2278328.610000000335276,2247894.849999999627471,2046272.239999999990687,2136697.600000000093132,10815441.259999999776483
20120504,2063941.079999999841675,2256183.900000000372529,2235122.750000000000000,2009548.239999999990687,2116718.719999999739230,10681514.690000001341105
