訓練日期,20181212 - 20190318
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11409059.559999998658895
真實報酬,1409059.559999998658895

夏普值報酬,0.132205956000000
夏普值風險,0.052277796953553
夏普值,2.528912152083605

預期報酬,24060.233890674211580
風險,240028.242608178668888
趨勢值,0.100239178645115
找到最佳解世代,2776
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,2
CAT[3](3),NKE[19](1),
Stock#,CAT[3](3),NKE[19](1),
張數,40571,67962,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,29.959999999962747,35.660000000149012,
20181212,5086416.230000000447035,5050971.500000000000000,10137387.730000000447035
20181213,5107918.860000000335276,4956504.320000000298023,10064423.179999999701977
20181214,5143215.629999999888241,4929319.520000000484288,10072535.150000000372529
20181217,5049902.330000000074506,4750579.460000000894070,9800481.790000000968575
20181218,5041788.129999999888241,4835531.960000000894070,9877320.089999999850988
20181219,4963080.389999999664724,4687374.799999999813735,9650455.189999999478459
20181220,4931435.009999999776483,4589509.520000000484288,9520944.530000001192093
20181221,4871389.929999999701977,4918445.600000000558794,9789835.530000001192093
20181224,4744808.410000000149012,4628247.859999999403954,9373056.269999999552965
20181226,5061667.919999999925494,4961941.280000000260770,10023609.199999999254942
20181227,5139158.530000000260770,5006796.200000000186265,10145954.730000000447035
20181228,5096153.269999999552965,4984368.740000000223517,10080522.009999999776483
20181231,5155386.929999999701977,5038738.339999999850988,10194125.269999999552965
20190102,5127392.939999999478459,5033301.379999999888241,10160694.320000000298023
20190103,4929812.169999999925494,4944271.160000000149012,9874083.330000000074506
20190104,5199203.610000000335276,5073398.960000000894070,10272602.570000000298023
20190107,5202449.289999999105930,5146118.299999999813735,10348567.589999999850988
20190108,5264928.630000000819564,5214759.920000000856817,10479688.550000000745058
20190109,5285214.130000000819564,5205245.240000000223517,10490459.370000001043081
20190110,5394350.120000000111759,5193691.700000000186265,10588041.820000000298023
20190111,5359459.059999999590218,5167866.140000000596046,10527325.199999999254942
20190114,5347287.760000000707805,5171264.240000000223517,10518552.000000000000000
20190115,5302253.950000000186265,5292916.219999999739230,10595170.169999999925494
20190116,5341607.819999999366701,5279323.820000000298023,10620931.640000000596046
20190117,5458452.299999999813735,5377868.719999999739230,10836321.019999999552965
20190118,5542028.559999999590218,5467578.560000000521541,11009607.120000001043081
20190122,5365139.000000000000000,5487967.160000000149012,10853106.160000000149012
20190123,5348099.179999999701977,5470976.660000000149012,10819075.839999999850988
20190124,5385018.789999999105930,5466898.940000000409782,10851917.730000000447035
20190125,5552577.020000000484288,5478452.480000000447035,11031029.500000000000000
20190128,5045845.230000000447035,5458743.500000000000000,10504588.730000000447035
20190129,5133478.589999999850988,5451947.299999999813735,10585425.890000000596046
20190130,5278722.770000000484288,5523987.020000000484288,10802709.790000000968575
20190131,5402464.319999999366701,5564764.219999999739230,10967228.539999999105930
20190201,5311179.569999999366701,5539618.280000000260770,10850797.849999999627471
20190204,5309962.439999999478459,5572240.040000000037253,10882202.480000000447035
20190205,5355401.959999999962747,5631366.980000000447035,10986768.940000001341105
20190206,5296168.299999999813735,5621172.679999999701977,10917340.980000000447035
20190207,5224763.339999999850988,5599424.839999999850988,10824188.179999999701977
20190208,5217460.559999999590218,5597385.980000000447035,10814846.539999999105930
20190211,5230848.990000000223517,5687095.820000000298023,10917944.810000000521541
20190212,5382584.529999999329448,5757096.679999999701977,11139681.209999999031425
20190213,5400030.059999999590218,5803990.460000000894070,11204020.519999999552965
20190214,5380555.980000000447035,5755057.820000000298023,11135613.800000000745058
20190215,5525800.159999999217689,5802631.219999999739230,11328431.379999998956919
20190219,5509571.760000000707805,5747582.000000000000000,11257153.760000001639128
20190220,5692546.969999999739230,5765931.740000000223517,11458478.710000000894070
20190221,5634530.439999999478459,5705445.560000000521541,11339976.000000000000000
20190222,5626416.240000000223517,5760494.780000000260770,11386911.019999999552965
20190225,5737175.069999999366701,5788359.200000000186265,11525534.269999999552965
20190226,5598016.539999999105930,5831175.259999999776483,11429191.799999998882413
20190227,5662930.140000000596046,5856321.200000000186265,11519251.339999999850988
20190228,5572051.100000000558794,5826417.920000000856817,11398469.020000001415610
20190301,5577325.330000000074506,5923603.580000000074506,11500928.910000000149012
20190304,5613027.809999999590218,5820301.339999999850988,11433329.149999998509884
20190305,5563936.899999999441206,5806708.940000000409782,11370645.839999999850988
20190306,5470217.890000000596046,5785640.719999999739230,11255858.609999999403954
20190307,5387858.760000000707805,5794475.780000000260770,11182334.540000000968575
20190308,5329030.809999999590218,5763213.259999999776483,11092244.070000000298023
20190311,5400435.770000000484288,5832534.500000000000000,11232970.269999999552965
20190312,5374876.039999999105930,5806029.320000000298023,11180905.359999999403954
20190313,5416258.459999999962747,5840010.320000000298023,11256268.780000001192093
20190314,5423966.950000000186265,5903894.600000000558794,11327861.550000000745058
20190315,5382584.529999999329448,5899137.259999999776483,11281721.789999999105930
20190318,5440601.059999999590218,5968458.500000000000000,11409059.559999998658895
