訓練日期,20170412 - 20170714
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11054983.519999999552965
真實報酬,1054983.519999999552965

夏普值報酬,0.096798352000000
夏普值風險,0.029275186756412
夏普值,3.306498189248910

預期報酬,16582.131318635569187
風險,55802.141575503323111
趨勢值,0.297159407335632
找到最佳解世代,2010
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,6
BA[2](4),JNJ[12](10),JPM[13](17),KO[14](8),MCD[15](3),V[25](5),
Stock#,BA[2](4),JNJ[12](10),JPM[13](17),KO[14](8),MCD[15](3),V[25](5),
張數,9333,13417,19440,39068,12703,18758,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,72.190000000176951,6.260000000009313,74.799999999813735,25.120000000111759,32.400000000139698,17.700000000186265,
20170412,1643146.840000000316650,1682498.060000000055879,1660250.799999999813735,1677605.040000000037253,1667428.179999999934807,1663477.140000000363216,9994410.060000000521541
20170413,1639133.650000000139698,1676997.089999999850988,1640810.799999999813735,1671744.840000000083819,1661076.679999999934807,1667041.160000000381842,9956808.220000000670552
20170417,1670865.850000000325963,1686791.500000000000000,1669193.199999999720603,1682683.880000000121072,1668571.449999999953434,1684673.680000000167638,10062783.560000000521541
20170418,1659946.240000000223517,1634465.199999999953434,1655585.199999999720603,1698701.760000000009313,1680639.300000000279397,1683173.040000000270084,10012514.740000002086163
20170419,1665079.390000000130385,1628427.550000000046566,1641977.199999999720603,1688934.760000000009313,1684958.320000000065193,1683548.200000000186265,9992929.420000001788139
20170420,1673479.090000000316650,1635136.050000000046566,1663166.799999999813735,1683465.240000000223517,1692961.210000000195578,1709809.400000000372529,10058021.790000000968575
20170421,1683558.730000000214204,1633660.180000000167638,1643143.599999999627471,1682683.880000000121072,1694739.630000000121072,1709809.400000000372529,10047599.419999999925494
20170424,1699238.170000000158325,1648821.390000000130385,1701074.799999999813735,1690888.160000000149012,1705156.090000000083819,1722940.000000000000000,10168122.610000001266599
20170425,1712771.020000000018626,1656066.570000000065193,1715849.199999999953434,1684246.600000000093132,1800047.500000000000000,1727817.080000000074506,10296801.970000000670552
20170426,1695971.620000000344589,1657139.930000000167638,1719154.000000000000000,1689325.440000000176951,1789122.920000000158325,1722377.260000000009313,10273095.170000001788139
20170427,1710064.450000000186265,1660225.839999999850988,1703213.199999999720603,1680339.800000000046566,1789504.010000000242144,1718250.500000000000000,10261601.800000000745058
20170428,1725090.580000000307336,1656603.250000000000000,1691354.799999999813735,1685809.320000000065193,1777563.190000000176951,1711122.460000000195578,10247547.600000001490116
20170501,1702318.060000000055879,1654859.040000000037253,1692521.199999999953434,1688544.080000000074506,1793060.850000000325963,1711872.780000000260770,10243180.010000001639128
20170502,1712117.710000000195578,1659689.160000000149012,1681634.799999999813735,1695185.640000000130385,1794077.090000000083819,1735883.020000000251457,10278591.419999999925494
20170503,1711651.060000000055879,1654724.869999999878928,1691354.799999999813735,1692450.880000000121072,1811734.260000000242144,1734007.220000000204891,10295927.089999999850988
