訓練日期,20101110 - 20110211
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11669033.509999999776483
真實報酬,1669033.509999999776483

夏普值報酬,0.158203351000000
夏普值風險,0.046458450751991
夏普值,3.405265316412244

預期報酬,23367.556954251849675
風險,122754.153080932708690
趨勢值,0.190360622168485
找到最佳解世代,2186
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,3
CAT[3](1),INTC[11](20),WBA[27](4),
Stock#,CAT[3](1),INTC[11](20),WBA[27](4),
張數,40695,157529,94589,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,5.550000000279397,19.359999999869615,16.639999999664724,
20101110,3355715.250000000000000,3314429.519999999552965,3321036.429999999701977,9991182.199999999254942
20101111,3354901.350000000093132,3341209.450000000186265,3330495.329999999608845,10026607.130000000819564
20101112,3297928.350000000558794,3391618.729999999981374,3294551.509999999310821,9984099.589999999850988
20101115,3329670.450000000186265,3355387.060000000055879,3264283.029999999329448,9949341.539999999105930
20101116,3270662.700000000651926,3319155.390000000130385,3216988.529999999329448,9806807.620000001043081
20101117,3303218.700000000186265,3320730.679999999701977,3216988.529999999329448,9840938.910000000149012
20101118,3382167.000000000465661,3311278.939999999944121,3255770.020000000018626,9949216.960000000894070
20101119,3417164.700000000186265,3330182.419999999925494,3287930.279999999329448,10035278.399999998509884
20101122,3418385.550000000279397,3347510.609999999869615,3300226.849999999627471,10066124.009999999776483
20101123,3362633.399999999906868,3322305.969999999739230,3214150.859999999403954,9899091.229999998584390
20101124,3446465.100000000093132,3369564.669999999925494,3245365.229999999981374,10061396.000000000000000
20101126,3423675.899999999906868,3361688.219999999739230,3185774.159999999683350,9971139.279999999329448
20101129,3404956.200000000186265,3360112.929999999701977,3291713.839999999385327,10056783.969999998807907
20101130,3442802.550000000279397,3333333.000000000000000,3296443.289999999571592,10072579.839999999850988
20101201,3558783.300000000279397,3383742.279999999795109,3374006.270000000018626,10316532.849999999627471
20101202,3606396.450000000651926,3418398.659999999683350,3415625.429999999701977,10440421.539999999105930
20101203,3637324.649999999906868,3416823.370000000111759,3486567.179999999701977,10540716.199999999254942
20101206,3629999.550000000279397,3418398.659999999683350,3438326.789999999571592,10486726.000000000000000
20101207,3676798.800000000279397,3399495.179999999701977,3426030.219999999739230,10502325.199999999254942
20101208,3647091.450000000651926,3437302.140000000130385,3449677.469999999739230,10534072.060000000521541
20101209,3649126.200000000186265,3435726.849999999627471,3440218.569999999366701,10525072.619999999180436
20101210,3660113.850000000093132,3451479.750000000000000,3445893.909999999683350,10557488.509999999776483
20101213,3728888.399999999906868,3386892.859999999869615,3446839.799999999348074,10562622.059999998658895
20101214,3747608.100000000558794,3382166.989999999757856,3476162.389999999664724,10605938.480000000447035
20101215,3789523.950000000651926,3352236.479999999981374,3512106.209999999962747,10653867.640000000596046
20101216,3792779.550000000279397,3355387.060000000055879,3567913.719999999739230,10716081.330000000074506
20101217,3767955.600000000558794,3380591.700000000186265,3554671.259999999310821,10703219.560000000521541
20101220,3796849.050000000279397,3344360.029999999795109,3526294.559999999590218,10667504.640000000596046
20101221,3850973.399999999906868,3323881.260000000242144,3483729.509999999310821,10658585.169999999925494
20101222,3848531.700000000186265,3290800.169999999925494,3674799.289999999571592,10814132.160000000149012
20101223,3843648.300000000279397,3282923.719999999739230,3706959.549999999348074,10833532.569999998435378
