訓練日期,20120705 - 20121004
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11379588.830000000074506
真實報酬,1379588.830000000074506

夏普值報酬,0.129258883000000
夏普值風險,0.037694773712760
夏普值,3.429092955563897

預期報酬,20988.234312816955935
風險,64721.376034166365571
趨勢值,0.324285971635357
找到最佳解世代,2306
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](5),GS[8](10),HD[9](2),PFE[20](3),PG[21](1),UNH[23](24),WBA[27](7),WMT[28](11),
Stock#,AAPL[0](5),GS[8](10),HD[9](2),PFE[20](3),PG[21](1),UNH[23](24),WBA[27](7),WMT[28](11),
張數,14597,12677,24201,54656,20371,22776,42215,17667,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,58.890000000130385,47.800000000046566,18.350000000093132,17.280000000027940,35.439999999944121,53.119999999878928,13.850000000093132,59.750000000000000,
20120705,1271895.500000000000000,1216025.640000000130385,1261132.460000000195578,1239068.800000000046566,1249796.290000000037253,1271181.679999999934807,1260975.900000000139698,1255830.109999999869615,10025906.379999998956919
20120706,1263429.239999999990687,1210320.989999999990687,1262100.500000000000000,1231963.520000000018626,1248370.320000000065193,1271409.439999999944121,1250422.150000000139698,1260776.869999999878928,9998793.029999999329448
20120709,1280215.790000000270084,1197643.989999999990687,1261374.469999999972060,1237975.679999999934807,1253870.489999999990687,1277558.959999999962747,1253799.350000000093132,1267843.670000000158325,10030282.400000000372529
20120710,1268392.220000000204891,1194855.050000000046566,1263794.570000000065193,1226497.920000000158325,1257537.269999999785796,1268676.319999999832362,1263086.650000000139698,1274027.119999999878928,10016867.119999999180436
20120711,1260509.840000000083819,1206010.810000000055879,1250484.020000000018626,1221032.320000000065193,1250814.839999999850988,1276420.159999999916181,1263930.950000000186265,1276677.170000000158325,10005880.110000001266599
20120712,1248978.210000000195578,1191939.340000000083819,1247579.900000000139698,1239068.800000000046566,1297668.139999999897555,1242939.439999999944121,1270685.350000000093132,1277560.520000000018626,10016419.699999999254942
