訓練日期,20190128 - 20190430
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11425200.210000000894070
真實報酬,1425200.210000000894070

夏普值報酬,0.133820021000000
夏普值風險,0.037601899786388
夏普值,3.558863295743421

預期報酬,21603.306972508416948
風險,52625.269962014652265
趨勢值,0.410512040852272
找到最佳解世代,2709
找到最佳解實驗#,1
找到最佳解次數,37

stock[index](rank)
投資組合檔數,11
AAPL[0](3),CSCO[4](1),JNJ[12](12),KO[14](27),MCD[15](22),MSFT[18](8),PG[21](5),TRV[22](4),V[25](2),WMT[28](16),XOM[29](9),
Stock#,AAPL[0](3),CSCO[4](1),JNJ[12](12),KO[14](27),MCD[15](22),MSFT[18](8),PG[21](5),TRV[22](4),V[25](2),WMT[28](16),XOM[29](9),
張數,5762,19707,7089,19191,4940,8482,9712,7273,6555,9377,12675,
分配資金,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,909090.000000000000000,
剩餘資金,76.880000000004657,6.089999999967404,67.530000000027940,12.330000000074506,130.000000000000000,74.059999999939464,46.800000000046566,110.459999999962747,108.150000000139698,83.619999999995343,39.000000000000000,
20190128,900677.480000000097789,901601.339999999967404,914477.640000000130385,905251.800000000162981,907114.000000000000000,891362.619999999878928,908313.040000000037253,909453.650000000023283,891522.600000000209548,910215.239999999990687,903005.999999999883585,9943005.410000000149012
20190129,891343.040000000037253,905739.809999999939464,923976.900000000139698,909665.730000000097789,900049.799999999930151,873211.139999999897555,908507.280000000144355,907926.319999999948777,885033.150000000139698,906933.289999999920838,906428.250000000116415,9918824.710000000894070
20190130,952247.380000000004657,920520.059999999939464,933263.489999999874271,918493.590000000083819,898073.800000000046566,902389.219999999855645,918025.040000000037253,915635.699999999953434,902076.150000000139698,889023.219999999972060,916314.750000000116415,10066072.400000000372529
20190131,959104.160000000032596,931950.119999999995343,943471.650000000139698,923675.160000000149012,883303.199999999953434,885849.319999999948777,936963.440000000060536,913162.880000000004657,885098.700000000069849,898681.530000000027940,928863.000000000000000,10090133.160000000149012
20190201,959565.120000000111759,932935.470000000088476,951411.329999999958090,934614.030000000144355,873126.800000000046566,871854.019999999902211,946675.440000000060536,920072.229999999981374,918791.400000000139698,880208.839999999967404,962325.000000000000000,10151589.680000001564622
20190204,986819.380000000004657,933132.540000000037253,942053.849999999976717,945169.080000000074506,877227.000000000000000,896960.739999999874271,952114.160000000032596,916799.380000000004657,927640.650000000139698,888741.909999999916181,948382.499999999883585,10215051.189999999478459
20190205,1003702.040000000037253,931358.909999999916181,942053.849999999976717,945360.989999999990687,877325.799999999930151,909514.099999999976717,946384.080000000074506,917817.599999999976717,934392.300000000162981,896524.819999999948777,958142.250000000000000,10262586.740000000223517
20190206,1004047.760000000009313,935694.449999999953434,942904.530000000027940,945360.989999999990687,870459.200000000069849,899420.519999999902211,951045.840000000083819,913235.609999999986030,927575.100000000209548,896899.900000000023283,953959.500000000116415,10240613.400000000372529
20190207,985033.160000000032596,920322.989999999990687,936169.980000000097789,948431.550000000162981,866013.199999999953434,892974.199999999953434,943470.480000000097789,922035.939999999944121,918922.500000000000000,907120.830000000074506,946608.000000000116415,10187112.830000000074506
20190208,981979.299999999930151,929979.419999999925494,938651.130000000121072,949966.830000000074506,863395.000000000000000,896367.000000000000000,949006.319999999948777,914981.130000000004657,920299.050000000162981,896337.280000000027940,937735.500000000000000,10178707.959999999031425
20190211,976332.540000000037253,937665.149999999906868,935815.530000000027940,952077.840000000083819,860974.399999999906868,892804.559999999939464,954445.040000000037253,912290.119999999995343,923052.150000000256114,902151.020000000018626,939256.499999999883585,10186874.849999999627471
