訓練日期,20111116 - 20120221
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11389446.820000000298023
真實報酬,1389446.820000000298023

夏普值報酬,0.130244682000000
夏普值風險,0.048241975722599
夏普值,2.699820644762427

預期報酬,23600.562190466018365
風險,141371.186636108002858
趨勢值,0.166940398195951
找到最佳解世代,2402
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),WMT[28](2),
Stock#,HD[9](1),WMT[28](2),
張數,131337,87017,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.410000000149012,3.179999999701977,
20111116,4969792.490000000223517,4932126.739999999292195,9901919.230000000447035
20111117,4940898.349999999627471,4936477.589999999850988,9877375.939999999478459
20111118,4975045.970000000670552,4979986.089999999850988,9955032.060000000521541
20111121,4867349.630000000819564,4930386.399999999441206,9797736.030000001192093
20111122,4872603.110000000335276,4946919.629999999888241,9819522.740000000223517
20111123,4796427.650000000372529,4928646.059999999590218,9725073.710000000894070
20111125,4789860.799999999813735,4950400.309999999590218,9740261.109999999403954
20111128,4898870.509999999776483,4981726.429999999701977,9880596.939999999478459
20111129,5116889.930000000633299,5061782.070000000298023,10178672.000000000000000
20111130,5151037.549999999813735,5125304.479999999515712,10276342.029999999329448
20111201,5166797.990000000223517,5100069.549999999813735,10266867.539999999105930
20111202,5245600.189999999478459,5054820.709999999962747,10300420.899999998509884
20111205,5283687.919999999925494,5076574.959999999962747,10360262.879999998956919
20111206,5295508.250000000000000,5114862.439999999478459,10410370.689999999478459
20111207,5349356.419999999925494,5091367.849999999627471,10440724.269999999552965
20111208,5241660.080000000074506,5045248.839999999850988,10286908.919999999925494
20111209,5283687.919999999925494,5074834.620000000111759,10358522.539999999105930
20111212,5260047.259999999776483,5054820.709999999962747,10314867.969999998807907
20111213,5189125.280000000260770,5012182.379999999888241,10201307.660000000149012
20111214,5140530.589999999850988,5016533.229999999515712,10157063.820000000298023
20111215,5177304.950000000186265,5042638.330000000074506,10219943.280000001192093
20111216,5308641.950000000186265,5070483.769999999552965,10379125.719999998807907
20111219,5279747.810000000521541,5027845.439999999478459,10307593.250000000000000
20111220,5509587.560000000521541,5150539.409999999217689,10660126.969999998807907
20111221,5516154.410000000149012,5167942.809999999590218,10684097.219999998807907
20111222,5505647.450000000186265,5150539.409999999217689,10656186.859999999403954
20111223,5527974.740000000223517,5220153.009999999776483,10748127.750000000000000
20111227,5545048.549999999813735,5206230.289999999105930,10751278.839999999850988
20111228,5454426.020000000484288,5197528.589999999850988,10651954.609999999403954
20111229,5517467.780000000260770,5220153.009999999776483,10737620.789999999105930
20111230,5521407.889999999664724,5200139.099999999627471,10721546.989999998360872
20120103,5534541.589999999850988,5249738.789999999105930,10784280.379999998956919
20120104,5613343.790000000037253,5195788.250000000000000,10809132.039999999105930
20120105,5659311.740000000223517,5170553.320000000298023,10829865.060000000521541
20120106,5673758.810000000521541,5134006.179999999701977,10807764.990000000223517
20120109,5677698.919999999925494,5149669.239999999292195,10827368.160000000149012
20120110,5717100.020000000484288,5137486.859999999403954,10854586.879999998956919
20120111,5707906.430000000633299,5168812.979999999515712,10876719.410000000149012
20120112,5698712.839999999850988,5177514.679999999701977,10876227.519999999552965
20120113,5714473.280000000260770,5180995.359999999403954,10895468.640000000596046
20120117,5744680.790000000037253,5207970.629999999888241,10952651.419999999925494
20120118,5894404.970000000670552,5221893.349999999627471,11116298.320000000298023
20120119,5964013.580000000074506,5274103.549999999813735,11238117.129999998956919
20120120,5845810.280000000260770,5308910.349999999627471,11154720.629999998956919
20120123,5894404.970000000670552,5300208.649999999441206,11194613.620000001043081
20120124,5904911.930000000633299,5341976.809999999590218,11246888.740000000223517
20120125,5944313.030000000260770,5348938.169999999925494,11293251.199999999254942
20120126,5903598.560000000521541,5305429.669999999925494,11209028.230000000447035
20120127,5893091.599999999627471,5282805.250000000000000,11175896.849999999627471
20120130,5879957.900000000372529,5334145.279999999329448,11214103.179999999701977
20120131,5830049.839999999850988,5339366.299999999813735,11169416.140000000596046
20120201,5840556.799999999813735,5410720.239999999292195,11251277.039999999105930
20120202,5839243.430000000633299,5389836.159999999217689,11229079.589999999850988
20120203,5932492.700000000186265,5397667.689999999478459,11330160.390000000596046
20120206,5936432.810000000521541,5384615.139999999664724,11321047.949999999254942
20120207,5970580.430000000633299,5368081.909999999217689,11338662.339999999850988
20120208,5932492.700000000186265,5361990.719999999739230,11294483.419999999925494
20120209,5945626.400000000372529,5391576.500000000000000,11337202.900000000372529
20120210,5953506.620000000111759,5386355.479999999515712,11339862.099999999627471
20120213,6032308.820000000298023,5376783.609999999403954,11409092.429999999701977
20120214,6049382.630000000819564,5414200.919999999925494,11463583.550000000745058
20120215,6003414.680000000633299,5374173.099999999627471,11377587.780000001192093
20120216,6032308.820000000298023,5398537.859999999403954,11430846.679999999701977
20120217,6134751.680000000633299,5436825.339999999850988,11571577.019999999552965
20120221,6162332.450000000186265,5227114.370000000111759,11389446.820000000298023
