訓練日期,20100723 - 20101022
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11197188.980000000447035
真實報酬,1197188.980000000447035

夏普值報酬,0.111018898000000
夏普值風險,0.032706321605395
夏普值,3.394417120318627

預期報酬,19393.115494154706539
風險,97742.669450920919189
趨勢值,0.198409922739960
找到最佳解世代,2171
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
KO[14](1),MCD[15](6),MRK[17](14),VZ[26](3),
Stock#,KO[14](1),MCD[15](6),MRK[17](14),VZ[26](3),
張數,92148,35014,71063,92592,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,24.760000000242144,0.399999999906868,3.660000000149012,16.000000000000000,
20100723,2523037.000000000000000,2447479.000000000000000,2477970.469999999739230,2594443.839999999850988,10042930.309999998658895
20100726,2531330.320000000298023,2481442.580000000074506,2506395.670000000391155,2618517.760000000242144,10137686.330000000074506
20100727,2536859.200000000186265,2464986.000000000000000,2500000.000000000000000,2647221.279999999795109,10149066.480000000447035
20100728,2528565.880000000353903,2442927.179999999701977,2468732.280000000260770,2676850.720000000204891,10117076.060000000521541
20100729,2534094.760000000242144,2429271.719999999739230,2491472.440000000409782,2674072.959999999962747,10128911.880000000819564
20100730,2539623.640000000130385,2441526.620000000111759,2448834.640000000130385,2690739.520000000018626,10120724.419999999925494
20100802,2599519.840000000316650,2459733.899999999906868,2492183.070000000298023,2737035.520000000018626,10288472.330000000074506
20100803,2597676.880000000353903,2466736.700000000186265,2474417.320000000298023,2735183.679999999701977,10274014.580000000074506
20100804,2605970.200000000186265,2475140.060000000055879,2500710.629999999888241,2722220.799999999813735,10304041.689999999478459
20100805,2597676.880000000353903,2466736.700000000186265,2492183.070000000298023,2736109.600000000093132,10292706.250000000000000
20100806,2615185.000000000000000,2511904.759999999776483,2485787.399999999906868,2736109.600000000093132,10348986.759999999776483
20100809,2631771.640000000130385,2553221.279999999795109,2512791.340000000316650,2764813.120000000111759,10462597.379999998956919
20100810,2625321.280000000260770,2550420.160000000149012,2541927.170000000391155,2779627.839999999850988,10497296.450000001117587
20100811,2582011.720000000204891,2505952.379999999888241,2479391.729999999981374,2737035.520000000018626,10304391.349999999627471
20100812,2566346.560000000521541,2523109.239999999757856,2490051.180000000167638,2807405.439999999944121,10386912.419999999925494
20100813,2568189.520000000484288,2517156.859999999869615,2487208.660000000149012,2780553.760000000242144,10353108.800000000745058
20100816,2574639.880000000353903,2513655.459999999962747,2485076.770000000018626,2774072.320000000298023,10347444.429999999701977
20100817,2585697.640000000130385,2563725.479999999981374,2525582.680000000167638,2793516.640000000130385,10468522.440000001341105
20100818,2572796.920000000391155,2564775.899999999906868,2513501.969999999739230,2791664.799999999813735,10442739.589999999850988
20100819,2546995.480000000447035,2554971.979999999981374,2466600.390000000130385,2742591.040000000037253,10311158.890000000596046
20100820,2547916.959999999962747,2558823.520000000018626,2447413.379999999888241,2719443.040000000037253,10273596.900000000372529
20100823,2561739.160000000149012,2567927.160000000149012,2485076.770000000018626,2723146.720000000204891,10337889.810000000521541
20100824,2564503.600000000093132,2546218.479999999981374,2447413.379999999888241,2728702.239999999757856,10286837.699999999254942
20100825,2552524.360000000335276,2562675.060000000055879,2454519.680000000167638,2746294.720000000204891,10316013.820000000298023
20100826,2541466.600000000093132,2561624.639999999664724,2450255.899999999906868,2731480.000000000000000,10284827.140000000596046
20100827,2587540.600000000093132,2590686.259999999776483,2487208.660000000149012,2762961.279999999795109,10428396.799999998882413
20100830,2559896.200000000186265,2546918.759999999776483,2468021.649999999906868,2725924.479999999981374,10300761.089999999850988
20100831,2574639.880000000353903,2558123.239999999757856,2498578.739999999757856,2734257.760000000242144,10365599.619999999180436
20100901,2640986.440000000409782,2609943.959999999962747,2531267.719999999739230,2801849.919999999925494,10584048.039999999105930
20100902,2643750.880000000353903,2626750.679999999701977,2512080.710000000428408,2787961.120000000111759,10570543.390000000596046
20100903,2652044.200000000186265,2629201.660000000149012,2529135.830000000540167,2796294.399999999906868,10606676.090000001713634
20100907,2655730.120000000111759,2654061.599999999627471,2519897.640000000130385,2798146.239999999757856,10627835.599999999627471
20100908,2664944.920000000391155,2663865.520000000018626,2544769.690000000409782,2820368.320000000298023,10693948.450000001117587
20100909,2686138.959999999962747,2603991.580000000074506,2563956.700000000186265,2855553.279999999795109,10709640.519999999552965
20100910,2696275.240000000223517,2626400.540000000037253,2604462.609999999869615,2853701.439999999944121,10780839.830000000074506
20100913,2674159.720000000204891,2610994.379999999888241,2573905.520000000018626,2861108.799999999813735,10720168.419999998062849
20100914,2653887.160000000149012,2588935.560000000055879,2595224.420000000391155,2862034.720000000204891,10700081.860000001266599
20100915,2645593.840000000316650,2615896.339999999850988,2594513.790000000037253,2887960.479999999981374,10743964.449999999254942
20100916,2650201.240000000223517,2619047.599999999627471,2588828.750000000000000,2909256.640000000130385,10767334.230000000447035
20100917,2652044.200000000186265,2602240.879999999888241,2581722.450000000186265,2933330.560000000055879,10769338.089999999850988
20100920,2671395.280000000260770,2629901.939999999944121,2596645.680000000167638,2971293.280000000260770,10869236.179999999701977
20100921,2677845.640000000130385,2643907.540000000037253,2609437.020000000018626,2992589.439999999944121,10923779.639999998733401
20100922,2683374.520000000484288,2630602.219999999739230,2626492.140000000130385,2999070.879999999888241,10939539.760000001639128
20100923,2666787.880000000353903,2613445.359999999869615,2605173.239999999757856,2978700.640000000130385,10864107.120000001043081
20100924,2700882.640000000130385,2629551.799999999813735,2653496.080000000540167,3022218.879999999888241,11006149.399999998509884
20100927,2699961.160000000149012,2617647.040000000037253,2638572.850000000558794,3042589.120000000111759,10998770.170000001788139
20100928,2722998.160000000149012,2613095.219999999739230,2647100.410000000149012,3029626.239999999757856,11012820.029999999329448
20100929,2707333.000000000000000,2606792.700000000186265,2637862.219999999739230,3024070.719999999739230,10976058.640000000596046
20100930,2696275.240000000223517,2608893.540000000037253,2615832.690000000409782,3017589.280000000260770,10938590.750000000000000
20101001,2723919.640000000130385,2623249.279999999795109,2600909.460000000428408,3045366.879999999888241,10993445.260000001639128
20101004,2712861.880000000353903,2624299.700000000186265,2595224.420000000391155,3058329.760000000242144,10990715.759999999776483
20101005,2748799.600000000093132,2654761.879999999888241,2630755.920000000391155,3108329.439999999944121,11142646.839999999850988
20101006,2753407.000000000000000,2640056.000000000000000,2625781.510000000242144,3078700.000000000000000,11097944.509999999776483
20101007,2738663.320000000298023,2656162.439999999944121,2608726.390000000130385,3049070.560000000055879,11052622.710000000894070
20101008,2737741.840000000316650,2664565.799999999813735,2622938.989999999757856,3039811.359999999869615,11065057.990000000223517
20101011,2744192.200000000186265,2646708.660000000149012,2619385.840000000316650,3058329.760000000242144,11068616.460000000894070
20101012,2746035.160000000149012,2646358.520000000018626,2603751.979999999981374,3012959.679999999701977,11009105.339999999850988
20101013,2761700.320000000298023,2652310.899999999906868,2640704.739999999757856,2982404.320000000298023,11037120.280000001192093
20101014,2760778.840000000316650,2697478.959999999962747,2639994.109999999869615,3003700.479999999981374,11101952.390000000596046
20101015,2761700.320000000298023,2712885.120000000111759,2625781.510000000242144,3002774.560000000055879,11103141.510000001639128
20101018,2764464.760000000242144,2707282.879999999888241,2645679.149999999906868,3017589.280000000260770,11135016.070000000298023
20101019,2780129.920000000391155,2695728.259999999776483,2595224.420000000391155,2977774.719999999739230,11048857.320000000298023
20101020,2817910.600000000093132,2710434.139999999664724,2628624.030000000260770,3022218.879999999888241,11179187.650000000372529
20101021,2832654.280000000260770,2746498.560000000055879,2636440.960000000428408,3011107.840000000316650,11226701.640000000596046
20101022,2839104.640000000130385,2750350.099999999627471,2636440.960000000428408,2971293.280000000260770,11197188.980000000447035
