訓練日期,20171024 - 20180126
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11580091.169999999925494
真實報酬,1580091.169999999925494

夏普值報酬,0.149309117000000
夏普值風險,0.041353685560812
夏普值,3.610539543819736

預期報酬,23646.956873645445739
風險,44230.985769025719492
趨勢值,0.534624233724518
找到最佳解世代,2012
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,12
AAPL[0](16),AXP[1](10),CAT[3](7),CVX[5](21),DIS[6](4),HD[9](3),MCD[15](6),MSFT[18](9),NKE[19](1),PG[21](17),WBA[27](8),WMT[28](5),
Stock#,AAPL[0](16),AXP[1](10),CAT[3](7),CVX[5](21),DIS[6](4),HD[9](3),MCD[15](6),MSFT[18](9),NKE[19](1),PG[21](17),WBA[27](8),WMT[28](5),
張數,5336,9020,6328,7006,8443,5058,5101,10571,15529,9545,12343,9400,
分配資金,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,833333.000000000000000,
剩餘資金,9.880000000121072,65.400000000023283,61.959999999962747,109.419999999925494,8.900000000023283,78.079999999958090,135.660000000032596,21.070000000065193,46.860000000102445,54.500000000000000,57.069999999948777,23.000000000000000,
20171024,838295.480000000097789,846682.599999999976717,874844.680000000051223,835434.799999999930151,829871.370000000111759,839857.819999999948777,836087.540000000037253,833650.130000000004657,829606.040000000153668,830278.600000000093132,830617.540000000037253,827035.000000000000000,10052265.600000001490116
20171025,834613.640000000130385,843706.000000000000000,865985.479999999981374,829900.059999999939464,825734.300000000046566,840060.139999999897555,834557.240000000107102,831218.800000000046566,853210.120000000111759,829133.199999999953434,856167.549999999930151,831735.000000000000000,10076025.530000001192093
20171026,839949.640000000130385,863189.199999999953434,866618.279999999911524,829900.059999999939464,832150.980000000097789,848051.780000000027940,836750.670000000041910,832593.030000000144355,882249.350000000093132,835242.000000000000000,828395.799999999930151,833051.000000000000000,10128145.790000000968575
20171027,870044.680000000167638,864091.200000000069849,872123.640000000013970,795570.659999999916181,830040.230000000097789,846483.799999999930151,843790.049999999930151,885976.580000000074506,869049.700000000069849,830851.300000000046566,795933.709999999962747,828821.000000000000000,10132780.550000000745058
20171030,889627.800000000162981,857596.799999999930151,863770.680000000051223,801525.759999999892898,827760.620000000111759,836216.059999999939464,848074.890000000013970,886822.260000000125729,858334.690000000176951,823501.649999999906868,817904.250000000000000,817353.000000000000000,10128492.459999999031425
20171031,902007.320000000065193,861655.799999999930151,859404.359999999986030,812034.759999999892898,825818.730000000097789,838593.319999999948777,851543.570000000065193,879316.850000000093132,853986.570000000181608,824169.800000000046566,818027.679999999934807,820737.000000000000000,10147299.760000001639128
20171101,890534.920000000041910,864091.200000000069849,862505.079999999958090,812104.819999999948777,836119.190000000060536,836570.119999999878928,848789.030000000027940,879316.850000000093132,855228.890000000130385,829419.550000000046566,827161.500000000000000,826659.000000000000000,10168504.150000002235174
20171102,897044.840000000200234,865805.000000000116415,863644.119999999995343,808111.399999999906868,830377.949999999953434,823065.260000000009313,857613.760000000009313,888513.619999999995343,856005.340000000083819,825792.450000000069849,824322.609999999986030,834743.000000000000000,10175043.349999999627471
20171103,920469.880000000121072,869864.000000000116415,864656.599999999976717,805729.359999999869615,832826.420000000041910,831562.699999999837019,860419.310000000055879,889465.010000000125729,865167.450000000069849,826460.599999999976717,825433.479999999981374,843015.000000000116415,10235073.810000002384186
