訓練日期,20100804 - 20101103
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11013199.219999998807907
真實報酬,1013199.219999998807907

夏普值報酬,0.092619922000000
夏普值風險,0.028605580994724
夏普值,3.237826982681537

預期報酬,14968.303344152025602
風險,73512.805568803451024
趨勢值,0.203614910740179
找到最佳解世代,2873
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](1),PG[21](12),VZ[26](2),
Stock#,MCD[15](1),PG[21](12),VZ[26](2),
張數,47314,55611,112841,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,61.699999999720603,9.660000000149012,9.859999999869615,
20100804,3344688.359999999403954,3311644.709999999962747,3317535.259999999776483,9973869.329999998211861
20100805,3333333.000000000000000,3328884.120000000111759,3334461.410000000149012,9996679.530000001192093
20100806,3394368.059999999590218,3337781.880000000353903,3334461.410000000149012,10066612.349999999627471
20100809,3450198.579999999608845,3357801.840000000316650,3369442.119999999646097,10177443.539999999105930
20100810,3446413.459999999962747,3380046.240000000223517,3387496.679999999701977,10213957.379999998956919
20100811,3386324.679999999236315,3351684.630000000353903,3335589.819999999832362,10073600.129999998956919
20100812,3409508.540000000037253,3336113.550000000279397,3421348.979999999981374,10166972.070000000298023
20100813,3401465.159999999683350,3326659.680000000167638,3388625.089999999850988,10116750.929999999701977
20100816,3396733.760000000242144,3323879.130000000353903,3380726.219999999739230,10101340.109999999403954
20100817,3464392.779999999795109,3352796.850000000093132,3404422.830000000074506,10221613.460000000894070
20100818,3465812.199999999720603,3378377.910000000149012,3402166.009999999776483,10246357.119999999180436
20100819,3452564.279999999795109,3347235.750000000000000,3342360.279999999795109,10142161.309999998658895
20100820,3457768.819999999832362,3335557.439999999944121,3314150.029999999795109,10107477.289999999105930
20100823,3470070.459999999962747,3338337.990000000223517,3318663.669999999925494,10127073.120000001043081
20100824,3440735.779999999795109,3317761.919999999925494,3325434.129999999888241,10083932.829999998211861
20100825,3462973.359999999403954,3318318.030000000260770,3346873.919999999925494,10128166.309999998658895
20100826,3461553.939999999478459,3311088.600000000093132,3328819.359999999869615,10101462.899999998509884
20100827,3500824.559999999590218,3325547.459999999962747,3367185.299999999813735,10193558.320000000298023
20100830,3441682.059999999590218,3301634.729999999981374,3322048.899999999906868,10065366.689999999478459
20100831,3456822.540000000037253,3318318.030000000260770,3332204.589999999850988,10107346.160000000149012
20100901,3526847.260000000242144,3325547.459999999962747,3414578.520000000018626,10266974.240000000223517
20100902,3549557.979999999515712,3340562.430000000167638,3397652.369999999646097,10287773.779999999329448
20100903,3552869.959999999962747,3352796.850000000093132,3407808.059999999590218,10313475.870000001043081
20100907,3586462.899999999441206,3344455.200000000186265,3410064.879999999888241,10340983.980000000447035
20100908,3599710.819999999832362,3357245.729999999981374,3437146.719999999739230,10394104.269999999552965
20100909,3518803.879999999888241,3352796.850000000093132,3480026.299999999813735,10351628.030000001192093
20100910,3549084.839999999850988,3358914.060000000055879,3477769.479999999981374,10385769.380000000819564
20100913,3528266.679999999236315,3363362.939999999944121,3486796.759999999776483,10378427.379999998956919
20100914,3498458.859999999403954,3372260.700000000186265,3487925.169999999925494,10358645.730000000447035
20100915,3534890.639999999199063,3398397.870000000111759,3519520.649999999906868,10452810.160000000149012
20100916,3539148.899999999441206,3398397.870000000111759,3545474.080000000074506,10483021.849999999627471
20100917,3516438.179999999236315,3390612.330000000074506,3574812.739999999757856,10481864.250000000000000
20100920,3553816.239999999757856,3416193.390000000130385,3621077.550000000279397,10591088.179999999701977
20100921,3572741.839999999850988,3421198.380000000353903,3647030.979999999981374,10640972.200000001117587
20100922,3554762.519999999552965,3436213.350000000093132,3654929.850000000093132,10645906.719999998807907
20100923,3531578.659999999683350,3404515.080000000074506,3630104.830000000074506,10566199.570000000298023
20100924,3553343.099999999627471,3427871.700000000186265,3683140.100000000093132,10664355.900000000372529
20100927,3537256.339999999850988,3394505.100000000093132,3707965.119999999646097,10639727.559999998658895
20100928,3531105.519999999552965,3371148.479999999981374,3692167.379999999888241,10594422.379999998956919
20100929,3522589.000000000000000,3350572.410000000149012,3685396.919999999459833,10558559.330000000074506
20100930,3525427.839999999850988,3335001.330000000074506,3677498.050000000279397,10537928.220000000670552
20101001,3544826.579999999608845,3345567.419999999925494,3711350.350000000093132,10601745.349999999627471
20101004,3546246.000000000000000,3334445.220000000204891,3727148.089999999850988,10607840.310000000521541
20101005,3587409.179999999236315,3382270.680000000167638,3788082.229999999981374,10757763.089999999850988
20101006,3567537.299999999813735,3380602.350000000093132,3751973.109999999869615,10700113.759999999776483
20101007,3589301.739999999757856,3381158.459999999962747,3715863.989999999757856,10686325.189999999478459
20101008,3600657.099999999627471,3440106.120000000111759,3704579.889999999664724,10745344.109999999403954
20101011,3576526.959999999962747,3455677.200000000186265,3727148.089999999850988,10759353.250000000000000
20101012,3576053.819999999832362,3449003.880000000353903,3671856.000000000000000,10696914.699999999254942
20101013,3584097.199999999720603,3482926.590000000316650,3634618.469999999739230,10701643.259999999776483
20101014,3645132.260000000242144,3492380.459999999962747,3660571.899999999441206,10798085.620000001043081
20101015,3665950.419999999925494,3490156.020000000018626,3659443.489999999757856,10815550.929999999701977
20101018,3658380.179999999236315,3522966.510000000242144,3677498.050000000279397,10858845.740000000223517
20101019,3642766.559999999590218,3513512.640000000130385,3628976.419999999459833,10785256.619999999180436
20101020,3662638.439999999478459,3524078.729999999981374,3683140.100000000093132,10869858.269999999552965
20101021,3711371.859999999403954,3531864.270000000018626,3669599.180000000167638,10912836.309999998658895
20101022,3716576.399999999441206,3525747.060000000055879,3621077.550000000279397,10863402.009999999776483
20101025,3723673.500000000000000,3533532.600000000093132,3650416.209999999962747,10907623.309999998658895
20101026,3726512.339999999850988,3495717.120000000111759,3667342.359999999869615,10889572.820000000298023
20101027,3665950.419999999925494,3507951.540000000037253,3668470.769999999552965,10842373.730000000447035
20101028,3665950.419999999925494,3514068.750000000000000,3657186.669999999459833,10837206.839999999850988
20101029,3679671.479999999515712,3535200.930000000167638,3665085.539999999571592,10879958.949999999254942
20101101,3684876.019999999552965,3537981.479999999981374,3656058.259999999776483,10878916.759999999776483
20101102,3709479.299999999813735,3560225.879999999888241,3701194.659999999683350,10970900.839999999850988
20101103,3714210.699999999720603,3576353.070000000298023,3722634.450000000186265,11013199.219999998807907
