訓練日期,20170918 - 20171218
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11532991.690000001341105
真實報酬,1532991.690000001341105

夏普值報酬,0.144599169000000
夏普值風險,0.039006058567194
夏普值,3.707095110645592

預期報酬,21491.169935514870303
風險,46860.309014190985181
趨勢值,0.458622027631243
找到最佳解世代,2578
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,9
BA[2](11),CSCO[4](5),CVX[5](22),DIS[6](18),HD[9](10),INTC[11](13),TRV[22](8),V[25](12),WMT[28](4),
Stock#,BA[2](11),CSCO[4](5),CVX[5](22),DIS[6](18),HD[9](10),INTC[11](13),TRV[22](8),V[25](12),WMT[28](4),
張數,4462,34251,9693,11278,7014,30030,9205,10551,13823,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,73.000000000000000,8.560000000055879,2.410000000149012,2.439999999944121,93.399999999906868,1.000000000000000,67.500000000000000,90.699999999953434,18.260000000009313,
20170918,1129315.959999999962747,1113851.080000000074506,1116539.080000000074506,1106374.239999999990687,1106972.739999999990687,1111111.000000000000000,1111295.100000000093132,1106152.030000000027940,1105858.260000000009313,10007470.490000000223517
20170919,1126549.520000000018626,1112823.550000000046566,1127686.030000000260770,1110095.979999999981374,1105920.639999999897555,1118017.899999999906868,1110006.399999999906868,1112271.609999999869615,1106549.409999999916181,10029922.039999999105930
20170920,1139935.520000000018626,1116591.160000000149012,1127976.820000000298023,1118892.819999999832362,1113074.919999999925494,1113213.100000000093132,1122249.050000000046566,1112271.609999999869615,1112769.760000000009313,10076975.759999999776483
20170921,1142523.479999999981374,1120016.260000000242144,1128946.120000000111759,1115283.859999999869615,1116652.059999999823049,1117117.000000000000000,1118382.949999999953434,1111216.510000000009313,1105996.489999999990687,10076135.730000000447035
20170922,1144352.899999999906868,1142964.429999999934807,1136894.380000000121072,1112013.239999999990687,1122122.979999999981374,1116516.399999999906868,1123445.699999999953434,1113854.260000000009313,1099361.449999999953434,10111526.740000000223517
20170925,1134848.840000000083819,1154952.280000000027940,1143679.480000000214204,1122952.899999999906868,1130048.799999999813735,1115915.799999999813735,1129244.850000000093132,1087054.719999999972060,1094108.710000000195578,10112807.380000000819564
20170926,1132082.399999999906868,1156322.320000000065193,1139123.770000000018626,1112351.579999999841675,1131171.039999999804422,1125225.099999999860302,1128324.349999999860302,1086210.639999999897555,1097426.229999999981374,10108238.429999999701977
20170927,1139132.360000000102445,1146732.040000000037253,1138445.260000000242144,1119231.159999999916181,1128786.279999999795109,1127327.199999999953434,1128508.449999999953434,1096234.089999999850988,1096043.930000000167638,10120441.769999999552965
20170928,1134625.739999999990687,1142279.410000000149012,1140093.070000000298023,1105810.339999999850988,1138886.439999999944121,1136035.899999999906868,1130441.500000000000000,1103514.280000000027940,1091344.110000000102445,10123031.789999999105930
20170929,1134358.020000000018626,1151869.690000000176951,1138929.910000000149012,1111674.899999999906868,1147303.239999999990687,1143543.399999999906868,1127864.099999999860302,1103514.280000000027940,1080147.479999999981374,10139206.019999999552965
20171002,1142300.380000000121072,1155979.810000000055879,1138251.400000000139698,1126223.520000000018626,1150529.679999999934807,1172372.199999999953434,1135228.099999999860302,1112588.139999999897555,1084432.610000000102445,10217906.839999999850988
20171003,1139935.520000000018626,1159404.910000000149012,1142031.670000000158325,1136712.060000000055879,1158595.779999999795109,1182582.400000000139698,1138726.000000000000000,1114170.790000000037253,1095076.320000000065193,10267236.449999999254942
20171004,1141274.119999999878928,1145362.000000000000000,1139705.350000000093132,1134005.339999999850988,1159437.459999999962747,1181381.200000000186265,1140567.000000000000000,1111216.510000000009313,1093279.330000000074506,10246229.310000000521541
20171005,1155240.179999999934807,1150499.650000000139698,1149398.350000000093132,1129043.020000000018626,1165259.079999999841675,1187086.900000000139698,1145537.699999999953434,1121028.939999999944121,1097702.689999999944121,10300797.509999999776483
20171006,1153856.959999999962747,1155979.810000000055879,1134374.200000000186265,1128591.899999999906868,1163365.299999999813735,1190089.900000000139698,1151336.849999999860302,1126198.929999999934807,1092035.260000000009313,10295830.109999999403954
20171009,1153009.179999999934807,1156322.320000000065193,1140965.440000000176951,1122952.899999999906868,1162383.339999999850988,1196996.800000000046566,1150232.250000000000000,1129153.209999999962747,1113184.449999999953434,10325200.889999998733401
20171010,1164342.659999999916181,1149129.609999999869615,1151530.810000000055879,1123065.679999999934807,1158525.639999999897555,1190690.500000000000000,1159345.199999999953434,1132318.510000000009313,1162947.250000000000000,10391896.859999999403954
20171011,1166618.280000000027940,1150499.650000000139698,1156668.100000000093132,1111449.339999999850988,1159156.899999999906868,1180180.000000000000000,1156307.550000000046566,1144241.139999999897555,1185064.050000000046566,10410186.009999999776483
20171012,1168715.420000000158325,1139196.820000000065193,1154826.430000000167638,1093178.979999999981374,1154527.659999999916181,1176876.699999999953434,1159437.250000000000000,1140759.310000000055879,1190178.559999999823049,10377698.130000000819564
20171013,1163494.880000000121072,1146389.530000000027940,1155020.290000000037253,1098254.079999999841675,1153685.979999999981374,1191291.100000000093132,1166064.850000000093132,1146562.359999999869615,1197366.520000000018626,10418130.589999997988343
20171016,1159077.500000000000000,1148787.100000000093132,1164422.500000000000000,1106712.579999999841675,1151932.479999999981374,1193993.800000000046566,1185855.599999999860302,1142764.000000000000000,1185202.280000000027940,10438748.839999997988343
20171017,1154035.439999999944121,1150842.160000000149012,1165294.870000000111759,1109306.520000000018626,1145830.299999999813735,1194894.699999999953434,1184290.750000000000000,1134745.239999999990687,1188519.800000000046566,10427760.780000001192093
20171018,1160371.479999999981374,1149129.609999999869615,1145230.360000000102445,1108065.939999999944121,1146531.699999999720603,1208708.500000000000000,1196901.600000000093132,1137488.500000000000000,1191837.320000000065193,10444266.009999999776483
20171019,1155909.479999999981374,1155979.810000000055879,1145715.010000000242144,1116637.219999999972060,1145058.760000000009313,1203903.700000000186265,1225897.349999999860302,1129258.719999999972060,1194325.460000000195578,10472686.510000001639128
20171020,1181387.500000000000000,1173105.310000000055879,1149979.930000000167638,1121035.639999999897555,1146391.419999999925494,1214113.899999999906868,1227278.099999999860302,1134850.750000000000000,1208701.379999999888241,10556844.929999999701977
20171023,1170544.840000000083819,1176530.410000000149012,1152790.900000000139698,1113141.040000000037253,1155579.760000000009313,1226125.899999999906868,1237679.750000000000000,1134639.729999999981374,1225427.210000000195578,10592460.540000000968575
20171024,1186965.000000000000000,1184408.139999999897555,1155698.800000000279397,1108517.060000000055879,1164627.819999999832362,1229729.500000000000000,1226081.449999999953434,1143924.609999999869615,1216165.800000000046566,10616119.180000001564622
20171025,1153143.040000000037253,1174817.859999999869615,1148041.330000000074506,1102990.839999999850988,1164908.379999999888241,1224624.400000000139698,1213102.399999999906868,1155319.689999999944121,1223077.300000000046566,10560026.240000000223517
20171026,1156935.739999999990687,1173790.330000000074506,1148041.330000000074506,1111562.119999999878928,1175990.500000000000000,1241741.500000000000000,1214575.199999999953434,1158590.500000000000000,1225012.520000000018626,10606240.740000000223517
20171027,1144397.520000000018626,1179270.489999999990687,1100545.630000000121072,1108742.619999999878928,1173816.159999999916181,1333333.000000000000000,1206474.800000000046566,1157640.909999999916181,1218792.169999999925494,10623014.299999998882413
20171030,1156846.500000000000000,1165912.600000000093132,1108784.680000000167638,1105697.560000000055879,1159577.739999999990687,1332432.099999999860302,1220834.600000000093132,1161122.739999999990687,1201928.110000000102445,10613137.629999998956919
20171031,1151179.760000000009313,1169680.209999999962747,1123324.180000000167638,1103103.619999999878928,1162874.319999999832362,1366065.699999999953434,1219269.750000000000000,1160489.679999999934807,1206904.390000000130385,10662892.610000001266599
20171101,1153500.000000000000000,1185778.179999999934807,1123421.110000000102445,1116862.780000000027940,1160068.719999999972060,1402702.300000000046566,1228658.850000000093132,1171990.269999999785796,1215612.879999999888241,10758596.089999999850988
20171102,1171928.060000000055879,1171735.270000000018626,1117896.100000000093132,1109193.739999999990687,1141341.339999999850988,1414414.000000000000000,1239888.949999999953434,1171040.679999999934807,1227500.659999999916181,10764939.800000000745058
20171103,1168001.500000000000000,1180640.530000000027940,1114600.480000000214204,1112464.359999999869615,1153124.859999999869615,1391591.200000000186265,1227278.099999999860302,1175050.060000000055879,1239664.900000000139698,10762416.990000000223517
20171106,1178353.340000000083819,1178585.469999999972060,1134471.130000000121072,1135020.359999999869615,1151932.479999999981374,1402402.000000000000000,1228382.699999999953434,1180958.619999999878928,1226118.360000000102445,10816225.459999999031425
20171107,1187545.060000000055879,1178242.959999999962747,1136409.730000000214204,1145960.020000000018626,1148004.639999999897555,1404804.400000000139698,1230960.100000000093132,1182752.290000000037253,1229574.110000000102445,10844254.309999998658895
20171108,1185046.340000000083819,1181668.060000000055879,1130884.720000000204891,1141110.479999999981374,1150740.100000000093132,1402402.000000000000000,1229119.100000000093132,1186761.669999999925494,1247682.239999999990687,10855415.710000000894070
20171109,1172240.399999999906868,1166255.109999999869615,1136409.730000000214204,1158027.479999999981374,1145269.179999999934807,1390390.000000000000000,1238416.149999999906868,1183279.839999999850988,1248235.159999999916181,10838524.050000000745058
20171110,1163985.700000000186265,1164200.050000000046566,1135828.150000000139698,1181711.280000000027940,1151160.939999999944121,1368768.399999999906868,1247713.199999999953434,1180536.579999999841675,1256805.419999999925494,10850710.720000000670552
20171113,1170991.040000000037253,1162830.010000000242144,1136312.800000000279397,1181260.159999999916181,1159858.299999999813735,1373873.500000000000000,1227278.099999999860302,1175472.100000000093132,1257773.030000000027940,10845650.039999999105930
