訓練日期,20180208 - 20180511
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11261253.420000001788139
真實報酬,1261253.420000001788139

夏普值報酬,0.117425342000000
夏普值風險,0.034997739562149
夏普值,3.355226465168638

預期報酬,16035.598407516145016
風險,158777.193323374900501
趨勢值,0.100994343531801
找到最佳解世代,1891
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CVX[5](6),INTC[11](1),NKE[19](7),
Stock#,CVX[5](6),INTC[11](1),NKE[19](7),
張數,28912,73746,50789,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,68.520000000018626,13.799999999813735,50.930000000167638,
20180208,3246886.120000000111759,3152655.299999999813735,3173855.540000000037253,9573397.960000000894070
20180209,3281580.520000000018626,3241150.500000000000000,3326222.540000000037253,9848954.559999998658895
20180212,3295458.280000000260770,3306046.979999999515712,3351109.150000000372529,9952615.410000000149012
20180213,3275509.000000000000000,3278760.959999999962747,3345522.360000000335276,9899793.320000000298023
20180214,3285339.080000000074506,3346607.279999999795109,3451671.369999999646097,10083618.729999998584390
20180215,3253535.879999999888241,3386430.120000000111759,3468431.740000000689179,10108398.740000000223517
20180216,3242260.200000000186265,3359881.560000000055879,3468939.629999999888241,10071082.390000000596046
20180220,3208722.280000000260770,3415928.520000000018626,3427800.540000000037253,10052452.339999999850988
20180221,3153211.240000000223517,3387905.039999999571592,3405453.379999999888241,9946570.660000000149012
20180222,3177208.200000000186265,3377580.599999999627471,3409516.500000000000000,9964306.300000000745058
20180223,3255270.600000000093132,3519910.379999999422580,3461829.169999999925494,10237011.149999998509884
20180226,3313383.719999999739230,3621679.859999999869615,3537504.780000000260770,10472569.359999999403954
20180227,3284760.839999999850988,3680676.659999999683350,3455226.600000000093132,10420665.099999999627471
20180228,3235899.560000000055879,3634954.139999999664724,3404437.600000000093132,10275292.299999998882413
20180301,3239369.000000000000000,3528022.439999999944121,3368377.409999999683350,10135769.849999999627471
20180302,3227804.200000000186265,3612092.879999999422580,3346538.140000000130385,10186436.220000000670552
20180305,3271461.320000000298023,3668877.299999999813735,3303875.379999999888241,10244215.000000000000000
20180306,3285917.320000000298023,3739673.459999999962747,3313525.290000000037253,10339117.070000000298023
20180307,3291410.600000000093132,3784658.520000000018626,3259181.060000000055879,10335251.179999999701977
20180308,3277243.719999999739230,3741885.839999999850988,3306922.720000000204891,10326053.279999999329448
20180309,3389133.160000000149012,3848817.539999999571592,3367361.629999999888241,10605313.329999998211861
20180312,3376701.000000000000000,3799407.720000000204891,3393771.909999999683350,10569881.630000000819564
20180313,3367160.040000000037253,3818581.679999999701977,3360759.060000000055879,10546501.779999999329448
20180314,3328707.080000000074506,3824481.359999999869615,3362282.730000000447035,10515472.169999999925494
20180315,3341717.479999999981374,3752210.279999999795109,3371932.640000000130385,10465861.400000000372529
20180316,3336513.320000000298023,3773596.620000000111759,3347553.919999999925494,10457664.859999999403954
20180319,3292856.200000000186265,3748522.979999999515712,3337396.119999999646097,10378776.299999998882413
20180320,3310492.520000000018626,3801620.099999999627471,3392756.129999999888241,10504869.750000000000000
20180321,3383929.000000000000000,3802357.560000000055879,3369901.080000000074506,10556188.640000000596046
20180322,3287362.919999999925494,3748522.979999999515712,3271878.310000000055879,10307765.209999999031425
20180323,3266546.280000000260770,3640116.359999999869615,3282544.000000000000000,10189207.640000000596046
20180326,3335067.719999999739230,3870203.879999999422580,3347046.030000000260770,10552318.629999998956919
20180327,3315118.439999999944121,3775071.539999999571592,3360759.060000000055879,10450950.039999999105930
20180328,3241103.719999999739230,3657815.399999999906868,3323683.089999999850988,10222603.209999999031425
20180329,3297193.000000000000000,3840705.479999999515712,3374472.089999999850988,10512371.570000000298023
20180402,3245151.399999999906868,3607668.120000000111759,3256641.610000000335276,10109462.129999998956919
20180403,3320033.479999999981374,3668877.299999999813735,3387677.230000000447035,10376589.009999999776483
20180404,3309914.280000000260770,3686576.339999999850988,3475034.310000000055879,10471525.929999999701977
20180405,3391157.000000000000000,3715337.279999999795109,3534457.440000000409782,10640952.719999998807907
20180406,3318009.640000000130385,3598081.139999999664724,3430847.879999999888241,10346939.660000000149012
20180409,3353282.280000000260770,3654128.099999999627471,3412055.950000000651926,10419467.330000000074506
20180410,3436259.719999999739230,3780971.220000000204891,3402913.930000000167638,10620145.869999999180436
20180411,3447824.520000000018626,3768434.399999999906868,3394279.800000000279397,10610539.720000000670552
20180412,3447246.280000000260770,3887902.919999999925494,3442021.459999999962747,10777171.660000000149012
20180413,3467195.560000000055879,3824481.359999999869615,3415611.180000000167638,10707289.099999999627471
20180416,3489746.919999999925494,3864304.199999999720603,3405961.270000000484288,10760013.390000000596046
20180417,3489746.919999999925494,3948374.639999999664724,3428816.320000000298023,10866938.879999998956919
20180418,3579952.359999999869615,3953536.859999999869615,3362282.730000000447035,10895772.949999999254942
20180419,3576772.040000000037253,3851029.919999999925494,3338411.900000000372529,10766214.859999999403954
20180420,3536295.240000000223517,3800145.179999999701977,3356695.940000000409782,10693137.359999999403954
20180423,3573013.479999999981374,3768434.399999999906868,3396819.250000000000000,10738268.129999998956919
20180424,3542945.000000000000000,3794245.500000000000000,3401390.260000000242144,10738581.759999999776483
20180425,3548149.160000000149012,3789083.279999999795109,3386153.560000000055879,10723387.000000000000000
20180426,3591517.160000000149012,3912239.099999999627471,3456242.379999999888241,10959999.640000000596046
20180427,3660905.959999999962747,3888640.379999999422580,3532933.770000000484288,11082481.109999999403954
20180430,3617248.839999999850988,3806782.319999999832362,3473510.640000000130385,10897542.800000000745058
20180501,3610020.839999999850988,3932887.979999999515712,3458781.830000000074506,11001691.649999998509884
20180502,3628235.399999999906868,3857667.060000000055879,3466908.070000000298023,10952811.530000001192093
20180503,3643269.640000000130385,3855454.679999999701977,3397835.030000000260770,10896560.350000001490116
20180504,3629391.879999999888241,3892327.679999999701977,3458781.830000000074506,10980502.390000000596046
20180507,3612333.799999999813735,3932887.979999999515712,3521760.190000000409782,11066982.969999998807907
20180508,3659460.359999999869615,3955011.779999999795109,3477065.869999999646097,11091539.009999999776483
20180509,3721621.160000000149012,4007371.439999999944121,3451163.480000000447035,11180157.080000000074506
20180510,3724512.359999999869615,4054568.879999999422580,3449639.810000000055879,11228722.049999998882413
20180511,3754002.600000000093132,4031707.620000000111759,3475542.200000000651926,11261253.420000001788139
