訓練日期,20170516 - 20170816
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11140771.170000001788139
真實報酬,1140771.170000001788139

夏普值報酬,0.105377117000000
夏普值風險,0.033803262003319
夏普值,3.117365329702629

預期報酬,18078.105975230882905
風險,59155.635886227326409
趨勢值,0.305602428313003
找到最佳解世代,2248
找到最佳解實驗#,1
找到最佳解次數,44

stock[index](rank)
投資組合檔數,8
AXP[1](2),BA[2](3),JNJ[12](9),KO[14](11),MCD[15](4),NKE[19](12),TRV[22](6),UNH[23](1),
Stock#,AXP[1](2),BA[2](3),JNJ[12](9),KO[14](11),MCD[15](4),NKE[19](12),TRV[22](6),UNH[23](1),
張數,15958,6853,9843,28584,8545,23247,10395,7287,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,9.860000000102445,81.330000000074506,37.429999999934807,21.680000000167638,37.399999999906868,8.809999999823049,1.250000000000000,60.889999999897555,
20170516,1246808.400000000139698,1252124.429999999934807,1257677.539999999804422,1253430.080000000307336,1258630.449999999953434,1226985.469999999739230,1246673.600000000093132,1225151.329999999841675,9967481.300000000745058
20170517,1218722.320000000065193,1225260.670000000158325,1246850.239999999990687,1255716.800000000046566,1251110.849999999860302,1204203.409999999683350,1250000.000000000000000,1230543.709999999962747,9882408.000000000000000
20170518,1218881.900000000139698,1215803.530000000027940,1249803.139999999897555,1252000.880000000121072,1256237.849999999860302,1201413.769999999785796,1256548.849999999860302,1249417.039999999804422,9900106.959999999031425
20170519,1225584.260000000009313,1238829.610000000102445,1250098.429999999934807,1254859.280000000027940,1265979.149999999906868,1203506.000000000000000,1255613.300000000046566,1257724.219999999972060,9952194.250000001862645
20170522,1228456.700000000186265,1258771.840000000083819,1252657.609999999869615,1262862.800000000046566,1266320.949999999953434,1198856.599999999860302,1264553.000000000000000,1273099.789999999804422,10005579.289999999105930
20170523,1231967.460000000195578,1257538.300000000046566,1255216.789999999804422,1268865.440000000176951,1263159.299999999813735,1213502.209999999962747,1264656.949999999953434,1276889.029999999795109,10031795.479999998584390
20170524,1230690.820000000065193,1269599.580000000074506,1255118.359999999869615,1287159.200000000186265,1277514.899999999906868,1209085.279999999795109,1268711.000000000000000,1279585.219999999972060,10077464.360000001266599
20170525,1235797.380000000121072,1282072.040000000037253,1255315.219999999972060,1298021.120000000111759,1279907.500000000000000,1216989.259999999776483,1286070.649999999906868,1297511.239999999990687,10151684.410000000149012
20170526,1236116.540000000037253,1278782.600000000093132,1249310.989999999990687,1297449.440000000176951,1280591.100000000093132,1222568.539999999804422,1285446.949999999953434,1293503.389999999897555,10143769.550000000745058
20170530,1230212.080000000074506,1280769.969999999972060,1251181.159999999916181,1298592.800000000046566,1281189.250000000000000,1230240.049999999813735,1286174.600000000093132,1286872.219999999972060,10145232.130000000819564
20170531,1227818.380000000121072,1285909.719999999972060,1262402.179999999934807,1299736.160000000149012,1289392.449999999720603,1231867.339999999850988,1297817.000000000000000,1276597.550000000046566,10171540.780000001192093
20170601,1249202.100000000093132,1283785.290000000037253,1267618.969999999972060,1308883.040000000037253,1302209.949999999720603,1215826.909999999683350,1303534.250000000000000,1308660.350000000093132,10239720.859999999403954
20170602,1252553.280000000027940,1303727.520000000018626,1280414.870000000111759,1311741.440000000176951,1313745.699999999953434,1231634.869999999646097,1300935.500000000000000,1307275.819999999832362,10302029.000000000000000
20170605,1260213.120000000111759,1294955.679999999934807,1283170.910000000149012,1314599.840000000316650,1305627.949999999953434,1232332.279999999795109,1303326.349999999860302,1307130.079999999841675,10301356.210000000894070
20170606,1258298.159999999916181,1279879.080000000074506,1287797.120000000111759,1314314.000000000000000,1292297.749999999767169,1220011.369999999646097,1289293.100000000093132,1317696.229999999748543,10259586.810000000521541
20170607,1273617.840000000083819,1289130.630000000121072,1287009.679999999934807,1300879.520000000018626,1298364.699999999953434,1237446.619999999646097,1283783.750000000000000,1335112.159999999916181,10305344.900000000372529
20170608,1275851.960000000195578,1301671.620000000111759,1285041.080000000074506,1290017.600000000325963,1294006.750000000000000,1236749.209999999962747,1286694.350000000093132,1324035.919999999925494,10294068.490000000223517
20170609,1281596.840000000083819,1302356.920000000158325,1294687.219999999972060,1295448.560000000288710,1294433.999999999767169,1242793.429999999934807,1301767.100000000093132,1322359.909999999916181,10335443.980000000447035
20170612,1279362.720000000204891,1302151.330000000074506,1297541.689999999944121,1295734.400000000139698,1268713.549999999813735,1256044.219999999739230,1306340.899999999906868,1306255.639999999897555,10312144.450000001117587
20170613,1286065.080000000074506,1309621.100000000093132,1299510.290000000037253,1287159.200000000186265,1280249.299999999813735,1262553.379999999888241,1310810.750000000000000,1319372.239999999990687,10355341.339999999850988
20170614,1290054.580000000074506,1318461.469999999972060,1306892.540000000037253,1294876.880000000121072,1287598.000000000000000,1270689.829999999841675,1330145.449999999953434,1328918.209999999962747,10427636.960000000894070
20170615,1287820.460000000195578,1339500.179999999934807,1309550.149999999906868,1293447.680000000167638,1291785.049999999813735,1229775.109999999869615,1341164.150000000139698,1314489.949999999953434,10407532.730000000447035
20170616,1299788.960000000195578,1346284.650000000139698,1322444.479999999981374,1295162.720000000204891,1298791.949999999953434,1187930.509999999776483,1345530.050000000046566,1323598.699999999953434,10419532.019999999552965
20170619,1306650.900000000139698,1364376.570000000065193,1319688.439999999944121,1297163.600000000325963,1308618.699999999720603,1209317.750000000000000,1333367.900000000139698,1333727.629999999888241,10472911.490000002086163
20170620,1316704.440000000176951,1359236.820000000065193,1321164.889999999897555,1303737.920000000158325,1316565.549999999813735,1198624.129999999888241,1338357.500000000000000,1335549.379999999888241,10489940.629999998956919
20170621,1311917.040000000037253,1364993.340000000083819,1327956.559999999823049,1292590.160000000149012,1313660.249999999767169,1222568.539999999804422,1336590.350000000093132,1347572.929999999701977,10517849.169999999925494
20170622,1312555.360000000102445,1366843.650000000139698,1339177.580000000074506,1288302.560000000288710,1322803.399999999906868,1218151.609999999869615,1333783.699999999953434,1359086.389999999897555,10540704.250000000000000
20170623,1312076.620000000111759,1385963.520000000018626,1342917.919999999925494,1293447.680000000167638,1321436.199999999720603,1228612.759999999776483,1327026.949999999953434,1349977.639999999897555,10561459.289999999105930
20170626,1323885.540000000037253,1370544.270000000018626,1342032.050000000046566,1298592.800000000046566,1315625.599999999860302,1238608.969999999739230,1330041.500000000000000,1349030.329999999841675,10568361.060000000521541
20170627,1325800.500000000000000,1363074.500000000000000,1328940.859999999869615,1287730.880000000121072,1313574.799999999813735,1230937.459999999962747,1324116.349999999860302,1345241.089999999850988,10519416.439999999478459
20170628,1340003.120000000111759,1368077.190000000176951,1317227.689999999944121,1295448.560000000288710,1318530.899999999906868,1240468.729999999748543,1328274.350000000093132,1353256.789999999804422,10561287.330000000074506
20170629,1334577.400000000139698,1353274.710000000195578,1305612.949999999720603,1281442.400000000139698,1308533.249999999767169,1236051.799999999813735,1313825.300000000046566,1350123.379999999888241,10483441.190000001341105
20170630,1344311.780000000027940,1355262.080000000074506,1302167.899999999906868,1282014.080000000307336,1308789.599999999860302,1371581.809999999823049,1315280.600000000093132,1351216.429999999701977,10630624.279999999329448
20170703,1358035.659999999916181,1361018.600000000093132,1308172.129999999888241,1279441.520000000018626,1303149.899999999906868,1363445.359999999869615,1323700.550000000046566,1360179.439999999944121,10657143.160000000149012
20170705,1354684.480000000214204,1383085.260000000009313,1315455.949999999720603,1281156.560000000288710,1308020.549999999813735,1338106.129999999888241,1313617.400000000139698,1371838.639999999897555,10665964.970000000670552
20170706,1336332.780000000027940,1380823.770000000018626,1304431.790000000037253,1269151.280000000027940,1308191.449999999953434,1328807.329999999841675,1311642.350000000093132,1362292.669999999925494,10601673.419999999925494
20170707,1345748.000000000000000,1386922.940000000176951,1304628.649999999906868,1268865.440000000176951,1335364.550000000046566,1347869.869999999646097,1321933.399999999906868,1369725.409999999916181,10681058.259999999776483
20170710,1345269.260000000009313,1397819.210000000195578,1294884.080000000074506,1268579.600000000325963,1328955.800000000046566,1365305.119999999646097,1307380.399999999906868,1362365.539999999804422,10670559.009999999776483
20170711,1343035.140000000130385,1413649.640000000130385,1291734.319999999832362,1267150.400000000139698,1323743.349999999860302,1352519.269999999785796,1299896.000000000000000,1355078.539999999804422,10646806.659999998286366
20170712,1353567.419999999925494,1414814.650000000139698,1301577.319999999832362,1272295.520000000018626,1338013.500000000000000,1353449.149999999906868,1301975.000000000000000,1360470.919999999925494,10696163.480000000447035
20170713,1362344.320000000065193,1413375.520000000018626,1297935.410000000149012,1270008.800000000046566,1324854.199999999953434,1346939.989999999757856,1303846.100000000093132,1351653.649999999906868,10670957.990000000223517
20170714,1360908.100000000093132,1429000.360000000102445,1305219.229999999981374,1277154.800000000046566,1326905.000000000000000,1348334.809999999823049,1306860.649999999906868,1362001.189999999944121,10716384.139999998733401
20170717,1359950.620000000111759,1432358.330000000074506,1300789.879999999888241,1278584.000000000000000,1326734.099999999860302,1343452.939999999711290,1312162.100000000093132,1357993.339999999850988,10712025.309999998658895
20170718,1364738.020000000018626,1427150.050000000046566,1323527.209999999962747,1276868.960000000195578,1315625.599999999860302,1340198.359999999869615,1304885.600000000093132,1361636.839999999850988,10714630.639999998733401
20170719,1371280.800000000279397,1445241.969999999972060,1330909.459999999962747,1281442.400000000139698,1315027.449999999720603,1342988.000000000000000,1314552.949999999953434,1378688.419999999925494,10780131.449999999254942
20170720,1362025.159999999916181,1441130.170000000158325,1344295.939999999944121,1281156.560000000288710,1317761.849999999860302,1373906.509999999776483,1294906.399999999906868,1395521.389999999897555,10810703.980000000447035
20170721,1365855.080000000074506,1453876.750000000000000,1331893.760000000009313,1287159.200000000186265,1315283.799999999813735,1393666.459999999962747,1300935.500000000000000,1397561.750000000000000,10846232.300000000745058
20170724,1356439.860000000102445,1454150.870000000111759,1309254.859999999869615,1281728.240000000223517,1297595.649999999906868,1370419.459999999962747,1313721.349999999860302,1391076.319999999832362,10774386.610000001266599
20170725,1362982.640000000130385,1456069.710000000195578,1298132.269999999785796,1293161.840000000316650,1359290.549999999813735,1380648.139999999897555,1324947.949999999953434,1387505.689999999944121,10862738.789999999105930
20170726,1361227.260000000009313,1599914.179999999934807,1288978.279999999795109,1307453.840000000316650,1337415.349999999860302,1356703.729999999748543,1309771.250000000000000,1390056.139999999897555,10951520.030000001192093
20170727,1338088.159999999916181,1651654.330000000074506,1287797.120000000111759,1318315.760000000009313,1341175.149999999906868,1351821.859999999869615,1308523.849999999860302,1376793.800000000046566,10974170.029999999329448
20170728,1353248.260000000009313,1653504.640000000130385,1297836.979999999981374,1315171.520000000018626,1331775.649999999906868,1363910.299999999813735,1322349.199999999953434,1392970.939999999944121,11030767.490000000223517
20170731,1360110.200000000186265,1661659.710000000195578,1306400.389999999897555,1310312.240000000223517,1325708.699999999720603,1372744.159999999683350,1331496.800000000046566,1397780.359999999869615,11066212.560000000521541
20170801,1360269.780000000027940,1640963.650000000139698,1304333.359999999869615,1306310.480000000214204,1316309.199999999953434,1391109.289999999804422,1343139.200000000186265,1400840.899999999906868,11063275.860000001266599
20170802,1361227.260000000009313,1630752.679999999934807,1300888.309999999823049,1303166.240000000223517,1338098.949999999953434,1389946.939999999711290,1338149.599999999860302,1406451.889999999897555,11068681.870000001043081
20170803,1365057.180000000167638,1632808.580000000074506,1312601.479999999981374,1305452.960000000195578,1322119.799999999813735,1398083.389999999897555,1346777.449999999953434,1419349.879999999888241,11102250.719999998807907
20170804,1371919.120000000111759,1629107.960000000195578,1310928.169999999925494,1300593.680000000167638,1314429.299999999813735,1389249.529999999795109,1348128.800000000046566,1420151.449999999953434,11084508.009999999776483
20170807,1370004.159999999916181,1646377.520000000018626,1307778.410000000149012,1304595.440000000176951,1324256.049999999813735,1389946.939999999711290,1338877.250000000232831,1419422.750000000000000,11101258.519999999552965
20170808,1371440.380000000121072,1641374.830000000074506,1301971.040000000037253,1303452.080000000307336,1323828.799999999813735,1382275.429999999934807,1336278.500000000232831,1420297.189999999944121,11080918.250000000000000
20170809,1367450.880000000121072,1605807.760000000009313,1311420.319999999832362,1303166.240000000223517,1323828.799999999813735,1392504.109999999869615,1352910.500000000000000,1419787.100000000093132,11076875.709999999031425
20170810,1349418.340000000083819,1596007.969999999972060,1310042.300000000046566,1307453.840000000316650,1338355.300000000046566,1373209.099999999860302,1348128.800000000046566,1403318.479999999748543,11025934.130000000819564
20170811,1345109.680000000167638,1609713.969999999972060,1310140.729999999981374,1303166.240000000223517,1344165.899999999906868,1370884.399999999906868,1332432.350000000093132,1406597.629999999888241,11022210.900000002235174
20170814,1363940.120000000111759,1625270.280000000027940,1313881.069999999832362,1309168.880000000121072,1343824.099999999860302,1389714.469999999739230,1338773.299999999813735,1411625.659999999916181,11096197.879999998956919
20170815,1385004.680000000167638,1639113.340000000083819,1312896.769999999785796,1320316.640000000130385,1346900.300000000046566,1361353.129999999888241,1341476.000000000232831,1417382.389999999897555,11124443.250000000000000
20170816,1394579.480000000214204,1628285.600000000093132,1320672.739999999757856,1320602.480000000214204,1357837.899999999906868,1360888.189999999711290,1345841.899999999906868,1412062.879999999888241,11140771.170000001788139
