訓練日期,20160304 - 20160606
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11116740.240000000223517
真實報酬,1116740.240000000223517

夏普值報酬,0.102974024000000
夏普值風險,0.030278542155901
夏普值,3.400891082199279

預期報酬,17709.033126034264569
風險,80905.941117313021095
趨勢值,0.218884211486475
找到最佳解世代,1917
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
IBM[10](9),JNJ[12](1),PFE[20](3),XOM[29](2),
20160506,2672167.579999999608845,2642755.689999999944121,2808631.599999999627471,2685371.290000000037253,10808926.160000000149012
20160509,2673074.680000000167638,2665727.870000000111759,2828705.199999999720603,2687191.629999999888241,10854699.379999998956919
20160510,2720788.139999999664724,2687996.820000000298023,2827032.399999999441206,2730273.009999999776483,10966090.369999999180436
20160511,2702283.299999999813735,2680964.520000000018626,2773502.799999999813735,2694472.989999999757856,10851223.609999999403954
20160512,2700287.680000000167638,2677682.780000000260770,2776011.999999999534339,2720564.529999999795109,10874546.990000000223517
20160513,2679968.639999999664724,2661977.310000000055879,2776011.999999999534339,2689922.139999999664724,10807880.089999999850988
20160516,2711535.720000000204891,2682605.390000000130385,2791903.600000000093132,2717530.629999999888241,10903575.339999999850988
20160517,2685048.399999999906868,2668306.379999999888241,2762629.600000000093132,2716317.069999999832362,10832301.449999999254942
20160518,2673074.680000000167638,2662680.540000000037253,2774339.200000000186265,2710856.049999999813735,10820950.470000000670552
20160519,2629352.459999999962747,2645334.200000000186265,2791903.600000000093132,2733913.689999999944121,10800503.949999999254942
20160520,2671441.899999999906868,2640411.590000000316650,2822014.000000000000000,2722688.259999999776483,10856555.750000000000000
20160523,2662733.740000000223517,2629159.910000000149012,2816159.200000000186265,2718440.799999999813735,10826493.650000000372529
20160524,2690672.419999999925494,2641583.640000000130385,2852124.399999999906868,2720564.529999999795109,10904944.990000000223517
20160525,2751992.379999999888241,2657054.700000000186265,2873034.399999999906868,2738464.540000000037253,11020546.019999999552965
20160526,2765598.879999999888241,2646506.250000000000000,2879725.600000000093132,2724508.599999999627471,11016339.330000000074506
20160527,2772855.680000000167638,2650256.810000000055879,2894780.799999999813735,2730879.790000000037253,11048773.080000000074506
20160531,2789183.479999999981374,2641583.640000000130385,2902308.400000000372529,2700844.179999999701977,11033919.699999999254942
20160601,2766868.819999999832362,2643693.330000000074506,2906490.399999999906868,2707518.759999999776483,11024571.310000000521541
20160602,2784829.399999999906868,2683777.439999999944121,2916527.199999999720603,2685978.069999999832362,11071112.109999999403954
20160603,2773762.779999999795109,2690106.510000000242144,2901471.999999999534339,2681123.830000000074506,11046465.119999999180436
20160606,2770860.059999999590218,2713781.919999999925494,2921545.600000000093132,2710552.660000000149012,11116740.240000000223517
