訓練日期,20111222 - 20120327
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12534363.139999998733401
真實報酬,2534363.139999998733401

夏普值報酬,0.244736314000000
夏普值風險,0.065833136582195
夏普值,3.717524740666688

預期報酬,39183.171606576623162
風險,82685.192492765825591
趨勢值,0.473883780460507
找到最佳解世代,2862
找到最佳解實驗#,2
找到最佳解次數,40

stock[index](rank)
投資組合檔數,7
AAPL[0](3),GS[8](6),HD[9](1),INTC[11](11),MSFT[18](4),PG[21](24),V[25](14),
Stock#,AAPL[0](3),GS[8](6),HD[9](1),INTC[11](11),MSFT[18](4),PG[21](24),V[25](14),
張數,25221,15527,34013,60328,55456,21645,56734,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,53.560000000055879,87.000000000000000,25.000000000000000,3.959999999962747,24.439999999944121,1.000000000000000,8.880000000121072,
20111222,1436137.300000000046566,1466146.340000000083819,1425849.959999999962747,1449082.520000000018626,1431343.799999999813735,1432683.550000000046566,1426301.640000000130385,10067548.109999999403954
20111223,1453287.580000000074506,1456364.330000000074506,1431632.170000000158325,1472007.159999999916181,1443544.120000000111759,1443073.150000000139698,1453533.960000000195578,10153445.470000000670552
20111227,1464889.239999999990687,1427018.300000000046566,1436053.859999999869615,1481659.639999999897555,1444098.679999999934807,1445670.550000000046566,1445591.200000000186265,10144984.469999998807907
20111228,1450765.480000000214204,1399380.239999999990687,1412584.890000000130385,1461751.399999999906868,1431898.359999999869615,1440259.300000000046566,1428571.000000000000000,10025213.669999999925494
20111229,1459592.830000000074506,1413199.270000000018626,1428911.129999999888241,1481056.360000000102445,1442989.559999999823049,1449566.649999999906868,1463178.739999999990687,10138497.540000000968575
20111230,1459340.620000000111759,1404193.610000000102445,1429931.520000000018626,1462957.959999999962747,1439662.199999999953434,1443938.949999999953434,1439917.800000000046566,10079945.660000000149012
20120103,1481787.310000000055879,1480741.719999999972060,1433332.820000000065193,1480453.079999999841675,1484581.559999999823049,1446536.349999999860302,1460909.380000000121072,10268345.220000000670552
20120104,1489605.820000000065193,1471114.979999999981374,1453740.620000000111759,1514840.040000000037253,1519518.839999999850988,1445887.000000000000000,1434811.739999999990687,10329522.040000000968575
20120105,1506251.679999999934807,1468630.659999999916181,1465645.170000000158325,1532335.159999999916181,1535046.520000000018626,1439826.399999999906868,1445591.200000000186265,10393329.789999999105930
20120106,1521888.700000000186265,1450619.340000000083819,1469386.600000000093132,1523285.959999999962747,1558892.599999999860302,1436363.199999999953434,1428571.000000000000000,10389010.400000000372529
20120109,1519618.810000000055879,1470338.629999999888241,1470406.989999999990687,1536558.119999999878928,1538373.879999999888241,1442423.800000000046566,1417224.200000000186265,10394947.429999999701977
20120110,1524915.219999999972060,1526856.909999999916181,1480610.890000000130385,1543797.479999999981374,1543919.479999999981374,1435713.849999999860302,1415522.180000000167638,10471339.009999999776483
20120111,1522393.120000000111759,1549060.520000000018626,1478229.979999999981374,1556466.360000000102445,1537264.759999999776483,1421644.600000000093132,1405877.400000000139698,10470939.740000000223517
20120112,1518357.760000000242144,1571574.669999999925494,1475849.070000000065193,1553449.959999999962747,1552792.439999999944121,1424458.449999999953434,1437648.440000000176951,10534133.789999999105930
20120113,1512556.929999999934807,1536638.919999999925494,1479930.629999999888241,1516649.879999999888241,1566656.439999999944121,1424458.449999999953434,1429138.340000000083819,10466032.589999997988343
20120117,1530211.630000000121072,1516764.360000000102445,1487753.620000000111759,1510617.079999999841675,1567211.000000000000000,1434198.700000000186265,1454101.300000000046566,10500860.690000001341105
