訓練日期,20130108 - 20130411
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11323912.630000000819564
真實報酬,1323912.630000000819564

夏普值報酬,0.123691263000000
夏普值風險,0.034638774422536
夏普值,3.570890282986655

預期報酬,19330.804924678373936
風險,45714.910486403154209
趨勢值,0.422855578606632
找到最佳解世代,2899
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,8
AXP[1](15),JNJ[12](1),MMM[16](5),MRK[17](24),MSFT[18](12),PG[21](10),TRV[22](2),VZ[26](23),
Stock#,AXP[1](15),JNJ[12](1),MMM[16](5),MRK[17](24),MSFT[18](12),PG[21](10),TRV[22](2),VZ[26](23),
張數,20882,17507,13090,29677,46834,18216,17109,27970,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,3.479999999981374,0.199999999953434,35.900000000139698,4.760000000009313,0.540000000037253,18.079999999841675,16.459999999962747,20.699999999953434,
20130108,1257099.880000000121072,1250175.069999999832362,1250130.900000000139698,1251780.620000000111759,1243443.239999999990687,1247996.239999999990687,1252224.169999999925494,1205527.699999999953434,9958377.820000000298023
20130109,1258352.800000000046566,1255777.310000000055879,1262042.800000000046566,1263948.190000000176951,1250468.340000000083819,1254736.159999999683350,1265055.919999999925494,1202730.699999999953434,10013112.219999998807907
20130110,1269420.260000000009313,1263830.530000000027940,1268326.000000000232831,1269586.820000000065193,1239228.180000000167638,1261840.399999999674037,1273781.510000000009313,1219233.000000000000000,10065246.700000001117587
20130111,1278817.159999999916181,1266631.649999999906868,1260341.100000000093132,1282941.469999999972060,1256556.760000000009313,1260929.599999999860302,1280625.109999999869615,1211121.699999999953434,10097964.549999998882413
20130114,1278190.699999999953434,1270308.119999999878928,1270813.100000000093132,1286205.940000000176951,1259366.800000000046566,1268398.159999999683350,1282336.010000000009313,1191263.000000000000000,10106881.830000000074506
20130115,1268793.800000000046566,1266981.790000000037253,1273562.000000000232831,1272257.750000000000000,1274353.680000000167638,1272952.159999999683350,1292772.500000000000000,1173921.599999999860302,10095595.279999999329448
20130116,1265870.319999999832362,1270658.260000000009313,1277619.900000000139698,1262464.340000000083819,1266391.899999999906868,1263115.520000000018626,1292601.409999999916181,1161055.399999999906868,10059777.050000000745058
20130117,1268376.159999999916181,1276260.500000000000000,1283903.100000000093132,1268696.510000000009313,1276227.040000000037253,1269126.799999999813735,1298589.560000000055879,1178396.800000000046566,10119576.470000000670552
20130118,1248329.439999999944121,1282037.810000000055879,1292542.500000000000000,1275522.219999999972060,1276227.040000000037253,1274045.119999999878928,1305604.250000000000000,1189864.500000000000000,10144172.879999998956919
20130122,1240394.280000000027940,1272584.030000000027940,1300265.600000000093132,1282051.160000000149012,1271543.639999999897555,1274227.279999999795109,1333663.010000000009313,1201052.500000000000000,10175781.500000000000000
20130123,1230579.739999999990687,1275385.149999999906868,1302360.000000000000000,1270773.899999999906868,1293087.280000000027940,1287707.119999999878928,1328359.219999999972060,1196857.000000000000000,10185109.410000000149012
20130124,1238306.079999999841675,1279761.899999999906868,1304716.200000000186265,1276115.760000000009313,1294023.959999999962747,1282788.799999999813735,1336058.270000000018626,1191263.000000000000000,10203033.969999998807907
20130125,1242482.479999999981374,1294117.639999999897555,1316759.000000000232831,1289767.179999999934807,1305732.459999999962747,1334340.079999999841675,1340506.609999999869615,1193500.600000000093132,10317206.049999998882413
