訓練日期,20140409 - 20140711
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11047724.229999998584390
真實報酬,1047724.229999998584390

夏普值報酬,0.096072423000000
夏普值風險,0.030757885069735
夏普值,3.123505494028028

預期報酬,16941.072622964820766
風險,42572.691682998105534
趨勢值,0.397932852099423
找到最佳解世代,1677
找到最佳解實驗#,2
找到最佳解次數,37

stock[index](rank)
投資組合檔數,8
AAPL[0](1),CSCO[4](7),INTC[11](22),KO[14](8),MCD[15](20),TRV[22](4),UNH[23](27),XOM[29](16),
Stock#,AAPL[0](1),CSCO[4](7),INTC[11](22),KO[14](8),MCD[15](20),TRV[22](4),UNH[23](27),XOM[29](16),
張數,16715,54489,46451,32133,12744,14752,15497,12827,
20140520,1444061.150000000139698,1314297.020000000018626,1209587.630000000121072,1303983.439999999944121,1293966.800000000046566,1367130.880000000121072,1188012.000000000000000,1291302.939999999944121,10412341.859999999403954
20140521,1447905.600000000093132,1333913.059999999823049,1217019.790000000037253,1313302.010000000009313,1307093.120000000111759,1369933.760000000009313,1204438.820000000065193,1308747.659999999916181,10502353.820000000298023
20140522,1450078.550000000046566,1328464.159999999683350,1214697.239999999990687,1303983.439999999944121,1305691.280000000027940,1372146.560000000055879,1214046.959999999962747,1301949.349999999860302,10491057.540000000968575
20140523,1466459.250000000000000,1336092.619999999878928,1221200.380000000121072,1303983.439999999944121,1299956.479999999981374,1369933.760000000009313,1220710.669999999925494,1299640.489999999757856,10517977.089999999850988
20140527,1494039.000000000000000,1346445.529999999795109,1240709.800000000046566,1310088.710000000195578,1304544.320000000065193,1379227.520000000018626,1225979.649999999906868,1300153.569999999832362,10601188.100000001490116
20140528,1490027.400000000139698,1352439.319999999832362,1248606.469999999972060,1303983.439999999944121,1291035.679999999934807,1378784.959999999962747,1217766.239999999990687,1296305.469999999972060,10578948.979999998584390
20140529,1517272.850000000093132,1344810.859999999869615,1252322.550000000046566,1306554.079999999841675,1291545.439999999944121,1388226.239999999990687,1230008.870000000111759,1298999.139999999897555,10629740.030000001192093
20140530,1511589.750000000232831,1341541.520000000018626,1269044.910000000149012,1314587.329999999841675,1292692.400000000139698,1378637.440000000176951,1234038.089999999850988,1289507.159999999916181,10631638.600000001490116
20140602,1501226.450000000186265,1350259.760000000009313,1266257.850000000093132,1312980.679999999934807,1300338.800000000046566,1382472.959999999962747,1231558.570000000065193,1281939.229999999748543,10627034.300000000745058
20140603,1522454.500000000000000,1344810.859999999869615,1284838.250000000000000,1313623.340000000083819,1292947.280000000027940,1378047.360000000102445,1237912.339999999850988,1287711.379999999888241,10662345.309999998658895
20140604,1539838.100000000093132,1335002.839999999850988,1282051.190000000176951,1310731.370000000111759,1305563.839999999850988,1396634.880000000121072,1247675.449999999953434,1283221.929999999934807,10700719.599999999627471
20140605,1545855.500000000000000,1345900.639999999897555,1284838.250000000000000,1313944.670000000158325,1305691.280000000027940,1401060.479999999981374,1236672.579999999841675,1289763.699999999720603,10723727.099999999627471
20140606,1541509.600000000093132,1352984.209999999729916,1308528.260000000242144,1317157.970000000204891,1299446.719999999972060,1392061.760000000009313,1238687.190000000176951,1303232.049999999813735,10753607.760000001639128
20140609,1566247.800000000046566,1351349.539999999804422,1296451.000000000000000,1314587.329999999841675,1292055.199999999953434,1396487.360000000102445,1236052.699999999953434,1302205.889999999897555,10755436.820000000298023
20140610,1575441.050000000046566,1362247.339999999850988,1311779.830000000074506,1319728.610000000102445,1285683.199999999953434,1402978.239999999990687,1236827.550000000046566,1301436.269999999785796,10796122.089999999850988
20140611,1568922.199999999953434,1364426.899999999906868,1297380.020000000018626,1312980.679999999934807,1279820.959999999962747,1400027.840000000083819,1242406.469999999972060,1307721.500000000000000,10773686.569999998435378
20140612,1542679.650000000139698,1343721.079999999841675,1298773.550000000046566,1298842.160000000149012,1271409.920000000158325,1401503.040000000037253,1231093.659999999916181,1304001.669999999925494,10692024.730000000447035
20140613,1525797.500000000000000,1345900.639999999897555,1387494.960000000195578,1297235.510000000009313,1280713.039999999804422,1407551.360000000102445,1227064.440000000176951,1316700.399999999906868,10788457.849999999627471
20140616,1541175.300000000046566,1336637.510000000009313,1393998.100000000093132,1306554.079999999841675,1288486.879999999888241,1408288.959999999962747,1208777.979999999981374,1320163.689999999944121,10804082.500000000000000
20140617,1539169.500000000000000,1335002.839999999850988,1391211.040000000037253,1314908.660000000149012,1290653.359999999869615,1404748.479999999981374,1211412.469999999972060,1313750.189999999944121,10800856.540000000968575
20140618,1540841.000000000232831,1342086.409999999683350,1390282.020000000018626,1335473.780000000027940,1291672.879999999888241,1407403.840000000083819,1227529.349999999860302,1317726.559999999823049,10853015.839999999850988
20140619,1535492.199999999953434,1346445.529999999795109,1397714.180000000167638,1342864.370000000111759,1298809.520000000018626,1410354.239999999990687,1247675.449999999953434,1316443.859999999869615,10895799.349999999627471
20140620,1519612.949999999953434,1352984.209999999729916,1402823.790000000037253,1339651.070000000065193,1298936.959999999962747,1395454.719999999972060,1261622.750000000000000,1331836.259999999776483,10902922.709999999031425
20140623,1518275.750000000000000,1345900.639999999897555,1404217.320000000065193,1340936.389999999897555,1298809.520000000018626,1400765.440000000176951,1262862.510000000009313,1338891.109999999869615,10910658.679999999701977
20140624,1509082.500000000000000,1336637.510000000009313,1416759.090000000083819,1344792.350000000093132,1293202.159999999916181,1396634.880000000121072,1266736.760000000009313,1317726.559999999823049,10881571.810000000521541
20140625,1510419.699999999953434,1346990.419999999692664,1434410.469999999972060,1348326.979999999981374,1294986.320000000065193,1399437.760000000009313,1276034.959999999962747,1310158.629999999888241,10920765.239999998360872
20140626,1519445.800000000046566,1343176.189999999711290,1429765.370000000111759,1350576.290000000037253,1293711.920000000158325,1392799.360000000102445,1275260.110000000102445,1308747.659999999916181,10913482.699999999254942
20140627,1537498.000000000000000,1345900.639999999897555,1436733.020000000018626,1355717.570000000065193,1293074.719999999972060,1385570.880000000121072,1270765.979999999981374,1298229.519999999785796,10923490.330000000074506
20140630,1553377.250000000232831,1354073.989999999990687,1435339.489999999990687,1361180.179999999934807,1283899.039999999804422,1387783.679999999934807,1266891.729999999981374,1291431.209999999962747,10933976.570000000298023
20140701,1563239.100000000093132,1366606.459999999729916,1439055.570000000065193,1358930.870000000111759,1287212.479999999981374,1404600.959999999962747,1269061.310000000055879,1300153.569999999832362,10988860.320000002160668
20140702,1562570.500000000000000,1363882.010000000009313,1439055.570000000065193,1358930.870000000111759,1281222.800000000046566,1395897.280000000027940,1278359.510000000009313,1302847.239999999757856,10982765.779999999329448
20140703,1571763.750000000000000,1372600.250000000000000,1446487.730000000214204,1357002.889999999897555,1286957.600000000093132,1399142.719999999972060,1291686.929999999934807,1315930.779999999795109,11041572.650000000372529
20140707,1604190.850000000093132,1374779.809999999823049,1441378.120000000111759,1354110.920000000158325,1276634.959999999962747,1394864.639999999897555,1274175.320000000065193,1316700.399999999906868,11036835.020000001415610
20140708,1593827.550000000046566,1366061.569999999832362,1430229.880000000121072,1347684.320000000065193,1275615.439999999944121,1388816.320000000065193,1269681.190000000176951,1319009.259999999776483,10990925.529999999329448
20140709,1594496.150000000139698,1386222.500000000000000,1434874.980000000214204,1348005.650000000139698,1288104.559999999823049,1397077.440000000176951,1282233.760000000009313,1328244.699999999720603,11059259.740000000223517
20140710,1588645.900000000139698,1386222.500000000000000,1452061.850000000093132,1357966.879999999888241,1281860.000000000000000,1391176.639999999897555,1272005.739999999990687,1315674.239999999757856,11045613.750000000000000
20140711,1591654.600000000093132,1390581.619999999878928,1451597.340000000083819,1348648.310000000055879,1279183.760000000009313,1396782.400000000139698,1284248.370000000111759,1305027.829999999841675,11047724.229999998584390
