訓練日期,20180502 - 20180802
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11220615.360000001266599
真實報酬,1220615.360000001266599

夏普值報酬,0.113361536000000
夏普值風險,0.029764915442161
夏普值,3.808562339788354

預期報酬,16616.324392142214492
風險,78520.269855740669300
趨勢值,0.211618279237579
找到最佳解世代,2281
找到最佳解實驗#,1
找到最佳解次數,37

stock[index](rank)
投資組合檔數,8
AAPL[0](12),DIS[6](7),HD[9](9),KO[14](11),NKE[19](2),PFE[20](10),PG[21](1),VZ[26](17),
Stock#,AAPL[0](12),DIS[6](7),HD[9](9),KO[14](11),NKE[19](2),PFE[20](10),PG[21](1),VZ[26](17),
張數,7392,12492,6770,29349,18355,35310,17370,25604,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,12.800000000046566,50.479999999981374,54.900000000139698,26.089999999850988,24.500000000000000,26.000000000000000,54.800000000046566,12.719999999972060,
20180502,1305218.239999999990687,1244503.520000000018626,1258665.600000000093132,1234445.030000000027940,1252936.800000000046566,1231991.899999999906868,1232282.600000000093132,1222603.719999999972060,9982647.410000000149012
20180503,1307583.679999999934807,1233760.400000000139698,1240251.200000000186265,1229455.699999999953434,1227974.000000000000000,1227401.599999999860302,1239578.000000000000000,1224908.080000000074506,9930912.660000000149012
20180504,1358884.160000000149012,1263616.280000000027940,1252708.000000000232831,1243249.729999999748543,1250000.000000000000000,1230226.400000000139698,1258163.900000000139698,1233869.479999999981374,10090717.950000001117587
20180507,1368715.520000000018626,1280230.640000000130385,1242756.100000000093132,1236792.949999999953434,1272760.199999999953434,1233404.300000000046566,1250347.400000000139698,1222091.639999999897555,10107098.750000000000000
20180508,1375294.400000000139698,1271611.160000000149012,1252775.700000000186265,1227107.780000000027940,1256607.799999999813735,1235169.799999999813735,1240967.600000000093132,1203912.800000000046566,10063447.040000000968575
20180509,1384977.920000000158325,1248875.719999999972060,1261712.100000000325963,1226227.309999999823049,1247246.750000000000000,1241878.699999999953434,1257121.700000000186265,1187526.239999999990687,10055566.439999999478459
20180510,1404788.479999999981374,1270237.040000000037253,1267128.100000000093132,1237966.909999999916181,1246696.100000000093132,1237288.399999999906868,1270670.300000000046566,1208521.520000000018626,10143296.850000001490116
20180511,1394070.080000000074506,1275108.919999999925494,1288453.600000000093132,1236792.949999999953434,1256057.150000000139698,1253531.000000000000000,1274491.700000000186265,1244879.199999999953434,10223384.599999999627471
20180514,1390817.600000000093132,1279730.959999999962747,1293666.500000000232831,1233858.049999999813735,1263582.699999999953434,1266242.600000000093132,1272928.400000000139698,1241550.679999999934807,10242377.490000000223517
20180515,1378177.280000000027940,1285727.120000000111759,1272679.500000000000000,1224466.369999999878928,1275697.000000000000000,1260239.899999999906868,1267196.300000000046566,1223627.879999999888241,10187811.350000001490116
20180516,1391039.360000000102445,1312210.160000000149012,1261847.500000000000000,1219477.039999999804422,1309470.199999999953434,1259886.800000000046566,1277270.900000000139698,1225420.159999999916181,10256622.120000001043081
20180517,1382242.880000000121072,1303465.760000000009313,1254739.000000000232831,1241488.789999999804422,1302128.199999999953434,1260946.100000000093132,1284740.000000000000000,1225164.120000000111759,10254914.850000001490116
20180518,1377216.320000000065193,1298344.040000000037253,1268888.300000000046566,1241488.789999999804422,1309103.099999999860302,1258474.399999999906868,1275881.300000000046566,1222347.679999999934807,10251743.929999999701977
20180521,1386973.760000000009313,1299968.000000000000000,1284933.200000000186265,1244717.179999999701977,1310204.399999999906868,1264124.000000000000000,1286477.000000000000000,1240014.439999999944121,10317411.979999998584390
20180522,1383499.520000000018626,1300092.919999999925494,1265164.800000000279397,1240021.339999999850988,1308919.550000000046566,1261299.199999999953434,1285955.900000000139698,1249743.959999999962747,10294697.190000001341105
20180523,1392369.920000000158325,1285352.360000000102445,1263810.800000000046566,1244423.689999999711290,1309470.199999999953434,1270126.699999999953434,1288561.400000000139698,1244111.080000000074506,10298226.150000000372529
20180524,1390817.600000000093132,1275608.599999999860302,1267060.400000000139698,1242075.769999999785796,1324888.400000000139698,1267301.899999999906868,1281439.699999999953434,1245391.280000000027940,10294583.649999998509884
20180525,1393996.160000000149012,1276732.880000000121072,1265029.400000000139698,1244423.689999999711290,1326173.250000000000000,1259886.800000000046566,1290819.500000000000000,1242318.800000000046566,10299380.480000000447035
20180529,1388969.600000000093132,1245377.959999999962747,1252504.900000000139698,1252641.409999999916181,1301761.100000000093132,1260593.000000000000000,1286303.300000000046566,1234125.520000000018626,10222276.790000000968575
20180530,1386012.800000000046566,1249000.640000000130385,1266654.200000000186265,1265848.459999999962747,1325806.150000000139698,1272951.500000000000000,1300894.100000000093132,1244367.120000000111759,10311534.970000002533197
20180531,1381355.840000000083819,1242629.719999999972060,1262998.400000000139698,1262033.089999999850988,1317913.500000000000000,1268714.300000000046566,1271017.700000000186265,1220555.399999999906868,10227217.950000001117587
20180601,1406266.880000000121072,1241255.599999999860302,1268414.400000000139698,1265554.969999999739230,1335534.300000000046566,1280013.500000000000000,1275881.300000000046566,1224139.959999999962747,10297060.910000000149012
20180604,1418020.160000000149012,1252248.559999999823049,1295562.100000000325963,1276414.099999999860302,1355174.149999999906868,1287075.500000000000000,1288561.400000000139698,1224396.000000000000000,10397451.970000000670552
