訓練日期,20100727 - 20101026
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11250734.820000000298023
真實報酬,1250734.820000000298023

夏普值報酬,0.116373482000000
夏普值風險,0.034577182794068
夏普值,3.365614911228837

預期報酬,19617.170246730383951
風險,87586.698107076415909
趨勢值,0.223974309691958
找到最佳解世代,2076
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](3),MCD[15](2),VZ[26](1),
Stock#,KO[14](3),MCD[15](2),VZ[26](1),
張數,121344,47034,117868,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,13.320000000298023,33.419999999925494,25.959999999962747,
20100727,3340613.640000000596046,3311227.020000000018626,3369872.080000000074506,10021713.740000000223517
20100728,3329692.680000000633299,3281595.599999999627471,3407589.839999999850988,10018879.120000001043081
20100729,3336973.320000000298023,3263252.339999999850988,3404053.799999999813735,10004280.460000000894070
20100730,3344253.959999999962747,3279714.240000000223517,3425270.040000000037253,10049239.240000000223517
20100802,3423127.560000000521541,3304171.919999999925494,3484204.040000000037253,10211504.519999999552965
20100803,3420700.680000000633299,3313578.720000000204891,3481846.679999999701977,10216127.080000000074506
20100804,3431621.640000000596046,3324866.879999999888241,3465345.159999999683350,10221834.679999999701977
20100805,3420700.680000000633299,3313578.720000000204891,3483025.359999999869615,10217305.759999999776483
20100806,3443756.040000000037253,3374252.579999999608845,3483025.359999999869615,10301034.979999998584390
20100809,3465597.959999999962747,3429752.700000000186265,3519564.439999999944121,10414916.099999999627471
20100810,3457103.879999999888241,3425989.979999999981374,3538423.319999999832362,10421518.179999999701977
20100811,3400072.200000000186265,3366256.799999999813735,3484204.040000000037253,10250534.039999999105930
20100812,3379443.720000000670552,3389303.459999999962747,3573783.720000000204891,10342531.900000000372529
20100813,3381870.600000000558794,3381307.680000000167638,3539602.000000000000000,10302781.280000001192093
20100816,3390364.680000000633299,3376604.280000000260770,3531351.240000000223517,10298321.200000001117587
20100817,3404925.959999999962747,3443862.899999999906868,3556103.520000000018626,10404893.379999998956919
20100818,3387937.800000000279397,3445273.919999999925494,3553746.159999999683350,10386958.880000000819564
20100819,3353961.480000000447035,3432104.399999999906868,3491276.120000000111759,10277343.000000000000000
20100820,3355174.919999999925494,3437278.139999999664724,3461809.120000000111759,10254263.179999999701977
