訓練日期,20170804 - 20171103
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10811922.760000001639128
真實報酬,811922.760000001639128

夏普值報酬,0.072492276000000
夏普值風險,0.023120932768011
夏普值,3.135352571082165

預期報酬,12282.355634655428730
風險,49141.637807458268071
趨勢值,0.249937856828844
找到最佳解世代,2103
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](20),CAT[3](2),DD[7](3),HD[9](4),MCD[15](10),PG[21](23),V[25](1),VZ[26](24),
Stock#,AAPL[0](20),CAT[3](2),DD[7](3),HD[9](4),MCD[15](10),PG[21](23),V[25](1),VZ[26](24),
張數,8034,11007,13838,8289,8079,13757,12426,25714,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,150.620000000111759,45.080000000074506,13.459999999962747,101.690000000176951,17.120000000111759,38.979999999981374,68.659999999916181,42.459999999962747,
20170804,1256587.879999999888241,1258695.530000000027940,1263422.859999999869615,1266246.440000000176951,1242728.900000000139698,1247386.169999999925494,1253727.799999999813735,1257714.199999999953434,10046509.779999999329448
20170807,1276030.160000000149012,1262658.050000000046566,1258856.319999999832362,1271219.840000000083819,1252019.750000000000000,1257979.060000000055879,1261183.399999999906868,1256428.500000000000000,10096375.080000000074506
20170808,1286233.340000000316650,1259355.949999999953434,1249584.859999999869615,1271219.840000000083819,1251615.800000000046566,1259905.040000000037253,1258573.939999999944121,1249742.860000000102445,10086231.629999998956919
20170809,1294106.660000000149012,1258585.460000000195578,1251383.800000000046566,1287051.830000000074506,1251615.800000000046566,1264582.419999999925494,1254721.879999999888241,1239971.540000000037253,10102019.390000000596046
20170810,1247991.500000000000000,1245487.130000000121072,1243634.520000000018626,1275613.010000000242144,1265350.100000000093132,1262106.159999999916181,1236331.399999999906868,1234828.739999999990687,10011342.560000000521541
20170811,1265344.939999999944121,1242185.030000000027940,1246678.880000000121072,1283902.010000000242144,1270843.820000000298023,1256603.360000000102445,1243787.000000000000000,1235857.300000000046566,10045202.339999999850988
