訓練日期,20180628 - 20180928
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11571611.890000000596046
真實報酬,1571611.890000000596046

夏普值報酬,0.148461189000000
夏普值風險,0.042617930373349
夏普值,3.483538212658994

預期報酬,25654.666236694596591
風險,61374.043202505643421
趨勢值,0.418005151657455
找到最佳解世代,2054
找到最佳解實驗#,3
找到最佳解次數,11

stock[index](rank)
投資組合檔數,5
CSCO[4](14),HD[9](22),MRK[17](1),MSFT[18](8),PFE[20](2),
Stock#,CSCO[4](14),HD[9](22),MRK[17](1),MSFT[18](8),PFE[20](2),
張數,47247,10255,33400,20504,55233,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,34.489999999990687,69.899999999906868,8.000000000000000,39.839999999850988,13.070000000065193,
20180628,2028820.669999999925494,2001948.449999999953434,2014028.000000000000000,2022349.359999999869615,2008284.949999999953434,10075431.429999999701977
20180629,2033072.900000000139698,2000820.399999999906868,2027388.000000000000000,2021939.279999999795109,2003866.310000000055879,10087086.890000000596046
20180702,2022678.560000000055879,1989745.000000000000000,2019372.000000000000000,2050644.879999999888241,2006627.959999999962747,10089068.400000000372529
20180703,2016063.979999999981374,1985643.000000000000000,2027722.000000000000000,2030961.039999999804422,2007732.620000000111759,10068122.640000000596046
20180705,2010866.810000000055879,1993744.449999999953434,2058784.000000000000000,2045518.879999999888241,2036453.780000000027940,10145367.919999999925494
20180706,2017953.860000000102445,1994462.299999999813735,2077488.000000000000000,2074224.479999999748543,2049709.699999999953434,10213838.339999999850988
20180709,2016063.979999999981374,2010870.300000000046566,2071476.000000000000000,2088372.239999999757856,2052471.349999999860302,10239253.869999999180436
20180710,2025040.909999999916181,2026560.449999999953434,2080828.000000000000000,2093908.319999999832362,2067384.260000000009313,10293721.939999999478459
20180711,2011339.280000000027940,2019792.149999999674037,2067468.000000000000000,2091037.760000000009313,2055233.000000000000000,10244870.189999999478459
20180712,2059058.750000000000000,2030047.149999999674037,2092852.000000000000000,2136351.599999999627471,2072355.230000000214204,10390664.729999998584390
20180713,1974014.150000000139698,2037635.849999999860302,2100534.000000000000000,2161776.560000000055879,2072907.560000000055879,10346868.120000001043081
20180716,2008031.989999999990687,2039584.299999999813735,2090514.000000000000000,2151114.479999999981374,2064622.610000000102445,10353867.379999998956919
20180717,2000472.470000000204891,2062350.399999999906868,2088510.000000000000000,2172438.640000000130385,2079535.520000000018626,10403307.029999999329448
20180718,1994330.360000000102445,2061017.250000000000000,2102204.000000000000000,2155420.319999999832362,2080087.849999999860302,10393059.779999999329448
20180719,2003307.290000000037253,2078040.549999999813735,2087842.000000000000000,2140657.439999999944121,2063517.949999999953434,10373365.229999998584390
20180720,1984880.959999999962747,2076194.649999999674037,2088176.000000000000000,2178999.919999999925494,2061860.959999999962747,10390112.489999998360872
20180723,1987243.310000000055879,2073938.549999999813735,2093854.000000000000000,2213856.719999999739230,2055233.000000000000000,10424125.579999998211861
20180724,2002834.820000000065193,2071477.350000000093132,2118236.000000000000000,2207500.479999999981374,2082297.170000000158325,10482345.820000000298023
20180725,2039215.009999999776483,2061324.899999999906868,2153974.000000000000000,2272498.159999999683350,2098314.740000000223517,10625326.810000000521541
20180726,2056696.400000000139698,2044916.899999999906868,2137942.000000000000000,2247688.319999999832362,2107704.349999999627471,10594947.969999998807907
20180727,2011339.280000000027940,2021740.599999999860302,2120574.000000000000000,2207910.560000000055879,2121512.599999999627471,10483077.039999999105930
20180730,1992440.479999999981374,2023176.299999999813735,2164662.000000000000000,2160546.319999999832362,2131454.540000000037253,10472279.640000000596046
20180731,1998110.119999999878928,2025637.500000000000000,2200066.000000000000000,2175104.159999999683350,2205466.759999999776483,10604384.539999999105930
20180801,1977793.909999999916181,2013126.400000000139698,2187374.000000000000000,2179204.959999999962747,2224245.980000000447035,10581745.250000000000000
20180802,2009449.400000000139698,2006563.199999999953434,2178356.000000000000000,2205655.119999999646097,2190001.519999999552965,10590025.239999998360872
20180803,2023623.500000000000000,2006358.099999999860302,2202070.000000000000000,2215292.000000000000000,2239158.889999999664724,10686502.489999998360872
20180806,2045829.589999999850988,2006870.849999999860302,2211756.000000000000000,2217137.359999999869615,2266775.389999999664724,10748369.189999997615814
20180807,2059058.750000000000000,2020817.650000000139698,2223780.000000000000000,2232515.359999999869615,2255728.790000000037253,10791900.550000000745058
20180808,2071342.970000000204891,2030765.000000000000000,2227454.000000000000000,2245022.799999999813735,2287211.599999999627471,10861796.369999999180436
20180809,2068508.150000000139698,2031380.300000000046566,2204408.000000000000000,2248713.520000000018626,2264566.070000000298023,10817576.040000000968575
20180810,2068508.150000000139698,2013126.400000000139698,2206746.000000000000000,2234975.839999999850988,2260699.759999999776483,10784056.150000000372529
20180813,2067090.739999999990687,1990975.599999999860302,2228456.000000000000000,2218777.679999999701977,2254071.799999999813735,10759371.820000000298023
20180814,2078902.489999999990687,1980310.399999999906868,2219772.000000000000000,2246458.080000000074506,2248548.500000000000000,10773991.469999998807907
20180815,2072287.909999999916181,1989437.350000000093132,2250166.000000000000000,2207500.479999999981374,2273403.349999999627471,10792795.089999999850988
20180816,2133709.009999999776483,2003794.349999999860302,2299598.000000000000000,2207090.399999999906868,2287763.929999999701977,10931955.689999999478459
20180817,2167254.379999999888241,2005537.699999999953434,2306612.000000000000000,2205860.159999999683350,2324770.040000000037253,11010034.280000001192093
20180820,2183790.830000000074506,2029842.050000000046566,2343686.000000000000000,2191302.319999999832362,2338025.959999999962747,11086647.160000000149012
20180821,2163002.150000000372529,2053428.549999999813735,2310286.000000000000000,2173053.759999999776483,2328636.349999999627471,11028406.810000000521541
20180822,2172924.020000000484288,2040507.250000000000000,2305944.000000000000000,2195198.080000000074506,2323665.379999999888241,11038238.730000000447035
20180823,2174341.429999999701977,2052710.699999999953434,2303606.000000000000000,2205450.080000000074506,2330845.669999999925494,11066953.880000000819564
20180824,2188515.530000000260770,2064401.400000000139698,2305944.000000000000000,2222673.439999999944121,2341892.269999999552965,11123426.640000000596046
20180827,2201272.219999999739230,2071374.799999999813735,2304274.000000000000000,2247278.239999999757856,2296601.209999999962747,11120800.469999998807907
20180828,2218281.139999999664724,2071272.250000000000000,2292250.000000000000000,2260810.879999999888241,2292182.570000000298023,11134796.839999999850988
20180829,2243322.049999999813735,2068298.300000000046566,2298262.000000000000000,2296897.919999999925494,2292182.570000000298023,11198962.839999999850988
20180830,2227730.540000000037253,2043481.199999999720603,2289244.000000000000000,2295462.640000000130385,2292182.570000000298023,11148100.950000001117587
20180831,2257023.679999999701977,2058966.250000000000000,2290914.000000000000000,2303254.159999999683350,2293287.230000000447035,11203445.320000000298023
20180904,2255133.799999999813735,2103165.299999999813735,2269538.000000000000000,2290541.679999999701977,2285002.280000000260770,11203381.059999998658895
20180905,2233400.179999999701977,2093628.149999999906868,2291916.000000000000000,2224518.799999999813735,2311514.120000000111759,11154977.250000000000000
20180906,2233872.650000000372529,2111471.849999999627471,2317300.000000000000000,2229644.799999999813735,2307647.810000000521541,11199937.110000001266599
20180907,2223005.839999999850988,2114958.549999999813735,2326986.000000000000000,2218777.679999999701977,2330845.669999999925494,11214573.740000000223517
20180910,2223950.780000000260770,2160695.850000000093132,2323312.000000000000000,2242767.359999999869615,2323113.049999999813735,11273839.039999999105930
20180911,2222060.900000000372529,2193101.649999999906868,2307280.000000000000000,2280904.799999999813735,2336921.299999999813735,11340268.650000002235174
20180912,2215446.320000000298023,2173924.799999999813735,2333332.000000000000000,2290541.679999999701977,2342444.599999999627471,11355689.400000000372529
20180913,2231982.770000000484288,2147979.649999999906868,2365730.000000000000000,2315146.479999999981374,2366747.120000000111759,11427586.019999999552965
20180914,2239542.290000000037253,2144082.750000000000000,2337340.000000000000000,2324578.319999999832362,2372822.750000000000000,11418366.109999999403954
20180917,2225840.660000000149012,2137211.899999999906868,2352036.000000000000000,2299358.399999999906868,2375584.400000000372529,11390031.360000001266599
20180918,2242377.110000000335276,2164080.000000000000000,2352036.000000000000000,2321297.679999999701977,2403200.900000000372529,11482991.689999999478459
20180919,2233872.650000000372529,2170848.299999999813735,2337340.000000000000000,2290336.640000000130385,2389392.650000000372529,11421790.240000000223517
20180920,2255133.799999999813735,2164490.199999999720603,2364060.000000000000000,2328679.119999999646097,2416456.820000000298023,11528819.939999999478459
20180921,2294348.810000000521541,2178129.349999999627471,2374748.000000000000000,2342826.879999999888241,2433579.049999999813735,11623632.089999999850988
20180924,2288679.169999999925494,2133007.350000000093132,2364060.000000000000000,2351233.520000000018626,2426398.759999999776483,11563378.799999998882413
20180925,2290096.580000000074506,2127572.200000000186265,2359718.000000000000000,2346722.640000000130385,2418666.139999999664724,11542775.559999998658895
20180926,2287261.759999999776483,2128187.500000000000000,2349030.000000000000000,2337085.759999999776483,2412590.509999999776483,11514155.529999999329448
