訓練日期,20180425 - 20180726
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11026341.560000002384186
真實報酬,1026341.560000002384186

夏普值報酬,0.093934156000000
夏普值風險,0.026632451470412
夏普值,3.527056309643828

預期報酬,15469.832329685577861
風險,75429.077494347817264
趨勢值,0.205091098069505
找到最佳解世代,2268
找到最佳解實驗#,2
找到最佳解次數,39

stock[index](rank)
投資組合檔數,7
AAPL[0](8),HD[9](5),KO[14](13),NKE[19](1),PG[21](2),VZ[26](18),WMT[28](22),
Stock#,AAPL[0](8),HD[9](5),KO[14](13),NKE[19](1),PG[21](2),VZ[26](18),WMT[28](22),
張數,8767,8104,33168,21331,19704,28761,16509,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,76.020000000018626,159.959999999962747,25.239999999990687,33.929999999934807,31.000000000000000,12.129999999888241,47.229999999981374,
20180425,1434795.570000000065193,1437728.519999999785796,1407343.479999999981374,1422171.699999999953434,1424630.199999999953434,1440938.229999999981374,1439136.760000000009313,10006747.460000000894070
20180426,1439792.760000000009313,1505234.839999999850988,1417957.239999999990687,1451608.479999999981374,1433497.000000000000000,1431159.489999999757856,1451848.689999999944121,10131101.500000000000000
20180427,1423135.459999999962747,1511231.800000000046566,1436531.320000000065193,1483818.290000000037253,1434679.239999999990687,1483216.899999999906868,1441117.840000000083819,10213733.849999999627471
20180430,1448910.439999999944121,1497779.160000000149012,1433214.520000000018626,1458861.020000000018626,1425418.360000000102445,1419367.479999999981374,1460433.369999999878928,10143987.349999999627471
20180501,1482575.719999999972060,1496401.479999999981374,1412650.360000000102445,1452675.029999999795109,1417930.839999999850988,1404124.149999999906868,1443098.919999999925494,10109459.500000000000000
20180502,1548065.209999999962747,1506774.599999999860302,1395071.320000000065193,1456087.989999999990687,1397832.760000000009313,1373349.879999999888241,1425434.290000000037253,10102619.050000000745058
20180503,1550870.649999999906868,1484731.719999999972060,1389432.760000000009313,1427077.830000000074506,1406108.439999999944121,1375938.369999999878928,1423618.300000000046566,10057781.070000000298023
20180504,1611713.630000000121072,1499643.080000000074506,1405021.719999999972060,1452675.029999999795109,1427191.720000000204891,1386004.719999999739230,1445080.000000000000000,10227332.899999998509884
20180507,1623373.739999999990687,1487730.199999999953434,1397724.760000000009313,1479125.469999999972060,1418324.920000000158325,1372774.659999999683350,1411071.459999999962747,10190128.210000000894070
20180508,1631176.370000000111759,1499724.119999999878928,1386779.320000000065193,1460354.189999999711290,1407684.760000000009313,1352354.350000000093132,1415528.889999999897555,10153605.000000000000000
20180509,1642661.140000000130385,1510421.400000000139698,1385784.280000000027940,1449475.379999999888241,1426009.479999999981374,1333947.310000000055879,1371284.770000000018626,10119586.759999999776483
20180510,1666156.699999999953434,1516904.599999999860302,1399051.479999999981374,1448835.449999999953434,1441378.600000000093132,1357531.330000000074506,1365176.439999999944121,10195037.599999999627471
20180511,1653444.550000000046566,1542432.199999999953434,1397724.760000000009313,1459714.260000000009313,1445713.479999999981374,1398371.949999999720603,1376567.649999999906868,10273971.849999999627471
20180514,1649587.070000000065193,1548672.280000000027940,1394407.959999999962747,1468459.969999999972060,1443940.120000000111759,1394633.020000000018626,1393241.739999999990687,10292945.160000000149012
20180515,1634595.500000000000000,1523549.879999999888241,1383794.199999999953434,1482538.429999999934807,1437437.800000000046566,1374500.319999999832362,1395387.909999999916181,10231807.039999999105930
20180516,1649850.080000000074506,1510583.479999999981374,1378155.639999999897555,1521787.469999999972060,1448866.120000000111759,1376513.589999999850988,1421967.399999999906868,10307726.779999999329448
20180517,1639417.350000000093132,1502074.280000000027940,1403031.639999999897555,1513255.069999999832362,1457338.839999999850988,1376225.979999999981374,1394892.639999999897555,10286238.800000000745058
20180518,1633455.790000000037253,1519011.639999999897555,1403031.639999999897555,1521360.849999999860302,1447289.800000000046566,1373062.270000000018626,1380859.989999999990687,10278074.979999998584390
20180521,1645028.229999999981374,1538218.119999999878928,1406680.119999999878928,1522640.709999999729916,1459309.239999999990687,1392907.359999999869615,1395222.820000000065193,10360009.599999999627471
20180522,1640907.739999999990687,1514554.439999999944121,1401373.239999999990687,1521147.540000000037253,1458718.120000000111759,1403836.540000000037253,1376402.560000000055879,10316943.180000001564622
20180523,1651428.140000000130385,1512933.639999999897555,1406348.439999999944121,1521787.469999999972060,1461673.720000000204891,1397509.119999999878928,1370459.320000000065193,10322142.849999999627471
20180524,1649587.070000000065193,1516823.560000000055879,1403695.000000000000000,1539705.510000000009313,1453595.079999999841675,1398947.169999999925494,1367817.879999999888241,10330174.269999999552965
20180525,1653356.880000000121072,1514392.359999999869615,1406348.439999999944121,1541198.679999999934807,1464235.239999999990687,1395495.850000000093132,1361379.369999999878928,10336409.819999998435378
20180529,1647395.320000000065193,1499399.959999999962747,1415635.479999999981374,1512828.449999999953434,1459112.199999999953434,1386292.330000000074506,1360388.830000000074506,10281055.570000000298023
20180530,1643888.520000000018626,1516337.320000000065193,1430561.080000000074506,1540772.060000000055879,1475663.560000000055879,1397796.729999999981374,1388784.310000000055879,10393806.580000001937151
20180531,1638365.310000000055879,1511961.160000000149012,1426249.239999999990687,1531599.729999999981374,1441772.679999999934807,1371049.000000000000000,1362700.090000000083819,10283700.209999999031425
20180601,1667910.100000000093132,1518444.359999999869615,1430229.399999999906868,1552077.489999999990687,1447289.800000000046566,1375075.540000000037253,1370129.139999999897555,10361158.830000000074506
20180604,1681849.630000000121072,1550941.400000000139698,1442501.560000000055879,1574901.659999999916181,1461673.720000000204891,1375363.149999999906868,1410246.010000000009313,10497480.130000000819564
20180605,1694824.790000000037253,1555641.719999999972060,1429897.719999999972060,1579594.479999999981374,1457535.879999999888241,1379677.299999999813735,1397038.810000000055879,10494213.699999999254942
20180606,1700698.679999999934807,1569013.320000000065193,1441506.520000000018626,1594526.179999999934807,1465023.399999999906868,1392332.139999999897555,1396048.270000000018626,10559151.509999999776483
20180607,1696139.840000000083819,1589921.639999999897555,1440843.159999999916181,1594739.489999999990687,1492806.040000000037253,1409588.739999999757856,1402486.780000000027940,10626528.689999999478459
20180608,1680709.919999999925494,1607426.280000000027940,1457758.840000000083819,1597725.830000000074506,1520785.720000000204891,1414478.109999999869615,1392746.469999999972060,10671634.169999999925494
20180611,1676589.429999999934807,1618042.519999999785796,1463729.080000000074506,1591113.219999999972060,1527682.120000000111759,1417929.429999999701977,1391755.929999999934807,10686844.729999998584390
20180612,1685794.780000000027940,1631576.199999999953434,1473016.119999999878928,1584713.920000000158325,1521967.959999999962747,1403836.540000000037253,1388454.129999999888241,10689362.649999998509884
