訓練日期,20190118 - 20190423
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11818668.049999998882413
真實報酬,1818668.049999998882413

夏普值報酬,0.173166805000000
夏普值風險,0.047527861531749
夏普值,3.643479833072709

預期報酬,27831.614944963428570
風險,67979.277675454592099
趨勢值,0.409413219684925
找到最佳解世代,2406
找到最佳解實驗#,2
找到最佳解次數,29

stock[index](rank)
投資組合檔數,7
AAPL[0](3),CSCO[4](1),JNJ[12](15),MCD[15](19),MSFT[18](10),PG[21](6),V[25](2),
Stock#,AAPL[0](3),CSCO[4](1),JNJ[12](15),MCD[15](19),MSFT[18](10),PG[21](6),V[25](2),
張數,9165,32313,11066,7887,13461,15760,10406,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,114.099999999860302,13.270000000018626,61.060000000055879,156.429999999934807,89.679999999934807,84.600000000093132,35.320000000065193,
20190118,1437369.399999999906868,1455067.660000000149012,1446276.600000000093132,1440086.019999999785796,1449973.989999999757856,1440863.800000000046566,1441266.320000000065193,10110906.790000000968575
20190122,1405108.599999999860302,1446989.410000000149012,1425361.860000000102445,1455860.019999999785796,1422648.159999999916181,1425419.000000000000000,1436583.620000000111759,10017973.670000001788139
20190123,1410790.899999999674037,1468962.250000000000000,1425361.860000000102445,1467848.260000000009313,1436512.989999999757856,1494763.000000000232831,1425761.379999999888241,10130003.640000000596046
20190124,1399609.599999999860302,1473809.199999999953434,1405775.040000000037253,1477943.619999999878928,1429647.879999999888241,1486252.600000000093132,1432941.520000000018626,10105982.459999999031425
20190125,1445984.499999999767169,1490611.960000000195578,1419054.239999999990687,1451364.429999999934807,1442705.050000000046566,1475220.600000000093132,1443035.339999999850988,10167979.119999999180436
20190128,1432603.599999999860302,1478333.020000000018626,1427464.400000000139698,1448209.629999999888241,1414571.559999999823049,1473959.800000000046566,1415147.260000000242144,10090292.269999999552965
20190129,1417756.299999999813735,1485118.750000000000000,1442292.840000000083819,1436931.219999999739230,1385765.020000000018626,1474275.000000000232831,1404845.320000000065193,10046987.449999999254942
20190130,1514630.349999999860302,1509353.500000000000000,1456789.299999999813735,1433776.419999999925494,1432070.859999999869615,1489719.800000000046566,1431900.919999999925494,10268244.150000000372529
20190131,1525536.699999999953434,1528095.040000000037253,1472724.340000000083819,1410194.290000000037253,1405821.909999999916181,1520451.800000000046566,1404949.379999999888241,10267776.460000000894070
20190201,1526269.899999999906868,1529710.690000000176951,1485118.260000000009313,1393947.069999999832362,1383611.260000000009313,1536211.800000000046566,1458436.220000000204891,10313308.200000001117587
20190204,1569620.349999999860302,1530033.820000000065193,1470511.139999999897555,1400493.280000000027940,1423455.819999999832362,1545037.400000000139698,1472484.320000000065193,10411639.130000000819564
20190205,1596473.799999999813735,1527125.649999999906868,1470511.139999999897555,1400651.019999999785796,1443378.099999999860302,1535739.000000000000000,1483202.500000000000000,10457084.209999999031425
20190206,1597023.699999999953434,1534234.510000000009313,1471839.060000000055879,1389688.090000000083819,1427359.510000000009313,1543303.800000000046566,1472380.260000000242144,10435831.929999999701977
20190207,1566779.199999999953434,1509030.370000000111759,1461326.360000000102445,1382589.790000000037253,1417129.149999999906868,1531011.000000000000000,1458644.339999999850988,10326513.210000000894070
20190208,1561921.749999999767169,1524863.739999999990687,1465199.460000000195578,1378409.679999999934807,1422513.550000000046566,1539994.199999999953434,1460829.600000000093132,10353734.979999998584390
20190211,1552940.049999999813735,1537465.810000000055879,1460773.060000000055879,1374545.049999999813735,1416859.929999999934807,1548819.800000000046566,1465200.120000000111759,10356606.820000000298023
20190212,1566320.949999999720603,1547482.840000000083819,1484675.620000000111759,1372257.819999999832362,1438935.969999999972060,1564422.200000000186265,1477583.260000000242144,10451681.660000000149012
20190213,1559813.799999999813735,1534880.770000000018626,1487884.760000000009313,1373677.479999999981374,1437859.089999999850988,1564107.000000000000000,1493192.260000000242144,10451418.160000000149012
20190214,1565496.099999999860302,1563962.469999999972060,1486335.520000000018626,1387243.119999999878928,1439070.580000000074506,1551814.199999999953434,1489758.280000000027940,10483683.269999999552965
20190215,1562013.399999999674037,1597244.860000000102445,1509242.139999999897555,1419579.819999999832362,1456839.099999999860302,1552129.400000000139698,1507968.780000000027940,10605020.499999998137355
20190219,1566687.549999999813735,1604353.719999999972060,1501606.600000000093132,1413901.179999999934807,1456166.050000000046566,1575927.000000000000000,1503077.959999999962747,10621723.059999998658895
20190220,1576769.049999999813735,1603707.460000000195578,1508910.159999999916181,1423681.060000000055879,1442435.830000000074506,1564737.400000000139698,1506095.699999999953434,10626339.660000000149012
20190221,1567878.999999999767169,1596598.599999999860302,1498618.780000000027940,1441978.899999999906868,1472857.689999999944121,1572617.400000000139698,1498499.320000000065193,10649052.689999999478459
