訓練日期,20170919 - 20171219
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11543964.269999999552965
真實報酬,1543964.269999999552965

夏普值報酬,0.145696427000000
夏普值風險,0.039639803569451
夏普值,3.675508299246017

預期報酬,22599.177294720542704
風險,48769.622217804906541
趨勢值,0.463386351319121
找到最佳解世代,2406
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
CSCO[4](5),CVX[5](23),DIS[6](17),HD[9](11),INTC[11](12),TRV[22](8),V[25](9),WMT[28](3),
Stock#,CSCO[4](5),CVX[5](23),DIS[6](17),HD[9](11),INTC[11](12),TRV[22](8),V[25](9),WMT[28](3),
張數,38437,10851,12742,7920,33783,10354,11924,15625,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,28.759999999776483,73.310000000055879,9.800000000046566,144.800000000046566,29.000000000000000,65.120000000111759,7.080000000074506,0.000000000000000,
20170919,1248846.889999999897555,1262478.650000000139698,1254204.860000000102445,1248812.000000000000000,1257770.089999999850988,1248550.440000000176951,1256915.919999999925494,1250781.250000000000000,10028360.100000001490116
20170920,1253074.959999999729916,1262804.180000000167638,1264143.619999999878928,1256890.400000000139698,1252364.810000000055879,1262321.260000000009313,1256915.919999999925494,1257812.500000000000000,10066327.650000000372529
20170921,1256918.659999999916181,1263889.280000000027940,1260066.180000000167638,1260929.600000000093132,1256756.600000000093132,1257972.580000000074506,1255723.520000000018626,1250156.250000000000000,10062412.669999999925494
20170922,1282671.449999999720603,1272787.100000000093132,1256371.000000000000000,1267107.199999999953434,1256080.939999999944121,1263667.280000000260770,1258704.520000000018626,1242656.250000000000000,10100045.740000000223517
20170925,1296124.399999999674037,1280382.800000000046566,1268730.739999999990687,1276056.800000000046566,1255405.279999999795109,1270190.300000000046566,1228417.560000000055879,1236718.750000000000000,10112026.629999998956919
20170926,1297661.879999999655411,1275282.830000000074506,1256753.260000000009313,1277324.000000000000000,1265878.010000000009313,1269154.900000000139698,1227463.640000000130385,1240468.750000000000000,10109987.269999999552965
20170927,1286899.519999999552965,1274523.260000000009313,1264525.879999999888241,1274631.199999999953434,1268242.820000000065193,1269361.980000000214204,1238791.440000000176951,1238906.250000000000000,10115882.349999999627471
20170928,1281902.709999999729916,1276367.930000000167638,1249362.899999999906868,1286036.000000000232831,1278039.889999999897555,1271536.320000000065193,1247019.000000000000000,1233593.750000000000000,10123858.500000000000000
20170929,1292665.069999999832362,1275065.810000000055879,1255988.739999999990687,1295540.000000000000000,1286485.639999999897555,1268637.200000000186265,1247019.000000000000000,1220937.500000000000000,10142338.960000000894070
20171002,1297277.509999999776483,1274306.240000000223517,1272425.919999999925494,1299183.200000000186265,1318917.320000000065193,1276920.400000000139698,1257273.640000000130385,1225781.250000000000000,10222085.480000000447035
20171003,1301121.209999999729916,1278538.129999999888241,1284275.980000000214204,1308291.199999999953434,1330403.540000000037253,1280854.920000000158325,1259062.240000000223517,1237812.500000000000000,10280359.720000000670552
20171004,1285362.039999999804422,1275933.890000000130385,1281217.899999999906868,1309241.600000000093132,1329052.220000000204891,1282925.720000000204891,1255723.520000000018626,1235781.250000000000000,10255238.140000000596046
20171005,1291127.589999999850988,1286784.890000000130385,1275611.419999999925494,1315815.200000000186265,1335470.989999999990687,1288516.880000000121072,1266812.840000000083819,1240781.250000000000000,10300921.060000000521541
20171006,1297277.509999999776483,1269965.840000000083819,1275101.739999999990687,1313676.800000000046566,1338849.290000000037253,1295039.900000000139698,1272655.600000000093132,1234375.000000000000000,10296941.679999999701977
20171009,1297661.879999999655411,1277344.520000000018626,1268730.739999999990687,1312568.000000000000000,1346619.379999999888241,1293797.420000000158325,1275994.320000000065193,1258281.250000000000000,10330997.509999999776483
20171010,1289590.109999999636784,1289172.110000000102445,1268858.159999999916181,1308212.000000000000000,1339524.949999999953434,1304047.880000000121072,1279571.520000000018626,1314531.250000000000000,10393507.980000000447035
20171011,1291127.589999999850988,1294923.140000000130385,1255733.899999999906868,1308924.800000000046566,1327700.899999999906868,1300631.060000000055879,1293045.640000000130385,1339531.250000000000000,10411618.280000001192093
20171012,1278443.379999999655411,1292861.449999999953434,1235091.860000000102445,1303697.600000000093132,1323984.770000000018626,1304151.420000000158325,1289110.719999999972060,1345312.500000000000000,10372653.699999999254942
20171013,1286515.149999999674037,1293078.469999999972060,1240825.760000000009313,1302747.199999999953434,1340200.610000000102445,1311606.300000000046566,1295668.919999999925494,1353437.500000000000000,10424079.910000000149012
20171016,1289205.739999999757856,1303603.939999999944121,1250382.260000000009313,1300767.199999999953434,1343241.079999999841675,1333867.400000000139698,1291376.280000000027940,1339687.500000000000000,10452131.400000000372529
20171017,1291511.959999999729916,1304580.530000000027940,1253312.919999999925494,1293876.800000000046566,1344254.570000000065193,1332107.220000000204891,1282314.040000000037253,1343437.500000000000000,10445395.539999999105930
20171018,1289590.109999999636784,1282118.960000000195578,1251911.300000000046566,1294668.800000000046566,1359794.750000000000000,1346292.200000000186265,1285414.280000000027940,1347187.500000000000000,10456977.900000000372529
20171019,1297277.509999999776483,1282661.510000000009313,1261595.220000000204891,1293005.600000000093132,1354389.470000000204891,1378907.300000000046566,1276113.560000000055879,1350000.000000000000000,10493950.169999999925494
20171020,1316496.009999999776483,1287435.949999999953434,1266564.600000000093132,1294510.400000000139698,1365875.689999999944121,1380460.400000000139698,1282433.280000000027940,1366250.000000000000000,10560026.330000000074506
20171023,1320339.709999999729916,1290582.740000000223517,1257645.200000000186265,1304885.600000000093132,1379388.889999999897555,1392160.419999999925494,1282194.800000000046566,1385156.250000000000000,10612353.609999999403954
20171024,1329180.219999999739230,1293838.040000000037253,1252420.980000000214204,1315102.400000000139698,1383442.850000000093132,1379114.380000000121072,1292687.919999999925494,1374687.500000000000000,10620474.289999999105930
20171025,1318417.859999999636784,1285265.750000000000000,1246177.399999999906868,1315419.199999999953434,1377699.739999999990687,1364515.240000000223517,1305565.840000000083819,1382500.000000000000000,10595561.029999999329448
20171026,1317264.750000000000000,1285265.750000000000000,1255861.320000000065193,1327932.800000000046566,1396956.050000000046566,1366171.880000000121072,1309262.280000000027940,1384687.500000000000000,10643402.330000000074506
20171027,1323414.669999999692664,1232095.850000000093132,1252675.820000000065193,1325477.600000000093132,1499994.199999999953434,1357060.360000000102445,1308189.120000000111759,1377656.250000000000000,10676563.870000001043081
20171030,1308424.239999999757856,1241319.199999999953434,1249235.480000000214204,1309400.000000000000000,1498980.709999999962747,1373212.600000000093132,1312124.040000000037253,1358593.750000000000000,10651290.019999999552965
20171031,1312652.309999999823049,1257595.699999999953434,1246304.820000000065193,1313122.400000000139698,1536817.670000000158325,1371452.419999999925494,1311408.600000000093132,1364218.750000000000000,10713572.669999999925494
20171101,1330717.699999999720603,1257704.210000000195578,1261850.060000000055879,1309954.399999999906868,1578032.929999999934807,1382013.500000000000000,1324405.760000000009313,1374062.500000000000000,10818741.060000000521541
20171102,1314958.529999999795109,1251519.140000000130385,1253185.500000000000000,1288808.000000000000000,1591208.300000000046566,1394645.380000000121072,1323332.600000000093132,1387500.000000000000000,10805157.449999999254942
20171103,1324952.149999999674037,1247829.800000000046566,1256880.680000000167638,1302113.599999999860302,1565533.220000000204891,1380460.400000000139698,1327863.719999999972060,1401250.000000000000000,10806883.570000000298023
20171106,1322645.929999999701977,1270074.350000000093132,1282364.680000000167638,1300767.199999999953434,1577695.100000000093132,1381702.880000000121072,1334541.160000000149012,1385937.500000000000000,10855728.800000000745058
20171107,1322261.559999999823049,1272244.550000000046566,1294724.419999999925494,1296332.000000000000000,1580397.739999999990687,1384602.000000000000000,1336568.240000000223517,1389843.750000000000000,10876974.259999999776483
20171108,1326105.259999999776483,1266059.479999999981374,1289245.360000000102445,1299420.800000000046566,1577695.100000000093132,1382531.200000000186265,1341099.360000000102445,1410312.500000000000000,10892469.060000000521541
20171109,1308808.609999999636784,1272244.550000000046566,1308358.360000000102445,1293243.200000000186265,1564181.899999999906868,1392988.740000000223517,1337164.440000000176951,1410937.500000000000000,10887927.299999998882413
20171110,1306502.389999999897555,1271593.490000000223517,1335116.560000000055879,1299896.000000000232831,1539858.139999999897555,1403446.280000000027940,1334064.199999999953434,1420625.000000000000000,10911102.060000000521541
20171113,1304964.909999999916181,1272136.040000000037253,1334606.879999999888241,1309716.800000000046566,1545601.250000000000000,1380460.400000000139698,1328340.680000000167638,1421718.750000000000000,10897545.710000000894070
20171114,1308424.239999999757856,1268772.229999999981374,1314601.940000000176951,1331180.000000000000000,1549317.379999999888241,1386051.560000000288710,1335256.600000000093132,1423281.250000000000000,10916885.200000001117587
20171115,1311114.829999999841675,1263672.260000000009313,1321227.780000000027940,1310667.199999999953434,1535804.179999999934807,1384498.460000000195578,1314628.080000000074506,1403593.750000000000000,10845206.539999999105930
20171116,1379148.319999999832362,1243272.379999999888241,1320081.000000000000000,1326744.800000000046566,1542222.949999999953434,1354471.860000000102445,1323809.560000000055879,1556562.500000000000000,11046313.370000001043081
20171117,1379917.059999999823049,1244791.520000000018626,1318042.280000000027940,1328645.600000000093132,1507764.290000000037253,1345256.800000000046566,1309500.760000000009313,1522968.750000000000000,10956887.060000000521541
20171120,1402979.259999999776483,1244900.030000000027940,1309250.300000000046566,1350108.800000000046566,1507426.459999999962747,1343703.700000000186265,1311050.880000000121072,1523125.000000000000000,10992544.429999999701977
20171121,1408744.809999999823049,1249782.979999999981374,1312435.800000000046566,1369196.000000000232831,1518237.020000000018626,1352608.140000000130385,1328936.880000000121072,1508125.000000000000000,11048066.630000000819564
20171122,1401057.409999999916181,1257812.719999999972060,1309122.879999999888241,1362860.000000000000000,1508439.949999999953434,1346188.659999999916181,1321424.760000000009313,1506406.250000000000000,11013312.630000000819564
20171124,1402594.889999999897555,1264323.320000000065193,1307848.680000000167638,1364998.400000000139698,1511818.250000000000000,1344324.940000000176951,1335137.360000000102445,1509687.500000000000000,11040733.339999999850988
20171127,1417200.949999999720603,1254340.400000000139698,1309759.980000000214204,1379492.000000000000000,1503034.670000000158325,1351055.040000000037253,1340026.199999999953434,1509687.500000000000000,11064596.740000000223517
20171128,1450256.769999999552965,1263672.260000000009313,1317660.020000000018626,1398579.199999999953434,1511142.589999999850988,1377250.659999999916181,1351711.719999999972060,1512031.250000000000000,11182304.469999998807907
20171129,1440647.519999999552965,1271593.490000000223517,1340977.879999999888241,1403964.800000000046566,1484791.850000000093132,1392988.740000000223517,1309977.719999999972060,1524375.000000000000000,11169317.000000000000000
20171130,1433728.859999999636784,1291233.800000000046566,1335626.239999999990687,1424319.199999999953434,1514858.720000000204891,1403756.900000000139698,1342530.240000000223517,1519218.750000000000000,11265272.710000000894070
20171201,1445259.959999999729916,1296876.320000000065193,1341105.300000000046566,1429071.199999999953434,1509453.439999999944121,1410383.460000000195578,1320351.600000000093132,1521093.750000000000000,11273595.030000001192093
20171204,1449872.399999999674037,1311308.150000000139698,1404433.040000000037253,1464552.800000000046566,1503034.670000000158325,1411936.560000000288710,1281002.400000000139698,1515781.250000000000000,11341921.269999999552965
20171205,1434113.229999999748543,1306425.199999999953434,1366207.040000000037253,1448316.800000000046566,1467562.520000000018626,1401168.400000000139698,1294715.000000000000000,1528593.750000000000000,11247101.939999999478459
20171206,1437956.929999999701977,1297961.420000000158325,1343781.119999999878928,1432080.800000000046566,1467900.350000000093132,1401582.560000000288710,1308546.840000000083819,1520000.000000000000000,11209810.019999999552965
20171207,1437572.559999999823049,1298178.439999999944121,1341232.720000000204891,1441584.800000000046566,1455400.639999999897555,1389675.460000000195578,1328340.680000000167638,1512187.500000000000000,11204172.800000000745058
20171208,1445644.329999999841675,1301325.229999999981374,1328108.460000000195578,1452752.000000000000000,1464522.050000000046566,1384912.620000000111759,1342649.479999999981374,1508593.750000000000000,11228507.919999999925494
