訓練日期,20120717 - 20121016
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11517262.509999999776483
真實報酬,1517262.509999999776483

夏普值報酬,0.143026251000000
夏普值風險,0.039671946168521
夏普值,3.605223963362992

預期報酬,23377.221108204765187
風險,80389.857274849025998
趨勢值,0.290798141714311
找到最佳解世代,2025
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
GS[8](4),HD[9](1),PFE[20](8),TRV[22](5),UNH[23](24),WBA[27](13),
Stock#,GS[8](4),HD[9](1),PFE[20](8),TRV[22](5),UNH[23](24),WBA[27](13),
張數,17062,32393,72056,26645,30215,54644,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,49.839999999850988,46.149999999906868,10.719999999972060,21.250000000000000,6.600000000093132,24.000000000000000,
20120717,1671784.599999999860302,1643019.109999999869615,1701973.439999999944121,1686916.199999999953434,1689025.100000000093132,1677594.800000000046566,10070317.250000001862645
20120718,1646703.459999999962747,1649173.779999999795109,1705576.239999999990687,1705301.250000000000000,1702621.850000000093132,1692348.679999999934807,10101729.259999999776483
20120719,1620939.839999999850988,1650793.429999999934807,1714943.520000000018626,1697041.300000000046566,1661529.450000000186265,1891799.279999999795109,10237050.819999998435378
20120720,1606607.759999999776483,1642371.250000000000000,1707737.919999999925494,1670929.199999999953434,1674219.750000000000000,1890706.400000000139698,10192576.279999999329448
20120723,1589545.759999999776483,1650793.429999999934807,1700532.320000000065193,1645083.550000000046566,1647026.250000000000000,1853548.479999999981374,10086533.789999999105930
20120724,1611896.979999999748543,1657595.959999999962747,1684680.000000000000000,1622435.300000000046566,1658810.100000000093132,1863930.840000000083819,10099353.179999999701977
20120725,1637319.359999999636784,1654356.659999999916181,1681077.199999999953434,1624833.349999999860302,1585689.800000000046566,1893438.599999999860302,10076718.969999998807907
20120726,1673149.559999999823049,1713959.779999999795109,1692606.159999999916181,1641619.699999999953434,1571488.750000000000000,1910924.679999999934807,10203752.630000000819564
20120727,1734231.519999999785796,1739874.179999999934807,1717105.199999999953434,1671195.649999999906868,1611674.700000000186265,1951907.679999999934807,10425992.929999999701977
20120730,1721264.399999999674037,1724973.399999999906868,1708458.479999999981374,1684251.699999999953434,1609257.500000000000000,1981961.880000000121072,10430171.360000001266599
20120731,1721605.639999999897555,1690312.889999999897555,1732236.959999999962747,1669330.500000000000000,1543690.950000000186265,1986879.840000000083819,10344060.780000001192093
20120801,1707785.419999999925494,1674116.389999999897555,1725031.360000000102445,1687982.000000000000000,1547316.750000000232831,1981961.880000000121072,10324197.800000000745058
20120802,1668884.059999999823049,1664722.419999999925494,1723590.239999999990687,1675192.399999999906868,1543993.100000000093132,1953547.000000000000000,10229933.219999998807907
20120803,1722970.599999999860302,1693876.119999999878928,1749530.400000000139698,1697574.199999999953434,1559402.750000000000000,1956279.199999999953434,10379637.269999999552965
20120806,1740715.079999999841675,1684482.149999999906868,1748089.280000000027940,1692511.650000000139698,1540971.600000000093132,1955732.760000000009313,10362506.519999999552965
20120807,1761530.719999999739230,1697439.349999999860302,1710620.159999999916181,1688514.899999999906868,1587502.699999999953434,1968847.320000000065193,10414459.149999998509884
20120808,1748904.839999999850988,1710072.619999999878928,1717105.199999999953434,1700238.699999999953434,1593243.550000000046566,1980322.560000000055879,10449891.470000000670552
20120809,1767673.039999999804422,1721734.099999999860302,1719987.439999999944121,1702370.300000000046566,1571790.900000000139698,1972125.960000000195578,10455685.740000000223517
20120810,1757777.079999999841675,1718818.729999999981374,1725031.360000000102445,1704768.349999999860302,1568165.100000000093132,1976497.479999999981374,10451062.099999999627471
20120813,1767843.659999999916181,1711044.409999999916181,1709179.039999999804422,1698107.099999999860302,1568165.100000000093132,1965568.679999999934807,10419911.989999998360872
20120814,1761871.959999999962747,1772267.179999999934807,1727913.600000000093132,1693044.550000000046566,1570280.150000000139698,1951361.239999999990687,10476742.679999999701977
20120815,1759653.899999999674037,1781661.149999999906868,1732236.959999999962747,1698640.000000000000000,1595962.900000000139698,1943164.640000000130385,10511323.550000000745058
20120816,1765796.219999999739230,1824095.979999999981374,1730795.839999999850988,1706100.600000000093132,1613185.450000000186265,1940978.880000000121072,10580956.970000000670552
20120817,1767673.039999999804422,1837701.039999999804422,1714222.959999999962747,1735410.099999999860302,1605329.550000000279397,1958464.960000000195578,10618805.650000000372529
20120820,1796337.199999999953434,1832518.159999999916181,1722869.679999999934807,1748999.050000000046566,1607444.600000000093132,1968847.320000000065193,10677020.009999999776483
20120821,1797019.679999999701977,1824419.909999999916181,1707017.360000000102445,1738074.600000000093132,1614091.900000000139698,1948082.599999999860302,10628710.050000000745058
20120822,1785929.379999999888241,1834785.669999999925494,1707737.919999999925494,1743936.500000000000000,1630710.150000000139698,1942618.199999999953434,10645721.819999998435378
20120823,1775862.799999999813735,1831870.299999999813735,1710620.159999999916181,1726617.250000000000000,1629199.400000000139698,1948629.039999999804422,10622802.949999999254942
20120824,1790877.359999999636784,1845151.429999999934807,1730075.280000000027940,1742604.250000000232831,1636451.000000000000000,1948082.599999999860302,10693245.919999999925494
20120827,1793607.280000000027940,1835757.459999999962747,1721428.560000000055879,1736742.350000000093132,1650047.750000000000000,1945350.400000000139698,10682937.800000000745058
20120828,1792071.699999999953434,1831222.439999999944121,1718546.320000000065193,1727683.050000000046566,1641587.550000000046566,1934421.599999999860302,10645536.660000000149012
20120829,1800602.699999999953434,1841264.270000000018626,1726472.479999999981374,1726617.250000000000000,1650954.200000000186265,1928957.199999999953434,10674872.099999997764826
20120830,1786782.479999999748543,1834137.809999999823049,1717825.760000000009313,1718357.299999999813735,1652464.949999999953434,1924039.239999999990687,10633611.539999999105930
20120831,1803844.479999999748543,1838348.899999999906868,1719266.879999999888241,1725018.549999999813735,1640681.100000000093132,1954093.439999999944121,10681257.349999999627471
20120904,1815617.259999999776483,1839644.619999999878928,1713502.400000000139698,1722354.050000000046566,1648537.000000000232831,1950814.800000000046566,10690474.130000000819564
20120905,1875846.119999999878928,1831546.369999999878928,1723590.239999999990687,1719423.100000000093132,1640076.800000000046566,1960650.720000000204891,10751137.350000001490116
20120906,1937269.320000000065193,1867502.599999999860302,1753853.760000000009313,1741005.550000000046566,1658507.950000000186265,1923492.800000000046566,10881635.980000000447035
20120907,1984872.299999999813735,1854869.329999999841675,1746648.159999999916181,1737541.699999999720603,1658205.800000000279397,1909285.359999999869615,10891426.650000000372529
20120910,1956720.000000000000000,1856165.049999999813735,1736560.320000000065193,1740206.199999999953434,1623760.700000000186265,1920214.159999999916181,10833630.429999999701977
20120911,1991014.619999999878928,1837377.109999999869615,1741604.239999999990687,1783904.000000000000000,1595358.600000000093132,1918574.840000000083819,10867837.410000000149012
20120912,2017460.719999999739230,1848066.799999999813735,1734398.639999999897555,1799624.550000000279397,1595962.900000000139698,1932235.840000000083819,10927753.449999999254942
20120913,2058921.379999999888241,1888558.049999999813735,1747368.719999999972060,1823871.500000000000000,1628292.950000000186265,1968300.880000000121072,11115317.480000000447035
20120914,2070694.159999999916181,1926133.929999999934807,1714943.520000000018626,1827335.349999999860302,1639170.350000000093132,1968300.880000000121072,11146582.189999999478459
