訓練日期,20101104 - 20110207
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11485801.850000001490116
真實報酬,1485801.850000001490116

夏普值報酬,0.139880185000000
夏普值風險,0.036086818642181
夏普值,3.876212707664370

預期報酬,21177.799156248329382
風險,88609.965920697155525
趨勢值,0.239000195251195
找到最佳解世代,2246
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
CAT[3](1),DIS[6](9),INTC[11](15),KO[14](17),WBA[27](8),XOM[29](3),
Stock#,CAT[3](1),DIS[6](9),INTC[11](15),KO[14](17),WBA[27](8),XOM[29](3),
張數,20864,45926,81380,53798,47375,24520,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,49.680000000167638,11.459999999962747,3.599999999860302,3.959999999962747,13.500000000000000,41.600000000093132,
20101104,1735517.200000000419095,1700651.239999999990687,1706542.199999999720603,1680115.500000000000000,1703144.750000000232831,1701239.199999999953434,10227214.089999999850988
20101105,1743028.240000000223517,1708458.660000000149012,1728514.799999999813735,1683343.379999999888241,1664771.000000000000000,1716441.600000000093132,10244561.679999999701977
20101108,1734265.360000000335276,1702029.020000000018626,1727701.000000000000000,1680115.500000000000000,1662402.250000000232831,1724288.000000000000000,10230805.130000000819564
20101109,1709019.920000000158325,1692843.819999999832362,1722004.399999999906868,1684957.320000000065193,1669508.500000000000000,1731889.199999999953434,10210227.160000000149012
20101110,1720495.120000000111759,1698814.199999999953434,1712238.799999999813735,1682805.400000000139698,1663349.750000000000000,1744149.199999999953434,10221856.469999998807907
20101111,1720077.840000000083819,1650132.639999999897555,1726073.399999999906868,1689261.159999999916181,1668087.250000000000000,1761313.199999999953434,10214949.489999998360872
20101112,1690868.240000000223517,1733717.959999999962747,1752115.000000000000000,1692489.040000000037253,1650084.750000000000000,1740716.399999999906868,10259995.390000000596046
20101115,1707142.159999999916181,1710754.959999999962747,1733397.599999999860302,1693565.000000000000000,1634924.750000000000000,1728211.200000000186265,10207999.669999998062849
20101116,1676889.360000000335276,1695599.380000000121072,1714680.199999999953434,1669893.879999999888241,1611237.250000000000000,1690450.400000000139698,10058754.470000000670552
20101117,1693580.560000000288710,1709377.179999999934807,1715493.999999999767169,1681729.439999999944121,1611237.250000000000000,1692166.800000000279397,10103589.230000000447035
20101118,1734056.720000000204891,1725910.539999999804422,1710611.199999999720603,1717236.120000000111759,1630661.000000000000000,1724042.800000000046566,10242522.379999998956919
20101119,1751999.760000000242144,1699732.719999999972060,1720376.799999999813735,1730147.639999999664724,1646768.500000000000000,1729682.400000000139698,10278711.820000000298023
20101122,1752625.680000000167638,1696977.160000000149012,1729328.599999999860302,1729071.679999999934807,1652927.250000000000000,1721100.400000000139698,10282034.770000001415610
20101123,1724042.000000000000000,1658858.579999999841675,1716307.799999999813735,1711318.339999999850988,1609815.999999999767169,1691431.200000000186265,10111777.919999998062849
20101124,1767021.840000000083819,1693303.079999999841675,1740721.799999999813735,1738217.340000000083819,1625449.750000000000000,1713499.199999999953434,10278217.009999997913837
20101126,1755338.000000000000000,1685495.660000000149012,1736652.799999999813735,1724767.840000000083819,1595603.500000000000000,1697561.200000000186265,10195423.000000000000000
20101129,1745740.560000000288710,1672636.380000000121072,1735838.999999999767169,1705400.559999999823049,1648663.499999999767169,1702955.600000000093132,10211239.599999999627471
20101130,1765144.080000000074506,1676769.719999999972060,1722004.399999999906868,1699482.780000000027940,1651032.250000000000000,1705652.800000000046566,10220090.030000001192093
20101201,1824606.480000000214204,1704784.579999999841675,1748046.000000000000000,1740369.260000000009313,1689879.750000000000000,1749053.199999999953434,10456743.269999999552965
20101202,1849017.360000000335276,1714888.300000000046566,1765949.599999999860302,1745749.060000000055879,1710724.750000000000000,1752731.200000000186265,10539064.269999999552965
20101203,1864874.000000000000000,1726369.800000000046566,1765135.800000000046566,1734989.459999999962747,1746256.000000000000000,1745620.400000000139698,10583249.459999999031425
20101206,1861118.480000000214204,1724992.020000000018626,1765949.599999999860302,1721539.959999999962747,1722094.750000000000000,1748562.800000000046566,10544261.609999999403954
20101207,1885112.080000000074506,1714429.039999999804422,1756183.999999999767169,1725305.820000000065193,1715936.000000000000000,1752240.800000000046566,10549211.740000002086163
20101208,1869881.360000000335276,1697895.679999999934807,1775715.199999999953434,1732299.560000000055879,1727779.750000000000000,1761803.599999999860302,10565379.150000000372529
20101209,1870924.560000000288710,1687332.699999999953434,1774901.399999999674037,1744135.120000000111759,1723042.249999999767169,1765481.600000000093132,10565821.629999998956919
20101210,1876557.840000000083819,1683658.619999999878928,1783039.399999999906868,1739293.299999999813735,1725884.750000000000000,1769895.200000000186265,10578333.109999999403954
20101213,1911818.000000000000000,1705243.840000000083819,1749673.599999999860302,1744135.120000000111759,1726358.500000000000000,1774308.800000000046566,10611541.859999999403954
20101214,1921415.440000000176951,1710295.699999999953434,1747232.199999999720603,1718850.059999999823049,1741044.750000000000000,1769895.200000000186265,10608737.349999997764826
20101215,1942905.360000000335276,1696977.160000000149012,1731770.000000000000000,1741445.219999999739230,1759047.250000000232831,1761803.599999999860302,10633952.589999999850988
20101216,1944574.480000000214204,1699732.719999999972060,1733397.599999999860302,1757584.620000000111759,1786998.500000000000000,1770876.000000000000000,10693167.919999999925494
20101217,1931847.440000000176951,1701569.759999999776483,1746418.399999999906868,1767268.260000000009313,1780366.000000000000000,1769650.000000000232831,10697123.859999999403954
20101220,1946660.880000000121072,1702029.020000000018626,1727701.000000000000000,1757046.639999999664724,1766153.500000000000000,1770876.000000000000000,10670471.039999999105930
20101221,1974410.000000000000000,1714429.039999999804422,1717121.599999999860302,1761350.479999999981374,1744834.750000000000000,1783136.000000000000000,10695285.869999999180436
20101222,1973158.159999999916181,1742903.160000000149012,1700031.799999999813735,1764578.359999999869615,1840532.250000000000000,1785097.600000000093132,10806305.330000000074506
20101223,1970654.480000000214204,1731421.660000000149012,1695962.799999999813735,1764040.379999999888241,1856639.750000000000000,1794905.600000000093132,10813628.669999999925494
20101227,1962726.159999999916181,1721317.939999999711290,1695962.799999999813735,1750052.900000000139698,1845743.500000000000000,1790246.800000000279397,10766054.100000001490116
20101228,1954797.840000000083819,1715806.819999999832362,1699217.999999999767169,1758122.599999999860302,1869904.750000000000000,1800300.000000000232831,10798154.009999999776483
20101229,1956675.600000000093132,1726829.060000000055879,1704100.800000000046566,1760812.499999999767169,1870378.499999999767169,1799074.000000000232831,10817874.459999999031425
20101230,1958553.360000000335276,1721317.939999999711290,1710611.199999999720603,1761888.459999999962747,1859008.500000000000000,1798828.800000000046566,10810212.260000001639128
20101231,1954171.920000000158325,1722695.719999999972060,1711425.000000000000000,1769420.179999999934807,1845743.500000000000000,1792944.000000000232831,10796404.320000000298023
20110103,1964395.280000000260770,1736932.780000000027940,1696776.599999999860302,1754356.739999999990687,1862798.500000000000000,1828007.600000000093132,10843271.500000000000000
20110104,1955215.120000000111759,1790666.199999999953434,1721190.599999999860302,1718312.080000000074506,1878432.250000000000000,1836589.600000000325963,10900409.849999999627471
20110105,1972114.960000000195578,1835214.419999999925494,1704100.800000000046566,1708090.459999999962747,1904488.500000000232831,1831685.600000000093132,10955698.740000000223517
20110106,1951668.240000000223517,1820977.359999999869615,1690266.199999999720603,1695716.919999999925494,1910173.500000000000000,1843455.200000000186265,10912261.419999998062849
20110107,1955632.400000000139698,1811792.160000000149012,1681314.399999999906868,1692489.040000000037253,1898803.500000000000000,1853508.400000000139698,10893543.900000000372529
20110110,1948538.640000000130385,1814088.459999999962747,1683755.800000000046566,1696254.900000000139698,1940019.750000000232831,1842229.199999999953434,10924890.750000000000000
20110111,1960222.480000000214204,1809495.859999999869615,1713052.599999999860302,1686571.260000000009313,1934334.750000000000000,1855960.400000000139698,10959641.349999999627471
20110112,1950625.040000000037253,1798932.880000000121072,1733397.599999999860302,1695716.919999999925494,1951863.500000000232831,1877783.199999999953434,11008323.139999998733401
20110113,1964186.640000000130385,1803066.219999999972060,1732583.799999999813735,1705400.559999999823049,1972708.500000000000000,1880970.800000000046566,11058920.519999999552965
20110114,1961474.320000000298023,1804444.000000000000000,1715493.999999999767169,1698406.820000000065193,1963233.500000000000000,1908678.400000000139698,11051735.040000000968575
20110118,2007792.400000000139698,1809036.600000000093132,1715493.999999999767169,1707552.479999999981374,1988342.250000000000000,1930010.800000000046566,11158232.530000001192093
20110119,1993396.240000000223517,1795258.800000000046566,1709797.399999999906868,1705938.540000000037253,1955653.500000000000000,1918486.399999999906868,11078534.880000000819564
20110120,1953128.720000000204891,1798932.880000000121072,1704914.599999999860302,1693027.019999999785796,1971287.250000000000000,1906471.600000000093132,11027766.069999998435378
20110121,1935185.680000000167638,1825110.699999999953434,1694335.199999999953434,1688723.179999999934807,1975077.250000000000000,1936631.200000000186265,11055067.210000000894070
20110124,1973158.159999999916181,1834295.899999999906868,1728514.799999999813735,1701634.699999999953434,1965602.250000000000000,1927068.400000000139698,11130278.209999999031425
20110125,1969402.640000000130385,1830621.819999999832362,1753742.599999999860302,1693565.000000000000000,1953758.500000000000000,1929275.200000000186265,11130369.759999997913837
20110126,1997777.680000000167638,1811332.899999999906868,1770018.599999999860302,1693565.000000000000000,1956127.250000000000000,1953304.800000000046566,11182130.230000000447035
20110127,2016138.000000000000000,1812251.419999999925494,1770018.599999999860302,1686571.260000000009313,1945704.750000000000000,1958699.199999999953434,11189387.229999998584390
20110128,1996317.200000000419095,1784236.560000000055879,1746418.399999999906868,1673659.739999999990687,1912068.500000000000000,1936876.399999999906868,11049580.800000000745058
20110131,2024066.320000000298023,1785155.079999999841675,1746418.399999999906868,1690875.099999999860302,1915858.500000000000000,1978315.200000000186265,11140692.600000001490116
20110201,2044930.320000000298023,1831540.340000000083819,1748046.000000000000000,1696254.900000000139698,2000659.749999999767169,2057514.800000000046566,11378950.110000001266599
20110202,2067463.440000000176951,1859555.199999999953434,1754556.399999999674037,1690875.099999999860302,1988342.250000000000000,2045254.800000000046566,11406051.190000001341105
20110203,2064125.200000000419095,1860014.459999999962747,1755370.199999999953434,1683343.379999999888241,2004449.750000000000000,2045990.400000000139698,11413297.390000000596046
20110204,2077895.440000000176951,1869658.919999999925494,1764321.999999999767169,1682805.400000000139698,2007292.249999999767169,2042067.200000000186265,11444045.210000000894070
20110207,2096255.760000000242144,1880221.899999999906868,1765135.800000000046566,1681729.439999999944121,2004449.750000000000000,2058005.200000000186265,11485801.850000001490116
