訓練日期,20180508 - 20180808
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11280955.759999999776483
真實報酬,1280955.759999999776483

夏普值報酬,0.119395576000000
夏普值風險,0.032603410215238
夏普值,3.662057901666873

預期報酬,17799.372125980888086
風險,74504.173762171267299
趨勢值,0.238904362362291
找到最佳解世代,2152
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
HD[9](11),KO[14](2),NKE[19](4),PFE[20](8),PG[21](1),VZ[26](9),
Stock#,HD[9](11),KO[14](2),NKE[19](4),PFE[20](8),PG[21](1),VZ[26](9),
張數,9079,39550,24036,47714,23154,34918,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,124.760000000009313,29.000000000000000,9.760000000009313,15.979999999981374,41.079999999841675,29.860000000102445,
20180508,1680102.919999999925494,1653614.500000000000000,1645514.319999999832362,1669051.699999999720603,1654162.839999999850988,1641874.220000000204891,9944324.500000000000000
20180509,1692087.200000000186265,1652428.000000000000000,1633255.959999999962747,1678117.360000000102445,1675696.060000000055879,1619526.700000000186265,9951115.280000001192093
20180510,1699350.399999999906868,1668248.000000000000000,1632534.880000000121072,1671914.540000000037253,1693756.179999999934807,1648159.460000000195578,10013967.460000000894070
20180511,1727949.250000000000000,1666666.000000000000000,1644793.240000000223517,1693862.979999999981374,1698850.060000000055879,1697743.020000000018626,10129868.550000000745058
20180514,1734940.080000000074506,1662711.000000000000000,1654648.000000000000000,1711040.020000000018626,1696766.199999999953434,1693203.680000000167638,10153312.979999998584390
20180515,1706795.179999999934807,1650055.000000000000000,1670511.760000000009313,1702928.639999999897555,1689125.379999999888241,1668761.080000000074506,10088181.039999999105930
20180516,1692268.780000000027940,1643331.500000000000000,1714738.000000000000000,1702451.500000000000000,1702554.699999999953434,1671205.340000000083819,10126553.820000000298023
20180517,1682735.830000000074506,1672994.000000000000000,1705123.599999999860302,1703882.919999999925494,1712510.919999999692664,1670856.160000000149012,10148107.429999999701977
20180518,1701710.939999999944121,1672994.000000000000000,1714257.279999999795109,1700542.939999999944121,1700702.379999999888241,1667015.180000000167638,10157226.719999998807907
20180521,1723228.169999999925494,1677344.499999999767169,1715699.439999999944121,1708177.179999999934807,1714826.319999999832362,1691108.600000000093132,10230388.209999999031425
20180522,1696717.489999999990687,1671016.500000000000000,1714016.920000000158325,1704360.059999999823049,1714131.699999999953434,1704377.440000000176951,10204624.109999999403954
20180523,1694901.689999999944121,1676949.000000000000000,1714738.000000000000000,1716288.559999999823049,1717604.800000000046566,1696695.480000000214204,10217181.529999999329448
20180524,1699259.610000000102445,1673785.000000000000000,1734928.240000000223517,1712471.439999999944121,1708111.659999999683350,1698441.380000000121072,10227001.330000001937151
20180525,1696535.909999999916181,1676949.000000000000000,1736610.760000000009313,1702451.500000000000000,1720614.819999999832362,1694251.220000000204891,10227417.210000000894070
20180529,1679739.760000000009313,1688023.000000000000000,1704642.880000000121072,1703405.780000000027940,1714594.779999999795109,1683077.460000000195578,10173487.660000000149012
20180530,1698714.870000000111759,1705820.500000000000000,1736130.040000000037253,1720105.679999999934807,1734044.139999999897555,1697044.660000000149012,10291863.890000000596046
20180531,1693812.210000000195578,1700679.000000000000000,1725794.560000000055879,1714380.000000000000000,1694219.259999999776483,1664570.920000000158325,10193459.949999999254942
20180601,1701075.409999999916181,1705425.000000000000000,1748869.120000000111759,1729648.479999999981374,1700702.379999999888241,1669459.440000000176951,10255183.830000000074506
20180604,1737482.200000000186265,1720058.500000000000000,1774587.639999999897555,1739191.280000000027940,1717604.800000000046566,1669808.620000000111759,10358737.039999999105930
20180605,1742748.020000000018626,1705029.500000000000000,1779875.560000000055879,1738714.139999999897555,1712742.459999999729916,1675046.320000000065193,10354160.000000000000000
20180606,1757728.370000000111759,1718872.000000000000000,1796700.760000000009313,1735851.300000000046566,1721540.979999999748543,1690410.239999999990687,10421107.650000000372529
20180607,1781152.189999999944121,1718081.000000000000000,1796941.120000000111759,1741099.840000000083819,1754188.119999999878928,1711361.040000000037253,10502827.309999998658895
20180608,1800762.830000000074506,1738251.500000000000000,1800306.160000000149012,1749688.360000000102445,1787066.800000000046566,1717297.100000000093132,10593376.750000000000000
20180611,1812656.319999999832362,1745370.500000000000000,1792855.000000000000000,1732034.179999999934807,1795170.699999999953434,1721487.260000000009313,10599577.959999999031425
20180612,1827818.250000000000000,1756444.499999999767169,1785644.200000000186265,1732034.179999999934807,1788456.039999999804422,1704377.440000000176951,10594778.609999999403954
20180613,1818739.250000000000000,1747348.000000000000000,1781317.719999999972060,1728217.059999999823049,1770627.459999999729916,1655143.060000000055879,10501396.549999998882413
20180614,1812928.689999999944121,1723618.000000000000000,1795498.959999999962747,1725354.219999999739230,1759513.539999999804422,1669808.620000000111759,10486726.030000001192093
20180615,1820827.419999999925494,1744975.000000000000000,1822900.000000000000000,1734897.020000000018626,1791697.599999999627471,1678188.940000000176951,10593489.979999998584390
20180618,1822189.270000000018626,1722431.500000000000000,1817371.719999999972060,1725354.219999999739230,1756040.439999999944121,1657238.140000000130385,10500629.290000000968575
20180619,1808752.350000000093132,1724409.000000000000000,1784923.120000000111759,1728217.059999999823049,1767385.899999999906868,1693552.860000000102445,10507244.289999999105930
20180620,1807572.080000000074506,1710962.000000000000000,1795979.679999999934807,1739668.419999999925494,1756271.979999999748543,1679236.480000000214204,10489694.640000000596046
20180621,1818739.250000000000000,1704238.500000000232831,1777231.599999999860302,1732034.179999999934807,1769932.839999999850988,1698092.200000000186265,10500272.570000000298023
20180622,1792410.149999999906868,1710566.500000000000000,1764973.240000000223517,1742054.119999999878928,1792855.300000000046566,1737549.540000000037253,10540412.850000001490116
20180625,1783058.780000000027940,1723618.000000000000000,1739014.359999999869615,1735851.300000000046566,1801190.739999999990687,1731962.660000000149012,10514699.839999999850988
20180626,1782877.200000000186265,1713730.500000000000000,1744061.920000000158325,1735851.300000000046566,1806053.079999999841675,1721487.260000000009313,10504065.259999999776483
20180627,1770711.340000000083819,1703447.500000000000000,1714978.359999999869615,1727739.919999999925494,1798875.339999999850988,1721836.440000000176951,10437592.899999998509884
20180628,1772436.350000000093132,1719267.500000000000000,1723390.959999999962747,1734897.020000000018626,1807210.779999999795109,1775959.340000000083819,10533165.949999999254942
20180629,1771437.659999999916181,1734692.000000000000000,1915198.240000000223517,1731079.900000000139698,1807442.319999999832362,1756754.440000000176951,10716608.560000000521541
20180702,1761632.340000000083819,1730341.500000000000000,1883230.359999999869615,1733465.599999999860302,1809063.099999999627471,1760595.420000000158325,10678332.319999998435378
20180703,1758000.739999999990687,1739833.500000000000000,1833475.840000000083819,1734419.880000000121072,1803737.679999999934807,1770372.460000000195578,10639844.100000001490116
20180705,1765173.149999999906868,1766331.999999999767169,1839965.560000000055879,1759231.159999999916181,1834069.419999999692664,1790624.900000000139698,10755400.189999999478459
20180706,1765808.679999999934807,1765541.000000000000000,1838283.040000000037253,1770682.520000000018626,1836384.819999999832362,1797608.500000000000000,10774312.560000000521541
20180709,1780335.080000000074506,1756049.000000000000000,1857511.840000000083819,1773068.219999999739230,1802811.519999999785796,1771769.180000000167638,10741548.839999999850988
20180710,1794225.950000000186265,1778592.500000000000000,1864482.279999999795109,1785951.000000000000000,1848193.359999999636784,1792719.980000000214204,10864169.070000000298023
20180711,1788233.809999999823049,1771473.500000000000000,1859434.719999999972060,1775453.919999999925494,1832911.719999999739230,1792719.980000000214204,10820231.649999998509884
20180712,1797312.809999999823049,1766727.500000000000000,1859675.080000000074506,1790245.260000000242144,1826660.139999999897555,1789228.180000000167638,10829852.970000000670552
20180713,1804031.270000000018626,1769496.000000000000000,1859915.439999999944121,1790722.400000000139698,1836384.819999999832362,1795164.239999999990687,10855718.169999999925494
20180716,1805756.280000000027940,1769100.499999999767169,1868808.760000000009313,1783565.300000000046566,1841478.699999999953434,1801449.480000000214204,10870163.019999999552965
20180717,1825911.659999999916181,1789666.500000000000000,1862078.679999999934807,1796448.079999999841675,1853055.699999999953434,1795862.600000000093132,10923027.219999998807907
20180718,1824731.389999999897555,1784525.000000000000000,1840927.000000000000000,1796925.219999999739230,1845877.959999999729916,1785736.380000000121072,10878726.949999999254942
20180719,1839802.530000000027940,1784129.500000000000000,1849579.959999999962747,1782611.020000000018626,1822955.500000000000000,1772118.360000000102445,10851200.869999999180436
20180720,1838168.309999999823049,1790853.000000000000000,1849820.319999999832362,1781179.599999999860302,1821797.800000000046566,1767579.020000000018626,10849402.049999998882413
20180723,1836170.929999999934807,1777801.500000000000000,1840927.000000000000000,1775453.919999999925494,1817861.619999999878928,1772118.360000000102445,10820337.329999998211861
20180724,1833991.970000000204891,1790062.000000000000000,1815448.840000000083819,1798833.780000000027940,1828975.539999999804422,1798656.040000000037253,10865972.170000001788139
20180725,1825003.760000000009313,1822888.500000000232831,1854627.520000000018626,1812670.840000000083819,1840089.459999999729916,1777705.239999999990687,10932989.320000000298023
20180726,1810477.360000000102445,1828821.000000000000000,1878423.160000000149012,1820782.219999999739230,1854444.939999999944121,1787133.100000000093132,10980085.779999999329448
20180727,1789958.819999999832362,1827634.500000000000000,1848137.800000000046566,1832710.719999999739230,1865790.399999999906868,1816115.040000000037253,10980351.280000001192093
20180730,1791229.880000000121072,1828425.499999999767169,1825784.319999999832362,1841299.240000000223517,1856991.879999999888241,1832875.680000000167638,10976610.500000000000000
20180731,1793408.840000000083819,1844245.500000000000000,1848618.520000000018626,1905236.000000000000000,1872736.599999999627471,1803195.380000000121072,11067444.839999999850988
20180801,1782332.460000000195578,1834753.500000000000000,1863761.200000000186265,1921458.760000000242144,1867411.179999999934807,1806338.000000000000000,11076059.099999999627471
20180802,1776521.899999999906868,1826448.000000000000000,1890441.160000000149012,1891876.079999999841675,1898669.079999999841675,1815067.500000000000000,11099027.720000000670552
20180803,1776340.319999999832362,1843850.000000000000000,1892604.399999999906868,1934341.540000000037253,1906309.899999999906868,1825193.720000000204891,11178643.880000000819564
20180806,1776794.270000000018626,1845036.500000000000000,1911112.120000000111759,1958198.540000000037253,1910709.159999999683350,1832526.500000000000000,11234381.089999999850988
