代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11951457.750000000000000
真實報酬,1951457.750000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19015.088406840270181
風險,388846.539246559666935
起點值,0.048901266920581
找到最佳解世代,2527
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
IBM[10](1),
FS( 93 ),11602370.000000000000000,11602370.000000000000000
FS( 94 ),11969770.550000000745058,11969770.550000000745058
FS( 95 ),12076213.700000001117587,12076213.700000001117587
FS( 96 ),11909109.400000000372529,11909109.400000000372529
FS( 97 ),11768329.750000000000000,11768329.750000000000000
FS( 98 ),11661886.599999999627471,11661886.599999999627471
FS( 99 ),12020130.750000000000000,12020130.750000000000000
FS( 100 ),11780919.800000000745058,11780919.800000000745058
FS( 101 ),11982360.599999999627471,11982360.599999999627471
FS( 102 ),12164344.050000000745058,12164344.050000000745058
FS( 103 ),12403555.000000000000000,12403555.000000000000000
FS( 104 ),12227294.300000000745058,12227294.300000000745058
FS( 105 ),12188379.599999999627471,12188379.599999999627471
FS( 106 ),12170066.800000000745058,12170066.800000000745058
FS( 107 ),12274220.849999999627471,12274220.849999999627471
FS( 108 ),12302834.599999999627471,12302834.599999999627471
FS( 109 ),12377230.349999999627471,12377230.349999999627471
FS( 110 ),12401265.900000000372529,12401265.900000000372529
FS( 111 ),12521443.650000000372529,12521443.650000000372529
FS( 112 ),12385242.199999999254942,12385242.199999999254942
FS( 113 ),12317713.750000000000000,12317713.750000000000000
FS( 114 ),12283377.250000000000000,12283377.250000000000000
FS( 115 ),12246751.650000000372529,12246751.650000000372529
FS( 116 ),12170066.800000000745058,12170066.800000000745058
FS( 117 ),12119706.599999999627471,12119706.599999999627471
FS( 118 ),11962903.250000000000000,11962903.250000000000000
FS( 119 ),11953746.849999999627471,11953746.849999999627471
FS( 120 ),11920554.900000000372529,11920554.900000000372529
FS( 121 ),12139163.950000001117587,12139163.950000001117587
FS( 122 ),12095671.050000000745058,12095671.050000000745058
FS( 123 ),12112839.300000000745058,12112839.300000000745058
FS( 124 ),11951457.750000000000000,11951457.750000000000000
