代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14940937.379999998956919
真實報酬,4940937.379999998956919

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19859.460124585129961
風險,237216.012835613626521
起點值,0.083718885108938
找到最佳解世代,1614
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](1),BA[2](16),HD[9](27),JNJ[12](12),MCD[15](11),MRK[17](9),MSFT[18](8),PG[21](5),
Stock#,AAPL[0](1),BA[2](16),HD[9](27),JNJ[12](12),MCD[15](11),MRK[17](9),MSFT[18](8),PG[21](5),
張數,68756,30332,48506,23768,23854,51440,61758,25252,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,15.919999999925494,18.280000000027940,0.380000000121072,40.879999999888241,50.400000000139698,8.000000000000000,18.080000000074506,26.000000000000000,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1297441.639999999897555,1279422.040000000037253,1271342.640000000130385,1277808.559999999823049,1258825.980000000214204,1266460.800000000046566,1246912.100000000093132,1287625.479999999981374,10185839.240000000223517
FS( 3 ),1303629.679999999934807,1308844.080000000074506,1270372.520000000251457,1292069.359999999869615,1268129.040000000037253,1264917.600000000093132,1222208.899999999906868,1257323.080000000074506,10187494.260000001639128
FS( 4 ),1301567.000000000000000,1340692.680000000167638,1263096.620000000111759,1288504.159999999916181,1280771.660000000149012,1265946.399999999906868,1222208.899999999906868,1283837.680000000167638,10246625.099999999627471
FS( 5 ),1267876.560000000055879,1320370.239999999990687,1242239.040000000037253,1304666.399999999906868,1273615.460000000195578,1296810.400000000139698,1193182.640000000130385,1296463.680000000167638,10195224.419999999925494
FS( 6 ),1269251.679999999934807,1390133.840000000083819,1236903.380000000121072,1306805.519999999785796,1310112.080000000074506,1276748.800000000046566,1199358.440000000176951,1302271.639999999897555,10291585.380000000819564
FS( 7 ),1272689.479999999981374,1356465.320000000065193,1209254.960000000195578,1286127.359999999869615,1297708.000000000000000,1255144.000000000000000,1193182.640000000130385,1271969.239999999990687,10142541.000000000000000
FS( 8 ),1221810.039999999804422,1337659.479999999981374,1195188.220000000204891,1307280.879999999888241,1287450.780000000027940,1284979.199999999953434,1228384.700000000186265,1286362.879999999888241,10149116.179999999701977
FS( 9 ),1173680.839999999850988,1302777.680000000167638,1204404.360000000102445,1310846.079999999841675,1276000.860000000102445,1320472.800000000046566,1219738.580000000074506,1286867.919999999925494,10094789.119999999180436
FS( 10 ),1207371.279999999795109,1317640.359999999869615,1189852.560000000288710,1307756.239999999990687,1277909.180000000167638,1340020.000000000000000,1238883.560000000055879,1282827.599999999860302,10162260.780000001192093
FS( 11 ),1202558.359999999869615,1304294.280000000027940,1183546.780000000027940,1317025.759999999776483,1275285.240000000223517,1310184.800000000046566,1248764.840000000083819,1279544.840000000083819,10121204.900000000372529
FS( 12 ),1243811.959999999962747,1345849.119999999878928,1262126.500000000000000,1332237.279999999795109,1292937.200000000186265,1324073.599999999860302,1272232.880000000121072,1326261.040000000037253,10399529.579999998211861
FS( 13 ),1252062.679999999934807,1353432.119999999878928,1194703.160000000149012,1328434.399999999906868,1285065.380000000121072,1325616.800000000046566,1254323.060000000055879,1337119.400000000139698,10330757.000000000000000
FS( 14 ),1236248.800000000046566,1352218.840000000083819,1155898.360000000102445,1327959.039999999804422,1341837.900000000139698,1342077.600000000093132,1258646.120000000111759,1364139.040000000037253,10379025.699999999254942
