代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13065533.290000000968575
真實報酬,3065533.290000000968575

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13506.258991295411761
風險,136955.784367170039332
起點值,0.098617660098868
找到最佳解世代,2307
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CAT[3](4),DIS[6](1),DD[7](2),INTC[11](9),MRK[17](7),MSFT[18](3),PG[21](19),
Stock#,CAT[3](4),DIS[6](1),DD[7](2),INTC[11](9),MRK[17](7),MSFT[18](3),PG[21](19),
張數,17055,22035,26183,62574,29310,42542,18757,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,44.199999999953434,41.949999999953434,26.520000000018626,6.580000000074506,1.599999999860302,10.640000000130385,37.880000000121072,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1433858.049999999813735,1429672.749999999767169,1442971.649999999906868,1432325.440000000176951,1417726.299999999813735,1443035.280000000260770,1424256.890000000363216,10023849.359999999403954
FS( 3 ),1432152.550000000046566,1410722.649999999906868,1445589.949999999953434,1414178.980000000214204,1417433.199999999953434,1440482.760000000009313,1422568.760000000242144,9983131.850000001490116
FS( 4 ),1436075.199999999953434,1438927.449999999953434,1491148.370000000111759,1427319.520000000018626,1413622.899999999674037,1441333.600000000325963,1425945.020000000018626,10074375.059999998658895
FS( 5 ),1424648.349999999860302,1423282.600000000093132,1467321.840000000083819,1428571.000000000000000,1403657.499999999767169,1416659.239999999990687,1419004.930000000167638,9983148.459999999031425
FS( 6 ),1413050.949999999953434,1410281.949999999953434,1436425.899999999906868,1406670.100000000093132,1399554.099999999860302,1404322.060000000055879,1431759.690000000176951,9902067.750000000000000
FS( 7 ),1424477.799999999813735,1401247.600000000093132,1451350.209999999962747,1413553.239999999990687,1385485.300000000046566,1406874.580000000074506,1443389.030000000260770,9926380.760000001639128
FS( 8 ),1445114.350000000093132,1445097.250000000000000,1506334.510000000009313,1445465.980000000214204,1391933.500000000000000,1436228.560000000055879,1461020.610000000102445,10131197.759999999776483
FS( 9 ),1460122.750000000000000,1458979.299999999813735,1531470.190000000176951,1455477.820000000065193,1386071.499999999767169,1451969.100000000325963,1472087.240000000223517,10216180.900000000372529
FS( 10 ),1470867.399999999906868,1472641.000000000000000,1522044.310000000055879,1467366.880000000121072,1370244.099999999860302,1465582.540000000270084,1476964.060000000055879,10245713.290000000968575
FS( 11 ),1462510.449999999953434,1464047.349999999860302,1507643.659999999916181,1463612.440000000176951,1364968.299999999813735,1467284.220000000204891,1455581.080000000074506,10185650.500000000000000
