代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14567441.299999998882413
真實報酬,4567441.299999998882413

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19285.446395638940885
風險,326045.162679376371671
起點值,0.059149616688544
找到最佳解世代,1778
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](2),INTC[11](10),MCD[15](11),V[25](1),
Stock#,BA[2](2),INTC[11](10),MCD[15](11),V[25](1),
張數,13706,68851,17711,27394,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,162.660000000149012,20.189999999944121,92.350000000093132,23.560000000055879,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2514391.300000000279397,2545441.659999999683350,2501416.879999999888241,2535064.320000000298023,10096314.160000000149012
FS( 3 ),2513706.000000000000000,2546130.169999999925494,2526035.170000000391155,2532324.919999999925494,10118196.259999999776483
FS( 4 ),2509320.080000000074506,2537179.540000000037253,2540735.299999999813735,2537255.840000000316650,10124490.759999999776483
FS( 5 ),2535909.720000000204891,2535114.009999999776483,2549767.910000000149012,2522737.020000000018626,10143528.660000000149012
FS( 6 ),2549752.780000000260770,2515835.729999999981374,2554726.990000000223517,2518080.040000000037253,10138395.539999999105930
FS( 7 ),2561951.120000000111759,2504131.059999999590218,2556852.310000000521541,2520271.560000000055879,10143206.050000000745058
FS( 8 ),2510827.740000000223517,2479344.699999999720603,2559686.070000000298023,2527120.060000000055879,10076978.570000000298023
FS( 9 ),2521244.300000000279397,2457312.379999999888241,2554195.660000000149012,2523010.959999999962747,10055763.300000000745058
FS( 10 ),2511787.160000000149012,2446296.220000000204891,2574563.310000000521541,2540269.180000000167638,10072915.870000001043081
FS( 11 ),2500000.000000000000000,2453181.320000000298023,2590857.430000000167638,2553966.180000000167638,10098004.929999999701977
FS( 12 ),2504248.859999999869615,2466263.009999999776483,2608745.540000000037253,2551774.660000000149012,10131032.070000000298023
