代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11488030.429999999701977
真實報酬,1488030.429999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,6402.878907001928383
風險,305038.322795236657839
起點值,0.020990408183237
找到最佳解世代,2331
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
INTC[11](10),MRK[17](1),NKE[19](5),PFE[20](3),
Stock#,INTC[11](10),MRK[17](1),NKE[19](5),PFE[20](3),
張數,52465,41764,36954,67879,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,42.750000000000000,6.959999999962747,61.899999999906868,16.430000000167638,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2421302.500000000000000,2445706.800000000279397,2484109.779999999795109,2485066.620000000111759,9836185.699999999254942
FS( 3 ),2335784.550000000279397,2355496.560000000055879,2379529.959999999962747,2353381.360000000335276,9424192.429999999701977
FS( 4 ),2356245.899999999906868,2316238.399999999906868,2410201.779999999795109,2394787.550000000279397,9477473.630000000819564
FS( 5 ),2371460.750000000000000,2333779.280000000260770,2425352.919999999925494,2374423.850000000093132,9505016.800000000745058
FS( 6 ),2242921.500000000000000,2285750.679999999701977,2309317.359999999869615,2282787.200000000186265,9120776.739999998360872
FS( 7 ),2305879.500000000000000,2291597.639999999664724,2420179.359999999869615,2318763.069999999832362,9336419.570000000298023
FS( 8 ),2352048.699999999720603,2314985.479999999981374,2438286.819999999832362,2352702.569999999832362,9458023.570000000298023
FS( 9 ),2332636.649999999906868,2292850.560000000055879,2434221.879999999888241,2371708.689999999944121,9431417.779999999329448
FS( 10 ),2380904.450000000186265,2292850.560000000055879,2511455.739999999757856,2388678.439999999944121,9573889.189999999478459
FS( 11 ),2409235.550000000279397,2338373.319999999832362,2523650.560000000055879,2423975.520000000018626,9695234.949999999254942
FS( 12 ),2390348.149999999906868,2350902.520000000018626,2524020.099999999627471,2461308.970000000204891,9726579.740000000223517
FS( 13 ),2430221.549999999813735,2296191.679999999701977,2494087.359999999869615,2444339.220000000204891,9664839.810000000521541
FS( 14 ),2410284.850000000093132,2278233.159999999683350,2477827.599999999627471,2427369.470000000204891,9593715.080000000074506
FS( 15 ),2402939.750000000000000,2279068.439999999944121,2480783.919999999925494,2426011.890000000130385,9588804.000000000000000
FS( 16 ),2504197.199999999720603,2291597.639999999664724,2518846.539999999571592,2461308.970000000204891,9775950.349999999627471
FS( 17 ),2576598.899999999906868,2341296.800000000279397,2573908.000000000000000,2517648.540000000502914,10009452.240000000223517
FS( 18 ),2618570.899999999906868,2285333.040000000037253,2514042.520000000018626,2497963.629999999888241,9915910.089999999850988
FS( 19 ),2586042.600000000093132,2264451.040000000037253,2477088.520000000018626,2464702.920000000391155,9792285.080000000074506
FS( 20 ),2509968.350000000093132,2242733.760000000242144,2450851.179999999701977,2418545.200000000186265,9622098.490000000223517
FS( 21 ),2569778.449999999720603,2270298.000000000000000,2434960.959999999962747,2440266.480000000447035,9715303.890000000596046
FS( 22 ),2610176.500000000000000,2271968.560000000055879,2403919.599999999627471,2451805.910000000149012,9737870.570000000298023
FS( 23 ),2660542.899999999906868,2267792.159999999683350,2410940.859999999869615,2435514.950000000186265,9774790.870000001043081
FS( 24 ),2692546.549999999813735,2274892.040000000037253,2371400.080000000074506,2438908.900000000372529,9777747.570000000298023
FS( 25 ),2662116.850000000093132,2287003.600000000093132,2406136.839999999850988,2477599.930000000167638,9832857.220000000670552
FS( 26 ),2738191.100000000093132,2302873.919999999925494,2450112.099999999627471,2495927.260000000242144,9987104.379999998956919
FS( 27 ),2703039.550000000279397,2312062.000000000000000,2469328.179999999701977,2485066.620000000111759,9969496.350000001490116
FS( 28 ),2716680.450000000186265,2312479.639999999664724,2445308.080000000074506,2494569.680000000167638,9969037.849999999627471
FS( 29 ),2720877.649999999906868,2288674.159999999683350,2446416.700000000186265,2467418.080000000074506,9923386.589999999850988
