代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13025967.470000000670552
真實報酬,3025967.470000000670552

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11678.732133595694904
風險,163304.615783537912648
起點值,0.071515015528257
找到最佳解世代,2867
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](9),CAT[3](15),DD[7](1),JNJ[12](7),UNH[23](6),
Stock#,BA[2](9),CAT[3](15),DD[7](1),JNJ[12](7),UNH[23](6),
張數,19853,23220,40899,23609,31847,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,8.780000000027940,61.400000000139698,38.900000000139698,81.610000000102445,8.400000000139698,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1977566.110000000102445,1995123.800000000279397,2016359.600000000093132,1985598.510000000009313,1985987.320000000065193,9960635.339999999850988
FS( 3 ),1955330.750000000000000,1960293.800000000279397,1960327.970000000204891,1975682.730000000214204,1966560.650000000139698,9818195.900000000372529
FS( 4 ),1980544.060000000055879,1950541.400000000139698,1973824.640000000130385,1994097.750000000000000,1971974.640000000130385,9870982.490000000223517
FS( 5 ),2034742.750000000000000,1965634.400000000372529,2000817.980000000214204,2004721.800000000046566,1992675.190000000176951,9998592.120000001043081
FS( 6 ),2029779.500000000000000,1945897.400000000139698,1999591.010000000242144,2010151.870000000111759,2028025.360000000102445,10013445.140000000596046
FS( 7 ),2020051.530000000027940,1939395.800000000046566,1980368.480000000214204,1999527.820000000065193,2035987.110000000102445,9975330.740000000223517
FS( 8 ),2002779.419999999925494,1932197.600000000093132,1968098.780000000027940,1977099.270000000018626,2032802.410000000149012,9912977.480000000447035
FS( 9 ),2028191.260000000009313,1977012.200000000186265,2017995.560000000288710,2004721.800000000046566,2042993.450000000419095,10070914.270000001415610
FS( 10 ),2021639.770000000018626,1947522.800000000279397,1980777.470000000204891,2004721.800000000046566,2031847.000000000000000,9986508.839999999850988
FS( 11 ),2045463.370000000111759,1948683.800000000279397,1988548.280000000027940,2021720.280000000027940,2049999.790000000270084,10054415.520000001415610
FS( 12 ),2066309.020000000018626,1963312.400000000139698,2016359.600000000093132,2038954.850000000093132,2091719.360000000335276,10176655.230000000447035
FS( 13 ),2029978.030000000027940,1956346.400000000139698,1986094.340000000316650,2003541.350000000093132,2078343.620000000344589,10054303.740000002086163
FS( 14 ),1978161.699999999953434,1931965.400000000139698,1933334.630000000353903,1950657.190000000176951,2031847.000000000000000,9825965.920000001788139
FS( 15 ),1984911.720000000204891,1930107.800000000279397,1900615.430000000167638,1964350.410000000149012,2035031.700000000186265,9815017.060000002384186
FS( 16 ),1942624.829999999841675,1892955.800000000046566,1884255.830000000074506,1997639.100000000093132,2058916.950000000419095,9776392.510000001639128
FS( 17 ),1958904.290000000037253,1911764.000000000000000,1892844.620000000111759,2015109.760000000009313,2029617.709999999962747,9808240.379999998956919
FS( 18 ),2000198.530000000027940,1906423.399999999906868,1875667.040000000037253,2053828.520000000018626,2063057.060000000288710,9899174.550000000745058
FS( 19 ),2047845.730000000214204,1926392.600000000093132,1884255.830000000074506,2047218.000000000000000,2104776.629999999888241,10010488.789999999105930
FS( 20 ),2033750.100000000093132,1915479.199999999953434,1873622.090000000316650,2027150.350000000093132,2085349.960000000195578,9935351.700000001117587
