代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13492514.230000000447035
真實報酬,3492514.230000000447035

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14724.475616865414850
風險,233519.755655290035065
起點值,0.063054517916681
找到最佳解世代,3145
找到最佳解實驗#,1
找到最佳解次數,30

stock[index](rank)
投資組合檔數,3
MCD[15](4),MSFT[18](3),V[25](1),
Stock#,MCD[15](4),MSFT[18](3),V[25](1),
張數,25829,51329,37457,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,100.549999999813735,27.740000000223517,34.570000000298023,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3312153.219999999739230,3285597.030000000260770,3316102.780000000260770,9913854.030000001192093
FS( 3 ),3303629.649999999906868,3297915.990000000223517,3325841.600000000558794,9927388.240000002086163
FS( 4 ),3306987.419999999925494,3298942.569999999832362,3331460.150000000372529,9937391.140000000596046
FS( 5 ),3308020.579999999608845,3305615.340000000316650,3335954.990000000223517,9949591.910000000149012
FS( 6 ),3308537.159999999683350,3335899.450000000186265,3332209.290000000037253,9976646.899999998509884
FS( 7 ),3309828.609999999403954,3322553.910000000614673,3337827.840000000316650,9970211.359999999403954
FS( 8 ),3305695.969999999739230,3332819.710000000428408,3361051.180000000633299,9999567.859999999403954
FS( 9 ),3296139.239999999757856,3321527.330000000074506,3375284.840000000316650,9992952.410000000149012
FS( 10 ),3301046.749999999534339,3306128.629999999888241,3354308.920000000391155,9961485.299999998882413
FS( 11 ),3303113.069999999832362,3323580.490000000223517,3368168.010000000242144,9994862.570000000298023
FS( 12 ),3305695.969999999739230,3317934.300000000279397,3372662.850000000558794,9996294.120000001043081
FS( 13 ),3322743.109999999403954,3329739.970000000670552,3380154.250000000000000,10032638.330000000074506
FS( 14 ),3326359.169999999925494,3332819.710000000428408,3340449.830000000540167,9999629.710000000894070
FS( 15 ),3319643.629999999888241,3295862.830000000074506,3298497.990000000223517,9914005.449999999254942
FS( 16 ),3334624.449999999720603,3337952.610000000335276,3315728.209999999962747,9988306.269999999552965
FS( 17 ),3332041.549999999813735,3329739.970000000670552,3328463.590000000316650,9990246.110000001266599
FS( 18 ),3340823.409999999683350,3335386.160000000614673,3340824.400000000372529,10017034.970000000670552
FS( 19 ),3344697.760000000242144,3341545.640000000130385,3331834.720000000204891,10018079.120000001043081
FS( 20 ),3343664.599999999627471,3351298.150000000372529,3338202.410000000614673,10033166.160000000149012
FS( 21 ),3327908.909999999683350,3360537.370000000111759,3340449.830000000540167,10028897.109999999403954
FS( 22 ),3340306.829999999608845,3372856.330000000074506,3334082.140000000596046,10047246.300000000745058
FS( 23 ),3347797.240000000223517,3380555.680000000167638,3328838.160000000614673,10057192.080000000074506
FS( 24 ),3347797.240000000223517,3364643.689999999944121,3347192.090000000316650,10059634.019999999552965
FS( 25 ),3339531.959999999497086,3373882.910000000614673,3325467.030000000260770,10038882.900000000372529
FS( 26 ),3368460.439999999944121,3365156.980000000447035,3334831.280000000260770,10068449.699999999254942
FS( 27 ),3361744.899999999906868,3373882.910000000614673,3337078.700000000651926,10072707.510000001639128
FS( 28 ),3356837.390000000130385,3371316.460000000428408,3323968.750000000000000,10052123.600000001490116
FS( 29 ),3357353.969999999739230,3363617.110000000335276,3328463.590000000316650,10049435.669999999925494
FS( 30 ),3388865.349999999627471,3361050.660000000614673,3328089.020000000018626,10078006.029999999329448
FS( 31 ),3390415.089999999385327,3348218.410000000614673,3321721.330000000540167,10060355.830000000074506
FS( 32 ),3377500.589999999385327,3333846.290000000502914,3328838.160000000614673,10040186.040000000968575
FS( 33 ),3392739.699999999720603,3361050.660000000614673,3364047.740000000223517,10117839.100000001490116
FS( 34 ),3417277.250000000000000,3356431.050000000279397,3361051.180000000633299,10134760.480000000447035
FS( 35 ),3426059.109999999403954,3338465.900000000372529,3361800.320000000298023,10126326.330000000074506
FS( 36 ),3442331.379999999888241,3362077.240000000223517,3414240.120000000577420,10218649.740000000223517
FS( 37 ),3445947.439999999944121,3408273.340000000316650,3414240.120000000577420,10268461.900000000372529
FS( 38 ),3467127.219999999739230,3466275.110000000335276,3440460.020000000018626,10373863.349999999627471
FS( 39 ),3660069.849999999627471,3486293.420000000391155,3450198.840000000316650,10596563.109999999403954
FS( 40 ),3637856.909999999683350,3481673.810000000055879,3439336.310000000055879,10558868.029999999329448
FS( 41 ),3638631.779999999795109,3504258.569999999832362,3431095.770000000018626,10573987.119999999180436
FS( 42 ),3614352.520000000018626,3514011.080000000074506,3416862.110000000335276,10545226.710000000894070
FS( 43 ),3645863.899999999906868,3562773.629999999888241,3418360.390000000596046,10626998.919999999925494
FS( 44 ),3647930.219999999739230,3557127.439999999944121,3466305.350000000558794,10671364.010000001639128
FS( 45 ),3683832.529999999795109,3545835.060000000055879,3462559.650000000372529,10692228.240000000223517
FS( 46 ),3705270.599999999627471,3531976.230000000447035,3469301.910000000614673,10706549.740000000223517
FS( 47 ),3718443.390000000130385,3541728.740000000223517,3449449.700000000651926,10709622.830000001937151
FS( 48 ),3725675.510000000242144,3538649.000000000000000,3443082.010000000242144,10707407.519999999552965
FS( 49 ),3728774.990000000223517,3543781.900000000372529,3446078.570000000298023,10718636.460000000894070
FS( 50 ),3732907.629999999888241,3557640.730000000447035,3455442.820000000298023,10745992.179999999701977
FS( 51 ),3724900.640000000130385,3514011.080000000074506,3449824.270000000018626,10688736.990000000223517
FS( 52 ),3754603.990000000223517,3509904.759999999776483,3473422.180000000633299,10737931.929999999701977
FS( 53 ),3778366.669999999925494,3512471.210000000428408,3492150.680000000633299,10782989.560000002384186
FS( 54 ),3804453.959999999497086,3562773.629999999888241,3489154.120000000577420,10856382.710000000894070
FS( 55 ),3781724.439999999944121,3463708.660000000614673,3437088.890000000596046,10682522.990000002086163
FS( 56 ),3797221.839999999385327,3475514.330000000074506,3435216.040000000037253,10707953.210000000894070
FS( 57 ),3826666.899999999906868,3474487.750000000000000,3464057.930000000633299,10765213.580000001937151
FS( 58 ),3827700.059999999590218,3513497.790000000502914,3495147.240000000223517,10836346.089999999850988
FS( 59 ),3818143.329999999608845,3525303.460000000428408,3515748.590000000316650,10859196.380000000819564
FS( 60 ),3861536.049999999813735,3529923.069999999832362,3551332.740000000223517,10942792.859999999403954
FS( 61 ),3868768.169999999925494,3573552.720000000670552,3559947.850000000558794,11002269.740000002086163
FS( 62 ),3870834.490000000223517,3591004.580000000074506,3546088.760000000242144,11007928.830000000074506
FS( 63 ),3872642.520000000018626,3614102.629999999888241,3547961.610000000335276,11034707.760000001639128
FS( 64 ),3897438.359999999403954,3584845.100000000558794,3567064.680000000633299,11049349.140000000596046
FS( 65 ),3936181.859999999403954,3598190.640000000130385,3573432.370000000577420,11107805.870000001043081
FS( 66 ),3971051.010000000242144,3683396.780000000260770,3601525.120000000577420,11255973.910000002011657
FS( 67 ),3946513.459999999497086,3710087.860000000335276,3616507.920000000391155,11273110.240000000223517
FS( 68 ),3906220.219999999739230,3722406.819999999832362,3588040.600000000558794,11216668.640000000596046
FS( 69 ),3924558.809999999590218,3715734.050000000279397,3599277.700000000651926,11239571.560000000521541
FS( 70 ),3911386.020000000018626,3693149.290000000502914,3599277.700000000651926,11203814.010000001639128
FS( 71 ),3912677.469999999739230,3609483.020000000018626,3541968.490000000223517,11064129.980000000447035
FS( 72 ),3834932.179999999701977,3581765.360000000335276,3502264.070000000298023,10918962.609999999403954
FS( 73 ),3869801.329999999608845,3626421.590000000316650,3561446.130000000353903,11057670.050000000745058
FS( 74 ),3892014.270000000018626,3606916.569999999832362,3570435.810000000055879,11069367.650000000372529
FS( 75 ),3904670.479999999515712,3587924.840000000316650,3527360.260000000242144,11019956.580000000074506
FS( 76 ),3925850.260000000242144,3593057.740000000223517,3527360.260000000242144,11046269.259999999776483
FS( 77 ),3955553.609999999403954,3637713.970000000670552,3550583.600000000558794,11143852.179999999701977
FS( 78 ),3979574.579999999608845,3588438.129999999888241,3535226.229999999981374,11103239.939999999478459
FS( 79 ),3970792.719999999739230,3606916.569999999832362,3541219.350000000558794,11118929.640000000596046
FS( 80 ),3998429.750000000000000,3606403.280000000260770,3519119.720000000204891,11123953.750000000000000
FS( 81 ),3994297.109999999403954,3655165.830000000074506,3580174.630000000353903,11229638.570000000298023
FS( 82 ),3976733.390000000130385,3620262.110000000335276,3566690.110000000335276,11163686.609999999403954
FS( 83 ),3970534.429999999701977,3552507.830000000074506,3554703.870000000577420,11077747.130000000819564
FS( 84 ),3985515.250000000000000,3582791.939999999944121,3604521.680000000633299,11172829.870000001043081
