代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14232901.010000001639128
真實報酬,4232901.010000001639128

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16124.954983025010733
風險,112584.680487746591098
起點值,0.143225125418196
找到最佳解世代,3480
找到最佳解實驗#,1
找到最佳解次數,27

stock[index](rank)
投資組合檔數,6
BA[2](5),HD[9](11),JNJ[12](6),KO[14](7),MCD[15](2),V[25](1),
Stock#,BA[2](5),HD[9](11),JNJ[12](6),KO[14](7),MCD[15](2),V[25](1),
張數,10936,12872,14963,41490,14068,22095,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,128.960000000195578,128.159999999916181,87.060000000055879,12.699999999953434,30.040000000037253,40.149999999906868,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1665134.960000000195578,1671814.800000000046566,1675344.540000000037253,1674549.099999999860302,1663430.359999999869615,1673073.549999999813735,10023351.309999998658895
FS( 3 ),1664150.720000000204891,1669369.120000000111759,1675045.280000000027940,1685336.499999999767169,1678201.760000000009313,1708204.599999999860302,10080311.980000000447035
FS( 4 ),1665025.600000000325963,1657269.439999999944121,1676840.840000000083819,1683262.000000000000000,1677639.040000000037253,1703785.599999999860302,10063826.519999999552965
FS( 5 ),1685804.000000000000000,1705153.280000000027940,1662476.359999999869615,1713134.799999999813735,1687064.600000000093132,1752394.599999999860302,10206031.640000000596046
FS( 6 ),1699474.000000000000000,1706054.319999999832362,1660830.429999999934807,1700272.899999999906868,1694520.640000000130385,1751731.750000000000000,10212888.040000000968575
FS( 7 ),1711503.600000000325963,1717124.239999999757856,1679833.440000000176951,1742592.699999999953434,1705915.720000000204891,1748638.449999999953434,10305612.150000000372529
FS( 8 ),1718830.720000000204891,1732441.920000000158325,1726218.739999999990687,1738443.699999999953434,1712668.359999999869615,1734497.649999999906868,10363105.090000001713634
FS( 9 ),1713362.720000000204891,1757671.039999999804422,1734149.130000000121072,1732635.099999999860302,1725892.280000000027940,1749964.149999999906868,10413678.419999999925494
FS( 10 ),1689412.880000000121072,1750462.719999999739230,1720682.429999999934807,1709815.600000000093132,1728143.160000000149012,1748417.499999999767169,10346938.289999999105930
FS( 11 ),1681757.680000000400469,1748660.639999999897555,1734149.130000000121072,1723922.199999999720603,1721390.520000000018626,1756592.649999999906868,10366476.820000000298023
FS( 12 ),1689740.960000000195578,1739264.080000000074506,1733999.500000000000000,1731805.300000000046566,1733770.359999999869615,1731183.399999999674037,10359767.599999999627471
FS( 13 ),1708113.440000000176951,1743511.839999999850988,1736094.320000000065193,1728901.000000000000000,1730253.359999999869615,1725659.649999999674037,10372537.610000001266599
FS( 14 ),1710410.000000000000000,1765008.080000000074506,1730707.639999999897555,1728486.099999999860302,1735036.479999999981374,1731404.349999999860302,10401056.649999998509884
