代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12836034.859999999403954
真實報酬,2836034.859999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11109.086147411697311
風險,195656.865978686197195
起點值,0.056778412001253
找到最佳解世代,2251
找到最佳解實驗#,1
找到最佳解次數,20

stock[index](rank)
投資組合檔數,7
BA[2](10),CSCO[4](8),INTC[11](11),JPM[13](13),MRK[17](5),PG[21](19),UNH[23](2),
Stock#,BA[2](10),CSCO[4](8),INTC[11](11),JPM[13](13),MRK[17](5),PG[21](19),UNH[23](2),
張數,11751,60842,46352,24270,28149,17610,12326,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,119.439999999944121,0.840000000083819,2.360000000102445,38.800000000046566,9.250000000000000,47.799999999813735,110.860000000102445,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1381096.959999999962747,1389023.699999999953434,1381291.960000000195578,1384156.900000000139698,1419000.339999999850988,1412721.999999999767169,1403795.739999999990687,9771090.599999999627471
FS( 3 ),1432213.810000000055879,1405451.040000000270084,1359970.040000000037253,1393379.500000000000000,1408866.699999999953434,1428218.799999999813735,1389867.360000000102445,9817970.250000000000000
FS( 4 ),1452660.550000000046566,1432221.520000000018626,1379901.400000000139698,1417406.800000000046566,1367769.160000000149012,1421174.799999999813735,1407740.060000000055879,9878877.290000000968575
FS( 5 ),1440322.000000000000000,1392674.220000000204891,1346064.440000000176951,1401631.300000000046566,1390006.870000000111759,1429979.799999999813735,1377171.580000000074506,9777853.209999999031425
FS( 6 ),1404011.409999999916181,1395107.900000000139698,1335867.000000000000000,1372264.600000000093132,1374524.919999999925494,1454986.000000000000000,1356217.380000000121072,9692982.210000000894070
FS( 7 ),1397078.319999999832362,1378072.139999999897555,1335403.479999999981374,1364012.800000000046566,1383814.089999999850988,1455338.199999999720603,1370269.020000000018626,9683991.049999998882413
FS( 8 ),1367465.800000000046566,1369554.260000000242144,1308519.320000000065193,1347509.200000000186265,1394229.219999999972060,1437376.000000000000000,1389744.100000000093132,9614400.900000000372529
FS( 9 ),1274397.879999999888241,1501581.400000000139698,1308055.800000000046566,1288047.699999999953434,1375087.900000000139698,1407086.799999999813735,1363612.980000000214204,9517873.460000000894070
FS( 10 ),1276630.569999999832362,1527743.459999999962747,1327523.640000000130385,1395321.100000000093132,1380154.719999999972060,1426281.699999999720603,1378404.179999999934807,9712062.369999999180436
FS( 11 ),1323282.039999999804422,1572158.120000000111759,1334012.920000000158325,1416193.300000000046566,1401266.469999999972060,1434734.499999999767169,1419449.760000000242144,9901100.109999999403954
FS( 12 ),1367230.780000000027940,1609880.160000000149012,1365995.800000000046566,1426386.700000000186265,1424348.650000000139698,1451992.299999999813735,1458276.660000000149012,10104114.050000000745058
FS( 13 ),1381684.509999999776483,1608054.900000000139698,1363678.200000000186265,1403087.500000000000000,1416466.929999999934807,1443715.599999999860302,1447799.560000000055879,10064490.200000001117587
FS( 14 ),1353364.599999999860302,1615355.940000000176951,1330768.280000000027940,1403330.199999999953434,1410837.129999999888241,1440369.699999999953434,1450634.540000000270084,10004663.390000000596046
FS( 15 ),1379569.329999999841675,1620223.300000000046566,1360433.560000000055879,1421532.699999999953434,1429133.979999999981374,1446357.099999999627471,1494884.880000000121072,10152137.849999999627471
FS( 16 ),1373811.340000000083819,1589193.880000000121072,1334939.960000000195578,1362071.199999999953434,1422659.709999999962747,1440721.899999999906868,1493405.760000000242144,10016806.750000000000000
FS( 17 ),1358417.530000000027940,1601362.280000000027940,1353017.240000000223517,1362556.600000000093132,1423222.690000000176951,1436319.399999999906868,1481696.060000000055879,10016594.800000000745058
FS( 18 ),1372871.259999999776483,1618398.040000000270084,1372948.600000000093132,1383671.500000000000000,1435608.250000000000000,1450055.199999999953434,1494022.060000000055879,10127577.910000000149012
FS( 19 ),1388617.599999999860302,1606838.060000000055879,1381291.960000000195578,1396534.600000000093132,1425474.610000000102445,1428218.799999999813735,1495624.440000000176951,10122603.070000000298023
FS( 20 ),1388852.620000000111759,1592844.400000000139698,1371558.040000000037253,1366439.800000000046566,1413370.540000000037253,1413954.699999999953434,1468137.459999999962747,10015160.559999998658895
FS( 21 ),1409769.399999999906868,1632391.699999999953434,1407712.600000000093132,1436822.800000000046566,1456720.000000000000000,1430508.099999999860302,1499815.280000000027940,10273742.879999998956919
