代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14140213.299999998882413
真實報酬,4140213.299999998882413

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15441.730087379544784
風險,159622.060255530261202
起點值,0.096739323265592
找到最佳解世代,2163
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,5
AAPL[0](4),AXP[1](6),CAT[3](5),MSFT[18](2),UNH[23](1),
Stock#,AAPL[0](4),AXP[1](6),CAT[3](5),MSFT[18](2),UNH[23](1),
張數,18738,30835,24554,34728,14734,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,93.260000000009313,41.899999999906868,76.699999999953434,14.479999999981374,6.839999999850988,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2018738.000000000000000,2010175.549999999813735,2005892.959999999962747,2002778.239999999990687,2012818.580000000074506,10050403.330000000074506
FS( 3 ),2018175.860000000102445,2027751.500000000000000,2015469.020000000018626,2000694.560000000055879,2003388.819999999832362,10065479.760000001639128
FS( 4 ),2030542.939999999944121,2041010.549999999813735,2055737.579999999841675,2002430.959999999962747,1988949.500000000000000,10118671.529999999329448
FS( 5 ),1977327.020000000018626,2042552.299999999813735,2051317.860000000102445,1994443.520000000018626,1995579.799999999813735,10061220.500000000000000
FS( 6 ),1932543.199999999953434,2008017.100000000093132,1983794.360000000102445,1952075.360000000102445,1968763.919999999925494,9845193.940000001341105
FS( 7 ),1975827.979999999981374,2032068.400000000139698,2011540.379999999888241,1981246.879999999888241,1996905.859999999869615,9997589.500000000000000
FS( 8 ),2022860.360000000102445,1984582.500000000000000,1970044.120000000111759,1963188.320000000065193,1973626.139999999664724,9914301.440000001341105
FS( 9 ),2094439.520000000018626,1957447.699999999720603,1989441.779999999795109,1953811.760000000009313,1969795.299999999813735,9964936.059999998658895
FS( 10 ),2165643.919999999925494,1968239.949999999953434,2014241.320000000065193,1986108.799999999813735,1998084.580000000074506,10132318.570000000298023
FS( 11 ),2153464.219999999739230,1962997.999999999767169,2014732.399999999906868,1988192.479999999981374,2040223.819999999832362,10159610.919999999925494
FS( 12 ),2128355.299999999813735,1975332.000000000000000,2010558.219999999739230,1977079.520000000018626,2028583.959999999962747,10119909.000000000000000
FS( 13 ),2128167.919999999925494,1964848.099999999860302,2006138.500000000000000,1972912.160000000149012,2025489.819999999832362,10097556.500000000000000
