代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11484954.859999999403954
真實報酬,1484954.859999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,7332.953584363410300
風險,177180.657873306219699
起點值,0.041386874122608
找到最佳解世代,2152
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
PG[21](1),V[25](8),WMT[28](2),
Stock#,PG[21](1),V[25](8),WMT[28](2),
張數,43516,44314,57860,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,7.400000000372529,33.919999999925494,18.399999999906868,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3352915.200000000186265,3452094.520000000018626,3362263.000000000000000,10167273.720000000670552
FS( 3 ),3353350.360000000335276,3472035.819999999832362,3377306.599999999627471,10202693.779999999329448
FS( 4 ),3324194.640000000596046,3512361.560000000055879,3391193.000000000000000,10227750.200000001117587
FS( 5 ),3288511.520000000018626,3489761.419999999925494,3401029.200000000186265,10179303.140000000596046
FS( 6 ),3281113.800000000745058,3458298.479999999981374,3384249.799999999813735,10123663.080000001937151
FS( 7 ),3297214.720000000204891,3522110.640000000130385,3395243.199999999720603,10214569.560000000521541
FS( 8 ),3305482.760000000242144,3508816.440000000409782,3331597.199999999720603,10145897.400000000372529
FS( 9 ),3248911.960000000428408,3470263.260000000242144,3295145.399999999906868,10014321.620000001043081
FS( 10 ),3218450.760000000242144,3461400.459999999962747,3264479.600000000093132,9944331.820000000298023
FS( 11 ),3276762.200000000186265,3496408.520000000018626,3348376.599999999627471,10121548.320000000298023
FS( 12 ),3266753.520000000018626,3493306.540000000037253,3466989.600000000093132,10227050.660000000149012
FS( 13 ),3302871.800000000745058,3565538.359999999869615,3525428.199999999720603,10393839.359999999403954
FS( 14 ),3316796.920000000391155,3551801.020000000018626,3512120.399999999906868,10380719.339999999850988
FS( 15 ),3299390.520000000018626,3553573.579999999608845,3475668.600000000093132,10328633.699999999254942
FS( 16 ),3305917.920000000391155,3550028.459999999962747,3486662.000000000000000,10342609.380000000819564
FS( 17 ),3326805.600000000558794,3535847.979999999981374,3466989.600000000093132,10329644.179999999701977
FS( 18 ),3302871.800000000745058,3525655.760000000242144,3485504.799999999813735,10314033.359999999403954
FS( 19 ),3294168.600000000558794,3538063.680000000167638,3465253.799999999813735,10297487.080000001937151
FS( 20 ),3256744.840000000316650,3501283.060000000055879,3404500.800000000279397,10162529.700000001117587
FS( 21 ),3304612.440000000409782,3541165.659999999683350,3413179.799999999813735,10258958.899999998509884
FS( 22 ),3298085.040000000502914,3502612.479999999981374,3376149.399999999906868,10176847.919999999925494
FS( 23 ),3295909.240000000223517,3469376.979999999981374,3416072.799999999813735,10181360.019999999552965
FS( 24 ),3386857.680000000167638,3562879.520000000018626,3451945.999999999534339,10401684.199999999254942
FS( 25 ),3410356.320000000763685,3525212.619999999646097,3500548.399999999906868,10436118.339999999850988
FS( 26 ),3383376.400000000372529,3503941.899999999441206,3449053.000000000000000,10336372.300000000745058
FS( 27 ),3381200.600000000558794,3451208.239999999757856,3421280.200000000186265,10253690.039999999105930
FS( 28 ),3385117.040000000502914,3461843.600000000093132,3446160.000000000000000,10293121.640000000596046
FS( 29 ),3384681.880000000353903,3372772.459999999962747,3434588.000000000000000,10192043.339999999850988
FS( 30 ),3406875.040000000502914,3406451.100000000093132,3494183.799999999813735,10307510.940000001341105
FS( 31 ),3467362.280000000726432,3484000.600000000093132,3450788.799999999813735,10402152.679999999701977
FS( 32 ),3524368.240000000223517,3538949.959999999962747,3488976.399999999906868,10552295.599999999627471
FS( 33 ),3493907.040000000502914,3487102.579999999608845,3412601.199999999720603,10393611.820000000298023
FS( 34 ),3399912.479999999981374,3382078.399999999441206,3405079.399999999906868,10187071.279999999329448
FS( 35 ),3435595.600000000558794,3419745.299999999813735,3445581.399999999906868,10300923.300000000745058
FS( 36 ),3463881.000000000000000,3429051.239999999757856,3502862.799999999813735,10395796.039999999105930
FS( 37 ),3477806.120000000577420,3481341.760000000242144,3534685.800000000279397,10493834.680000001564622
FS( 38 ),3472149.040000000502914,3468047.560000000055879,3519642.199999999720603,10459839.800000000745058
FS( 39 ),3477806.120000000577420,3480012.339999999850988,3515013.399999999906868,10472832.860000001266599
FS( 40 ),3496953.160000000149012,3510145.859999999869615,3564773.000000000000000,10571873.019999999552965
FS( 41 ),3484333.520000000018626,3472035.819999999832362,3568823.199999999720603,10525193.539999999105930
FS( 42 ),3455612.960000000428408,3436584.619999999646097,3546836.399999999906868,10439034.980000000447035
FS( 43 ),3410356.320000000763685,3354603.720000000204891,3556094.000000000000000,10321055.040000000968575
FS( 44 ),3421235.320000000763685,3379862.699999999720603,3640569.600000000093132,10441668.620000001043081
FS( 45 ),3388163.160000000149012,3335548.699999999720603,3677021.399999999906868,10400734.259999999776483
