代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13383096.060000002384186
真實報酬,3383096.060000002384186

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13477.535260049609860
風險,112350.105250140637509
起點值,0.119960148057207
找到最佳解世代,2048
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,4
AXP[1](10),KO[14](11),MCD[15](2),V[25](1),
Stock#,AXP[1](10),KO[14](11),MCD[15](2),V[25](1),
張數,32569,60591,20421,30325,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,3.560000000055879,15.340000000316650,61.180000000167638,7.000000000000000,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2491857.750000000000000,2508482.740000000223517,2516336.800000000279397,2495754.500000000000000,10012431.790000000968575
FS( 3 ),2541688.320000000298023,2516965.480000000447035,2537166.220000000204891,2610383.000000000000000,10206203.020000001415610
FS( 4 ),2534523.139999999664724,2518177.300000000279397,2541454.630000000353903,2602801.750000000000000,10196956.820000000298023
FS( 5 ),2531266.240000000223517,2538778.240000000223517,2544313.570000000298023,2601285.500000000000000,10215643.550000000745058
FS( 6 ),2533871.759999999776483,2546049.160000000614673,2545947.250000000000000,2580361.250000000000000,10206229.419999999925494
FS( 7 ),2546247.980000000447035,2499394.090000000316650,2542067.260000000242144,2595220.500000000000000,10182929.830000000074506
FS( 8 ),2556018.680000000167638,2458798.120000000111759,2569431.399999999906868,2604924.500000000000000,10189172.700000001117587
FS( 9 ),2570023.350000000093132,2461221.760000000242144,2563713.520000000484288,2621300.000000000000000,10216258.630000000819564
FS( 10 ),2586307.850000000093132,2455768.570000000298023,2569227.190000000409782,2633733.250000000000000,10245036.859999999403954
FS( 11 ),2592495.959999999962747,2450315.380000000353903,2582909.260000000242144,2654657.500000000000000,10280378.099999999627471
FS( 12 ),2589564.750000000000000,2496364.540000000502914,2587401.880000000353903,2650715.250000000000000,10324046.420000001788139
FS( 13 ),2596078.549999999813735,2498182.270000000018626,2609864.979999999981374,2652231.500000000000000,10356357.300000000745058
FS( 14 ),2604546.490000000223517,2512118.200000000186265,2614766.020000000018626,2666181.000000000000000,10397611.710000000894070
FS( 15 ),2600963.899999999906868,2520600.940000000409782,2610886.030000000260770,2662542.000000000000000,10394992.870000001043081
FS( 16 ),2607152.009999999776483,2524236.399999999906868,2619462.850000000558794,2674065.500000000000000,10424916.760000001639128
FS( 17 ),2597707.000000000000000,2531507.320000000298023,2627222.830000000074506,2681646.750000000000000,10438083.900000000372529
FS( 18 ),2611060.290000000037253,2524842.310000000521541,2593323.970000000204891,2668607.000000000000000,10397833.570000000298023
FS( 19 ),2607477.700000000186265,2542413.700000000186265,2606801.830000000074506,2666787.500000000000000,10423480.730000000447035
FS( 20 ),2668056.040000000037253,2554531.899999999906868,2635391.230000000447035,2698628.750000000000000,10556607.919999999925494
FS( 21 ),2608780.459999999962747,2573315.110000000335276,2618646.009999999776483,2684679.250000000000000,10485420.830000000074506
FS( 22 ),2601615.279999999795109,2573921.020000000018626,2611907.080000000074506,2692563.750000000000000,10480007.129999998956919
FS( 23 ),2589239.060000000055879,2555743.720000000204891,2614561.810000000055879,2697112.500000000000000,10456657.089999999850988
FS( 24 ),2591844.580000000074506,2544231.430000000633299,2615378.649999999906868,2700751.500000000000000,10452206.160000000149012
FS( 25 ),2574257.320000000298023,2544231.430000000633299,2615787.070000000298023,2697719.000000000000000,10431994.820000000298023
FS( 26 ),2582725.259999999776483,2546655.070000000298023,2616808.120000000111759,2702267.750000000000000,10448456.199999999254942
FS( 27 ),2585330.779999999795109,2562408.730000000447035,2613540.760000000242144,2721069.250000000000000,10482349.519999999552965
FS( 28 ),2579794.049999999813735,2546655.070000000298023,2605984.990000000223517,2732592.750000000000000,10465026.859999999403954
FS( 29 ),2595427.169999999925494,2543019.610000000335276,2609864.979999999981374,2715610.750000000000000,10463922.509999999776483
FS( 30 ),2580445.430000000167638,2552108.260000000242144,2611498.660000000149012,2726831.000000000000000,10470883.350000001490116
FS( 31 ),2598032.689999999944121,2559985.090000000316650,2613540.760000000242144,2730470.000000000000000,10502028.540000000968575
FS( 32 ),2581096.810000000055879,2546655.070000000298023,2627018.620000000111759,2736535.000000000000000,10491305.500000000000000
FS( 33 ),2568069.209999999962747,2555743.720000000204891,2629877.560000000055879,2704390.500000000000000,10458080.990000000223517
FS( 34 ),2525078.129999999888241,2575132.840000000316650,2624568.100000000558794,2670426.500000000000000,10395205.570000000298023
FS( 35 ),2529637.790000000037253,2567861.920000000391155,2636412.280000000260770,2684376.000000000000000,10418287.990000002086163
FS( 36 ),2535174.520000000018626,2555137.810000000521541,2634370.180000000167638,2694686.500000000000000,10419369.009999999776483
FS( 37 ),2546899.360000000335276,2552108.260000000242144,2641313.320000000298023,2704693.750000000000000,10445014.690000001341105
FS( 38 ),2527357.959999999962747,2564226.460000000428408,2644376.470000000204891,2697415.750000000000000,10433376.640000000596046
FS( 39 ),2561229.720000000204891,2570891.470000000204891,2643559.629999999888241,2702571.000000000000000,10478251.820000000298023
FS( 40 ),2548527.810000000055879,2570285.560000000521541,2631102.820000000298023,2704390.500000000000000,10454306.690000001341105
FS( 41 ),2579794.049999999813735,2581191.940000000409782,2640904.899999999906868,2699235.250000000000000,10501126.140000000596046
FS( 42 ),2576537.149999999906868,2571497.380000000353903,2646826.990000000223517,2694989.750000000000000,10489851.269999999552965
FS( 43 ),2559601.270000000018626,2569679.649999999906868,2646826.990000000223517,2709849.000000000000000,10485956.910000000149012
FS( 44 ),2548853.500000000000000,2586039.220000000204891,2640292.270000000018626,2692260.500000000000000,10467445.490000000223517
FS( 45 ),2532569.000000000000000,2579374.210000000428408,2663163.790000000037253,2699841.750000000000000,10474948.750000000000000
FS( 46 ),2537780.040000000037253,2585433.310000000521541,2657854.330000000074506,2701661.250000000000000,10482728.929999999701977
FS( 47 ),2532894.689999999944121,2581797.850000000093132,2653974.340000000316650,2691047.500000000000000,10459714.380000000819564
FS( 48 ),2523775.370000000111759,2586645.130000000353903,2654382.759999999776483,2694686.500000000000000,10459489.759999999776483
FS( 49 ),2516284.500000000000000,2584827.399999999906868,2679296.379999999888241,2694383.250000000000000,10474791.530000001192093
FS( 50 ),2497394.480000000447035,2601792.880000000353903,2680521.640000000130385,2689228.000000000000000,10468937.000000001862645
FS( 51 ),2468733.759999999776483,2592704.230000000447035,2670311.140000000130385,2694989.750000000000000,10426738.880000000819564
FS( 52 ),2497068.790000000037253,2609669.710000000428408,2682359.530000000260770,2723495.250000000000000,10512593.280000001192093
FS( 53 ),2468408.070000000298023,2634512.020000000018626,2701759.480000000447035,2721069.250000000000000,10525748.820000000298023
FS( 54 ),2460591.509999999776483,2619364.270000000018626,2708702.620000000111759,2721675.750000000000000,10510334.149999998509884
FS( 55 ),2606174.939999999944121,2610881.530000000726432,2721567.850000000558794,2764130.750000000000000,10702755.070000000298023
FS( 56 ),2592170.270000000018626,2609669.710000000428408,2724426.790000000037253,2764130.750000000000000,10690397.519999999552965
FS( 57 ),2620179.610000000335276,2622393.820000000298023,2741172.009999999776483,2785358.250000000000000,10769103.690000001341105
FS( 58 ),2626042.029999999795109,2612093.350000000093132,2893716.879999999888241,2793242.750000000000000,10925095.009999999776483
FS( 59 ),2622459.439999999944121,2619970.180000000633299,2876154.820000000298023,2784448.500000000000000,10903032.940000001341105
FS( 60 ),2616271.330000000074506,2606034.250000000000000,2876767.450000000186265,2777777.000000000000000,10876850.030000001192093
FS( 61 ),2581096.810000000055879,2614516.990000000223517,2857571.710000000428408,2766253.500000000000000,10819439.010000001639128
FS( 62 ),2580445.430000000167638,2618758.360000000335276,2882485.330000000074506,2767466.500000000000000,10849155.620000001043081
FS( 63 ),2590541.820000000298023,2629058.830000000540167,2884119.009999999776483,2806282.500000000000000,10910002.160000000149012
FS( 64 ),2567417.830000000074506,2624817.460000000428408,2912504.200000000186265,2803250.000000000000000,10907989.490000002086163
FS( 65 ),2551133.330000000074506,2645418.399999999906868,2929453.629999999888241,2808708.500000000000000,10934713.859999999403954
FS( 66 ),2550807.639999999664724,2647236.130000000353903,2939868.340000000316650,2792636.250000000000000,10930548.359999999403954
FS( 67 ),2545596.600000000093132,2659354.330000000540167,2945586.220000000204891,2787481.000000000000000,10938018.150000000372529
FS( 68 ),2554715.919999999925494,2636329.750000000000000,2948036.740000000223517,2789907.000000000000000,10928989.410000000149012
FS( 69 ),2561555.410000000149012,2639965.210000000428408,2951304.100000000558794,2797488.250000000000000,10950312.970000002533197
FS( 70 ),2537780.040000000037253,2646024.310000000521541,2944973.590000000316650,2792939.500000000000000,10921717.440000001341105
FS( 71 ),2523775.370000000111759,2641177.030000000726432,2968457.740000000223517,2812044.250000000000000,10945454.390000000596046
FS( 72 ),2551133.330000000074506,2649659.770000000018626,2987245.060000000055879,2827206.750000000000000,11015244.910000000149012
FS( 73 ),2544619.529999999795109,2656930.690000000409782,3007870.270000000018626,2824780.750000000000000,11034201.240000000223517
FS( 74 ),2487298.090000000316650,2661777.970000000204891,2989899.790000000037253,2782629.000000000000000,10921604.850000001490116
FS( 75 ),2487623.779999999795109,2653901.140000000130385,3002152.390000000130385,2781112.750000000000000,10924790.060000000521541
FS( 76 ),2501302.759999999776483,2659960.240000000223517,3025432.330000000074506,2804463.000000000000000,10991158.330000000074506
FS( 77 ),2507165.180000000167638,2676925.720000000204891,3026249.169999999925494,2829632.750000000000000,11039972.820000000298023
FS( 78 ),2514330.360000000335276,2689649.830000000540167,3018693.399999999906868,2846311.500000000000000,11068985.090000001713634
FS( 79 ),2511724.840000000316650,2728428.070000000298023,3053000.680000000167638,2875120.250000000000000,11168273.839999999850988
FS( 80 ),2522146.919999999925494,2751452.649999999906868,3058718.560000000055879,2882095.000000000000000,11214413.130000000819564
FS( 81 ),2522798.299999999813735,2750240.830000000540167,3060352.240000000223517,2870874.750000000000000,11204266.120000001043081
FS( 82 ),2510747.770000000018626,2752664.470000000204891,3061781.710000000428408,2872391.000000000000000,11197584.950000001117587
FS( 83 ),2505862.419999999925494,2755088.110000000335276,3081385.870000000111759,2887856.750000000000000,11230193.150000000372529
FS( 84 ),2549504.879999999888241,2774477.230000000447035,3112017.370000000111759,2893012.000000000000000,11329011.480000000447035
FS( 85 ),2556344.370000000111759,2780536.330000000540167,3139585.720000000204891,2915755.750000000000000,11392222.170000001788139
FS( 86 ),2571977.490000000223517,2786595.430000000633299,3120185.770000000018626,2927885.750000000000000,11406644.440000001341105
FS( 87 ),2568069.209999999962747,2785989.520000000018626,3088329.009999999776483,2904838.750000000000000,11347226.490000000223517
FS( 88 ),2599335.450000000186265,2757511.750000000000000,3102827.919999999925494,2913936.250000000000000,11373611.370000001043081
FS( 89 ),2603895.110000000335276,2734487.170000000391155,3092413.210000000428408,2913936.250000000000000,11344731.740000002086163
FS( 90 ),2615619.950000000186265,2745999.460000000428408,3093434.259999999776483,2867539.000000000000000,11322592.669999999925494
FS( 91 ),2611060.290000000037253,2746605.370000000111759,3031967.050000000279397,2835394.500000000000000,11225027.210000000894070
FS( 92 ),2624739.270000000018626,2728428.070000000298023,3059535.399999999906868,2883308.000000000000000,11296010.740000000223517
FS( 93 ),2632881.520000000018626,2744787.640000000130385,3077097.460000000428408,2890586.000000000000000,11345352.620000001043081
FS( 94 ),2628321.860000000335276,2741758.090000000316650,3087103.750000000000000,2855712.250000000000000,11312895.950000001117587
FS( 95 ),2652748.610000000335276,2745393.550000000279397,3103848.970000000204891,2855712.250000000000000,11357703.380000000819564
FS( 96 ),2666753.279999999795109,2749634.920000000391155,3127333.120000000111759,2874513.750000000000000,11418235.070000000298023
FS( 97 ),2687271.750000000000000,2763570.850000000093132,3146324.649999999906868,2862080.500000000000000,11459247.750000000000000
FS( 98 ),2677501.049999999813735,2739940.360000000335276,3139381.509999999776483,2866932.500000000000000,11423755.419999999925494
FS( 99 ),2678803.810000000055879,2730851.710000000428408,3161231.980000000447035,2849040.750000000000000,11419928.250000000000000
FS( 100 ),2677826.740000000223517,2741758.090000000316650,3157964.620000000111759,2898470.500000000000000,11476019.949999999254942
