代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13913219.590000001713634
真實報酬,3913219.590000001713634

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14857.309896159800701
風險,185252.249834652437130
起點值,0.080200428925537
找到最佳解世代,2028
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
AAPL[0](5),BA[2](3),CAT[3](2),INTC[11](13),MSFT[18](1),
Stock#,AAPL[0](5),BA[2](3),CAT[3](2),INTC[11](13),MSFT[18](1),
張數,20312,15821,27674,63171,37842,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,80.480000000214204,67.390000000130385,0.020000000018626,6.139999999897555,50.300000000046566,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1984969.120000000111759,2006961.239999999990687,2037359.900000000139698,2006317.100000000093132,1985998.459999999962747,10021605.820000000298023
FS( 3 ),1989031.520000000251457,2015346.370000000111759,2076656.980000000214204,1997473.159999999916181,1959887.479999999981374,10038395.510000001639128
FS( 4 ),2003453.040000000037253,2086857.290000000270084,2114847.100000000093132,2001263.419999999925494,1972753.760000000242144,10179174.609999999403954
FS( 5 ),2011577.840000000316650,2087331.920000000158325,2125639.959999999962747,2013897.619999999878928,1971618.500000000000000,10210065.839999999850988
FS( 6 ),2009749.760000000242144,2104260.390000000130385,2161616.160000000149012,2014529.329999999841675,1969347.979999999981374,10259503.620000001043081
FS( 7 ),2024171.280000000260770,2105842.490000000223517,2135325.859999999869615,2017687.879999999888241,1953454.339999999850988,10236481.850000001490116
FS( 8 ),2007515.440000000176951,2074833.329999999841675,2104054.240000000223517,2024004.979999999748543,1948156.459999999962747,10158564.449999999254942
FS( 9 ),1977250.560000000288710,2055531.709999999962747,2081915.040000000037253,2032217.209999999962747,1897448.180000000167638,10044362.700000001117587
FS( 10 ),1979688.000000000000000,2064707.890000000130385,2071675.659999999916181,2030322.079999999841675,1885717.159999999916181,10032110.789999999105930
FS( 11 ),1973188.160000000149012,2059328.750000000000000,2077487.199999999720603,1996841.449999999953434,1880419.280000000027940,9987264.839999999850988
FS( 12 ),1981516.080000000074506,2046830.160000000149012,2075273.279999999795109,2001895.129999999888241,1906908.680000000167638,10012423.330000000074506
FS( 13 ),1936423.440000000176951,2053949.610000000102445,2101286.840000000316650,2006317.100000000093132,1897069.760000000242144,9995046.750000000000000
FS( 14 ),1931751.680000000167638,2100305.140000000130385,2115123.840000000316650,2032217.209999999962747,1894799.239999999990687,10074197.109999999403954
FS( 15 ),1948204.400000000139698,2080845.310000000288710,2116784.279999999795109,2041692.859999999869615,1937182.280000000027940,10124709.129999998956919
FS( 16 ),1940892.080000000074506,2084800.560000000288710,2115123.840000000316650,2039797.729999999748543,1929613.880000000121072,10110228.089999999850988
FS( 17 ),1952063.680000000167638,2112961.940000000409782,2164660.299999999813735,2084017.429999999934807,1964428.520000000018626,10278131.869999999180436
FS( 18 ),1897221.280000000260770,2001740.310000000055879,2021032.239999999990687,1993051.189999999944121,1885717.159999999916181,9798762.179999999701977
FS( 19 ),1869596.960000000428408,1941304.090000000083819,1975370.139999999897555,1940619.259999999776483,1832738.360000000102445,9559628.810000000521541
FS( 20 ),1901080.560000000288710,1960131.080000000074506,2006918.500000000000000,1970309.629999999888241,1870958.780000000027940,9709398.550000000745058
FS( 21 ),1917533.280000000260770,2009176.179999999934807,2054241.040000000037253,2017056.169999999925494,1912584.979999999981374,9910591.650000000372529
FS( 22 ),1941907.680000000167638,2054740.660000000149012,2097965.959999999962747,2072014.939999999711290,1936425.440000000176951,10103054.679999999701977
