代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13218563.910000000149012
真實報酬,3218563.910000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12468.462471130342237
風險,273704.834373689198401
起點值,0.045554410829687
找到最佳解世代,2182
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,2
NKE[19](5),UNH[23](3),
Stock#,NKE[19](5),UNH[23](3),
張數,106997,52709,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,30.190000000409782,24.259999999776483,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5026749.250000000000000,5006325.080000000074506,10033074.330000000074506
FS( 3 ),5065268.170000000856817,5049546.459999999962747,10114814.630000000819564
FS( 4 ),5060988.290000000037253,5071157.149999999441206,10132145.439999999478459
FS( 5 ),5017119.520000000484288,4934113.750000000000000,9951233.269999999552965
FS( 6 ),5080247.750000000000000,4994202.009999999776483,10074449.759999999776483
FS( 7 ),5075967.870000000111759,5043748.469999999739230,10119716.339999999850988
FS( 8 ),5126256.459999999962747,5043221.379999999888241,10169477.839999999850988
FS( 9 ),5142306.010000000707805,5054817.360000000335276,10197123.370000001043081
FS( 10 ),5109136.940000000409782,5013177.250000000000000,10122314.190000001341105
FS( 11 ),5139096.100000000558794,5084861.489999999292195,10223957.589999999850988
FS( 12 ),5161565.470000000670552,5175520.969999999739230,10337086.440000001341105
FS( 13 ),5187244.750000000000000,5105418.000000000000000,10292662.750000000000000
FS( 14 ),5205434.240000000223517,5104890.909999999217689,10310325.149999998509884
FS( 15 ),5211854.060000000521541,5097511.649999999441206,10309365.710000000894070
FS( 16 ),5240743.250000000000000,5107526.360000000335276,10348269.609999999403954
FS( 17 ),5205434.240000000223517,5160235.360000000335276,10365669.600000001490116
FS( 18 ),5232183.490000000223517,5171304.250000000000000,10403487.740000000223517
FS( 19 ),5312431.240000000223517,5198712.929999999701977,10511144.169999999925494
FS( 20 ),5226833.640000000596046,5221377.799999999813735,10448211.440000001341105
FS( 21 ),5245023.130000000819564,5261963.729999999515712,10506986.859999999403954
FS( 22 ),5269632.440000000409782,5313091.459999999962747,10582723.900000000372529
FS( 23 ),5299591.600000000558794,5253530.290000000037253,10553121.890000000596046
FS( 24 ),5314571.180000000633299,5288318.229999999515712,10602889.410000000149012
FS( 25 ),5227903.610000000335276,5266707.540000000037253,10494611.150000000372529
FS( 26 ),5191524.630000000819564,5324687.439999999478459,10516212.070000000298023
FS( 27 ),5224693.700000000186265,5222959.070000000298023,10447652.769999999552965
FS( 28 ),5186174.780000000260770,5256692.830000000074506,10442867.609999999403954
FS( 29 ),5145515.920000000856817,5205565.099999999627471,10351081.019999999552965
FS( 30 ),5105927.030000000260770,5179737.689999999478459,10285664.719999998807907
FS( 31 ),4987160.360000000335276,5052181.909999999217689,10039342.269999999552965
FS( 32 ),5055638.440000000409782,5225594.519999999552965,10281232.960000000894070
FS( 33 ),5193664.570000000298023,5388992.419999999925494,10582656.990000000223517
FS( 34 ),5073827.930000000633299,5402169.669999999925494,10475997.600000001490116
FS( 35 ),5132676.280000000260770,5431159.620000000111759,10563835.900000000372529
FS( 36 ),5134816.220000000670552,5421144.909999999217689,10555961.129999998956919
FS( 37 ),5151935.740000000223517,5412184.379999999888241,10564120.120000001043081
FS( 38 ),5180824.930000000633299,5405332.209999999962747,10586157.140000000596046
FS( 39 ),5205434.240000000223517,5393736.229999999515712,10599170.469999998807907
FS( 40 ),5182964.870000000111759,5421144.909999999217689,10604109.779999999329448
FS( 41 ),5144445.950000000186265,5328377.070000000298023,10472823.019999999552965
FS( 42 ),5084527.630000000819564,5312037.280000000260770,10396564.910000000149012
FS( 43 ),5002139.940000000409782,5224540.339999999850988,10226680.280000001192093
FS( 44 ),4973250.750000000000000,5213998.540000000037253,10187249.289999999105930
FS( 45 ),5075967.870000000111759,5267234.629999999888241,10343202.500000000000000
FS( 46 ),5192594.600000000558794,5518656.559999999590218,10711251.160000000149012
FS( 47 ),5135886.190000000409782,5467001.739999999292195,10602887.929999999701977
FS( 48 ),5128396.400000000372529,5405332.209999999962747,10533728.609999999403954
FS( 49 ),5083457.660000000149012,5432740.889999999664724,10516198.550000000745058
FS( 50 ),5013909.610000000335276,5446445.229999999515712,10460354.839999999850988
FS( 51 ),4965760.959999999962747,5506006.399999999441206,10471767.359999999403954
FS( 52 ),4975390.690000000409782,5575055.189999999478459,10550445.879999998956919
FS( 53 ),5008559.760000000707805,5567148.839999999850988,10575708.600000001490116
FS( 54 ),5003209.910000000149012,5762172.139999999664724,10765382.050000000745058
FS( 55 ),5128396.400000000372529,6000943.909999999217689,11129340.309999998658895
FS( 56 ),5144445.950000000186265,5903432.259999999776483,11047878.210000000894070
FS( 57 ),5155145.650000000372529,5882875.750000000000000,11038021.400000000372529
FS( 58 ),5055638.440000000409782,5798541.349999999627471,10854179.789999999105930
FS( 59 ),4992510.209999999962747,5716842.399999999441206,10709352.609999999403954
FS( 60 ),5075967.870000000111759,5765861.769999999552965,10841829.640000000596046
FS( 61 ),4935801.800000000745058,5600355.509999999776483,10536157.310000000521541
FS( 62 ),4917612.310000000521541,5655172.870000000111759,10572785.179999999701977
FS( 63 ),4994650.150000000372529,5682581.549999999813735,10677231.699999999254942
FS( 64 ),4950781.380000000819564,5688379.540000000037253,10639160.920000001788139
FS( 65 ),4993580.180000000633299,5735817.639999999664724,10729397.820000000298023
FS( 66 ),4911192.490000000223517,5671512.659999999217689,10582705.149999998509884
FS( 67 ),4878023.420000000856817,5613005.669999999925494,10491029.089999999850988
FS( 68 ),4962551.050000000745058,5743723.989999999292195,10706275.039999999105930
FS( 69 ),4885513.209999999962747,5790107.909999999217689,10675621.119999999180436
FS( 70 ),4921892.190000000409782,5789580.820000000298023,10711473.010000001639128
FS( 71 ),4924032.130000000819564,5768497.219999999739230,10692529.350000001490116
FS( 72 ),4914402.400000000372529,5785364.099999999627471,10699766.500000000000000
FS( 73 ),5008559.760000000707805,5785891.189999999478459,10794450.949999999254942
FS( 74 ),5012839.640000000596046,5799595.530000000260770,10812435.170000001788139
FS( 75 ),5079177.780000000260770,5936111.839999999850988,11015289.620000001043081
FS( 76 ),5083457.660000000149012,6135351.860000000335276,11218809.519999999552965
FS( 77 ),5104857.060000000521541,6084224.129999999888241,11189081.190000001341105
FS( 78 ),5179754.959999999962747,6011485.709999999962747,11191240.669999999925494
FS( 79 ),5189384.690000000409782,5990929.199999999254942,11180313.890000000596046
FS( 80 ),5195804.510000000707805,5989347.929999999701977,11185152.440000001341105
FS( 81 ),5283542.050000000745058,6029933.860000000335276,11313475.910000000149012
FS( 82 ),5241813.220000000670552,5948762.000000000000000,11190575.220000000670552
FS( 83 ),5217203.910000000149012,5999362.639999999664724,11216566.550000000745058
FS( 84 ),5267492.500000000000000,6050490.370000000111759,11317982.870000001043081
FS( 85 ),5185104.810000000521541,5949816.179999999701977,11134920.990000000223517
FS( 86 ),5212924.030000000260770,6056288.360000000335276,11269212.390000000596046
FS( 87 ),5163705.410000000149012,5927678.399999999441206,11091383.809999998658895
FS( 88 ),5100577.180000000633299,5941382.739999999292195,11041959.919999999925494
FS( 89 ),5191524.630000000819564,6055234.179999999701977,11246758.810000000521541
FS( 90 ),5126256.459999999962747,6074736.509999999776483,11200992.969999998807907
FS( 91 ),5159425.530000000260770,6247094.939999999478459,11406520.469999998807907
FS( 92 ),5164775.380000000819564,6198602.659999999217689,11363378.039999999105930
FS( 93 ),5217203.910000000149012,6322995.899999999441206,11540199.809999998658895
FS( 94 ),5260002.709999999962747,6365163.099999999627471,11625165.809999998658895
FS( 95 ),5455807.220000000670552,6279774.519999999552965,11735581.740000000223517
FS( 96 ),5427988.000000000000000,6274503.620000000111759,11702491.620000001043081
FS( 97 ),5385189.200000000186265,6226011.339999999850988,11611200.539999999105930
FS( 98 ),5296381.690000000409782,6142731.120000000111759,11439112.810000000521541
FS( 99 ),5314571.180000000633299,6127445.509999999776483,11442016.690000001341105
FS( 100 ),5343460.370000000111759,6220213.349999999627471,11563673.719999998807907
FS( 101 ),5398028.840000000782311,6377813.259999999776483,11775842.100000001490116
FS( 102 ),5368069.680000000633299,6234971.870000000111759,11603041.550000000745058
FS( 103 ),5326340.850000000558794,6190696.309999999590218,11517037.160000000149012
FS( 104 ),5331690.700000000186265,6185952.500000000000000,11517643.199999999254942
FS( 105 ),5335970.580000000074506,6203873.559999999590218,11539844.140000000596046
FS( 106 ),5329550.760000000707805,6185425.409999999217689,11514976.169999999925494
FS( 107 ),5394818.930000000633299,6229700.969999999739230,11624519.900000000372529
FS( 108 ),5388399.110000000335276,6248676.209999999962747,11637075.320000000298023
FS( 109 ),5348810.220000000670552,6272395.259999999776483,11621205.480000000447035
FS( 110 ),5311361.270000000484288,6291897.589999999850988,11603258.859999999403954
FS( 111 ),5325270.880000000819564,6320887.540000000037253,11646158.420000001788139
FS( 112 ),5341320.430000000633299,6183844.139999999664724,11525164.570000000298023
FS( 113 ),5344530.340000000782311,6409438.659999999217689,11753969.000000000000000
FS( 114 ),5272842.350000000558794,6257109.649999999441206,11529952.000000000000000
FS( 115 ),5349880.190000000409782,6250257.479999999515712,11600137.669999999925494
FS( 116 ),5365929.740000000223517,6287153.780000000260770,11653083.519999999552965
FS( 117 ),5358439.950000000186265,6209671.549999999813735,11568111.500000000000000
FS( 118 ),5409798.510000000707805,6233390.599999999627471,11643189.109999999403954
FS( 119 ),5401238.750000000000000,6256055.469999999739230,11657294.219999998807907
FS( 120 ),5400168.780000000260770,6126918.419999999925494,11527087.199999999254942
FS( 121 ),5342390.400000000372529,6198075.570000000298023,11540465.970000000670552
FS( 122 ),5359509.920000000856817,5988293.750000000000000,11347803.670000001788139
FS( 123 ),5287821.930000000633299,5871806.860000000335276,11159628.790000000968575
FS( 124 ),5391609.020000000484288,5966683.059999999590218,11358292.080000000074506
FS( 125 ),5394818.930000000633299,6038367.299999999813735,11433186.230000000447035
FS( 126 ),5372349.560000000521541,5975643.589999999850988,11347993.150000000372529
FS( 127 ),5361649.860000000335276,5981968.669999999925494,11343618.530000001192093
FS( 128 ),5427988.000000000000000,6048909.099999999627471,11476897.099999999627471
FS( 129 ),5480416.530000000260770,6097401.379999999888241,11577817.910000000149012
FS( 130 ),5499675.990000000223517,6049436.189999999478459,11549112.179999999701977
FS( 131 ),5477206.620000000111759,6042584.019999999552965,11519790.640000000596046
FS( 132 ),5465436.950000000186265,6106889.000000000000000,11572325.949999999254942
FS( 133 ),5533915.030000000260770,6247622.030000000260770,11781537.060000000521541
FS( 134 ),5616302.720000000670552,6289789.229999999515712,11906091.949999999254942
FS( 135 ),5604533.050000000745058,6314562.459999999962747,11919095.510000001639128
FS( 136 ),5598113.230000000447035,6354094.209999999962747,11952207.440000001341105
FS( 137 ),5597043.260000000707805,6390463.419999999925494,11987506.679999999701977
FS( 138 ),5585273.590000000782311,6349350.399999999441206,11934623.990000000223517
