代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13825089.409999998286366
真實報酬,3825089.409999998286366

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16857.373001130003104
風險,215537.846746947849169
起點值,0.078210733082628
找到最佳解世代,1706
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),HD[9](8),INTC[11](3),KO[14](12),TRV[22](2),UNH[23](4),
Stock#,AAPL[0](1),HD[9](8),INTC[11](3),KO[14](12),TRV[22](2),UNH[23](4),
張數,23261,22195,69589,44802,20765,23560,
FS( 155 ),2364728.609999999403954,1971847.250000000000000,2409180.629999999888241,1857522.519999999785796,1919168.399999999906868,2030432.400000000139698,12552883.810000000521541
FS( 156 ),2364030.779999999329448,1983832.549999999813735,2403613.509999999776483,1859314.599999999860302,1942632.849999999860302,2026898.400000000139698,12580326.689999999478459
FS( 157 ),2346119.809999999590218,2003586.099999999860302,2430753.219999999739230,1865586.879999999888241,1944501.699999999953434,2053521.199999999953434,12644072.909999996423721
FS( 158 ),2362867.729999999515712,2024671.349999999860302,2434232.669999999925494,1864242.819999999832362,1944709.350000000093132,2049516.000000000000000,12680243.919999998062849
FS( 159 ),2367752.540000000037253,2043981.000000000000000,2447454.580000000074506,1872307.179999999934807,1968173.799999999813735,2064594.399999999906868,12764267.500000001862645
FS( 160 ),2348445.910000000149012,2049529.750000000000000,2423098.429999999701977,1883955.699999999720603,1964643.749999999767169,2068599.600000000093132,12738277.139999998733401
FS( 161 ),2350772.009999999776483,2039542.000000000000000,2415443.639999999664724,1891572.039999999804422,1964436.099999999627471,2067892.800000000046566,12729662.589999999850988
FS( 162 ),2387524.389999999664724,2030663.999999999767169,2395262.830000000074506,1876787.379999999888241,1942632.849999999860302,2040092.000000000232831,12672967.449999999254942
FS( 163 ),2366822.099999999627471,2064622.349999999860302,2418227.200000000186265,1893812.139999999897555,1968381.449999999953434,2078259.199999999953434,12790128.439999997615814
FS( 164 ),2276569.419999999925494,2039763.950000000186265,2375777.910000000149012,1871859.159999999916181,1945747.599999999860302,2030432.400000000139698,12540154.439999999478459
FS( 165 ),2343561.099999999627471,2060627.250000000000000,2384128.589999999850988,1890676.000000000000000,1960283.100000000093132,2040327.599999999860302,12679607.639999998733401
FS( 166 ),2328674.059999999590218,2061515.049999999813735,2428665.549999999813735,1892916.099999999860302,1947201.149999999674037,2038207.200000000186265,12697183.109999999403954
FS( 167 ),2343561.099999999627471,2036212.749999999767169,2423098.429999999701977,1911284.919999999692664,1950731.199999999720603,2032081.600000000093132,12696973.999999998137355
FS( 168 ),2307041.330000000074506,2020232.349999999860302,2365339.560000000521541,1914869.079999999841675,1933288.599999999627471,1999804.399999999906868,12540579.320000000298023
FS( 169 ),2323789.250000000000000,2047310.249999999767169,2332632.730000000447035,1911284.919999999692664,1932665.649999999674037,2000275.600000000325963,12547962.400000000372529
FS( 170 ),2317276.169999999925494,2076163.750000000000000,2368123.120000000111759,1926517.599999999860302,1961528.999999999767169,2026662.800000000046566,12676276.440000001341105
FS( 171 ),2317276.169999999925494,2069949.150000000139698,2373690.240000000223517,1953398.799999999813735,1966512.599999999860302,2004752.000000000232831,12685582.959999999031425
FS( 172 ),2297039.099999999627471,2052415.099999999860302,2329153.280000000260770,1967735.439999999944121,1944916.999999999767169,1983548.000000000000000,12574811.919999999925494
FS( 173 ),2344724.149999999441206,2088371.000000000000000,2384824.480000000447035,1995960.699999999720603,1961321.349999999860302,2040798.800000000279397,12816004.480000000447035
FS( 174 ),2349841.569999999366701,2065732.099999999860302,2339591.629999999888241,1965495.339999999850988,1949692.949999999953434,2001218.000000000000000,12671575.589999997988343
FS( 175 ),2343095.879999999888241,2054190.699999999953434,2220594.440000000409782,1992376.539999999804422,1952807.699999999953434,2011820.000000000000000,12574889.259999999776483
FS( 176 ),2321695.759999999776483,2010910.449999999720603,2189975.280000000260770,1974455.739999999757856,1942009.899999999674037,1977893.600000000093132,12416944.729999998584390
FS( 177 ),2297039.099999999627471,1999812.949999999720603,2236599.910000000149012,1955190.879999999888241,1945332.300000000046566,1951270.800000000046566,12385249.940000001341105
FS( 178 ),2268893.290000000037253,1949874.199999999720603,2176753.370000000111759,1936822.059999999823049,1910239.449999999720603,1935721.199999999953434,12178307.569999998435378
FS( 179 ),2239119.209999999962747,1972735.049999999813735,2146830.099999999627471,1906804.719999999972060,1906501.750000000000000,2011820.000000000000000,12183814.829999998211861
FS( 180 ),2271917.219999999739230,2002920.249999999767169,2183712.269999999552965,1921141.359999999869615,1936195.699999999720603,2077552.400000000139698,12393443.199999999254942
FS( 181 ),2320532.709999999962747,2038654.199999999720603,2197630.070000000298023,1939510.179999999934807,1935365.099999999860302,2086034.000000000232831,12517730.259999999776483
FS( 182 ),2383570.019999999552965,2090812.449999999953434,2269306.740000000223517,1822576.959999999962747,1956960.699999999720603,2142813.600000000093132,12666044.469999998807907
FS( 183 ),2395665.739999999292195,2071724.750000000000000,2245646.480000000447035,1819888.839999999850988,1984785.799999999813735,2115012.799999999813735,12632728.410000000149012
FS( 184 ),2438465.979999999515712,2104129.450000000186265,2274873.859999999403954,1830641.319999999832362,2009496.149999999674037,2135981.200000000186265,12793591.960000000894070
FS( 185 ),2447537.769999999552965,2108346.500000000000000,2308972.469999999739230,1838257.659999999916181,2029430.550000000046566,2159070.000000000000000,12891618.949999999254942
FS( 186 ),2444979.059999999590218,2119000.099999999627471,2310364.250000000000000,1826161.119999999878928,2053102.649999999906868,2170614.399999999906868,12924225.580000000074506
FS( 187 ),2482894.489999999292195,2143858.500000000000000,2347942.310000000521541,1817200.719999999972060,2070960.550000000046566,2182630.000000000000000,13045490.570000000298023
FS( 188 ),2496851.089999999850988,2140085.349999999627471,2360468.330000000074506,1835121.519999999785796,2064523.399999999906868,2190169.199999999720603,13087222.889999998733401
FS( 189 ),2488477.129999999888241,2164499.849999999627471,2267219.070000000298023,1854834.399999999906868,2076567.099999999860302,2211844.399999999906868,13063445.949999999254942
FS( 190 ),2512203.349999999627471,2164499.849999999627471,2366731.339999999850988,1876339.359999999869615,2093179.099999999860302,2238467.200000000186265,13251424.199999999254942
FS( 191 ),2544768.750000000000000,2132761.000000000000000,2387608.040000000037253,1873203.219999999972060,2075528.849999999860302,2234933.200000000186265,13248807.059999998658895
FS( 192 ),2526159.950000000186265,2129875.649999999441206,2403613.509999999776483,1873651.239999999757856,2100031.549999999813735,2237760.400000000372529,13271096.299999998882413
FS( 193 ),2532207.809999999590218,2125880.549999999813735,2349334.089999999850988,1895604.219999999972060,2107506.950000000186265,2257079.600000000093132,13267617.220000000670552
FS( 194 ),2528486.049999999813735,2159395.000000000000000,2353509.429999999701977,1894708.179999999934807,2116228.250000000000000,2266739.199999999720603,13319070.109999999403954
FS( 195 ),2535696.959999999962747,2167385.200000000186265,2336808.070000000298023,1896052.239999999757856,2125780.150000000372529,2205483.200000000186265,13267209.820000000298023
FS( 196 ),2531509.979999999515712,2178704.649999999441206,2314539.589999999850988,1899188.379999999888241,2138654.450000000186265,2232341.600000000093132,13294942.649999996647239
FS( 197 ),2551747.049999999813735,2178260.750000000000000,2318019.040000000037253,1904564.619999999878928,2137616.200000000186265,2254488.000000000000000,13344699.660000000149012
FS( 198 ),2587801.599999999627471,2186029.000000000000000,2322890.270000000484288,1913525.019999999785796,2140108.000000000000000,2254252.400000000372529,13404610.290000000968575
FS( 199 ),2624321.370000000111759,2197348.450000000186265,2343766.969999999739230,1917109.179999999934807,2143638.049999999813735,2259435.600000000093132,13485623.619999999180436
FS( 200 ),2655956.330000000074506,2180480.250000000000000,2362556.000000000000000,1914421.059999999823049,2127026.049999999813735,2240823.200000000186265,13481266.890000000596046
FS( 201 ),2651536.739999999292195,2175819.299999999813735,2382736.810000000521541,1922933.439999999944121,2133670.849999999627471,2272864.800000000279397,13539565.939999999478459
FS( 202 ),2685963.019999999552965,2130319.549999999813735,2415443.639999999664724,1950262.659999999916181,2135747.349999999627471,2313388.000000000000000,13631128.219999998807907
FS( 203 ),2667354.219999999739230,2146299.950000000186265,2390391.599999999627471,1981176.039999999804422,2139485.049999999813735,2282053.200000000186265,13606764.059999998658895
FS( 204 ),2705502.259999999776483,2165609.599999999627471,2501734.000000000000000,1982520.099999999860302,2148414.000000000000000,2281817.600000000093132,13785601.559999998658895
FS( 205 ),2709224.019999999552965,2181368.049999999813735,2476681.959999999962747,1993720.599999999860302,2155681.750000000000000,2278519.199999999720603,13795199.579999998211861
FS( 206 ),2759467.779999999329448,2184031.450000000186265,2522610.700000000186265,1983416.139999999897555,2155266.450000000186265,2282995.600000000093132,13887792.119999999180436
FS( 207 ),2735508.950000000186265,2153180.400000000372529,2527481.929999999701977,1990584.459999999962747,2147791.049999999813735,2306555.600000000093132,13861106.389999998733401
FS( 208 ),2768074.349999999627471,2168494.950000000186265,2567843.549999999813735,1984312.179999999934807,2167310.150000000372529,2311503.200000000186265,13967542.379999998956919
FS( 209 ),2766446.080000000074506,2206226.450000000186265,2592199.700000000186265,2008505.259999999776483,2168971.349999999627471,2323754.399999999906868,14066107.240000000223517
FS( 210 ),2676658.620000000111759,2194685.049999999813735,2586632.580000000074506,1995960.699999999720603,2168763.700000000186265,2333885.200000000186265,13956589.849999997764826
FS( 211 ),2666423.779999999329448,2178704.649999999441206,2616555.849999999627471,1995512.679999999934807,2167933.099999999627471,2352026.399999999906868,13977160.459999999031425
FS( 212 ),2696663.080000000074506,2188248.500000000000000,2604725.719999999739230,1962359.199999999720603,2184337.450000000186265,2374879.600000000093132,14011217.549999998882413
FS( 213 ),2686428.239999999292195,2196238.700000000186265,2606813.389999999664724,1948918.599999999860302,2182468.599999999627471,2348256.800000000279397,13969128.330000000074506
FS( 214 ),2675030.349999999627471,2211553.250000000000000,2621427.080000000074506,1950262.659999999916181,2184545.099999999627471,2363806.399999999906868,14006628.839999999850988
FS( 215 ),2614551.750000000000000,2229087.299999999813735,2588720.250000000000000,1932789.879999999888241,2197834.700000000186265,2354146.800000000279397,13917134.679999999701977
FS( 216 ),2654560.669999999925494,2211553.250000000000000,2567147.660000000149012,1883507.679999999934807,2180807.399999999441206,2380062.799999999813735,13877643.460000000894070
FS( 217 ),2604084.299999999813735,2196016.750000000000000,2534440.830000000074506,1863794.799999999813735,2165026.000000000000000,2334592.000000000000000,13697958.679999999701977
FS( 218 ),2596408.169999999925494,2225536.099999999627471,2553925.750000000000000,1860658.659999999916181,2171463.149999999441206,2349670.400000000372529,13757666.229999998584390
FS( 219 ),2552444.879999999888241,2214660.549999999813735,2521218.919999999925494,1832881.419999999692664,2142184.500000000000000,2326817.200000000186265,13590211.469999998807907
FS( 220 ),2517553.379999999888241,2220653.200000000186265,2499646.330000000074506,1817648.739999999757856,2140730.950000000186265,2315272.799999999813735,13511509.400000002235174
FS( 221 ),2483127.099999999627471,2154290.150000000372529,2474594.290000000037253,1809584.379999999888241,2140523.299999999813735,2258257.600000000093132,13320380.819999998435378
FS( 222 ),2545001.359999999403954,2196016.750000000000000,2521914.810000000521541,1861554.699999999720603,2168140.750000000000000,2335770.000000000000000,13628402.369999999180436
FS( 223 ),2620367.000000000000000,2234414.099999999627471,2576194.230000000447035,1899188.379999999888241,2200118.849999999627471,2408806.000000000000000,13939092.560000000521541
FS( 224 ),2600129.929999999701977,2262379.799999999813735,2530961.379999999888241,1879475.500000000000000,2195965.849999999627471,2414696.000000000000000,13883612.459999999031425
FS( 225 ),2627112.689999999478459,2297225.950000000186265,2589416.139999999664724,1897396.299999999813735,2207594.250000000000000,2427654.000000000465661,14046403.329999998211861
FS( 226 ),2617808.290000000037253,2302996.650000000372529,2604725.719999999739230,1925173.539999999804422,2220883.849999999627471,2423177.600000000093132,14094769.649999998509884
FS( 227 ),2605479.959999999962747,2298557.650000000372529,2605421.609999999403954,1923829.479999999748543,2216107.899999999441206,2419172.400000000372529,14068572.999999998137355
FS( 228 ),2651536.739999999292195,2302774.700000000186265,2613076.399999999441206,1924725.519999999785796,2215692.599999999627471,2416109.600000000093132,14123919.559999998658895
FS( 229 ),2649675.859999999403954,2320086.799999999813735,2587328.469999999739230,1920245.319999999832362,2220883.849999999627471,2410926.399999999906868,14109150.699999999254942
FS( 230 ),2617343.069999999366701,2314316.099999999627471,2558101.089999999850988,1915765.119999999878928,2220468.549999999813735,2423177.600000000093132,14049175.529999999329448
FS( 231 ),2567564.529999999329448,2329852.599999999627471,2525394.259999999776483,1891572.039999999804422,2198042.349999999627471,2381712.000000000000000,13894141.779999997466803
FS( 232 ),2543140.479999999515712,2295672.299999999813735,2530265.490000000223517,1887987.879999999888241,2189528.700000000186265,2374408.399999999906868,13821007.249999998137355
FS( 233 ),2471496.599999999627471,2247509.150000000372529,2501734.000000000000000,1887987.879999999888241,2163157.149999999441206,2335298.800000000279397,13607187.579999998211861
FS( 234 ),2471729.209999999962747,2240628.700000000186265,2455109.370000000111759,1902324.519999999785796,2143845.700000000186265,2330586.800000000279397,13544228.300000000745058
FS( 235 ),2506388.099999999627471,2317423.399999999441206,2506605.230000000447035,1926069.579999999841675,2180392.099999999627471,2354382.400000000372529,13791264.809999998658895
FS( 236 ),2602688.639999999664724,2368693.849999999627471,2553229.859999999403954,1949366.619999999878928,2225659.799999999813735,2466763.600000000093132,14166406.369999999180436
FS( 237 ),2605479.959999999962747,2328077.000000000000000,2558101.089999999850988,1927861.659999999916181,2197627.049999999813735,2443674.800000000279397,14060825.559999998658895
FS( 238 ),2541279.599999999627471,2317645.349999999627471,2546966.849999999627471,1910388.879999999888241,2184545.099999999627471,2416109.600000000093132,13916939.379999998956919
FS( 239 ),2563842.769999999552965,2302330.799999999813735,2540007.950000000186265,1909940.859999999869615,2187867.500000000000000,2428360.799999999813735,13932354.679999999701977
FS( 240 ),2554073.149999999441206,2278138.250000000000000,2529569.599999999627471,1906804.719999999972060,2154851.149999999441206,2434486.399999999906868,13857927.269999997690320
FS( 241 ),2484755.370000000111759,2241960.400000000372529,2518435.359999999403954,1898740.359999999869615,2163987.750000000000000,2461109.199999999720603,13768992.439999999478459
FS( 242 ),2465448.739999999292195,2310986.849999999627471,2536528.500000000000000,1905460.659999999916181,2212370.200000000186265,2491972.799999999813735,13922771.750000000000000
FS( 243 ),2528951.269999999552965,2291677.200000000186265,2511476.459999999962747,1933685.919999999692664,2197834.700000000186265,2488438.800000000279397,13952068.350000001490116
FS( 244 ),2548257.899999999441206,2297891.799999999813735,2538616.169999999925494,1942646.319999999832362,2180599.750000000000000,2575610.799999999813735,14083626.739999998360872
FS( 245 ),2614551.750000000000000,2354267.099999999627471,2568539.439999999478459,1961463.159999999916181,2246217.149999999441206,2682337.600000000093132,14427380.199999997392297
FS( 246 ),2628043.129999999888241,2338730.599999999627471,2536528.500000000000000,1940406.219999999972060,2221922.099999999627471,2638751.600000000093132,14304386.149999998509884
FS( 247 ),2630834.450000000186265,2360703.650000000372529,2491991.540000000037253,1926517.599999999860302,2223375.649999999441206,2629563.200000000186265,14262990.089999999850988
FS( 248 ),2538720.889999999664724,2334069.649999999441206,2379257.359999999403954,1899188.379999999888241,2202195.349999999627471,2591867.200000000186265,13945302.829999998211861
FS( 249 ),2682241.259999999776483,2324747.750000000000000,2350725.870000000111759,1878131.439999999944121,2171670.799999999813735,2555349.199999999720603,13962870.320000000298023
FS( 250 ),2765748.250000000000000,2388669.349999999627471,2380649.139999999664724,1886195.799999999813735,2170840.200000000186265,2577260.000000000000000,14169366.739999998360872
FS( 251 ),2725274.109999999403954,2317645.349999999627471,2299230.009999999776483,1844529.939999999944121,2135124.399999999441206,2503281.600000000093132,13825089.409999998286366
