代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14031513.240000000223517
真實報酬,4031513.240000000223517

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16648.618027509386593
風險,131599.038844675524160
起點值,0.126510179509438
找到最佳解世代,2521
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](5),BA[2](3),DD[7](7),MCD[15](4),MSFT[18](1),UNH[23](2),UTX[24](12),
Stock#,AAPL[0](5),BA[2](3),DD[7](7),MCD[15](4),MSFT[18](1),UNH[23](2),UTX[24](12),
張數,12696,10791,19136,12461,24879,10315,13946,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,17.080000000074506,58.420000000158325,68.599999999860302,41.959999999962747,18.820000000065193,46.649999999906868,82.219999999972060,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1434665.080000000074506,1427168.170000000158325,1413262.199999999720603,1414365.459999999962747,1424092.780000000027940,1425167.049999999813735,1414625.000000000000000,9953348.739999998360872
FS( 3 ),1435299.880000000121072,1453174.480000000214204,1436225.399999999906868,1413243.969999999972060,1434044.380000000121072,1419390.649999999906868,1426060.719999999972060,10017442.480000000447035
FS( 4 ),1445964.520000000018626,1450584.640000000130385,1460528.119999999646097,1419599.080000000074506,1436532.280000000027940,1407734.699999999953434,1423689.899999999906868,10044636.240000000223517
FS( 5 ),1448122.840000000083819,1444433.770000000018626,1444071.159999999683350,1413742.409999999916181,1438025.020000000018626,1409694.549999999813735,1402770.899999999906868,10000863.650000000372529
FS( 6 ),1473387.880000000121072,1465907.860000000102445,1459188.599999999860302,1429443.269999999785796,1443995.979999999981374,1424341.850000000093132,1394403.300000000046566,10090671.740000000223517
FS( 7 ),1476561.880000000121072,1443246.760000000242144,1458614.519999999785796,1416608.439999999944121,1422848.830000000074506,1389992.899999999906868,1377528.639999999897555,9985404.970000000670552
FS( 8 ),1489765.720000000204891,1436987.980000000214204,1450194.679999999934807,1429443.269999999785796,1420858.510000000009313,1393603.149999999906868,1379760.000000000000000,10000616.309999998658895
FS( 9 ),1485195.160000000149012,1439362.000000000000000,1441966.199999999720603,1438165.969999999972060,1416131.500000000000000,1384216.499999999767169,1392590.319999999832362,9997630.649999998509884
FS( 10 ),1493447.560000000055879,1440656.920000000158325,1454787.319999999832362,1421717.449999999953434,1428571.000000000000000,1381431.449999999720603,1396913.579999999841675,10017528.280000001192093
FS( 11 ),1492431.880000000121072,1446052.420000000158325,1444453.879999999888241,1400782.969999999972060,1423595.199999999953434,1383597.599999999860302,1390637.879999999888241,9981554.829999998211861
FS( 12 ),1491416.199999999953434,1457922.520000000018626,1463207.159999999683350,1386328.209999999962747,1434541.959999999962747,1479114.499999999767169,1394542.760000000009313,10107076.309999998658895
FS( 13 ),1486972.600000000093132,1469576.800000000279397,1469713.399999999906868,1386452.820000000065193,1431307.690000000176951,1489223.199999999953434,1391335.179999999934807,10124584.690000001341105
FS( 14 ),1486210.840000000083819,1465907.860000000102445,1466651.639999999897555,1377854.729999999981374,1424341.570000000065193,1496443.699999999720603,1384780.560000000055879,10102193.900000000372529
FS( 15 ),1480370.679999999934807,1463641.750000000000000,1474306.040000000037253,1419723.689999999944121,1484299.959999999962747,1499538.199999999953434,1376134.040000000037253,10198017.359999999403954
FS( 16 ),1493701.480000000214204,1483281.370000000111759,1478133.239999999757856,1415237.729999999981374,1517637.820000000065193,1492523.999999999767169,1387988.139999999897555,10268506.780000001192093
FS( 17 ),1501319.080000000074506,1500223.240000000223517,1474688.760000000009313,1404645.879999999888241,1517389.030000000027940,1483137.349999999860302,1413648.780000000027940,10295055.119999999180436
FS( 18 ),1467547.720000000204891,1570580.560000000055879,1465120.760000000009313,1397044.669999999925494,1508432.590000000083819,1467149.099999999860302,1408767.679999999934807,10284646.080000000074506
FS( 19 ),1453455.160000000149012,1546516.630000000121072,1486935.799999999813735,1396670.839999999850988,1495246.720000000204891,1464157.749999999767169,1395658.439999999944121,10238644.339999999850988
FS( 20 ),1443806.199999999953434,1543279.330000000074506,1469522.040000000037253,1396920.059999999823049,1489524.550000000046566,1447756.899999999906868,1420342.860000000102445,10211154.939999999478459
FS( 21 ),1441520.920000000158325,1537020.550000000279397,1466460.279999999795109,1402776.729999999981374,1490768.500000000000000,1457865.600000000093132,1425363.419999999925494,10221779.000000000000000
FS( 22 ),1415494.120000000111759,1536804.730000000214204,1465694.839999999850988,1398789.209999999962747,1487783.020000000018626,1438267.100000000093132,1422713.679999999934807,10165549.699999999254942
FS( 23 ),1416763.720000000204891,1518891.670000000158325,1460719.479999999748543,1400533.750000000000000,1478577.790000000037253,1433625.349999999860302,1416159.060000000055879,10125273.820000000298023
FS( 24 ),1394418.760000000009313,1511014.240000000223517,1451534.199999999720603,1392184.879999999888241,1473104.410000000149012,1421763.100000000093132,1409325.520000000018626,10053348.109999999403954
FS( 25 ),1381849.720000000204891,1505834.560000000055879,1447898.359999999869615,1383711.400000000139698,1460664.910000000149012,1420525.300000000046566,1413230.399999999906868,10013717.650000002235174
FS( 26 ),1401782.439999999944121,1543495.150000000139698,1462059.000000000000000,1405891.979999999981374,1503208.000000000000000,1464054.600000000093132,1437217.520000000018626,10217711.689999999478459
FS( 27 ),1410034.840000000083819,1534538.620000000111759,1456126.839999999850988,1421966.669999999925494,1504451.949999999953434,1474060.149999999906868,1441680.239999999990687,10242862.310000000521541
FS( 28 ),1407749.560000000055879,1565724.610000000102445,1468182.519999999785796,1432807.739999999990687,1496988.250000000000000,1463745.149999999906868,1461762.479999999981374,10296963.310000000521541
FS( 29 ),1368518.920000000158325,1593781.210000000195578,1475645.559999999823049,1426951.070000000065193,1460416.120000000111759,1507377.599999999860302,1511968.079999999841675,10344661.560000000521541
FS( 30 ),1376644.360000000102445,1602737.740000000223517,1462059.000000000000000,1423337.379999999888241,1468377.400000000139698,1510368.949999999720603,1518243.780000000027940,10361771.609999999403954
FS( 31 ),1342111.239999999990687,1618600.510000000242144,1456892.279999999795109,1468695.419999999925494,1445986.300000000046566,1570814.849999999860302,1504297.780000000027940,10407401.379999998956919
FS( 32 ),1359885.640000000130385,1598313.430000000400469,1449046.519999999785796,1474427.479999999981374,1464645.550000000046566,1570299.099999999860302,1501787.500000000000000,10418408.220000000670552
FS( 33 ),1396450.120000000111759,1580292.460000000195578,1449237.879999999888241,1485517.769999999785796,1484051.169999999925494,1562769.149999999906868,1491746.379999999888241,10450067.929999999701977
FS( 34 ),1395942.280000000027940,1568314.450000000186265,1454213.239999999757856,1488508.409999999916181,1508681.380000000121072,1555239.199999999953434,1488120.419999999925494,10459022.380000000819564
FS( 35 ),1397338.840000000083819,1579321.270000000018626,1450577.399999999906868,1495361.959999999962747,1501466.470000000204891,1541623.399999999674037,1485331.219999999972060,10451023.560000000521541
FS( 36 ),1418541.160000000149012,1586551.240000000223517,1471627.000000000000000,1489131.459999999962747,1514154.760000000009313,1551525.799999999813735,1490212.319999999832362,10521746.740000000223517
FS( 37 ),1419429.880000000121072,1613528.740000000223517,1480620.919999999925494,1491499.050000000046566,1520623.300000000046566,1570608.549999999813735,1491467.459999999962747,10587780.899999998509884
FS( 38 ),1412193.160000000149012,1615902.760000000242144,1473540.599999999860302,1497106.500000000000000,1502710.419999999925494,1583811.749999999767169,1507784.280000000027940,10593052.469999998807907
FS( 39 ),1419302.920000000158325,1619140.060000000055879,1476602.359999999869615,1503586.219999999972060,1505944.690000000176951,1576281.800000000046566,1517128.100000000093132,10617989.150000000372529
FS( 40 ),1416509.800000000046566,1616226.490000000223517,1480429.559999999823049,1518040.979999999981374,1507935.010000000009313,1569061.300000000046566,1512525.919999999925494,10620732.060000000521541
FS( 41 ),1415113.239999999990687,1636405.659999999916181,1471435.639999999897555,1503835.439999999944121,1519876.930000000167638,1625587.500000000000000,1517964.860000000102445,10690222.269999999552965
FS( 42 ),1403179.000000000000000,1624751.380000000121072,1518510.199999999720603,1486265.429999999934807,1499227.360000000102445,1633117.449999999720603,1502345.339999999850988,10667399.160000000149012
FS( 43 ),1390102.120000000111759,1644498.909999999916181,1529226.359999999869615,1476296.629999999888241,1472855.620000000111759,1660142.749999999767169,1498998.300000000046566,10672123.690000001341105
FS( 44 ),1395307.480000000214204,1642988.170000000158325,1510281.719999999972060,1473430.599999999860302,1474099.570000000065193,1657976.599999999860302,1509318.339999999850988,10663405.480000000447035
FS( 45 ),1385277.640000000130385,1642016.980000000214204,1527695.479999999748543,1486514.650000000139698,1498232.199999999953434,1626000.099999999860302,1498161.540000000037253,10663901.589999999850988
FS( 46 ),1395942.280000000027940,1642880.260000000242144,1532096.760000000009313,1486016.209999999962747,1491514.870000000111759,1622802.449999999720603,1498301.000000000000000,10669556.830000000074506
FS( 47 ),1409653.960000000195578,1663383.159999999916181,1550658.679999999934807,1494365.080000000074506,1526843.050000000046566,1644257.649999999906868,1529679.500000000000000,10818844.080000000074506
FS( 48 ),1423492.600000000093132,1676871.909999999916181,1565202.040000000037253,1500969.409999999916181,1517886.610000000102445,1643432.449999999720603,1512247.000000000000000,10840105.019999999552965
FS( 49 ),1446726.280000000027940,1688742.010000000242144,1572665.080000000074506,1511062.820000000065193,1541770.449999999953434,1651684.449999999953434,1531213.560000000055879,10943867.650000000372529
FS( 50 ),1438473.880000000121072,1695971.980000000214204,1587973.879999999888241,1517044.099999999860302,1546746.250000000000000,1645186.000000000000000,1539581.159999999916181,10970980.250000000000000
FS( 51 ),1462469.320000000065193,1690576.480000000214204,1584720.760000000009313,1528757.439999999944121,1566898.239999999990687,1656016.749999999767169,1538465.479999999981374,11027907.470000000670552
FS( 52 ),1462469.320000000065193,1666944.190000000176951,1571325.559999999823049,1530751.199999999953434,1559434.540000000037253,1649002.550000000046566,1523961.639999999897555,10963892.000000001862645
FS( 53 ),1470467.800000000046566,1659390.490000000223517,1590270.199999999720603,1524769.919999999925494,1556946.640000000130385,1656841.949999999953434,1508063.199999999953434,10966753.199999999254942
FS( 54 ),1472372.199999999953434,1667267.920000000158325,1591801.080000000074506,1535735.599999999860302,1549980.520000000018626,1691087.749999999767169,1513502.139999999897555,11021750.210000000894070
FS( 55 ),1480878.520000000018626,1685396.800000000279397,1601943.159999999683350,1532620.349999999860302,1582820.800000000046566,1666331.749999999767169,1545577.939999999944121,11095572.319999998435378
FS( 56 ),1484814.280000000027940,1687662.909999999916181,1602517.239999999757856,1536857.089999999850988,1580830.479999999981374,1666847.500000000000000,1543207.120000000111759,11102739.620000001043081
FS( 57 ),1486210.840000000083819,1699425.100000000093132,1610171.639999999897555,1534987.939999999944121,1580830.479999999981374,1664165.600000000093132,1540975.760000000009313,11116770.359999999403954
FS( 58 ),1476434.920000000158325,1699209.280000000260770,1601177.719999999972060,1541716.879999999888241,1581079.270000000018626,1666744.350000000093132,1540557.379999999888241,11106922.800000000745058
FS( 59 ),1479355.000000000000000,1702986.130000000121072,1592375.159999999683350,1534489.500000000000000,1573366.780000000027940,1681701.099999999860302,1543207.120000000111759,11107483.789999999105930
FS( 60 ),1488750.040000000037253,1699425.100000000093132,1592183.799999999813735,1533617.229999999981374,1574361.940000000176951,1677678.249999999767169,1547809.300000000046566,11113828.660000000149012
FS( 61 ),1482402.040000000037253,1684533.520000000018626,1577831.799999999813735,1528757.439999999944121,1567147.030000000027940,1665300.249999999767169,1536791.959999999962747,11042767.039999999105930
FS( 62 ),1482021.160000000149012,1680109.210000000195578,1564819.319999999832362,1530128.150000000139698,1564907.919999999925494,1661174.249999999767169,1541812.520000000018626,11024975.529999999329448
FS( 63 ),1470467.800000000046566,1680001.300000000279397,1559461.239999999757856,1516794.879999999888241,1545999.880000000121072,1650859.249999999767169,1528842.739999999990687,10952430.089999999850988
FS( 64 ),1474657.480000000214204,1693921.690000000176951,1569794.679999999934807,1490626.780000000027940,1556946.640000000130385,1665403.399999999674037,1545717.399999999906868,10997071.070000002160668
FS( 65 ),1473007.000000000000000,1711726.840000000316650,1582233.080000000074506,1488882.239999999990687,1549980.520000000018626,1670148.299999999813735,1546693.620000000111759,11022674.600000001490116
FS( 66 ),1480497.640000000130385,1712698.030000000260770,1575152.760000000009313,1491623.659999999916181,1549980.520000000018626,1672933.350000000093132,1552969.319999999832362,11035858.280000001192093
