代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13578863.300000000745058
真實報酬,3578863.300000000745058

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14094.541005618730196
風險,229555.895315010478953
起點值,0.061399168103600
找到最佳解世代,1963
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](2),MRK[17](3),PG[21](1),
Stock#,MCD[15](2),MRK[17](3),PG[21](1),
張數,21242,50898,41330,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,38.360000000335276,22.980000000447035,68.499999999534339,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3301257.580000000074506,3319590.540000000502914,3389128.499999999534339,10009977.620000001043081
FS( 3 ),3318251.180000000633299,3355728.120000000577420,3402767.399999999441206,10076747.699999999254942
FS( 4 ),3329084.600000000093132,3370488.540000000502914,3410620.099999999161810,10110194.240000000223517
FS( 5 ),3314640.040000000037253,3388811.820000000298023,3415579.699999999720603,10119032.560000000521541
FS( 6 ),3375817.000000000000000,3394410.600000000558794,3403593.999999999068677,10173822.599999999627471
FS( 7 ),3383888.960000000428408,3359290.980000000447035,3364330.500000000000000,10107511.440000001341105
FS( 8 ),3370718.920000000391155,3362853.840000000316650,3365570.399999999906868,10099144.160000000149012
FS( 9 ),3359248.240000000223517,3395937.540000000502914,3369290.099999999161810,10124476.880000000819564
FS( 10 ),3411503.560000000055879,3382704.060000000055879,3360610.799999999813735,10154819.419999999925494
FS( 11 ),3396209.320000000298023,3429021.240000000689179,3401527.499999999534339,10226759.060000000521541
FS( 12 ),3435507.020000000018626,3504350.280000000260770,3458976.199999999254942,10398834.500000000000000
FS( 13 ),3423186.660000000614673,3515038.860000000335276,3458976.199999999254942,10397202.720000000670552
FS( 14 ),3434444.920000000391155,3571535.640000000596046,3456909.699999999720603,10462891.259999999776483
FS( 15 ),3420850.040000000037253,3520637.640000000596046,3467655.500000000000000,10409144.179999999701977
FS( 16 ),3410441.460000000428408,3514020.900000000838190,3446577.199999999720603,10371040.560000000521541
FS( 17 ),3378578.460000000428408,3510458.040000000502914,3440377.699999999254942,10329415.199999999254942
FS( 18 ),3385588.320000000298023,3514020.900000000838190,3445337.299999999348074,10344947.519999999552965
FS( 19 ),3408954.520000000018626,3511476.000000000000000,3448643.699999999254942,10369075.219999998807907
FS( 20 ),3433595.240000000223517,3493152.720000000204891,3450296.899999999906868,10377045.860000001266599
FS( 21 ),3464820.980000000447035,3502314.360000000335276,3450710.199999999254942,10417846.539999999105930
FS( 22 ),3458235.960000000428408,3488571.900000000838190,3447403.799999999348074,10394212.660000000149012
FS( 23 ),3446128.020000000018626,3491116.800000000745058,3428391.999999999534339,10365637.820000000298023
FS( 24 ),3435294.600000000093132,3458542.080000000540167,3418059.499999999534339,10311897.179999999701977
FS( 25 ),3467582.440000000409782,3492643.740000000689179,3442444.199999999720603,10402671.380000000819564
FS( 26 ),3478203.440000000409782,3531326.220000000204891,3415993.000000000000000,10425523.660000000149012
