代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12658020.769999999552965
真實報酬,2658020.769999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12414.920348146615652
風險,264432.063457649375778
起點值,0.046949375903255
找到最佳解世代,2175
找到最佳解實驗#,1
找到最佳解次數,26

stock[index](rank)
投資組合檔數,7
AAPL[0](7),CSCO[4](5),INTC[11](17),MRK[17](8),MSFT[18](1),NKE[19](4),UNH[23](3),
Stock#,AAPL[0](7),CSCO[4](5),INTC[11](17),MRK[17](8),MSFT[18](1),NKE[19](4),UNH[23](3),
張數,8559,41264,30583,25814,17174,25941,6817,
FS( 96 ),1466059.420000000391155,1828419.160000000149012,1576898.550000000046566,1411791.899999999906868,1588289.199999999953434,1721185.479999999748543,1519168.929999999934807,11111815.640000000596046
FS( 97 ),1445346.640000000130385,1777251.800000000046566,1554572.959999999962747,1397077.919999999925494,1542091.140000000130385,1671119.349999999860302,1467291.560000000055879,10854754.370000001043081
FS( 98 ),1411880.950000000186265,1750430.200000000186265,1509615.949999999953434,1378749.979999999981374,1497267.000000000000000,1676566.959999999729916,1449158.340000000083819,10673672.379999998956919
FS( 99 ),1478897.920000000391155,1818103.160000000149012,1605034.909999999916181,1395012.800000000046566,1610615.399999999906868,1709512.030000000027940,1493605.179999999934807,11110784.399999998509884
FS( 100 ),1440981.550000000279397,1761158.840000000083819,1565582.840000000083819,1387526.739999999990687,1536595.459999999962747,1716516.099999999860302,1486038.310000000055879,10894402.840000001713634
FS( 101 ),1425061.810000000055879,1719069.559999999823049,1516955.870000000111759,1422117.500000000000000,1535221.540000000037253,1697579.169999999925494,1489719.489999999990687,10805727.939999999478459
FS( 102 ),1436188.510000000242144,1769824.280000000027940,1592801.709999999962747,1406112.820000000065193,1567508.659999999916181,1723520.169999999925494,1459042.989999999990687,10955002.140000000596046
FS( 103 ),1426773.610000000335276,1692247.959999999962747,1496159.430000000167638,1375136.020000000018626,1520280.159999999916181,1663337.050000000046566,1480857.389999999897555,10654794.620000001043081
FS( 104 ),1441409.500000000000000,1707515.640000000130385,1521543.320000000065193,1396303.500000000000000,1540717.219999999739230,1730264.830000000074506,1531166.850000000093132,10868923.859999999403954
FS( 105 ),1468969.480000000447035,1700088.120000000111759,1528883.240000000223517,1407919.800000000046566,1585713.099999999860302,1774883.349999999860302,1559866.419999999925494,11026326.509999999776483
FS( 106 ),1479154.690000000409782,1725671.800000000046566,1540810.610000000102445,1407661.659999999916181,1586571.799999999813735,1805234.320000000065193,1561775.179999999934807,11106883.060000000521541
FS( 107 ),1441323.910000000149012,1680694.040000000037253,1492183.640000000130385,1377459.280000000027940,1549647.699999999953434,1752314.679999999701977,1526940.310000000055879,10820566.560000000521541
FS( 108 ),1455617.440000000409782,1698850.200000000186265,1515426.719999999972060,1449738.479999999981374,1558921.659999999916181,1742716.510000000009313,1518555.399999999906868,10939829.410000000149012
FS( 109 ),1483006.240000000223517,1754143.959999999962747,1568029.480000000214204,1458257.100000000093132,1595158.799999999813735,1738047.129999999888241,1546232.419999999925494,11142878.130000000819564
FS( 110 ),1476073.450000000186265,1750842.840000000083819,1562830.370000000111759,1450771.040000000037253,1577641.319999999832362,1733637.159999999916181,1512897.290000000037253,11064696.469999998807907
FS( 111 ),1490623.750000000000000,1788393.080000000307336,1612374.830000000074506,1464710.600000000093132,1607180.599999999860302,1758021.699999999720603,1528849.070000000065193,11250156.629999998956919
FS( 112 ),1495673.560000000055879,1774363.320000000065193,1586073.449999999953434,1475810.620000000111759,1598593.599999999860302,1744532.379999999888241,1529121.750000000000000,11204171.679999999701977
FS( 113 ),1505002.870000000111759,1786742.520000000018626,1602588.270000000018626,1514015.339999999850988,1617313.260000000009313,1739603.589999999850988,1570296.429999999934807,11335565.279999999329448
FS( 114 ),1525715.650000000372529,1839973.080000000307336,1637452.890000000130385,1530020.020000000018626,1649943.859999999869615,1751277.040000000037253,1626400.340000000083819,11560785.879999998956919
FS( 115 ),1522292.050000000279397,1841623.640000000130385,1639593.699999999953434,1520985.120000000111759,1656298.239999999990687,1717294.330000000074506,1611743.790000000037253,11509833.870000001043081
FS( 116 ),1479154.690000000409782,1838735.160000000149012,1597083.330000000074506,1513757.199999999953434,1650630.819999999832362,1705102.060000000055879,1607380.909999999916181,11391847.170000001788139
FS( 117 ),1418556.970000000204891,1819341.080000000307336,1575981.060000000055879,1518661.859999999869615,1631567.679999999934807,1714440.820000000065193,1602609.010000000009313,11281161.480000000447035
FS( 118 ),1414448.650000000372529,1825943.320000000065193,1562830.370000000111759,1555317.739999999990687,1637578.579999999841675,1734934.209999999729916,1597700.770000000018626,11328756.640000000596046
FS( 119 ),1394762.950000000186265,1804898.680000000167638,1573534.420000000158325,1551187.500000000000000,1599280.560000000055879,1737268.899999999906868,1596882.729999999981374,11257818.740000002086163
FS( 120 ),1400839.840000000316650,1803660.760000000009313,1571393.610000000102445,1539313.060000000055879,1585369.619999999878928,1729486.599999999860302,1596882.729999999981374,11226949.220000002533197
FS( 121 ),1405718.470000000204891,1824292.760000000009313,1622467.219999999972060,1533633.979999999981374,1618858.919999999925494,1765285.179999999701977,1616038.500000000000000,11386298.029999999329448
FS( 122 ),1389456.370000000111759,1844924.760000000009313,1612680.659999999916181,1535182.820000000065193,1645650.359999999869615,1804456.089999999850988,1637512.050000000046566,11469866.110000001266599
FS( 123 ),1414619.830000000074506,1827593.880000000121072,1578733.530000000027940,1519694.419999999925494,1606150.159999999916181,1774105.119999999878928,1611743.790000000037253,11332643.730000000447035
FS( 124 ),1447486.390000000130385,1849876.439999999944121,1631030.459999999962747,1496719.959999999962747,1631567.679999999934807,1766582.229999999748543,1614811.439999999944121,11438077.599999999627471
FS( 125 ),1511422.120000000111759,1809850.360000000102445,1599835.800000000046566,1479166.439999999944121,1605978.419999999925494,1770732.790000000037253,1591701.810000000055879,11368690.740000000223517
FS( 126 ),1514161.000000000000000,1833783.479999999981374,1598918.310000000055879,1485103.659999999916181,1615595.859999999869615,1735453.030000000027940,1596405.540000000037253,11379423.879999998956919
FS( 127 ),1573560.460000000428408,1869270.520000000018626,1614209.810000000055879,1490782.739999999990687,1634315.519999999785796,1766582.229999999748543,1608335.290000000037253,11557059.570000000298023
FS( 128 ),1584943.930000000167638,1887014.040000000037253,1631030.459999999962747,1481231.560000000055879,1652519.959999999962747,1798749.070000000065193,1593883.250000000000000,11629375.269999999552965
FS( 129 ),1592561.440000000409782,1886188.760000000009313,1640205.360000000102445,1465226.879999999888241,1645478.619999999878928,1775920.989999999757856,1581953.500000000000000,11587538.550000000745058
FS( 130 ),1603773.730000000447035,1899805.880000000121072,1661919.290000000270084,1495945.540000000037253,1664885.239999999990687,1762691.080000000074506,1562729.560000000055879,11651753.320000002160668
FS( 131 ),1626711.850000000093132,1910534.520000000018626,1681492.409999999916181,1498785.080000000074506,1681544.019999999785796,1761912.849999999860302,1593406.060000000055879,11754389.790000000968575
FS( 132 ),1614301.300000000279397,1895266.840000000083819,1672011.680000000167638,1540861.899999999906868,1677937.479999999981374,1775142.760000000009313,1624559.750000000000000,11800084.710000000894070
FS( 133 ),1610535.340000000316650,1885776.120000000111759,1679045.770000000018626,1540603.760000000009313,1683604.899999999906868,1785778.570000000065193,1656054.290000000037253,11841401.750000000000000
FS( 134 ),1595899.450000000186265,1876698.040000000037253,1649074.430000000167638,1528213.040000000037253,1671411.359999999869615,1802899.629999999888241,1632876.489999999990687,11757075.439999999478459
FS( 135 ),1610792.110000000335276,1863493.559999999823049,1671094.190000000176951,1542410.739999999990687,1668491.780000000027940,1850631.070000000065193,1648010.229999999981374,11854926.680000001564622
FS( 136 ),1600606.900000000372529,1793344.760000000009313,1676293.300000000046566,1524857.219999999972060,1651833.000000000000000,1840254.669999999925494,1656463.310000000055879,11743656.160000000149012
FS( 137 ),1594786.780000000260770,1783028.760000000009313,1676293.300000000046566,1526664.199999999953434,1654924.319999999832362,1850112.249999999767169,1667915.869999999878928,11753728.479999998584390
FS( 138 ),1606084.660000000149012,1805311.320000000065193,1661307.630000000121072,1511950.219999999972060,1676220.079999999841675,1851668.709999999729916,1690139.290000000037253,11802684.910000000149012
FS( 139 ),1602061.930000000167638,1801184.919999999925494,1665283.420000000158325,1508852.540000000037253,1674502.679999999934807,1849852.839999999850988,1671597.050000000046566,11773338.380000000819564
FS( 140 ),1612332.730000000447035,1802422.840000000083819,1688526.500000000000000,1527438.620000000111759,1694424.519999999785796,1850631.070000000065193,1665325.409999999916181,11841104.689999999478459
FS( 141 ),1610535.340000000316650,1797883.800000000046566,1674458.320000000065193,1526406.060000000055879,1688413.619999999878928,1872421.510000000009313,1654895.399999999906868,11825017.050000002607703
FS( 142 ),1614215.710000000428408,1785091.959999999962747,1695560.590000000083819,1525373.500000000000000,1689272.319999999832362,1874237.379999999888241,1670029.139999999897555,11853783.600000001490116
FS( 143 ),1608395.590000000316650,1773125.399999999906868,1691890.630000000121072,1507561.839999999850988,1683261.419999999925494,1839735.849999999860302,1651077.879999999888241,11755051.609999999403954
FS( 144 ),1604971.990000000223517,1768173.720000000204891,1702900.510000000009313,1541636.320000000065193,1699404.979999999981374,1873718.560000000055879,1669960.969999999972060,11860770.050000002607703
FS( 145 ),1599579.820000000298023,1762396.760000000009313,1688220.670000000158325,1536731.659999999916181,1697515.840000000083819,1862563.929999999701977,1646578.659999999916181,11793590.339999999850988
FS( 146 ),1628423.650000000372529,1801597.559999999823049,1745716.709999999962747,1563320.080000000074506,1731005.140000000130385,1887467.290000000037253,1659121.939999999944121,12016655.369999999180436
FS( 147 ),1642032.460000000428408,1798296.439999999944121,1738070.959999999962747,1601008.520000000018626,1746118.260000000009313,1915224.159999999916181,1667847.699999999953434,12108601.500000000000000
FS( 148 ),1654699.780000000260770,1802010.200000000186265,1728896.060000000055879,1584745.699999999953434,1755048.739999999990687,1920931.179999999701977,1666484.300000000046566,12112818.960000000894070
FS( 149 ),1660434.310000000055879,1826355.959999999962747,1744187.560000000055879,1598685.260000000009313,1760200.939999999944121,1939089.879999999888241,1695252.040000000037253,12224208.949999999254942
FS( 150 ),1655983.630000000353903,1801184.919999999925494,1709017.110000000102445,1600234.100000000093132,1732550.799999999813735,1939349.290000000037253,1697501.649999999906868,12135824.499999998137355
FS( 151 ),1640919.790000000037253,1794170.040000000037253,1683633.219999999972060,1615464.359999999869615,1745431.299999999813735,1942981.030000000027940,1709090.550000000046566,12131693.290000000968575
FS( 152 ),1636897.060000000055879,1802835.479999999981374,1667424.230000000214204,1609010.859999999869615,1735470.379999999888241,1934939.320000000065193,1730223.250000000000000,12116803.580000001937151
FS( 153 ),1645884.010000000242144,1813151.479999999981374,1676599.130000000121072,1611850.399999999906868,1739935.619999999878928,1927157.020000000018626,1728859.850000000093132,12143440.509999997913837
FS( 154 ),1632360.790000000037253,1816039.959999999962747,1683021.560000000055879,1615722.500000000000000,1732035.579999999841675,1922487.639999999897555,1724019.780000000027940,12125690.810000000521541
FS( 155 ),1633216.690000000409782,1844099.479999999981374,1698618.890000000130385,1589134.080000000074506,1741824.760000000009313,1937792.830000000074506,1740789.600000000093132,12185479.330000000074506
FS( 156 ),1616441.050000000279397,1825943.320000000065193,1685468.199999999953434,1601266.659999999916181,1719670.299999999813735,1967365.570000000065193,1745220.649999999906868,12161378.750000001862645
FS( 157 ),1615585.150000000372529,1824292.760000000009313,1627666.330000000074506,1574420.100000000093132,1732207.319999999832362,1961399.139999999897555,1737653.780000000027940,12073227.580000000074506
FS( 158 ),1589480.200000000186265,1808199.800000000046566,1618797.260000000009313,1575452.659999999916181,1732207.319999999832362,1926378.790000000037253,1725042.330000000074506,11975561.360000001266599
FS( 159 ),1596412.990000000223517,1804898.680000000167638,1618797.260000000009313,1581906.159999999916181,1749553.060000000055879,1938311.649999999906868,1723610.760000000009313,12013493.560000000521541
FS( 160 ),1587511.630000000353903,1780965.559999999823049,1596165.840000000083819,1579324.760000000009313,1737016.040000000037253,1918077.669999999925494,1717339.119999999878928,11916403.619999999180436
FS( 161 ),1582889.770000000018626,1782616.120000000111759,1605646.570000000065193,1586810.820000000065193,1724479.019999999785796,1904847.760000000009313,1734245.280000000027940,11921538.339999999850988
FS( 162 ),1559352.520000000018626,1745065.880000000121072,1550903.000000000000000,1576743.359999999869615,1689787.540000000037253,1876831.479999999748543,1709295.060000000055879,11707981.839999999850988
FS( 163 ),1578695.860000000335276,1755794.520000000018626,1519096.680000000167638,1567450.320000000065193,1701637.599999999860302,1882279.089999999850988,1702887.080000000074506,11707844.150000000372529
FS( 164 ),1576384.930000000167638,1746716.439999999944121,1491266.149999999906868,1545766.560000000055879,1675189.640000000130385,1850890.479999999748543,1691979.879999999888241,11578197.080000001937151
FS( 165 ),1587853.990000000223517,1771887.479999999981374,1506251.820000000065193,1556608.439999999944121,1693909.299999999813735,1859969.830000000074506,1669688.290000000037253,11646172.149999998509884
FS( 166 ),1584515.980000000447035,1775601.240000000223517,1520320.000000000000000,1566934.040000000037253,1693565.819999999832362,2066979.010000000009313,1672687.770000000018626,11880606.859999999403954
FS( 167 ),1602233.110000000335276,1766523.160000000149012,1535305.670000000158325,1560738.679999999934807,1717609.419999999925494,2032477.479999999748543,1687276.149999999906868,11902166.669999999925494
FS( 168 ),1574330.770000000018626,1760746.200000000186265,1512980.080000000074506,1567192.179999999934807,1701122.379999999888241,1978779.609999999869615,1683867.649999999906868,11779021.870000001043081
FS( 169 ),1586998.090000000316650,1756207.160000000149012,1552126.320000000065193,1591199.199999999953434,1713315.919999999925494,1985783.679999999701977,1707863.489999999990687,11893496.860000001266599
FS( 170 ),1608994.720000000204891,1762396.760000000009313,1571087.780000000027940,1605655.040000000037253,1737359.519999999785796,1983967.810000000055879,1709635.909999999916181,11979100.540000000968575
FS( 171 ),1631333.710000000428408,1760746.200000000186265,1586073.449999999953434,1601008.520000000018626,1749209.579999999841675,2004720.609999999869615,1729473.379999999888241,12062568.449999999254942
FS( 172 ),1629365.140000000130385,1768586.360000000102445,1595248.349999999860302,1608236.439999999944121,1753846.560000000055879,2012243.499999999767169,1742221.169999999925494,12109750.519999999552965
FS( 173 ),1608224.410000000149012,1756619.800000000046566,1565888.670000000158325,1597910.839999999850988,1751442.199999999953434,2006795.889999999897555,1735745.020000000018626,12022629.830000000074506
FS( 174 ),1635185.260000000242144,1798296.439999999944121,1601059.120000000111759,1617529.479999999981374,1789396.739999999990687,2007055.300000000046566,1745697.840000000083819,12194223.180000001564622
FS( 175 ),1637752.960000000428408,1724021.240000000223517,1597083.330000000074506,1623466.699999999953434,1810692.500000000000000,2007314.709999999729916,1763762.889999999897555,12164097.330000000074506
FS( 176 ),1634158.180000000167638,1753731.320000000065193,1590660.899999999906868,1615722.500000000000000,1801762.019999999785796,2016912.879999999888241,1752037.650000000139698,12164988.450000001117587
FS( 177 ),1638780.040000000037253,1747129.080000000307336,1582709.320000000065193,1614173.659999999916181,1819622.979999999981374,2009649.399999999906868,1706431.919999999925494,12118499.400000000372529
FS( 178 ),1629793.090000000316650,1741764.760000000009313,1581791.830000000074506,1624757.399999999906868,1805368.560000000055879,1986821.320000000065193,1741403.129999999888241,12111703.089999999850988
FS( 179 ),1642460.410000000149012,1749604.919999999925494,1589743.409999999916181,1613657.379999999888241,1793003.280000000027940,1996160.080000000074506,1724428.800000000046566,12109061.280000001192093
FS( 180 ),1638694.450000000186265,1733511.959999999962747,1587602.599999999860302,1613915.520000000018626,1825118.659999999916181,1996419.489999999757856,1722860.889999999897555,12118126.570000000298023
FS( 181 ),1638694.450000000186265,1735575.160000000149012,1599835.800000000046566,1618303.899999999906868,1854314.459999999962747,1986821.320000000065193,1723133.570000000065193,12156681.660000000149012
FS( 182 ),1652046.490000000223517,1749192.280000000027940,1595860.010000000009313,1637148.120000000111759,1848990.519999999785796,1959323.859999999869615,1730086.909999999916181,12172651.189999999478459
FS( 183 ),1667623.870000000111759,1780965.559999999823049,1603505.760000000009313,1664769.099999999860302,1903432.099999999860302,2001607.689999999711290,1737585.610000000102445,12359492.689999997615814
FS( 184 ),1662402.880000000353903,1796233.240000000223517,1595248.349999999860302,1652378.380000000121072,1882651.560000000055879,2027289.280000000027940,1752173.989999999990687,12368380.679999999701977
FS( 185 ),1634757.310000000055879,1756619.800000000046566,1458236.510000000009313,1638955.100000000093132,1849334.000000000000000,1994603.619999999878928,1745016.139999999897555,12077525.480000000447035
FS( 186 ),1625599.180000000167638,1740114.200000000186265,1458542.340000000083819,1673029.580000000074506,1809662.060000000055879,1970478.489999999757856,1730632.270000000018626,12008061.120000001043081
FS( 187 ),1628851.600000000093132,1745065.880000000121072,1471081.370000000111759,1700392.420000000158325,1821855.599999999860302,1995122.439999999711290,1726405.729999999981374,12088778.040000000968575
FS( 188 ),1724797.990000000223517,1727322.360000000102445,1492795.300000000046566,1690583.099999999860302,1825290.399999999906868,2011465.270000000018626,1727428.280000000027940,12199685.699999999254942
FS( 189 ),1775210.500000000000000,1754969.240000000223517,1513285.909999999916181,1683613.320000000065193,1847444.859999999869615,2040259.780000000027940,1745902.349999999860302,12360688.959999999031425
FS( 190 ),1780345.900000000372529,1767348.439999999944121,1517873.360000000102445,1701941.260000000242144,1855516.640000000130385,2042594.469999999739230,1753673.730000000214204,12419296.800000000745058
FS( 191 ),1789589.620000000111759,1786742.520000000018626,1507780.969999999972060,1709427.320000000065193,1857062.299999999813735,2062569.040000000037253,1750537.909999999916181,12463712.679999999701977
FS( 192 ),1772813.980000000447035,1798296.439999999944121,1520014.170000000158325,1718720.359999999869615,1869942.799999999813735,2089028.859999999869615,1756605.039999999804422,12525424.649999998509884
FS( 193 ),1774012.240000000223517,1809025.080000000307336,1527965.750000000000000,1721559.899999999906868,1880418.939999999944121,2088250.629999999888241,1764512.760000000009313,12565748.299999998882413
FS( 194 ),1787963.410000000149012,1806549.240000000223517,1533470.690000000176951,1703748.239999999990687,1883510.260000000009313,2107965.790000000037253,1783464.019999999785796,12606674.650000002235174
FS( 195 ),1776408.760000000242144,1806549.240000000223517,1494018.620000000111759,1705555.219999999739230,1872003.679999999934807,2094217.060000000055879,1775079.110000000102445,12523834.690000001341105
FS( 196 ),1787877.820000000298023,1805311.320000000065193,1481785.420000000158325,1722334.320000000065193,1858436.219999999739230,2079171.280000000027940,1778828.460000000195578,12513747.840000001713634
FS( 197 ),1795409.740000000223517,1815627.320000000065193,1471693.030000000027940,1715622.679999999934807,1881621.119999999878928,2078911.869999999878928,1796348.150000000139698,12555236.910000000149012
FS( 198 ),1799603.650000000372529,1809850.360000000102445,1451508.250000000000000,1739113.420000000158325,1848990.519999999785796,2064125.499999999767169,1776783.360000000102445,12489978.060000000521541
FS( 199 ),1825965.370000000111759,1863493.559999999823049,1442639.180000000167638,1777318.139999999897555,1848647.040000000037253,2076577.179999999701977,1793757.690000000176951,12628401.159999998286366
FS( 200 ),1862426.710000000428408,1892791.000000000000000,1440498.370000000111759,1782739.080000000074506,1847616.599999999860302,2068794.879999999888241,1788508.599999999860302,12683378.240000000223517
FS( 201 ),1844281.630000000353903,1907233.399999999906868,1422148.570000000065193,1811392.620000000111759,1835423.060000000055879,2131831.510000000242144,1788985.789999999804422,12741299.580000000074506
FS( 202 ),1840686.850000000093132,1889077.240000000223517,1456401.530000000027940,1785578.620000000111759,1820138.199999999953434,2151806.080000000074506,1784145.719999999972060,12727837.240000000223517
FS( 203 ),1840772.440000000409782,1897742.680000000167638,1438969.219999999972060,1782222.800000000046566,1838686.119999999878928,2143764.370000000111759,1777669.570000000065193,12719830.199999999254942
FS( 204 ),1844538.400000000372529,1898980.600000000093132,1436828.409999999916181,1780415.820000000065193,1847273.119999999878928,2150768.439999999944121,1782305.130000000121072,12741112.919999999925494
FS( 205 ),1850272.930000000167638,1911359.800000000046566,1457624.849999999860302,1782222.800000000046566,1861699.280000000027940,2138835.580000000074506,1801801.749999999767169,12803819.990000000223517
FS( 206 ),1865507.950000000186265,1922501.080000000307336,1478727.120000000111759,1780932.099999999860302,1882308.079999999841675,2144023.780000000260770,1820889.349999999860302,12894892.459999999031425
FS( 207 ),1880571.790000000037253,1937356.120000000111759,1485455.380000000121072,1771639.059999999823049,1893642.919999999925494,2142207.909999999683350,1830637.659999999916181,12941513.839999999850988
FS( 208 ),1908645.310000000055879,1959226.040000000037253,1490960.320000000065193,1776285.580000000074506,1923869.159999999916181,2147655.520000000018626,1833977.989999999990687,13040622.919999999925494
FS( 209 ),1926191.260000000242144,1945608.919999999925494,1475362.990000000223517,1769315.800000000046566,1922666.979999999981374,2111597.530000000260770,1829819.619999999878928,12980566.099999999627471
FS( 210 ),1948444.660000000149012,1971192.600000000093132,1481173.760000000009313,1770606.500000000000000,1929193.099999999860302,2132350.330000000074506,1830296.809999999823049,13063260.760000001639128
FS( 211 ),1954692.730000000447035,1969542.040000000037253,1466799.750000000000000,1754085.540000000037253,1918545.219999999739230,2064903.729999999748543,1830637.659999999916181,12959209.670000001788139
FS( 212 ),1941939.820000000298023,1950560.600000000093132,1459459.830000000074506,1771380.920000000158325,1863244.939999999944121,2073204.849999999860302,1824706.869999999878928,12884500.829999998211861
FS( 213 ),1909672.390000000130385,1950973.240000000223517,1445391.649999999906868,1790999.559999999823049,1867538.439999999944121,2085656.530000000027940,1838409.039999999804422,12888643.849999997764826
FS( 214 ),1894266.190000000409782,1941482.520000000018626,1420619.420000000158325,1798485.620000000111759,1858436.219999999739230,2083062.429999999701977,1829069.749999999767169,12825425.150000000372529
