代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11793029.500000000000000
真實報酬,1793029.500000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,8390.437937872311522
風險,273447.722728719585575
起點值,0.030683883025774
找到最佳解世代,1825
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](1),V[25](6),VZ[26](8),
Stock#,MCD[15](1),V[25](6),VZ[26](8),
張數,34809,49127,70921,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,23.159999999683350,66.050000000279397,46.000000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3347604.689999999944121,3352492.530000000260770,3347517.200000000186265,10047615.420000001788139
FS( 3 ),3329504.009999999776483,3346597.290000000502914,3336169.839999999850988,10012272.140000000596046
FS( 4 ),3365357.279999999795109,3329402.840000000316650,3351063.250000000000000,10045824.370000001043081
FS( 5 ),3336117.719999999739230,3278310.760000000242144,3303546.179999999701977,9917975.660000000149012
FS( 6 ),3358743.569999999366701,3294031.400000000372529,3280851.459999999962747,9933627.429999999701977
FS( 7 ),3399122.009999999776483,3361335.390000000130385,3333333.000000000000000,10093791.400000000372529
FS( 8 ),3426273.029999999795109,3415375.090000000316650,3347517.200000000186265,10189166.320000000298023
FS( 9 ),3438456.179999999701977,3443868.750000000000000,3362410.609999999869615,10244736.539999999105930
FS( 10 ),3448550.789999999571592,3439938.590000000316650,3356736.929999999701977,10245227.309999998658895
FS( 11 ),3406431.899999999441206,3466958.439999999944121,3392197.429999999701977,10265588.769999999552965
FS( 12 ),3393900.659999999683350,3482187.810000000055879,3375176.390000000130385,10251265.859999999403954
FS( 13 ),3393552.569999999366701,3571598.950000000186265,3411346.100000000093132,10376498.619999999180436
FS( 14 ),3387635.039999999571592,3538192.590000000316650,3331205.370000000111759,10257034.000000000000000
FS( 15 ),3396685.379999999422580,3535736.240000000223517,3294326.450000000186265,10226749.070000000298023
FS( 16 ),3379628.969999999739230,3524928.300000000279397,3287234.350000000093132,10191792.619999999180436
FS( 17 ),3345168.059999999590218,3674765.650000000372529,3265248.839999999850988,10285183.550000000745058
FS( 18 ),3343079.520000000018626,3628586.270000000484288,3250355.429999999701977,10222022.220000000670552
FS( 19 ),3387983.129999999422580,3671818.030000000260770,3254610.689999999944121,10314412.849999999627471
FS( 20 ),3418615.049999999348074,3734209.320000000298023,3302127.760000000242144,10454953.129999998956919
FS( 21 ),3452031.689999999944121,3752386.310000000055879,3309929.070000000298023,10514348.070000000298023
FS( 22 ),3476049.899999999441206,3701294.230000000447035,3318439.589999999850988,10495784.719999998807907
FS( 23 ),3460733.939999999944121,3722418.840000000316650,3331205.370000000111759,10514359.150000000372529
FS( 24 ),3450987.419999999925494,3697855.340000000316650,3309929.070000000298023,10458772.830000000074506
FS( 25 ),3473961.359999999403954,3683608.510000000242144,3307801.439999999944121,10465372.309999998658895
FS( 26 ),3458297.309999999590218,3614830.710000000428408,3307092.229999999981374,10380221.250000000000000
FS( 27 ),3443329.439999999944121,3645780.720000000204891,3287943.560000000055879,10377054.720000000670552
FS( 28 ),3459689.669999999925494,3654132.310000000055879,3349644.829999999608845,10463467.810000000521541
FS( 29 ),3439500.449999999720603,3604022.770000000484288,3375885.600000000093132,10419409.820000000298023
