代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12813222.570000000298023
真實報酬,2813222.570000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,9493.051329229327166
風險,205584.132281317695742
起點值,0.046175992397308
找到最佳解世代,2230
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
KO[14](10),MCD[15](14),V[25](1),VZ[26](5),WMT[28](3),
Stock#,KO[14](10),MCD[15](14),V[25](1),VZ[26](5),WMT[28](3),
張數,59049,23150,93370,55756,38008,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,10.370000000111759,71.500000000000000,14.599999999860302,32.280000000027940,19.040000000037253,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1979923.340000000083819,1969210.500000000000000,1950513.899999999906868,1978812.720000000204891,1964272.479999999981374,9842732.940000001341105
FS( 3 ),2019486.170000000391155,1980322.500000000232831,2042016.500000000000000,2005575.599999999860302,1949069.280000000027940,9996470.050000000745058
FS( 4 ),1943312.959999999962747,1951153.500000000000000,1984127.099999999860302,1947031.800000000046566,1904219.840000000083819,9729845.199999999254942
FS( 5 ),1971656.480000000214204,1969673.500000000000000,1946779.100000000093132,1954280.079999999841675,1932725.840000000083819,9775115.000000000000000
FS( 6 ),1922645.810000000288710,1900918.000000000000000,1849674.299999999813735,1846671.000000000000000,1859370.400000000139698,9379279.509999999776483
FS( 7 ),1968704.030000000260770,1990045.499999999767169,1931839.899999999906868,1911905.520000000018626,1931585.600000000093132,9734080.549999998882413
FS( 8 ),1888397.390000000130385,1946523.500000000000000,1850608.000000000000000,1876779.239999999757856,1839986.319999999832362,9402294.450000001117587
FS( 9 ),1962799.130000000121072,1997453.500000000000000,1972922.699999999720603,1930305.000000000000000,1890156.879999999888241,9753637.210000000894070
FS( 10 ),1982285.300000000046566,2002546.500000000000000,1957049.800000000046566,1912463.079999999841675,1890917.040000000037253,9745261.719999998807907
FS( 11 ),2013581.270000000251457,2009954.499999999767169,2004668.499999999767169,1954280.079999999841675,1899658.879999999888241,9882143.230000000447035
FS( 12 ),2012990.780000000260770,2006482.000000000000000,2003734.800000000046566,1944801.560000000055879,1973394.400000000139698,9941403.540000000968575
FS( 13 ),2045467.730000000214204,2025696.500000000000000,1960784.599999999860302,1985503.439999999944121,1959331.439999999944121,9976783.709999999031425
FS( 14 ),2000590.490000000223517,1981943.000000000000000,1873950.500000000000000,1955395.199999999953434,1968453.360000000102445,9780332.550000000745058
FS( 15 ),1981104.319999999832362,2019446.000000000000000,1858077.599999999627471,1935323.040000000037253,1987837.439999999944121,9781788.400000000372529
