代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12782620.710000000894070
真實報酬,2782620.710000000894070

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10172.828324528098165
風險,241768.132051093998598
起點值,0.042076795805240
找到最佳解世代,1817
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
INTC[11](13),MRK[17](6),MSFT[18](1),PFE[20](9),V[25](2),
Stock#,INTC[11](13),MRK[17](6),MSFT[18](1),PFE[20](9),V[25](2),
張數,44762,35797,23736,55020,18061,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,33.840000000083819,21.610000000102445,4.639999999897555,23.000000000000000,105.469999999972060,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1991495.220000000204891,2012528.949999999953434,1924519.519999999785796,1984044.200000000186265,1940398.700000000186265,9852986.589999999850988
FS( 3 ),1944495.119999999878928,1996420.300000000279397,1936624.879999999888241,1960385.600000000093132,1961168.849999999860302,9799094.750000000000000
FS( 4 ),1944942.740000000223517,1945588.560000000055879,1964870.719999999972060,1956534.200000000186265,1982119.609999999869615,9794055.830000000074506
FS( 5 ),1928380.800000000046566,1960623.300000000279397,1957987.279999999795109,1953233.000000000000000,2012100.870000000111759,9812325.250000000000000
FS( 6 ),1940466.540000000037253,1989260.900000000139698,1997626.399999999906868,1966437.800000000046566,2033774.069999999832362,9927565.709999999031425
FS( 7 ),1954342.760000000009313,2016824.590000000316650,2023023.919999999925494,1992297.199999999953434,2029620.040000000037253,10016108.510000001639128
FS( 8 ),1939571.300000000046566,2042956.400000000139698,2031331.519999999785796,2012654.599999999860302,2049306.529999999795109,10075820.349999999627471
FS( 9 ),1940018.920000000158325,2037228.879999999888241,2025872.239999999757856,2015955.800000000046566,2046597.380000000121072,10065673.219999998807907
FS( 10 ),1936437.959999999962747,2005011.580000000074506,2010206.479999999748543,2006052.199999999953434,2039553.590000000083819,9997261.810000000521541
FS( 11 ),1994628.560000000288710,2013244.890000000130385,2061476.239999999757856,2046767.000000000232831,2055808.489999999757856,10171925.179999999701977
FS( 12 ),2070723.959999999962747,2012528.949999999953434,2050320.319999999832362,2042915.600000000093132,2050932.020000000018626,10227420.849999999627471
FS( 13 ),2105638.320000000298023,2012886.919999999925494,2037265.519999999785796,2032461.799999999813735,2025466.010000000009313,10213718.570000000298023
FS( 14 ),2128914.560000000521541,2008591.280000000027940,2029907.359999999869615,2006052.199999999953434,2025104.790000000037253,10198570.190000001341105
FS( 15 ),2093104.959999999962747,2026131.810000000055879,2029432.639999999897555,1993947.800000000046566,2030342.479999999981374,10172959.689999999478459
FS( 16 ),2090419.240000000223517,2017540.530000000027940,2029670.000000000000000,1988445.800000000046566,2035399.559999999823049,10161475.130000000819564
FS( 17 ),2062666.800000000046566,2016824.590000000316650,2027059.040000000037253,1992297.199999999953434,2040817.859999999869615,10139665.490000000223517
FS( 18 ),2064009.660000000149012,2016824.590000000316650,2034417.199999999720603,1998899.599999999860302,2059420.689999999944121,10173571.740000000223517
FS( 19 ),2068933.479999999981374,2026131.810000000055879,2034654.559999999823049,2001100.399999999906868,2065380.819999999832362,10196201.070000000298023
FS( 20 ),2066247.760000000009313,2014318.800000000279397,2030382.080000000074506,1992847.399999999906868,2059420.689999999944121,10163216.730000000447035
FS( 21 ),2097133.540000000037253,2012528.949999999953434,2040113.839999999850988,2004951.799999999813735,2068270.580000000074506,10222998.710000000894070
FS( 22 ),2025961.959999999962747,2009665.190000000176951,2049608.239999999757856,2019807.199999999953434,2088860.120000000111759,10193902.710000000894070
FS( 23 ),1988809.500000000000000,2042240.459999999962747,2067647.599999999860302,2024208.800000000046566,2096626.349999999860302,10219532.709999999031425
FS( 24 ),2002685.720000000204891,2040092.640000000130385,2093282.479999999748543,2028060.199999999953434,2146835.929999999701977,10310956.969999998807907
FS( 25 ),2002685.720000000204891,2028279.629999999888241,2095418.719999999972060,2005502.000000000232831,2155505.209999999962747,10287391.280000001192093
FS( 26 ),1952552.280000000027940,2033291.209999999962747,2093994.559999999823049,2003301.199999999720603,2151351.179999999701977,10234490.429999999701977
FS( 27 ),1902418.840000000083819,2051189.709999999962747,2084500.159999999683350,2006602.399999999906868,2149003.250000000000000,10193714.359999999403954
FS( 28 ),1943152.260000000009313,2061928.810000000055879,2090671.519999999785796,2011554.200000000186265,2164535.709999999962747,10271842.500000000000000
FS( 29 ),1935542.720000000204891,2099873.629999999888241,2126750.240000000223517,2010453.800000000046566,2169050.959999999962747,10341671.349999999627471
FS( 30 ),1931066.520000000018626,2221941.400000000372529,2097080.239999999757856,2013755.000000000000000,2174469.259999999776483,10438312.419999999925494
FS( 31 ),1987019.020000000018626,2220509.520000000484288,2139567.679999999701977,2045666.600000000093132,2203186.250000000000000,10595949.070000000298023
FS( 32 ),1991047.599999999860302,2188292.219999999739230,2138618.240000000223517,2035212.800000000046566,2223595.179999999701977,10576766.039999999105930
FS( 33 ),2006266.680000000167638,2193661.770000000484288,2136244.639999999664724,2032461.799999999813735,2216190.169999999925494,10584825.060000000521541
FS( 34 ),2047895.340000000083819,2192587.860000000335276,2174459.599999999627471,2031911.600000000093132,2245629.599999999627471,10692484.000000000000000
FS( 35 ),2061771.560000000288710,2208696.509999999776483,2181343.040000000037253,2025859.399999999906868,2251409.120000000111759,10729079.629999998956919
FS( 36 ),2037152.459999999962747,2190082.070000000298023,2179444.160000000149012,2031911.600000000093132,2249603.019999999552965,10688193.310000000521541
FS( 37 ),2027752.439999999944121,2194377.709999999962747,2191549.519999999552965,2048417.599999999860302,2261703.889999999664724,10723801.160000000149012
FS( 38 ),2241714.799999999813735,2220867.490000000223517,2232612.799999999813735,2146353.199999999720603,2281570.990000000223517,11123119.279999999329448
FS( 39 ),2237238.599999999627471,2206190.719999999739230,2229289.759999999776483,2146903.400000000372529,2254840.709999999962747,11074463.190000001341105
FS( 40 ),2183971.820000000298023,2171109.660000000149012,2201281.279999999329448,2079778.999999999767169,2231542.019999999552965,10867683.779999999329448
FS( 41 ),2154876.520000000484288,2120993.860000000335276,2255162.000000000000000,2037963.800000000046566,2243823.500000000000000,10812819.680000001564622
FS( 42 ),2132943.139999999664724,2142830.030000000260770,2237360.000000000000000,2026409.599999999860302,2270734.389999999664724,10810277.160000000149012
FS( 43 ),2065800.140000000130385,2096293.930000000167638,2178494.719999999739230,2014305.199999999953434,2183860.979999999515712,10538754.969999998807907
FS( 44 ),1992838.080000000307336,2018972.410000000149012,2088772.639999999897555,1907566.400000000139698,2100057.939999999478459,10108207.469999998807907
FS( 45 ),2010295.260000000009313,1985323.230000000214204,2167813.519999999552965,1941128.600000000093132,2166883.639999999664724,10271444.250000000000000
FS( 46 ),2023276.240000000223517,2000357.970000000204891,2126987.599999999627471,1924622.599999999860302,2161104.120000000111759,10236348.530000001192093
FS( 47 ),1913609.340000000083819,1959191.419999999925494,2017802.000000000000000,1850345.600000000093132,2056530.929999999934807,9797479.289999999105930
FS( 48 ),1967323.740000000223517,1964203.000000000000000,2093045.120000000111759,1879506.199999999720603,2100960.990000000223517,10005039.050000000745058
FS( 49 ),2006714.300000000046566,1984249.320000000065193,2115594.319999999366701,1907016.199999999720603,2139792.139999999664724,10153366.279999997466803
FS( 50 ),1990152.360000000102445,1965276.910000000149012,2132209.519999999552965,1922421.799999999813735,2137624.820000000298023,10147685.410000000149012
FS( 51 ),2031333.400000000139698,1965276.910000000149012,2155470.799999999813735,1936176.799999999813735,2182416.099999999627471,10270674.009999999776483
FS( 52 ),2055504.880000000121072,2004295.640000000130385,2199382.399999999441206,1964787.199999999953434,2208604.549999999813735,10432574.669999999925494
FS( 53 ),2039390.560000000288710,2015034.739999999990687,2183716.639999999664724,1995048.199999999953434,2200838.320000000298023,10434028.460000000894070
FS( 54 ),2073409.680000000167638,1968140.669999999925494,2200806.559999999590218,1981293.199999999953434,2203728.080000000074506,10427378.190000001341105
FS( 55 ),2056400.119999999878928,1952747.959999999962747,2171611.279999999329448,1967538.199999999953434,2175191.700000000186265,10323489.259999999776483
FS( 56 ),2050133.439999999944121,1953463.900000000139698,2177307.919999999925494,1966437.800000000046566,2174288.649999999441206,10321631.709999999031425
FS( 57 ),2136524.099999999627471,1964203.000000000000000,2232612.799999999813735,1995048.199999999953434,2220344.200000000186265,10548732.300000000745058
FS( 58 ),2198295.660000000149012,2006801.430000000167638,2264893.759999999776483,2040714.800000000279397,2250325.459999999962747,10761031.109999999403954
FS( 59 ),2234105.259999999776483,1958833.449999999953434,2235935.839999999850988,2024758.999999999767169,2228291.040000000037253,10681924.589999999850988
FS( 60 ),2206352.820000000298023,1940934.949999999953434,2225729.359999999403954,1997799.200000000186265,2220524.809999999590218,10591341.140000000596046
FS( 61 ),2141447.919999999925494,1922320.510000000242144,2203892.240000000223517,1960385.600000000093132,2174649.870000000111759,10402696.140000000596046
FS( 62 ),2192476.599999999627471,1945946.530000000027940,2208639.439999999478459,1977992.000000000232831,2181332.439999999478459,10506387.009999997913837
FS( 63 ),2226943.339999999850988,1947378.410000000149012,2222643.679999999701977,1987345.399999999906868,2201380.149999999441206,10585690.980000000447035
FS( 64 ),2269914.860000000335276,1943798.709999999962747,2215048.160000000149012,1974140.600000000093132,2186570.129999999888241,10589472.460000000894070
FS( 65 ),2297219.679999999701977,1949884.199999999953434,2227865.599999999627471,1976891.600000000093132,2200838.320000000298023,10652699.400000000372529
FS( 66 ),2271257.719999999739230,1960265.330000000074506,2241395.120000000111759,2008253.000000000000000,2207520.889999999664724,10688692.059999998658895
FS( 67 ),2336162.620000000111759,1973868.190000000176951,2291478.080000000074506,2023108.400000000139698,2248880.580000000074506,10873497.870000001043081
FS( 68 ),2306172.080000000074506,1981743.530000000027940,2296937.359999999403954,2014305.199999999953434,2244004.110000000335276,10843162.280000001192093
FS( 69 ),2317810.200000000186265,1982101.500000000000000,2240920.399999999441206,2022008.000000000000000,2225220.669999999925494,10788060.769999999552965
FS( 70 ),2321391.160000000149012,1961697.209999999962747,2227628.240000000223517,2000000.000000000000000,2214022.849999999627471,10724739.459999999031425
FS( 71 ),2277524.400000000372529,1977805.860000000102445,2235461.120000000111759,2012654.599999999860302,2229013.479999999515712,10732459.460000000894070
FS( 72 ),2290505.379999999888241,1992840.600000000093132,2245430.240000000223517,2023658.600000000093132,2249241.799999999813735,10801676.620000001043081
FS( 73 ),2275286.299999999813735,1955611.720000000204891,2204841.679999999701977,1998899.599999999860302,2225401.280000000260770,10660040.579999998211861
FS( 74 ),2307514.940000000409782,1955969.690000000176951,2210538.319999999366701,1998899.599999999860302,2256104.979999999515712,10729027.530000001192093
FS( 75 ),2307962.560000000521541,1957759.540000000037253,2195109.919999999925494,1995598.400000000139698,2225581.889999999664724,10682012.309999998658895
