代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13799945.830000001937151
真實報酬,3799945.830000001937151

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14929.155159800071488
風險,213149.666146203118842
起點值,0.070040715661079
找到最佳解世代,1999
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
INTC[11](11),MRK[17](28),MSFT[18](1),NKE[19](3),V[25](2),
Stock#,INTC[11](11),MRK[17](28),MSFT[18](1),NKE[19](3),V[25](2),
張數,51229,30983,26806,38557,18968,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,19.840000000083819,47.350000000093132,4.340000000083819,48.410000000149012,14.080000000074506,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2017417.860000000102445,1994423.060000000288710,1990617.900000000139698,1984577.200000000186265,2002845.200000000186265,9989881.220000000670552
FS( 3 ),2015368.700000000186265,2001549.149999999906868,2002144.479999999981374,2008096.969999999972060,1997534.160000000149012,10024693.460000000894070
FS( 4 ),2025102.210000000195578,2001549.149999999906868,2036456.160000000149012,2011952.670000000158325,2015174.399999999906868,10090234.589999999850988
FS( 5 ),2030225.110000000102445,2000000.000000000000000,2037260.340000000083819,2021206.350000000325963,2024468.720000000204891,10113160.520000001415610
FS( 6 ),2042007.780000000027940,1993183.739999999990687,2045034.080000000307336,1986505.050000000279397,2029779.760000000242144,10096510.410000000149012
FS( 7 ),2031249.689999999944121,1997211.529999999795109,2045034.080000000307336,1986890.620000000111759,2035470.160000000149012,10095856.080000000074506
FS( 8 ),2013319.540000000037253,1976143.090000000083819,2048518.860000000102445,1967612.120000000111759,2056904.000000000000000,10062497.609999999403954
FS( 9 ),2007684.349999999860302,1977692.239999999990687,2067283.060000000288710,1959900.719999999972060,2050644.560000000055879,10063204.929999999701977
FS( 10 ),2032274.270000000251457,1964059.720000000204891,2077201.280000000027940,1965684.270000000018626,2061076.959999999962747,10100296.500000000000000
FS( 11 ),2036884.879999999888241,1962510.570000000298023,2081490.240000000223517,1980721.500000000000000,2054248.479999999981374,10115855.669999999925494
FS( 12 ),2038421.750000000000000,1958792.610000000102445,2079881.880000000121072,2005012.410000000149012,2039832.800000000279397,10121941.450000001117587
FS( 13 ),2061987.090000000083819,1967777.679999999934807,2080418.000000000000000,2016579.510000000009313,2044764.479999999981374,10171526.759999999776483
FS( 14 ),2053790.450000000186265,1975213.600000000093132,2088459.800000000046566,2031616.739999999990687,2029969.439999999944121,10179050.030000001192093
FS( 15 ),2071208.310000000055879,1979241.390000000130385,2112585.200000000186265,2045882.830000000307336,2040022.479999999981374,10248940.210000000894070
FS( 16 ),2091699.909999999916181,1964369.550000000046566,2113121.320000000298023,2069017.030000000027940,2039643.120000000111759,10277850.929999999701977
FS( 17 ),2097847.390000000596046,1955384.479999999981374,2113925.500000000000000,2059763.350000000325963,2056334.959999999962747,10283255.680000001564622
FS( 18 ),2089138.460000000195578,1934935.700000000186265,2107760.120000000111759,2118369.990000000223517,2076820.399999999906868,10327024.669999999925494
FS( 19 ),2118338.990000000223517,1920683.520000000251457,2111244.900000000372529,2190471.580000000074506,2082700.479999999981374,10423439.470000000670552
FS( 20 ),2274587.440000000409782,1804497.270000000251457,2246615.200000000186265,2157698.130000000353903,2080993.359999999869615,10564391.400000000372529
FS( 21 ),2273050.570000000298023,1695127.280000000027940,2248759.679999999701977,2131093.800000000279397,2087252.800000000279397,10435284.130000000819564
FS( 22 ),2330427.049999999813735,1706900.820000000298023,2229727.419999999925494,2120297.840000000316650,2086114.720000000204891,10473467.850000001490116
FS( 23 ),2392926.429999999701977,1714646.570000000298023,2229727.419999999925494,2123382.400000000372529,2106789.839999999850988,10567472.660000000149012
FS( 24 ),2412905.740000000223517,1715576.060000000055879,2253048.639999999664724,2125310.250000000000000,2105082.720000000204891,10611923.410000000149012
FS( 25 ),2373971.700000000186265,1736954.330000000074506,2255461.179999999701977,2148058.880000000353903,2112290.560000000055879,10626736.650000000372529
FS( 26 ),2392414.140000000596046,1731377.390000000130385,2264307.160000000149012,2160782.689999999944121,2122912.640000000130385,10671794.020000001415610
FS( 27 ),2396512.459999999962747,1722392.320000000298023,2258945.959999999962747,2126466.959999999962747,2126137.200000000186265,10630454.899999998509884
FS( 28 ),2392414.140000000596046,1753065.489999999990687,2266719.700000000186265,2149986.729999999981374,2133345.040000000037253,10695531.100000001490116
FS( 29 ),2371922.540000000037253,1741601.780000000027940,2254120.879999999888241,2164252.820000000298023,2127085.600000000093132,10658983.619999999180436
FS( 30 ),2335037.660000000149012,1718984.189999999944121,2248223.560000000521541,2162710.540000000502914,2122153.919999999925494,10587109.870000001043081
FS( 31 ),2343746.589999999850988,1707210.650000000139698,2249831.919999999925494,2155770.279999999795109,2113049.280000000260770,10569608.719999998807907
FS( 32 ),2349381.780000000260770,1703802.520000000251457,2253048.639999999664724,2158469.270000000018626,2124050.720000000204891,10588752.930000001564622
FS( 33 ),2328890.179999999701977,1697915.750000000000000,2224366.219999999739230,2183531.320000000298023,2091236.080000000074506,10525939.549999998882413
FS( 34 ),2338623.690000000409782,1709379.460000000195578,2230263.540000000037253,2206665.520000000018626,2105841.439999999944121,10590773.650000000372529
FS( 35 ),2286370.110000000335276,1710308.950000000186265,2208818.740000000223517,2282237.240000000223517,2083079.839999999850988,10570814.880000000819564
FS( 36 ),2285857.820000000298023,1676227.650000000139698,2212303.520000000484288,2284550.660000000149012,2085545.680000000167638,10544485.330000001937151
FS( 37 ),2302251.099999999627471,1681494.760000000242144,2244202.660000000149012,2289948.640000000130385,2113997.680000000167638,10631894.839999999850988
FS( 38 ),2287394.690000000409782,1684593.060000000055879,2227851.000000000000000,2277610.400000000372529,2102047.839999999850988,10579496.990000000223517
FS( 39 ),2292517.589999999850988,1683973.400000000139698,2231871.900000000372529,2287249.650000000372529,2123861.040000000037253,10619473.580000001937151
FS( 40 ),2279198.049999999813735,1690170.000000000000000,2248223.560000000521541,2299202.320000000298023,2131637.919999999925494,10648431.849999999627471
FS( 41 ),2291493.009999999776483,1701943.540000000037253,2275297.620000000111759,2297274.470000000204891,2150226.560000000055879,10716235.200000001117587
FS( 42 ),2251534.390000000596046,1715266.229999999981374,2234016.379999999888241,2327348.930000000167638,2083838.560000000055879,10612004.490000000223517
